seconds_elapsed,dBFS
0.0,-9.0588631950207
0.01,-10.141254096911183
0.02,-10.053097536286106
0.03,-8.020782651237619
0.04,-7.761718673470331
0.05,-10.137846863509418
0.06,-7.5828333540780966
0.07,-8.967581578286955
0.08,-7.92850229689871
0.09,-7.326464704342071
0.1,-6.833040091785153
0.11,-8.31262450688975
0.12,-10.616652434459395
0.13,-9.400191902898875
0.14,-11.018149377611621
0.15,-8.957911165324287
0.16,-9.722946828014393
0.17,-8.744939049120644
0.18,-8.801709771728657
0.19,-8.123503934588456
0.2,-8.511602669003322
0.21,-6.7507691773141705
0.22,-4.905674113980484
0.23,-5.092312455747975
0.24,-7.290801225171922
0.25,-6.483891854269055
0.26,-7.865336697316994
0.27,-8.153948724391109
0.28,-10.863090126971567
0.29,-9.067140846590977
0.3,-12.788107694272455
0.31,-14.323566532196905
0.32,-16.99550307931649
0.33,-15.257275124386172
0.34,-17.43402499000384
0.35,-16.560203208276473
0.36,-20.340030635714363
0.37,-20.691620225451
0.38,-22.150987896341654
0.39,-22.388500767022492
0.4,-23.42115322549214
0.41,-26.950842499164757
0.42,-25.880713942347583
0.43,-28.356912121706138
0.44,-28.81998432010253
0.45,-28.57468542029671
0.46,-29.43389615982077
0.47,-28.191985211491485
0.48,-28.532107444654272
0.49,-23.261488799183955
0.5,-23.889465152337888
0.51,-28.219256472946455
0.52,-21.209054353005158
0.53,-21.316345689792865
0.54,-21.54131655850008
0.55,-17.694340842850426
0.56,-20.074004472294703
0.57,-16.604916009774065
0.58,-16.62646018693285
0.59,-16.439736154803736
0.6,-16.565556607298365
0.61,-16.655269134198992
0.62,-16.436218175963393
0.63,-15.438803404625762
0.64,-19.722958743434745
0.65,-18.660912738813796
0.66,-19.098910395293224
0.67,-19.67686606053991
0.68,-21.316345689792865
0.69,-22.24315579602927
0.7,-17.256337337532155
0.71,-13.533275800262466
0.72,-13.743536458152963
0.73,-14.275437518476494
0.74,-15.231212069997685
0.75,-18.775262595174446
0.76,-20.73478358893917
0.77,-21.899981517072995
0.78,-21.811365966573018
0.79,-28.539189295546432
0.8,-29.193789405439663
0.81,-23.19230878149564
0.82,-25.10757093949286
0.83,-24.040091290666076
0.84,-28.747115691066142
0.85,-26.35787443612363
0.86,-25.828702471737074
0.87,-24.946804103024792
0.88,-32.842586662886376
0.89,-33.735800768487955
0.9,-34.58817449434327
0.91,-38.75916270244985
0.92,-39.67942035834925
0.93,-41.06103874121523
0.94,-36.59416392714908
0.95,-36.26038797028385
0.96,-36.10665139695803
0.97,-34.96588137755075
0.98,-34.29465713354666
0.99,-31.128170852772485
1.0,-32.51176427403059
1.01,-29.80288139389895
1.02,-27.734553012425817
1.03,-20.11957165714339
1.04,-17.35547243437694
1.05,-20.552096296965647
1.06,-20.467766608942377
1.07,-23.273072561253887
1.08,-20.56340237033298
1.09,-16.588792872888646
1.1,-14.64379404173538
1.11,-18.747681022472527
1.12,-17.32035423436202
1.13,-16.922661087872115
1.14,-15.374758248861149
1.15,-13.204674804527091
1.16,-12.949048492295335
1.17,-12.660785011714996
1.18,-11.819277824516057
1.19,-13.249644878617989
1.2,-11.596838328836972
1.21,-10.544956694018738
1.22,-11.43416338256808
1.23,-11.391752209402009
1.24,-14.889014595915544
1.25,-15.311181873765918
1.26,-12.964364408816476
1.27,-9.630074639387145
1.28,-8.5981925784554
1.29,-8.01944790061831
1.3,-6.913159621673728
1.31,-6.0967433721364035
1.32,-6.528180541014159
1.33,-8.755101381462637
1.34,-9.79796624354348
1.35,-8.170908720481489
1.36,-7.084634305374032
1.37,-6.42037704792032
1.38,-7.52968913339782
1.39,-9.462214607923345
1.4,-10.370013729286732
1.41,-11.733914655661291
1.42,-9.717265266585215
1.43,-6.784278703976929
1.44,-7.466843264568225
1.45,-12.300563630039607
1.46,-11.045524371689325
1.47,-8.82584030524804
1.48,-7.380235993478865
1.49,-8.81047675671525
1.5,-9.010858156001634
1.51,-6.0967433721364035
1.52,-6.8184991407913556
1.53,-6.3314601543233
1.54,-8.483399414617608
1.55,-10.858462341877244
1.56,-8.226771105214988
1.57,-10.565508677443523
1.58,-9.799604317973241
1.59,-11.941051922320353
1.6,-9.212143114620691
1.61,-11.86591219457318
1.62,-9.092776303367446
1.63,-15.148938513198376
1.64,-14.859630638128749
1.65,-16.99925508353814
1.66,-18.670005531728002
1.67,-19.063141410064862
1.68,-22.657852261018636
1.69,-24.253724529734725
1.7,-23.385852654554192
1.71,-26.08124764045718
1.72,-27.42997637071509
1.73,-27.220519236901417
1.74,-28.01677901455089
1.75,-29.355714807163157
1.76,-29.520716315671613
1.77,-32.80777343136036
1.78,-32.912634539607794
1.79,-33.33290467815828
1.8,-32.01156234839335
1.81,-34.57397025628313
1.82,-35.32974147407113
1.83,-36.522821516721955
1.84,-38.62237421184374
1.85,-38.13847802765047
1.86,-37.74122009818812
1.87,-37.844012891236346
1.88,-36.81177588443812
1.89,-38.267798872635105
1.9,-38.03216226167297
1.91,-39.42763781218884
1.92,-40.07133147961686
1.93,-41.5539874427866
1.94,-41.459403317905384
1.95,-42.14419939295736
1.96,-43.66022950088225
1.97,-41.06103874121523
1.98,-40.17889805109691
1.99,-42.850758639792225
2.0,-43.94773199993912
2.01,-40.708859840051346
2.02,-43.46054508275023
2.03,-43.26534833696711
2.04,-42.07660457992975
2.05,-47.3864379856296
2.06,-43.86461280451597
2.07,-45.01264223900363
2.08,-44.508306471944
2.09,-39.25563437695049
2.1,-42.668657847696984
2.11,-42.246588275678
2.12,-41.12114894400974
2.13,-46.90376439129521
2.14,-44.41967417596249
2.15,-45.01264223900363
2.16,-43.90607297697328
2.17,-40.20599913279624
2.18,-41.273269988708556
2.19,-43.782281480619325
2.2,-43.22682991624633
2.21,-43.90607297697328
2.22,-42.07660457992975
