seconds_elapsed,dBFS
0.0,-10.988042277665283
0.01,-10.297714375886846
0.02,-10.066601983104091
0.03,-10.76825199470073
0.04,-10.287311073349958
0.05,-8.857384046215364
0.06,-9.219801954406279
0.07,-11.44702623908465
0.08,-10.795768035573188
0.09,-9.836542901614221
0.1,-8.25483760519687
0.11,-8.383315134297076
0.12,-10.307261694961378
0.13,-8.276118989388095
0.14,-8.334740087616751
0.15,-9.706723645042498
0.16,-8.926000902218789
0.17,-10.801281719405011
0.18,-8.064944884583648
0.19,-8.40142670799308
0.2,-9.555688832178308
0.21,-12.302748759519826
0.22,-11.040798385589783
0.23,-9.560468740381886
0.24,-8.085765507642598
0.25,-8.734064013722215
0.26,-9.578017609611312
0.27,-10.373513281968268
0.28,-10.799443435876865
0.29,-8.500310375691917
0.3,-9.867858287171057
0.31,-9.804520395628142
0.32,-9.526270714752453
0.33,-10.18567018948573
0.34,-8.584650385327496
0.35,-9.031827722132924
0.36,-7.4156468145707795
0.37,-8.695747571310706
0.38,-9.237442956688705
0.39,-8.077699990104394
0.4,-8.566153111518203
0.41,-7.628007844384105
0.42,-9.130613484816664
0.43,-9.626059157073446
0.44,-9.461426736396835
0.45,-8.265128538399484
0.46,-9.680021462006689
0.47,-9.168616212739034
0.48,-8.770367208081247
0.49,-8.18722153154551
0.5,-9.797147322160884
0.51,-7.938413548559567
0.52,-7.660602737242059
0.53,-9.451190904609462
0.54,-8.362463984878904
0.55,-8.569707221653339
0.56,-8.211066100215048
0.57,-8.800249467482098
0.58,-7.917283199958681
0.59,-9.31223868674269
0.6,-7.647805844116167
0.61,-7.892915142378411
0.62,-9.638915240290864
0.63,-8.976517679525834
0.64,-9.07919516669805
0.65,-9.343270837071847
0.66,-8.406309360397621
0.67,-10.24754677984086
0.68,-8.578954719786969
0.69,-8.747115691066146
0.7,-9.267438089510973
0.71,-10.061535354744562
0.72,-9.055103232346486
0.73,-8.998151288811588
0.74,-9.519129996675685
0.75,-9.417419601662102
0.76,-8.519374645445621
0.77,-10.34468405177519
0.78,-9.347935236882176
0.79,-9.853010608960597
0.8,-9.599603429568715
0.81,-8.581802085699394
0.82,-10.081819625062145
0.83,-9.515958227555881
0.84,-10.527124846987848
0.85,-9.626059157073446
0.86,-9.432325616531422
0.87,-10.206246781017079
0.88,-9.331620784395744
0.89,-8.82584030524804
0.9,-8.847101408879437
0.91,-9.925010678088597
0.92,-9.137441716529857
0.93,-8.25346640152553
0.94,-8.087783057797944
0.95,-8.940086332107326
0.96,-8.452481240714759
0.97,-7.465590973672448
0.98,-9.985051628945577
0.99,-9.92999826917486
1.0,-9.183863982191577
1.01,-8.363158217356437
1.02,-8.99516413732894
1.03,-9.180812286195998
1.04,-8.198795003794878
1.05,-8.710186756147113
1.06,-9.24281907671236
1.07,-10.042982962056604
1.08,-9.743268510668807
1.09,-8.33958538618177
1.1,-9.246661200735756
1.11,-9.09957484324078
1.12,-7.769495921837772
1.13,-9.00487613810812
1.14,-9.490625684223872
1.15,-9.369735616725878
1.16,-8.666941012652478
1.17,-9.09957484324078
1.18,-8.234292244427692
1.19,-9.800423471049536
1.2,-8.906023976148246
1.21,-9.638111177375404
1.22,-8.973537957493846
1.23,-9.828320741176258
1.24,-8.993670946739382
1.25,-9.592402194137794
1.26,-9.515165466213839
1.27,-9.229001485333049
1.28,-10.05394094937004
1.29,-8.989939092916963
1.3,-10.662669305353052
1.31,-11.085324502945644
1.32,-9.663878181385293
1.33,-10.093674028825854
1.34,-10.068291516203772
1.35,-8.689978611604692
1.36,-9.36661792479073
1.37,-8.334048122697999
1.38,-8.884618331194869
1.39,-7.9364303932623805
1.4,-8.913417481564075
1.41,-7.984151539927655
1.42,-8.316076356729745
1.43,-9.177761662005166
1.44,-9.067893751687281
1.45,-9.574026115750314
1.46,-9.586006104277295
1.47,-9.033327487247256
1.48,-9.216737608056603
1.49,-8.7391373358629
1.5,-9.622045530257394
1.51,-10.148072576027351
1.52,-9.849714568834502
1.53,-10.534253193418355
1.54,-9.26127679140686
1.55,-9.96916713507026
1.56,-9.192261678826268
1.57,-9.53818497244521
1.58,-9.038578705394542
1.59,-9.810259338445487
1.6,-8.864000746924063
1.61,-10.040456157780437
1.62,-9.516751061259875
1.63,-9.650985124540835
1.64,-9.773432126003769
1.65,-9.125306346566935
1.66,-9.9391496311649
1.67,-9.921687207744599
1.68,-10.960847567244901
1.69,-9.086737620834782
1.7,-9.51833694580656
1.71,-8.05287835385666
1.72,-9.52944625254052
1.73,-9.414284750184219
1.74,-8.4356630546363
1.75,-7.730033651007742
1.76,-8.940828303631124
1.77,-8.755101381462637
1.78,-8.882406961987506
1.79,-8.674133700739935
1.8,-8.434263007947571
1.81,-7.655481717335113
1.82,-9.010110178422007
1.83,-8.542023653423783
1.84,-9.646155157981864
1.85,-9.592402194137794
1.86,-9.433896159820769
1.87,-8.245243722175502
1.88,-7.781824157808964
1.89,-7.890942346903813
1.9,-7.967551967474802
1.91,-7.046964398314849
1.92,-8.364546848796337
1.93,-8.792222179700614
1.94,-9.025081981901504
1.95,-8.434263007947571
1.96,-9.67598282816908
1.97,-7.737782568007949
1.98,-10.47738955570756
1.99,-9.66952491736002
2.0,-9.202196708310728
2.01,-10.1063931548914
2.02,-9.814360906089377
2.03,-8.822911819165657
2.04,-9.129855123648149
2.05,-9.697813793371244
2.06,-8.943796823700369
2.07,-8.549113597200076
2.08,-8.726097632539382
2.09,-8.618903034269806
2.1,-10.021108373723656
2.11,-10.427937427440854
2.12,-9.10108635279616
2.13,-9.738386968967784
2.14,-9.70267257942265
