seconds_elapsed,dBFS
0.0,-37.439945169470604
0.01,-35.613002107417415
0.02,-38.20289777637217
0.03,-37.98999766606634
0.04,-38.159898234900986
0.05,-40.79557493270576
0.06,-41.42810278083282
0.07,-43.46054508275023
0.08,-44.24507755078458
0.09,-45.20354859712824
0.1,-43.50011640239199
0.11,-42.07660457992975
0.12,-39.78221315139747
0.13,-35.565145845099615
0.14,-37.18703465893772
0.15,-35.565145845099615
0.16,-36.29492435629397
0.17,-37.74122009818812
0.18,-35.161078123333866
0.19,-35.92237295951982
0.2,-37.559204108944144
0.21,-35.22203198497398
0.22,-37.225467861635146
0.23,-40.07133147961686
0.24,-36.34698778672656
0.25,-37.98999766606634
0.26,-40.97164629211217
0.27,-38.35509498068411
0.28,-41.12114894400974
0.29,-39.13482728853104
0.3,-41.3969146337224
0.31,-40.76657360480111
0.32,-43.3040383325111
0.33,-46.28105621278533
0.34,-45.59842976104338
0.35,-46.67212694029891
0.36,-46.787173518080735
0.37,-47.7669027318982
0.38,-45.49801373354236
0.39,-46.61517008284237
0.4,-46.33585696010591
0.41,-46.44650673210513
0.42,-46.67212694029891
0.43,-46.39100565100968
0.44,-40.48176482250891
0.45,-40.4259068188255
0.46,-41.942972872799444
0.47,-43.66022950088225
0.48,-45.44823772546847
0.49,-43.700723232210535
0.5,-45.59842976104338
0.51,-47.32461644608676
0.52,-47.02194158350561
0.53,-48.581802085699394
0.54,-47.08163865449485
0.55,-46.61517008284237
0.56,-46.33585696010591
0.57,-45.49801373354236
0.58,-43.94773199993912
0.59,-43.26534833696711
0.6,-44.11639535067637
0.61,-44.03165429181129
0.62,-43.86461280451597
0.63,-44.733926680137785
0.64,-45.10757093949286
0.65,-45.95931981491623
0.66,-46.06524661111521
0.67,-46.17248117855736
0.68,-45.64907649135128
0.69,-45.01264223900363
0.7,-46.67212694029891
0.71,-47.08163865449485
0.72,-47.02194158350561
0.73,-44.96556413113407
0.74,-44.073921478079264
0.75,-44.508306471944
0.76,-43.94773199993912
0.77,-44.55296410058984
0.78,-43.82334959324051
0.79,-43.26534833696711
0.8,-44.03165429181129
0.81,-46.22659904607586
0.82,-45.85466927624269
0.83,-44.82584171392076
0.84,-45.90683693839325
0.85,-45.90683693839325
0.86,-45.34953337195822
0.87,-45.34953337195822
0.88,-43.421153225492134
0.89,-43.421153225492134
0.9,-41.81136596657302
0.91,-42.280987883563476
0.92,-41.876920161797734
0.93,-41.58574575837924
0.94,-38.75916270244985
0.95,-34.93623667424207
0.96,-35.790766053293396
0.97,-36.77512650669703
0.98,-35.438803404625766
0.99,-37.07274498844913
1.0,-35.39189479571978
1.01,-40.76657360480111
1.02,-36.45206031364975
1.03,-37.844012891236346
1.04,-36.364411844
1.05,-34.363647882580025
1.06,-32.76157178179887
1.07,-31.659523405651292
1.08,-29.11016093795526
1.09,-29.489044850724543
1.1,-29.441753138771766
1.11,-30.449096730567526
1.12,-32.44486363799739
1.13,-34.46116490922928
1.14,-34.57397025628313
1.15,-32.80777343136036
1.16,-33.407037898909216
1.17,-33.33290467815828
1.18,-31.91697822351214
1.19,-34.17183810881801
1.2,-31.449006831873547
1.21,-33.519437751710385
1.22,-30.846441627200385
1.23,-29.473252319759318
1.24,-31.619029674323002
1.25,-31.79244720669951
1.26,-29.737573645343605
1.27,-29.568441104078858
1.28,-31.340739383622335
1.29,-30.986164044413698
1.3,-30.56461410103426
1.31,-32.75005966661059
1.32,-31.864873150414027
1.33,-30.818764844447788
1.34,-29.481144996029855
1.35,-28.475659547280667
1.36,-29.8521864816638
1.37,-30.809558813232975
1.38,-29.473252319759318
1.39,-30.7911759711585
1.4,-30.001803591010074
1.41,-28.54627692518333
1.42,-31.619029674323002
1.43,-31.109101932626032
1.44,-29.186153458013308
1.45,-29.13288896567622
1.46,-27.202277949893123
