seconds_elapsed,dBFS
0.0,-10.65814705313549
0.01,-11.888802669253671
0.02,-11.433174720608324
0.03,-7.507641318148618
0.04,-7.9981197385499705
0.05,-7.684968898669697
0.06,-9.191497916272416
0.07,-15.720842759932996
0.08,-23.636023568900335
0.09,-25.896378310232514
0.1,-23.656190491445102
0.11,-26.124061724126882
0.12,-27.281601694245147
0.13,-32.842586662886376
0.14,-30.511107424818892
0.15,-34.05073156633725
0.16,-25.725604648412336
0.17,-22.42346816383793
0.18,-8.962373095031003
0.19,-8.898636758796975
0.2,-7.817610112777553
0.21,-8.562600455066342
0.22,-8.497489594750324
0.23,-8.475659547280666
0.24,-8.243874032093338
0.25,-7.514564602890273
0.26,-10.05394094937004
0.27,-13.186509814348351
0.28,-13.050874427934394
0.29,-14.260366170579886
0.3,-13.485564809203714
0.31,-13.416970306667427
0.32,-14.458363461168204
0.33,-13.102238567774485
0.34,-15.412190763486773
0.35,-12.220097877656164
0.36,-13.029463021106622
0.37,-12.951403030026764
0.38,-10.686223046381151
0.39,-11.707346031346933
0.4,-11.179867030996363
0.41,-16.870738450362616
0.42,-25.393811579848816
0.43,-26.129428353669283
0.44,-29.762006543699226
0.45,-33.6205846255637
0.46,-33.826482020863374
0.47,-35.32974147407113
0.48,-38.66773144096018
0.49,-37.72080671713998
0.5,-35.39189479571978
0.51,-39.15885466108119
0.52,-39.353504591437904
0.53,-38.92152050689344
0.54,-40.48176482250891
0.55,-41.03113891947621
0.56,-41.2426318982536
0.57,-42.14419939295736
0.58,-40.88316447801559
0.59,-42.41996508267003
0.6,-42.56120217241977
0.61,-42.246588275678
0.62,-40.94205209095121
0.63,-40.151881265277744
0.64,-38.69049918568197
0.65,-37.034980191401395
0.66,-32.738562789170224
0.67,-28.39863785273134
0.68,-20.1249482525723
0.69,-16.617476951425253
0.7,-12.801984767608573
0.71,-11.823412977956725
0.72,-11.821345155154894
0.73,-11.63419270925565
0.74,-10.490683609072669
0.75,-9.91006506561751
0.76,-10.856611918001889
0.77,-10.073362088232221
0.78,-10.844593762149682
0.79,-11.157810661244767
0.8,-10.392786065673503
0.81,-11.964141541045032
0.82,-11.771864520200513
0.83,-10.175400144377846
0.84,-12.412712117528342
0.85,-10.43762904339981
0.86,-11.741081654060082
0.87,-11.176986934930824
0.88,-10.922544576950315
0.89,-10.552099695768396
0.9,-12.308213989447863
0.91,-12.424893516352682
0.92,-9.333949545204565
0.93,-9.58121212588052
0.94,-10.476504008514251
0.95,-10.452628297860766
0.96,-12.660785011714996
0.97,-14.569713510479698
0.98,-16.331335964142554
0.99,-20.28781345483933
1.0,-24.80277160835812
1.01,-28.043504849907347
1.02,-34.32218771012272
1.03,-35.32974147407113
1.04,-34.906692803452316
1.05,-38.645023219821894
1.06,-36.0391878373155
1.07,-29.262816706247886
1.08,-29.28594825024673
1.09,-27.89752007507736
1.1,-23.712908255912968
1.11,-23.607868310412528
1.12,-24.951490312816404
1.13,-26.440940637946007
1.14,-28.945281464271126
1.15,-27.392644409357803
1.16,-30.591491553026483
1.17,-32.7270811091929
1.18,-29.186153458013308
1.19,-27.884369596201925
1.2,-28.391669629623504
1.21,-28.682052543111705
1.22,-30.995559274792225
1.23,-30.352537084279845
1.24,-32.001001994948965
1.25,-32.590471903165735
1.26,-35.613002107417415
1.27,-35.42313903674083
1.28,-33.054448132834864
1.29,-34.19898153602635
1.3,-35.645053397062966
1.31,-36.97863908809674
1.32,-34.92145217767158
1.33,-35.25267007542893
1.34,-33.80047634383789
1.35,-31.528603170221025
1.36,-35.70951298520325
1.37,-37.80274967996088
1.38,-36.0391878373155
1.39,-36.41689472052298
1.4,-39.03937699130614
1.41,-38.224477637504954
1.42,-38.465463551277026
1.43,-40.151881265277744
1.44,-38.805241800641134
1.45,-40.88316447801559
1.46,-39.628476578071655
1.47,-39.603116298338946
1.48,-38.289540785459394
1.49,-33.35754551635211
1.5,-32.92436430457484
1.51,-36.793431865712655
1.52,-35.31427238781313
1.53,-29.648569805536145
1.54,-32.17152800475295
1.55,-18.888805253008258
1.56,-7.694605967935313
1.57,-10.523562866360496
1.58,-7.371560637479587
1.59,-7.939074700958599
1.6,-9.668718016004238
1.61,-9.67759805637235
1.62,-9.064129878664799
1.63,-9.268979097168359
1.64,-9.99677460912411
1.65,-9.995098928663994
1.66,-10.951489788233694
1.67,-12.240686983812632
1.68,-11.31144461845686
1.69,-11.544610342939496
1.7,-10.231175374456146
1.71,-9.63248482012815
1.72,-11.140588138143993
1.73,-11.073934415458705
1.74,-10.966467077666103
1.75,-11.866951363042215
1.76,-13.153908258005513
1.77,-13.318153659094023
1.78,-13.044921518621768
1.79,-12.6051678870574
1.8,-12.618755515386477
1.81,-12.767333566181344
1.82,-13.610416769982841
1.83,-14.646655949385014
1.84,-14.139377567875338
1.85,-15.281876704686486
1.86,-15.162596768260912
1.87,-14.949564271561982
1.88,-15.738676603999021
1.89,-15.314272387813135
1.9,-14.618079218103905
1.91,-13.757736474099884
1.92,-14.747421460445258
1.93,-14.462565972162889
1.94,-16.961807775532616
1.95,-22.298238911355433
1.96,-34.51738445590585
1.97,-35.04043882793561
1.98,-38.8748220630206
1.99,-40.623001912258644
2.0,-43.61992367617574
2.01,-47.63822053179
2.02,-43.86461280451597
2.03,-46.50236473578853
2.04,-44.24507755078458
2.05,-48.164799306236986
2.06,-46.5585842824651
2.07,-47.32461644608676
2.08,-48.510896470406394
2.09,-42.246588275678
2.1,-42.88764145375963
2.11,-43.0744419788425
2.12,-37.14877076605211
2.13,-21.67529180547412
2.14,-13.455566023978589
2.15,-9.714831448896458
2.16,-10.27865116272427
2.17,-9.806979478258091
2.18,-9.85960644383897
2.19,-10.687130236275763
2.2,-10.393663118194878
2.21,-10.537819561622047
2.22,-11.045524371689325
2.23,-10.535144648198022
2.24,-10.652723456557107
2.25,-11.050252930594318
2.26,-10.369139061380244
2.27,-11.925344118344345
2.28,-14.415056161354386
2.29,-16.275912352679395
2.3,-24.18049814818061
2.31,-26.22659904607586
2.32,-26.188681163927466
2.33,-26.909635219256508
2.34,-27.093627461971792
2.35,-22.51504773506664
2.36,-12.651680304761774
2.37,-13.371127832861854
2.38,-11.132944631204309
2.39,-9.907576628517532
2.4,-9.11394481500838
2.41,-9.90840602834037
2.42,-10.249271882058657
2.43,-11.161642530563809
2.44,-11.329009618655297
2.45,-12.219015591237959
2.46,-13.684404821853091
2.47,-13.186509814348351
2.48,-13.115427166625391
2.49,-14.162357913370549
2.5,-14.600978199346606
2.51,-13.751279043397242
2.52,-16.666097171717723
2.53,-16.37313699755947
2.54,-23.199968296664007
2.55,-28.52503136309138
2.56,-34.81865938462336
2.57,-32.47824954574307
2.58,-37.88547306369365
2.59,-43.1122890523966
2.6,-43.989591790056004
2.61,-42.88764145375963
2.62,-40.23318503805073
2.63,-40.623001912258644
2.64,-32.66989927240235
2.65,-32.624423306542276
2.66,-33.944480826915246
2.67,-32.842586662886376
2.68,-35.100549030730114
2.69,-39.57782984776375
2.7,-44.779762615729474
2.71,-45.85466927624269
2.72,-47.08163865449485
2.73,-47.7669027318982
2.74,-49.885212717795596
2.75,-48.87135855307185
2.76,-51.518613646821976
2.77,-48.37079843903322
2.78,-43.989591790056004
2.79,-51.82341297795672
2.8,-50.754526593417395
2.81,-47.44870269411245
