seconds_elapsed,dBFS
0.0,-19.73580579449456
0.01,-19.395435703353844
0.02,-19.535011108346218
0.03,-19.862722796061007
0.04,-19.9756475172135
0.05,-20.057978841110142
0.06,-20.645814504854766
0.07,-20.20328521631171
0.08,-20.116884606963236
0.09,-21.07302754869217
0.1,-21.7820272234442
0.11,-20.274124106634464
0.12,-20.631549614740884
0.13,-22.256893860796062
0.14,-19.545067132205272
0.15,-19.082199870016332
0.16,-18.76835898667373
0.17,-20.645814504854766
0.18,-17.378963698562117
0.19,-17.85643017660786
0.2,-17.800691656106192
0.21,-19.044124676386396
0.22,-19.962441053306886
0.23,-19.08935758746965
0.24,-18.770659579890218
0.25,-19.328933458678602
0.26,-20.0900597257349
0.27,-20.30152441212688
0.28,-18.947312072886476
0.29,-20.755000132551743
0.3,-20.24680996576697
0.31,-19.9756475172135
0.32,-20.326258808446703
0.33,-20.574723179544648
0.34,-20.11419838778671
0.35,-21.00431679943407
0.36,-20.79557493270576
0.37,-20.755000132551743
0.38,-20.290553915388344
0.39,-20.789766915345883
0.4,-20.894910104738592
0.41,-20.543626389285162
0.42,-21.82116761098881
0.43,-20.845100515095602
0.44,-21.190793891539496
0.45,-21.8637696829223
0.46,-21.157415759279104
0.47,-20.29329524084524
0.48,-20.74055494439275
0.49,-19.64881824928465
0.5,-20.326258808446703
0.51,-22.171385298211863
0.52,-20.98054425051852
0.53,-20.642959652031013
0.54,-21.8440812204582
0.55,-19.75382364877492
0.56,-20.792670438567995
0.57,-21.713953099146195
0.58,-20.50701859792826
0.59,-20.387018856542927
0.6,-21.154387734274387
0.61,-20.939098209052972
0.62,-19.267808015436668
0.63,-20.36763997122426
0.64,-21.65602549893222
0.65,-21.765770640675047
0.66,-19.68453120853382
0.67,-20.58889497194951
0.68,-22.154384138667645
0.69,-21.830980328626023
0.7,-20.79557493270576
0.71,-20.543626389285162
0.72,-21.49396468961065
0.73,-21.756031275455705
0.74,-22.618346389309387
0.75,-21.942972872799448
0.76,-22.554085507017085
0.77,-15.305004142610715
0.78,-7.307999795946659
0.79,-7.45870659920687
0.8,-9.00936226524825
0.81,-11.863834230535025
0.82,-16.05768814172819
0.83,-17.769879670485413
0.84,-22.683086239117838
0.85,-25.623716211618568
0.86,-28.631782681862894
0.87,-31.7206201849085
0.88,-32.7270811091929
0.89,-32.534179485536505
0.9,-37.14877076605211
0.91,-36.70228843090309
0.92,-37.47951648911237
0.93,-39.57782984776375
0.94,-39.27999873973685
0.95,-38.57725260575926
0.96,-38.62237421184374
0.97,-37.32230152495152
0.98,-38.13847802765047
0.99,-34.93623667424207
1.0,-39.502409203376885
1.01,-36.191724453515974
1.02,-37.034980191401395
1.03,-36.59416392714908
1.04,-40.509829110697666
1.05,-38.35509498068411
1.06,-38.37705678666515
1.07,-36.46969664384714
1.08,-38.992042325724
1.09,-38.57725260575926
1.1,-39.834069362963064
1.11,-41.15136076451451
1.12,-39.1108661984721
1.13,-40.59457016956276
1.14,-39.402856369877874
1.15,-40.34278762340235
1.16,-38.736214499832904
1.17,-37.2640718791279
1.18,-37.034980191401395
1.19,-39.15885466108119
1.2,-37.844012891236346
1.21,-34.433191005377985
1.22,-33.83951411578833
1.23,-39.67942035834925
1.24,-31.478770046506295
1.25,-36.904081637711876
1.26,-43.1122890523966
1.27,-49.64052358945536
1.28,-50.939339728115655
1.29,-62.009531739778
1.3,-63.86461280451597
1.31,-63.46054508275023
1.32,-55.19150158574453
1.33,-47.263231811533224
1.34,-50.573564013869465
1.35,-49.72132314549016
1.36,-40.708859840051346
1.37,-35.39189479571978
1.38,-10.731699012241219
1.39,-5.44823772546847
1.4,-4.81752941526494
1.41,-4.771035155087584
1.42,-6.954383665064753
1.43,-10.474733184932568
1.44,-11.815144638790642
1.45,-12.410499152003489
1.46,-12.168299649526018
1.47,-16.67693872457699
1.48,-13.040162126920185
1.49,-15.082472250765226
1.5,-12.489406759400579
1.51,-11.470823211882369
1.52,-11.283219953640915
1.53,-10.199382499606333
1.54,-11.702245984439756
1.55,-14.705533826342474
1.56,-13.721636539417952
1.57,-15.754921025487276
1.58,-12.596121262479079
1.59,-13.119027535438835
1.6,-14.976280972989006
1.61,-12.553278002426927
1.62,-13.665209477824094
1.63,-13.625673020341955
1.64,-13.476804455825649
1.65,-15.3685351501618
1.66,-12.35425819228581
1.67,-13.600260803157195
1.68,-14.714183675659546
1.69,-7.718423222018831
1.7,-4.712923099312286
1.71,-5.451216255407263
1.72,-11.720620184908503
1.73,-10.199382499606333
