seconds_elapsed,dBFS
0.0,-45.85466927624269
0.01,-45.802813064677096
0.02,-43.50011640239199
0.03,-37.47951648911237
0.04,-43.66022950088225
0.05,-43.82334959324051
0.06,-43.66022950088225
0.07,-45.10757093949286
0.08,-43.342901438231145
0.09,-40.82467341766925
0.1,-44.87216656846438
0.11,-45.95931981491623
0.12,-46.90376439129521
0.13,-45.34953337195822
0.14,-48.23292428007521
0.15,-47.63822053179
0.16,-46.50236473578853
0.17,-46.33585696010591
0.18,-47.263231811533224
0.19,-45.54807663661845
0.2,-44.508306471944
0.21,-43.94773199993912
0.22,-43.61992367617574
0.23,-41.68172341601461
0.24,-41.21210149902416
0.25,-41.74630281861858
0.26,-40.680146129148255
0.27,-39.47741382026274
0.28,-41.00134167022599
0.29,-41.21210149902416
0.3,-40.79557493270576
0.31,-40.79557493270576
0.32,-40.59457016956276
0.33,-39.378145429631736
0.34,-43.0744419788425
0.35,-44.82584171392076
0.36,-44.37569489396373
0.37,-44.82584171392076
0.38,-40.39811194826538
0.39,-33.11422737525142
0.4,-40.04464669783558
0.41,-41.091041844063405
0.42,-42.99923900137636
0.43,-43.782281480619325
0.44,-44.11639535067637
0.45,-44.37569489396373
0.46,-46.28105621278533
0.47,-46.28105621278533
0.48,-47.44870269411245
0.49,-39.402856369877874
0.5,-45.300598653016465
0.51,-47.141748857289365
0.52,-46.61517008284237
0.53,-46.50236473578853
0.54,-49.247429829525956
0.55,-50.573564013869465
0.56,-47.70232332929424
0.57,-49.32463824579072
0.58,-47.08163865449485
0.59,-48.44056499594966
0.6,-45.39874534291136
0.61,-47.32461644608676
0.62,-49.32463824579072
0.63,-45.39874534291136
0.64,-47.83196587985263
0.65,-48.44056499594966
0.66,-49.247429829525956
0.67,-47.3864379856296
0.68,-47.08163865449485
0.69,-45.802813064677096
0.7,-46.90376439129521
0.71,-45.90683693839325
0.72,-46.012121738240396
0.73,-44.28839878591474
0.74,-45.70002027162887
0.75,-45.44823772546847
0.76,-44.91873981483603
0.77,-43.700723232210535
0.78,-44.68833135423981
0.79,-44.87216656846438
0.8,-43.1884815553319
0.81,-45.34953337195822
0.82,-44.96556413113407
0.83,-42.043003417569324
0.84,-43.22682991624633
0.85,-47.141748857289365
0.86,-43.90607297697328
0.87,-45.85466927624269
0.88,-47.20227794989312
0.89,-46.28105621278533
0.9,-46.39100565100968
0.91,-48.23292428007521
0.92,-48.37079843903322
0.93,-46.787173518080735
0.94,-48.653291292865354
0.95,-50.48447718534446
0.96,-48.03013165305762
0.97,-47.32461644608676
0.98,-47.32461644608676
0.99,-49.56046874038188
1.0,-45.39874534291136
1.01,-48.87135855307185
1.02,-49.247429829525956
1.03,-47.51141697116962
1.04,-45.64907649135128
1.05,-48.798059471343734
1.06,-46.96265200423083
1.07,-46.22659904607586
1.08,-48.72537377824186
1.09,-47.44870269411245
1.1,-45.49801373354236
1.11,-45.44823772546847
1.12,-49.01983891465598
1.13,-44.779762615729474
1.14,-46.118698408341736
1.15,-49.01983891465598
1.16,-46.17248117855736
1.17,-46.729459753330964
1.18,-38.311337257720595
1.19,-49.80288139389895
1.2,-44.11639535067637
1.21,-48.301587796843094
1.22,-47.89752007507736
1.23,-45.59842976104338
1.24,-46.90376439129521
1.25,-47.263231811533224
1.26,-48.510896470406394
1.27,-46.787173518080735
1.28,-49.01983891465598
1.29,-48.653291292865354
1.3,-45.85466927624269
1.31,-47.83196587985263
1.32,-47.7669027318982
1.33,-46.33585696010591
1.34,-47.141748857289365
1.35,-45.90683693839325
1.36,-45.64907649135128
1.37,-46.22659904607586
1.38,-50.05225420509091
1.39,-48.301587796843094
1.4,-46.50236473578853
1.41,-47.3864379856296
1.42,-31.761591438413884
1.43,-43.50011640239199
1.44,-43.381939210181585
