seconds_elapsed,dBFS
0.0,-26.868622510703226
0.01,-28.952708475957554
0.02,-29.13288896567622
0.03,-27.593628407837908
0.04,-27.184074891247466
0.05,-27.141748857289365
0.06,-26.643601825538266
0.07,-28.783473591110003
0.08,-28.532107444654272
0.09,-28.43356306921976
0.1,-27.275474082253403
0.11,-29.473252319759318
0.12,-27.448702694112455
0.13,-27.33694560307249
0.14,-26.689287083459746
0.15,-28.468629284138416
0.16,-28.036815677733795
0.17,-28.151238195538383
0.18,-32.36745863500595
0.19,-28.908241367039253
0.2,-30.528906385223618
0.21,-29.14807409128872
0.22,-28.454585805512373
0.23,-29.23974660068525
0.24,-29.340162628186267
0.25,-27.361656543318627
0.26,-27.099628076813605
0.27,-28.117427761106622
0.28,-29.22440050192641
0.29,-27.766902731898206
0.3,-29.87694437862951
0.31,-29.536595460200303
0.32,-29.11016093795526
0.33,-27.728097501435194
0.34,-29.91006506561751
0.35,-28.468629284138416
0.36,-28.532107444654272
0.37,-30.282980038785997
0.38,-28.9824801919536
0.39,-29.504866147700135
0.4,-29.22440050192641
0.41,-28.496784542626223
0.42,-30.431460400370135
0.43,-30.645497258438095
0.44,-28.308484097037105
0.45,-31.166434745658094
0.46,-31.64938226073039
0.47,-28.85664916828962
0.48,-29.860431275484626
0.49,-31.896098671058603
0.5,-29.293672474533512
0.51,-29.65662348217996
0.52,-29.78650836428535
0.53,-31.813078783236115
0.54,-33.27160668459903
0.55,-33.5068768100592
0.56,-35.66112350273499
0.57,-33.04254149678523
0.58,-34.93623667424207
0.59,-34.745973691521485
0.6,-34.93623667424207
0.61,-39.834069362963064
0.62,-40.56623118965063
0.63,-34.67389120614498
0.64,-37.459708294351934
0.65,-35.206753371292926
0.66,-38.09579543739675
0.67,-40.9125583796311
0.68,-37.68012331893091
0.69,-45.01264223900363
0.7,-43.539868827102254
0.71,-40.20599913279624
0.72,-48.798059471343734
0.73,-41.5539874427866
0.74,-55.0404388279356
0.75,-70.30899869919435
0.76,-76.32959861247397
0.77,-73.40703789890921
0.78,-70.30899869919435
0.79,-66.78717351808073
0.8,-66.22659904607586
0.81,-65.70002027162887
0.82,-67.3864379856296
0.83,-69.48114499602985
0.84,-70.30899869919435
0.85,-71.22414851040786
0.86,-72.24719895935547
0.87,-72.24719895935547
0.88,-69.48114499602985
0.89,-67.3864379856296
0.9,-63.86461280451597
0.91,-67.3864379856296
0.92,-60.76657360480111
0.93,-59.42763781218885
0.94,-61.68172341601461
0.95,-61.36583807234997
0.96,-63.86461280451597
0.97,-69.48114499602985
0.98,-73.40703789890921
0.99,-80.76657360480111
1.0,-78.2677988726351
1.01,-74.74597369152148
1.02,-66.78717351808073
1.03,-62.3501985257536
1.04,-61.68172341601461
1.05,-60.48176482250891
1.06,-59.42763781218885
1.07,-57.63962958760263
1.08,-59.67942035834925
1.09,-60.48176482250891
1.1,-60.20599913279624
1.11,-59.67942035834925
1.12,-59.18294868384861
1.13,-63.46054508275023
1.14,-62.704773864962235
1.15,-64.28839878591474
1.16,-63.86461280451597
1.17,-71.22414851040786
1.18,-78.2677988726351
1.19,-90.30899869919435
1.2,-73.40703789890921
1.21,-62.009531739778
1.22,-58.053321564799646
1.23,-74.74597369152148
1.24,-80.76657360480111
1.25,-100
1.26,-100
1.27,-100
1.28,-100
1.29,-100
1.3,-100
1.31,-100
1.32,-100
1.33,-100
1.34,-100
1.35,-100
1.36,-100
1.37,-100
1.38,-100
1.39,-100
1.4,-100
1.41,-100
1.42,-100
1.43,-100
1.44,-100
1.45,-78.2677988726351
1.46,-49.247429829525956
1.47,-43.782281480619325
1.48,-41.522344822589105
1.49,-39.552616797728874
1.5,-36.95993964139527
1.51,-36.140580696500095
1.52,-30.11148602495115
1.53,-33.852565793132264
1.54,-31.854489539329155
1.55,-26.897897528770187
1.56,-25.19390296633347
1.57,-25.46811391180334
1.58,-25.42840691859392
1.59,-28.952708475957554
1.6,-30.387525609488854
1.61,-27.990135160413253
1.62,-26.717962875890603
1.63,-26.524808907548234
1.64,-28.43356306921976
1.65,-24.90940516628788
1.66,-21.47509598638002
1.67,-26.700746042427884
1.68,-24.146251126433587
1.69,-28.989939092916963
1.7,-23.82746710440463
1.71,-24.711099098961597
1.72,-21.384470663631095
1.73,-23.77818532886312
1.74,-25.844273237134402
1.75,-25.86507777315996
1.76,-23.15411219558684
1.77,-23.03299978961217
1.78,-22.367587700006183
1.79,-22.391991178818735
1.8,-23.436888537110917
1.81,-22.164580840646426
1.82,-23.56380790418884
1.83,-20.977577251467274
1.84,-22.65425338396775
1.85,-23.10091760459558
1.86,-22.388500767022492
1.87,-21.769019524063612
1.88,-21.13926342323022
1.89,-21.59529594036176
1.9,-22.378037939451715
1.91,-22.850758639792225
1.92,-22.343252592046333
1.93,-21.853919873167392
1.94,-22.518589382266807
1.95,-22.781109858449035
1.96,-20.865575765347092
1.97,-22.11371661386743
1.98,-21.678507015445337
1.99,-22.564762692919746
2.0,-24.078159531170456
2.01,-22.490296557126776
2.02,-23.432952035961257
2.03,-23.017978792114917
2.04,-26.006827078132492
2.05,-25.2713696081438
2.06,-25.07898323522875
2.07,-25.906836938393255
2.08,-21.03711065545435
2.09,-23.58380765891049
2.1,-24.19767242888828
2.11,-20.807202631414224
2.12,-23.57980402222377
2.13,-23.802791264973134
2.14,-22.8250335406127
2.15,-21.085032926744493
2.16,-21.07302754869217
2.17,-25.618653028940624
2.18,-23.69666535330559
2.19,-23.40152408801259
2.2,-23.40152408801259
2.21,-25.74099152513426
2.22,-22.21574468171991
2.23,-23.943557094961818
2.24,-22.741040680231603
2.25,-25.67451103262403
2.26,-24.784359540757684
2.27,-22.458576900555713
2.28,-20.67441475999404
2.29,-23.708844681739173
2.3,-24.638451401960488
2.31,-24.27537971332283
2.32,-22.600448403091747
2.33,-25.74612654723952
2.34,-22.185010225928103
2.35,-24.74765208142111
2.36,-26.3248691159612
2.37,-23.42115322549214
2.38,-26.660705650503278
2.39,-23.668313158643993
2.4,-26.35787443612363
2.41,-25.169835647975717
2.42,-28.15801610430063
2.43,-24.886112340212794
2.44,-22.777459558064116
2.45,-24.900080538835105
2.46,-26.468806846120955
2.47,-25.0742277521436
2.48,-26.666414418134387
2.49,-22.596873227228112
2.5,-23.269209590481715
2.51,-24.23643917151656
2.52,-21.519186891400683
2.53,-22.25345730698741
