seconds_elapsed,dBFS
0.0,-20.637252759816477
0.01,-21.058044123141073
0.02,-21.528664131444103
0.03,-21.453134180398973
0.04,-21.956243906149766
0.05,-22.036298755223243
0.06,-25.339724348173718
0.07,-29.608413055146997
0.08,-26.939049028733702
0.09,-23.733254692103664
0.1,-25.664328276899685
0.11,-25.21320495125016
0.12,-25.513002330252384
0.13,-25.083741323344487
0.14,-22.625515923053683
0.15,-23.848083989560326
0.16,-23.257630975608183
0.17,-22.150987896341654
0.18,-22.076604579929754
0.19,-23.18083215841473
0.2,-21.424978921911165
0.21,-21.54448254710377
0.22,-20.640105737223653
0.23,-21.0400980637858
0.24,-21.055050537160014
0.25,-20.392563631476243
0.26,-20.28507385865258
0.27,-18.977892081533255
0.28,-20.38147761894634
0.29,-21.070028795119118
0.3,-18.224477637504958
0.31,-19.106081902213404
0.32,-17.365252741274567
0.33,-17.489437552027717
0.34,-17.731007410782222
0.35,-17.543207990909217
0.36,-18.530125844394057
0.37,-17.897949804605652
0.38,-17.763730367829936
0.39,-18.534603107193227
0.4,-21.592111379505532
0.41,-17.45377463388795
0.42,-19.459959751674827
0.43,-18.185672407041945
0.44,-17.948036764952505
0.45,-17.694340842850426
0.46,-19.01331100911462
0.47,-18.45214503657235
0.48,-18.447710066020008
0.49,-18.08090594496249
0.5,-19.532498920436282
0.51,-20.329011427591293
0.52,-19.978291221278365
0.53,-19.674312513663352
0.54,-19.764136371432585
0.55,-19.623398595092727
0.56,-22.2740970544531
0.57,-20.21686328635528
0.58,-22.367587700006183
0.59,-21.431227763646916
0.6,-22.164580840646426
0.61,-20.34278762340235
0.62,-20.912558379631093
0.63,-22.388500767022492
0.64,-22.618346389309387
0.65,-19.68453120853382
0.66,-22.398976213081838
0.67,-23.66427038936549
0.68,-21.37514937176381
0.69,-20.950919768738352
0.7,-21.53815172347214
0.71,-21.4124947089994
0.72,-22.260331774808115
0.73,-21.617620618510387
0.74,-22.430478567477618
0.75,-22.069873940586326
0.76,-20.868504745188726
0.77,-21.010270116759706
0.78,-21.218198999897982
0.79,-20.775263840281465
0.8,-21.325604055890338
0.81,-20.903729759892787
0.82,-20.807202631414224
0.83,-20.617308113537497
0.84,-19.417716749273495
0.85,-17.52126131884068
0.86,-17.914613386959815
0.87,-18.25477980004321
0.88,-17.449821110998545
0.89,-18.445493429632304
0.9,-17.537217033340017
0.91,-18.192127918032572
0.92,-17.929220291895685
0.93,-18.496619735062797
0.94,-17.71061798912352
0.95,-17.92087048145881
0.96,-17.93548792149156
0.97,-17.93548792149156
0.98,-18.114976651606366
0.99,-17.99630932164604
1.0,-18.269970616523924
1.01,-19.284879824236235
1.02,-20.711736438732405
1.03,-17.89586910280194
1.04,-18.11284331262031
1.05,-17.58526079521987
1.06,-18.248277574183923
1.07,-18.75916270244985
1.08,-17.9984142264517
1.09,-21.500263377078884
1.1,-17.41825754362621
1.11,-19.66410582666271
1.12,-18.543564562347775
1.13,-19.705004735132714
1.14,-20.569060930557907
1.15,-17.70247560311542
1.16,-16.967414589910025
1.17,-22.40946430810307
1.18,-18.56600873410748
1.19,-21.33487230109276
1.2,-18.35509498068411
1.21,-17.341798479575726
1.22,-19.358427169998716
1.23,-18.036390000689543
1.24,-20.63440071919388
1.25,-17.252472647974265
1.26,-19.74352315585348
1.27,-19.01094524861026
1.28,-19.771878956676865
1.29,-17.698407270657878
1.3,-17.88755127632184
1.31,-18.34194450180868
1.32,-18.38585708087091
1.33,-17.72284589771938
1.34,-17.543207990909217
1.35,-17.784244996256348
1.36,-17.97528828128411
1.37,-17.868865239058263
1.38,-17.718768015185294
1.39,-17.78013819256846
1.4,-17.67809414250817
1.41,-17.806867191125004
1.42,-17.83161333218831
1.43,-17.39269633326152
1.44,-17.9984142264517
1.45,-17.30284823655563
1.46,-17.78835374261398
1.47,-17.21969202879144
1.48,-17.19278880928931
1.49,-17.416288623831296
1.5,-17.769879670485413
1.51,-18.03427587395693
1.52,-17.150679962595255
1.53,-17.633571777543246
1.54,-17.52126131884068
1.55,-17.489437552027717
1.56,-17.93966885521275
1.57,-17.432052493200075
1.58,-17.692308342633346
1.59,-17.72080671713998
1.6,-17.34960953193492
1.61,-17.330095055880907
1.62,-16.920801353438705
1.63,-17.455752070353647
1.64,-17.359383235720838
1.65,-17.238959759935703
1.66,-17.5912849935689
1.67,-17.761681567339703
1.68,-17.49936995978592
1.69,-17.73713358216917
1.7,-18.331000957916697
1.71,-17.53921356010161
1.72,-17.73713358216917
1.73,-18.381455819242372
1.74,-17.99420492681126
1.75,-18.344134866121905
1.76,-18.545806371532517
1.77,-18.902810990476762
1.78,-18.6268992912053
1.79,-18.377056786665154
1.8,-18.602040477302538
1.81,-19.110866198472106
1.82,-18.97082559465829
1.83,-19.146832666583368
1.84,-18.975535947072025
1.85,-18.602040477302538
1.86,-18.851566655184754
1.87,-18.3968700018823
1.88,-17.9668940891468
1.89,-18.185672407041945
1.9,-17.511303860868274
1.91,-17.885473063693656
1.92,-18.28518804688769
1.93,-18.10644643767445
1.94,-17.72284589771938
1.95,-17.927132086659505
1.96,-18.27431573399226
1.97,-17.33399444523397
1.98,-17.686213694058136
1.99,-17.88755127632184
2.0,-17.80274967996088
2.01,-18.381455819242372
2.02,-17.87716518201
2.03,-17.93757813679176
2.04,-17.85643017660786
2.05,-18.200742736133336
2.06,-18.11711051468996
2.07,-18.174923872520875
2.08,-17.93757813679176
2.09,-17.92504438333541
2.1,-18.087284030896903
2.11,-18.063920577265613
2.12,-18.28083748850068
2.13,-18.14275784524781
2.14,-18.235287706900362
2.15,-18.34194450180868
2.16,-18.121379814180216
2.17,-18.86551242693317
2.18,-18.56600873410748
2.19,-18.235287706900362
2.2,-18.185672407041945
2.21,-17.918784282424383
2.22,-18.289540785459394
2.23,-18.10857820591145
2.24,-18.283012495307606
2.25,-18.521178236455697
2.26,-18.15132381205456
2.27,-18.394666300325866
2.28,-18.36606894252045
2.29,-17.79040884486847
2.3,-18.523414274475012
2.31,-18.559269390975075
2.32,-17.71672979163069
2.33,-17.99420492681126
2.34,-17.66998217401002
2.35,-17.14495363145406
2.36,-17.41825754362621
2.37,-17.298962801627017
