seconds_elapsed,dBFS
0.0,-23.10470643328731
0.01,-23.848083989560326
0.02,-23.519969873065545
0.03,-22.976804491345764
0.04,-23.456597848127394
0.05,-24.99378036484215
0.06,-23.476351983633272
0.07,-23.273072561253887
0.08,-23.397603578066516
0.09,-26.897897528770187
0.1,-27.612711292785153
0.11,-25.86507777315996
0.12,-25.705131121813444
0.13,-26.586831102930255
0.14,-27.70232332929423
0.15,-27.619081582500886
0.16,-29.893488935323198
0.17,-34.86256456473596
0.18,-35.22203198497398
0.19,-36.41689472052298
0.2,-36.29492435629397
0.21,-38.69049918568197
0.22,-39.91243882367998
0.23,-44.68833135423981
0.24,-44.733926680137785
0.25,-49.095041892122126
0.26,-52.24719895935549
0.27,-57.053842065562876
0.28,-62.704773864962235
0.29,-68.03013165305762
0.3,-74.74597369152148
0.31,-74.74597369152148
0.32,-84.28839878591472
0.33,-84.28839878591472
0.34,-84.28839878591472
0.35,-84.28839878591472
0.36,-84.28839878591472
0.37,-84.28839878591472
0.38,-84.28839878591472
0.39,-84.28839878591472
0.4,-84.28839878591472
0.41,-90.30899869919435
0.42,-90.30899869919435
0.43,-90.30899869919435
0.44,-90.30899869919435
0.45,-90.30899869919435
0.46,-90.30899869919435
0.47,-84.28839878591472
0.48,-84.28839878591472
0.49,-84.28839878591472
0.5,-84.28839878591472
0.51,-84.28839878591472
0.52,-84.28839878591472
0.53,-90.30899869919435
0.54,-90.30899869919435
0.55,-90.30899869919435
0.56,-84.28839878591472
0.57,-80.76657360480111
0.58,-84.28839878591472
0.59,-90.30899869919435
0.6,-90.30899869919435
0.61,-84.28839878591472
0.62,-84.28839878591472
0.63,-84.28839878591472
0.64,-84.28839878591472
0.65,-90.30899869919435
0.66,-90.30899869919435
0.67,-90.30899869919435
0.68,-90.30899869919435
0.69,-90.30899869919435
0.7,-84.28839878591472
0.71,-84.28839878591472
0.72,-90.30899869919435
0.73,-84.28839878591472
0.74,-90.30899869919435
0.75,-90.30899869919435
0.76,-90.30899869919435
0.77,-90.30899869919435
0.78,-100
0.79,-100
0.8,-100
0.81,-90.30899869919435
0.82,-90.30899869919435
0.83,-90.30899869919435
0.84,-90.30899869919435
0.85,-90.30899869919435
0.86,-90.30899869919435
0.87,-90.30899869919435
0.88,-90.30899869919435
0.89,-90.30899869919435
0.9,-84.28839878591472
0.91,-90.30899869919435
0.92,-90.30899869919435
0.93,-84.28839878591472
0.94,-76.32959861247397
0.95,-76.32959861247397
0.96,-84.28839878591472
0.97,-84.28839878591472
0.98,-78.2677988726351
0.99,-78.2677988726351
1.0,-78.2677988726351
1.01,-84.28839878591472
1.02,-84.28839878591472
1.03,-90.30899869919435
1.04,-90.30899869919435
1.05,-90.30899869919435
1.06,-90.30899869919435
1.07,-90.30899869919435
1.08,-90.30899869919435
1.09,-90.30899869919435
1.1,-90.30899869919435
