seconds_elapsed,dBFS
0.0,-35.905812631075214
0.01,-39.086971026213234
0.02,-39.27999873973685
0.03,-38.24611124679071
0.04,-38.35509498068411
0.05,-42.280987883563476
0.06,-38.35509498068411
0.07,-28.349977279311354
0.08,-25.4234562831575
0.09,-24.163357758527436
0.1,-22.71201512393776
0.11,-22.586156520577987
0.12,-18.72934184513855
0.13,-18.447710066020008
0.14,-14.388619312251372
0.15,-14.139377567875338
0.16,-13.890526941568009
0.17,-14.355340000896376
0.18,-18.21583925823694
0.19,-15.52229949527277
0.2,-15.379428500593736
0.21,-16.13718179618748
0.22,-16.926381751727707
0.23,-15.088493664966904
0.24,-13.58378264202462
0.25,-18.49884945902269
0.26,-21.840804144532488
0.27,-28.739862338128503
0.28,-30.40507286725077
0.29,-33.865637111834005
0.3,-31.004964678676114
0.31,-32.76157178179887
0.32,-32.45597802164835
0.33,-31.24347196584827
0.34,-16.0224035042897
0.35,-16.413385978953126
0.36,-15.029962178527875
0.37,-15.144390530039367
0.38,-15.281876704686486
0.39,-15.015017423227
0.4,-14.338748038567326
0.41,-15.02248658667468
0.42,-14.586753024797828
0.43,-13.826482020863377
0.44,-11.919068941933126
0.45,-10.907642768211614
0.46,-12.657369628105332
0.47,-15.484390478684942
0.48,-16.612091466306108
0.49,-23.704783007763798
0.5,-25.448237725468466
0.51,-27.663804908573468
0.52,-23.413296246541144
0.53,-21.61123628184804
0.54,-22.525677011903706
0.55,-18.982606268698127
0.56,-13.683123811654166
0.57,-14.497666196272824
0.58,-13.56733568273064
0.59,-13.623128450340438
0.6,-11.709386888884062
0.61,-13.773253922868513
0.62,-15.975579187991647
0.63,-16.42918648997882
0.64,-21.279410596697122
0.65,-23.199968296664007
0.66,-26.346858721726324
0.67,-28.689257760976613
0.68,-32.279832271272106
0.69,-31.639252942220246
0.7,-32.92436430457484
0.71,-32.50057832317607
0.72,-35.22203198497398
0.73,-34.745973691521485
0.74,-37.28343841923147
0.75,-41.3969146337224
0.76,-40.4259068188255
0.77,-43.1884815553319
0.78,-30.396294807243358
0.79,-31.43910838107231
0.8,-31.844118326588827
0.81,-35.454496073100394
0.82,-35.82348130717857
0.83,-36.68417395168262
0.84,-40.88316447801559
0.85,-40.76657360480111
0.86,-39.80810255845745
0.87,-40.48176482250891
0.88,-41.490817057890006
0.89,-40.28781345483932
0.9,-40.151881265277744
0.91,-41.942972872799444
0.92,-34.46116490922928
0.93,-28.9824801919536
0.94,-30.537819561622044
0.95,-29.672753272586945
0.96,-29.426046281619897
0.97,-36.95993964139527
0.98,-41.33487230109275
0.99,-39.70500473513271
