seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-68.72537377824186
0.29,-62.009531739778
0.3,-56.505077098624085
0.31,-60.20599913279624
0.32,-59.67942035834925
0.33,-54.891958466351475
0.34,-55.50174490930948
0.35,-58.48770655866437
0.36,-58.26779887263511
0.37,-59.9387199016366
0.38,-59.9387199016366
0.39,-61.06103874121523
0.4,-61.06103874121523
0.41,-58.48770655866437
0.42,-59.18294868384861
0.43,-60.76657360480111
0.44,-56.505077098624085
0.45,-58.94496421785445
0.46,-60.20599913279624
0.47,-62.3501985257536
0.48,-54.05073156633725
0.49,-51.82341297795672
0.5,-48.37079843903322
0.51,-46.17248117855736
0.52,-45.34953337195822
0.53,-45.01264223900363
0.54,-45.15542720181067
0.55,-39.378145429631736
0.56,-34.877249081569246
0.57,-37.559204108944144
0.58,-35.48596672215866
0.59,-32.70416318128475
0.6,-29.15567662099777
0.61,-29.426046281619897
0.62,-31.01438027812177
0.63,-33.83951411578833
0.64,-37.782191351693506
0.65,-38.71332676685816
0.66,-40.151881265277744
0.67,-38.62237421184374
0.68,-37.65985285549987
0.69,-35.28341661952751
0.7,-34.93623667424207
0.71,-33.198615585838354
0.72,-34.05073156633725
0.73,-33.35754551635211
0.74,-31.33096347979008
0.75,-31.20486794835552
0.76,-29.640523589455363
0.77,-28.232924280075217
0.78,-28.63894630258901
0.79,-29.78650836428535
0.8,-31.969397752786712
0.81,-35.31427238781313
0.82,-39.25563437695049
0.83,-44.15907794093009
0.84,-48.581802085699394
0.85,-48.301587796843094
0.86,-51.82341297795672
0.87,-55.34523815907035
0.88,-53.04254149678523
0.89,-46.61517008284237
0.9,-50.48447718534446
0.91,-35.407502867553205
0.92,-32.52296464906815
0.93,-32.85422214974098
0.94,-32.601774298564116
0.95,-34.717068874037864
0.96,-36.072854118370536
0.97,-35.88928381611958
0.98,-36.364411844
0.99,-36.32959861247398
1.0,-36.848580556616426
1.01,-39.552616797728874
1.02,-43.700723232210535
1.03,-48.653291292865354
1.04,-58.48770655866437
1.05,-56.32959861247397
1.06,-54.745973691521485
1.07,-55.66112350273499
1.08,-57.053842065562876
1.09,-56.15759517723562
1.1,-44.779762615729474
1.11,-40.12494825257229
1.12,-37.80274967996088
1.13,-40.34278762340235
1.14,-40.28781345483932
1.15,-42.38501175727962
1.16,-40.82467341766925
1.17,-42.07660457992975
1.18,-42.41996508267003
1.19,-44.11639535067637
1.2,-45.01264223900363
1.21,-46.012121738240396
1.22,-47.02194158350561
1.23,-45.64907649135128
1.24,-52.03272165152002
1.25,-56.68417395168261
1.26,-54.32218771012272
1.27,-52.69272685357852
1.28,-56.32959861247397
1.29,-60.48176482250891
1.3,-57.053842065562876
1.31,-59.42763781218885
1.32,-62.704773864962235
1.33,-68.72537377824186
1.34,-71.22414851040786
1.35,-68.03013165305762
1.36,-57.63962958760263
1.37,-54.05073156633725
1.38,-52.13929832162136
1.39,-35.39189479571978
1.4,-31.937908088188884
1.41,-22.30169323219558
1.42,-14.410876568858274
1.43,-8.586074885476332
1.44,-12.681305563782901
1.45,-13.003364999282148
1.46,-11.985185499583606
1.47,-10.962720333452687
1.48,-13.977544778672295
1.49,-15.340586249842989
1.5,-17.553202111949773
1.51,-12.896239434978245
1.52,-9.09957484324078
1.53,-8.175663459796034
1.54,-10.37701424519102
1.55,-13.73966775214079
1.56,-15.268029742805586
1.57,-15.36698007189463
1.58,-15.180841248215195
1.59,-13.388445191906783
1.6,-12.730524019843015
1.61,-12.82632312263491
1.62,-12.785797002681797
1.63,-12.099712379282083
1.64,-12.331205580662628
1.65,-11.5726940752417
1.66,-8.870622491918231
1.67,-8.53423139371439
1.68,-8.532815369968498
1.69,-10.939339728115655
1.7,-10.331611421547473
1.71,-9.972508825844598
1.72,-11.361304665499539
1.73,-12.045442019384998
1.74,-17.682152969515702
1.75,-14.30428291264728
1.76,-15.156523781026577
1.77,-19.75897847957195
1.78,-19.001488644912882
1.79,-22.504431449811758
1.8,-20.54644877424519
1.81,-19.71269476630175
1.82,-19.245907735801847
1.83,-18.886473157508124
1.84,-20.25772531704709
1.85,-19.211950011753267
1.86,-21.344150446505576
1.87,-20.30976138727055
1.88,-20.442626534552325
1.89,-23.897765095289625
1.9,-24.189081043778266
1.91,-24.544014187754634
1.92,-22.832375797717752
1.93,-24.214880734939047
1.94,-22.701155498053808
1.95,-22.593299522327644
1.96,-23.484266234420513
1.97,-21.86705543656015
1.98,-24.455018638315764
1.99,-30.83720623064922
2.0,-33.55722993448413
2.01,-33.99744373270901
2.02,-37.53921356010161
2.03,-39.01567741415257
2.04,-40.01804364598864
2.05,-41.97618855242873
2.06,-44.779762615729474
2.07,-43.700723232210535
2.08,-47.3864379856296
2.09,-46.50236473578853
2.1,-47.263231811533224
2.11,-48.44056499594966
2.12,-49.01983891465598
2.13,-51.22414851040786
2.14,-54.18539921951661
2.15,-55.34523815907035
2.16,-55.823481307178575
2.17,-56.505077098624085
2.18,-56.32959861247397
2.19,-56.505077098624085
2.2,-57.053842065562876
2.21,-57.844012891236346
2.22,-57.053842065562876
2.23,-59.18294868384861
2.24,-59.9387199016366
2.25,-59.67942035834925
2.26,-60.20599913279624
2.27,-59.42763781218885
2.28,-59.42763781218885
2.29,-60.20599913279624
2.3,-59.9387199016366
2.31,-60.20599913279624
2.32,-60.76657360480111
2.33,-59.67942035834925
2.34,-59.67942035834925
2.35,-60.20599913279624
2.36,-58.48770655866437
2.37,-50.39629480724336
2.38,-47.96357278607907
2.39,-53.787502645177824
2.4,-49.64052358945536
2.41,-49.481144996029855
2.42,-48.164799306236986
2.43,-49.64052358945536
