seconds_elapsed,dBFS
0.0,-15.915745038833421
0.01,-16.97489597679638
0.02,-16.84489306361345
0.03,-17.175537781497354
0.04,-16.378376299802216
0.05,-16.471462248007732
0.06,-16.576273313948487
0.07,-14.992648392995992
0.08,-18.359482901786805
0.09,-17.868865239058263
0.1,-18.527888078147477
0.11,-16.198566430741014
0.12,-18.44992726823704
0.13,-15.533387529506975
0.14,-17.53921356010161
0.15,-15.462353052051391
0.16,-17.068961111396014
0.17,-15.452925529811045
0.18,-17.971090171179156
0.19,-18.756865151943643
0.2,-16.31571229514689
0.21,-17.34960953193492
0.22,-18.61107181644536
0.23,-19.81328971276991
0.24,-17.696373818784355
0.25,-16.462637814008783
0.26,-16.724075790917176
0.27,-17.545205895377617
0.28,-16.928242681491238
0.29,-18.954359448232974
0.3,-17.99630932164604
0.31,-17.18703465893772
0.32,-15.251135601502481
0.33,-16.0023050233481
0.34,-15.797299253780468
0.35,-15.047929893202062
0.36,-15.503324305556774
0.37,-15.023981190418894
0.38,-16.889246638993672
0.39,-16.612091466306108
0.4,-15.62741055358247
0.41,-16.73135040577964
0.42,-16.448537340720474
0.43,-15.988931826498373
0.44,-16.782444021567954
0.45,-16.918942017107497
0.46,-16.46793139851274
0.47,-20.38424779585965
0.48,-18.276489108115463
0.49,-18.71104130713228
0.5,-16.448537340720474
0.51,-17.864718239868452
0.52,-15.690124830639643
0.53,-15.593827950319579
0.54,-15.106582993903006
0.55,-13.932608548243628
0.56,-14.28504201001138
0.57,-15.312726993335602
0.58,-16.727712336768104
0.59,-15.988931826498373
0.6,-15.89258706378748
0.61,-14.78805727555876
0.62,-15.010539006196588
0.63,-15.965578162548155
0.64,-15.704661887820478
0.65,-14.740185027769702
0.66,-13.97357045252743
0.67,-14.479396378794341
0.68,-14.834732193653926
0.69,-15.046431163211619
0.7,-16.17464305245918
0.71,-14.179972234249114
0.72,-15.15197182548276
0.73,-14.56404109255528
0.74,-17.225467861635146
0.75,-15.136815845999482
0.76,-13.887903598256592
0.77,-15.907467243831546
0.78,-18.189975547896896
0.79,-16.327861608241
0.8,-16.076227934547376
0.81,-15.737053831525724
0.82,-15.81365378626815
0.83,-14.878718899601026
0.84,-15.720842759932996
0.85,-16.3365501051524
0.86,-16.567341807106942
0.87,-15.539729909955309
0.88,-15.558784885724835
0.89,-17.30673541032293
0.9,-15.910777415227578
0.91,-16.765988273725704
0.92,-14.559789208826057
0.93,-16.20883951252764
0.94,-15.73380919583687
0.95,-15.784237763141608
0.96,-15.907467243831546
0.97,-15.711130619929602
0.98,-17.70044119869388
0.99,-13.71134977032449
1.0,-16.98425678127827
1.01,-15.889283816119574
1.02,-15.64665907035307
1.03,-16.578060717934232
1.04,-15.071944809866695
1.05,-13.17200512469091
1.06,-14.86256456473596
1.07,-17.233174951438116
1.08,-14.591018131506686
1.09,-14.696892582414964
1.1,-15.438803404625762
1.11,-15.534972690500162
1.12,-15.4294013943575
1.13,-17.38288509349918
1.14,-14.538560954744899
1.15,-16.32959861247398
1.16,-16.190014800988443
1.17,-18.276489108115463
1.18,-16.542382336949032
1.19,-15.566736813075133
1.2,-16.18317955401909
1.21,-18.189975547896896
1.22,-17.992101041700316
1.23,-17.384846455060654
1.24,-16.473228211140388
1.25,-17.573224918506863
1.26,-18.276489108115463
1.27,-16.798931004635225
1.28,-17.14495363145406
1.29,-16.57984848981212
1.3,-15.680446958175395
1.31,-15.831679410324282
1.32,-15.889283816119574
1.33,-15.549252172525742
1.34,-15.064433013464868
1.35,-14.376124623492029
1.36,-15.010539006196588
1.37,-14.958460711026717
1.38,-14.974794553949176
1.39,-13.582516385059321
1.4,-17.04252002663011
1.41,-13.926019843051673
1.42,-15.370090506892264
1.43,-15.377871470986975
1.44,-14.712741435782748
1.45,-15.595424181076265
1.46,-16.12529610818945
1.47,-15.278797693793532
1.48,-14.943638370163395
1.49,-15.088493664966904
1.5,-14.924407064462482
1.51,-15.035947287903749
1.52,-16.00899935095351
1.53,-17.308679649757586
1.54,-15.60500773074809
1.55,-14.258997343906488
1.56,-16.213980613380937
1.57,-15.395014167144243
1.58,-13.38473142160661
1.59,-14.452763274231419
1.6,-13.459310210962954
1.61,-14.668150366783275
1.62,-13.49809494645758
1.63,-14.163711593672215
1.64,-13.443097044464213
1.65,-15.023981190418894
1.66,-15.328193325125214
1.67,-16.655269134198992
1.68,-16.680555584774186
1.69,-16.905937795350752
1.7,-17.605357726069006
1.71,-16.97115447786363
1.72,-18.1556099654295
1.73,-19.996819714504753
1.74,-17.57723502459751
1.75,-17.93966885521275
1.76,-15.825120308907765
1.77,-18.21799804776913
1.78,-18.348517252510565
1.79,-18.179221690341397
1.8,-15.844812491092128
1.81,-16.032470211583863
1.82,-14.989670203480081
1.83,-16.42567278053039
1.84,-15.409065218423157
1.85,-15.034450623880392
1.86,-15.33593683070901
1.87,-13.924702701546675
1.88,-15.132274204255191
1.89,-15.732187332394929
1.9,-14.486418684648633
1.91,-14.934757091641085
1.92,-16.585214014313884
1.93,-17.365252741274567
1.94,-15.821842614665826
1.95,-16.848580556616433
1.96,-16.032470211583863
1.97,-16.256941872385816
1.98,-14.753214950497007
1.99,-15.132274204255191
2.0,-14.548461017278282
2.01,-16.408125522768476
2.02,-15.831679410324282
2.03,-16.399365169390407
2.04,-17.164056101520032
2.05,-16.935690390104515
2.06,-16.637252347739015
2.07,-15.777714375949463
2.08,-15.238869559374955
2.09,-15.108092139878144
2.1,-17.89378889931024
2.11,-17.072744988449134
2.12,-17.513294439457955
2.13,-15.643448020542722
2.14,-18.557024104769457
2.15,-15.47493902003956
2.16,-18.752271873339478
2.17,-16.482063416497923
2.18,-16.24489128528463
2.19,-15.815290934447166
2.2,-16.965545249616987
2.21,-17.70044119869388
2.22,-15.857965459175187
2.23,-16.232857393707786
2.24,-15.725702905338956
2.25,-15.990602350522769
2.26,-17.724885557148284
2.27,-16.120207216546138
2.28,-14.3733504651682
2.29,-16.756859644784495
2.3,-14.753214950497007
2.31,-16.17805664638721
2.32,-17.873014219141005
2.33,-17.33789558594094
2.34,-18.24394545956142
2.35,-17.36133929690196
2.36,-17.033096254806207
2.37,-22.73740717687886
2.38,-19.373211666569198
2.39,-18.581754233037042
2.4,-18.25477980004321
2.41,-16.965545249616987
2.42,-16.0023050233481
2.43,-17.055730507713605
2.44,-16.948739266357716
2.45,-16.050956198249903
2.46,-17.565210256219117
2.47,-18.48993399543464
2.48,-18.89347132329939
2.49,-15.927347221164638
2.5,-17.57723502459751
2.51,-14.8993225105722
2.52,-17.688244768459548
2.53,-16.666097171717723
2.54,-19.17330305305385
2.55,-17.663903165500084
2.56,-16.57091330783081
2.57,-17.114476794438524
2.58,-16.281093318915953
2.59,-16.567341807106942
2.6,-18.33537672105109
2.61,-18.237451336165023
2.62,-17.455752070353647
2.63,-18.96141254617478
2.64,-15.648265040522766
2.65,-16.94500901522112
2.66,-16.24833260452064
2.67,-13.790095835117398
2.68,-16.448537340720474
2.69,-16.161002076529382
2.7,-17.625501263942354
2.71,-17.879241407581752
2.72,-18.14918152825086
2.73,-16.542382336949032
2.74,-16.40462032109134
2.75,-16.21055287472632
2.76,-17.61340953627532
2.77,-17.883395348186063
2.78,-16.5192697319094
2.79,-17.51528547434073
2.8,-15.812016946606644
2.81,-16.89295301397548
2.82,-16.956204578066142
2.83,-15.549252172525742
2.84,-16.709544813645987
2.85,-17.943851802386327
2.86,-18.304792571007795
2.87,-16.39236324266051
2.88,-15.621003848783015
2.89,-16.89295301397548
2.9,-17.59731337296975
2.91,-16.0796030617078
2.92,-16.014023484693162
2.93,-16.450298648571604
2.94,-19.390492112077503
2.95,-18.104315192506583
2.96,-15.339036166919618
2.97,-17.55720298242036
2.98,-17.449821110998545
2.99,-15.579475058640423
3.0,-15.784237763141608
3.01,-16.549506298503246
3.02,-15.905812631075218
3.03,-16.275912352679395
3.04,-15.617802267604832
3.05,-15.915745038833421
3.06,-14.606674798755957
3.07,-15.258810683417497
3.08,-15.952261349455846
3.09,-18.973180451562524
3.1,-16.190014800988443
3.11,-17.422196722667906
3.12,-15.065934853122464
3.13,-18.49884945902269
3.14,-16.889246638993672
3.15,-14.571132193968042
3.16,-15.756547139811609
3.17,-16.881838630324527
3.18,-15.876083373399432
3.19,-15.584256721099782
3.2,-16.943144490229937
3.21,-15.64665907035307
3.22,-16.366156173685166
3.23,-14.561206272152155
3.24,-15.280337062807408
3.25,-15.932324333117114
