seconds_elapsed,dBFS
0.0,-11.468837638748091
0.01,-14.32080910689182
0.02,-19.36828070439415
0.03,-21.484525214342106
0.04,-21.926412544354843
0.05,-21.620814547444354
0.06,-22.88394611669557
0.07,-27.010051246757524
0.08,-25.679606890580725
0.09,-28.739862338128503
0.1,-31.79244720669951
0.11,-32.635769996122
0.12,-33.918119988356985
0.13,-34.10434833929267
0.14,-31.05214507516951
0.15,-27.644609564544467
0.16,-23.017978792114917
0.17,-22.93582445134982
0.18,-22.895036847682817
0.19,-24.010597579345962
0.2,-24.853606968159166
0.21,-27.117654834521954
0.22,-31.99045446525204
0.23,-32.467106645384746
0.24,-34.46116490922928
0.25,-32.50057832317607
0.26,-29.24742982952596
0.27,-24.086641845944246
0.28,-25.705131121813444
0.29,-23.20763457221734
0.3,-22.564762692919746
0.31,-25.503007059140103
0.32,-27.708759705756272
0.33,-29.632484820128152
0.34,-34.267213541559705
0.35,-34.89195846635147
0.36,-29.893488935323198
0.37,-29.36350135151077
0.38,-23.219146687405626
0.39,-28.461604706611944
0.4,-27.41129033345151
0.41,-27.448702694112455
0.42,-31.099583148508376
0.43,-30.47561855159539
0.44,-32.075195524117134
0.45,-33.27160668459903
0.46,-34.23985638622608
0.47,-35.08548243607973
0.48,-38.57725260575926
0.49,-42.280987883563476
0.5,-41.61762061851039
0.51,-36.32959861247398
0.52,-34.65954621586863
0.53,-34.65954621586863
0.54,-34.731509259139564
0.55,-34.877249081569246
0.56,-37.80274967996088
0.57,-36.26038797028385
0.58,-35.97224423320387
0.59,-35.36076254146589
0.6,-36.666097171717716
0.61,-35.11564180540175
0.62,-34.44716669566275
0.63,-35.23733752133622
0.64,-35.677223395459585
0.65,-33.41945518428073
0.66,-31.91697822351214
0.67,-34.489229197418034
0.68,-36.123599479677736
0.69,-37.47951648911237
0.7,-36.364411844
0.71,-37.98999766606634
0.72,-36.68417395168262
0.73,-37.459708294351934
0.74,-37.053842065562876
0.75,-36.225988362398375
0.76,-37.400553312212516
0.77,-37.499369959785916
0.78,-37.053842065562876
0.79,-35.613002107417415
0.8,-36.86704154048001
0.81,-36.904081637711876
0.82,-38.57725260575926
0.83,-37.619453295979724
0.84,-37.20623000296671
0.85,-38.39907426268287
0.86,-37.47951648911237
0.87,-37.844012891236346
0.88,-38.851566655184754
0.89,-38.20289777637217
0.9,-38.851566655184754
0.91,-38.55477939881613
0.92,-37.499369959785916
0.93,-38.074532539047524
0.94,-39.552616797728874
0.95,-37.80274967996088
0.96,-38.5100066726802
0.97,-39.47741382026274
0.98,-38.03216226167297
0.99,-37.68012331893091
1.0,-40.651527027019284
1.01,-39.27999873973685
1.02,-39.378145429631736
1.03,-37.341798479575715
1.04,-37.782191351693506
1.05,-35.905812631075214
1.06,-36.81177588443812
1.07,-36.86704154048001
1.08,-35.407502867553205
1.09,-35.48596672215866
1.1,-37.016159188071846
1.11,-36.68417395168262
1.12,-38.992042325724
1.13,-36.10665139695803
1.14,-37.400553312212516
1.15,-37.225467861635146
1.16,-37.38092417473297
1.17,-36.77512650669703
1.18,-37.499369959785916
1.19,-36.34698778672656
1.2,-37.619453295979724
1.21,-36.848580556616426
1.22,-38.55477939881613
1.23,-36.97863908809674
1.24,-36.34698778672656
1.25,-37.341798479575715
1.26,-36.94128036539435
1.27,-37.7616815673397
1.28,-36.885541844892686
1.29,-38.159898234900986
1.3,-36.95993964139527
1.31,-38.24611124679071
1.32,-37.28343841923147
1.33,-35.145906259846555
1.34,-36.97863908809674
1.35,-34.29465713354666
1.36,-39.1108661984721
1.37,-34.951046378832544
1.38,-38.62237421184374
1.39,-39.231338166316874
1.4,-38.37705678666515
1.41,-39.25563437695049
1.42,-39.06314141006486
1.43,-41.36583807234997
1.44,-39.57782984776375
1.45,-40.708859840051346
1.46,-43.46054508275023
1.47,-42.3501985257536
1.48,-42.59687322722811
1.49,-41.9098837293992
1.5,-41.876920161797734
1.51,-43.86461280451597
1.52,-41.5539874427866
1.53,-41.876920161797734
1.54,-42.52567701190371
1.55,-38.898139901556405
1.56,-42.009531739778
1.57,-42.455059634001046
1.58,-42.07660457992975
1.59,-42.81403177899228
1.6,-41.58574575837924
1.61,-42.49029655712677
1.62,-41.490817057890006
1.63,-42.99923900137636
1.64,-42.99923900137636
1.65,-40.53798436918547
1.66,-39.231338166316874
1.67,-40.23318503805073
1.68,-41.522344822589105
1.69,-41.459403317905384
1.7,-41.61762061851039
