seconds_elapsed,dBFS
0.0,-37.053842065562876
0.01,-37.53921356010161
0.02,-38.289540785459394
0.03,-39.231338166316874
0.04,-39.086971026213234
0.05,-40.34278762340235
0.06,-41.21210149902416
0.07,-39.402856369877874
0.08,-40.09809849506211
0.09,-39.502409203376885
0.1,-37.782191351693506
0.11,-38.851566655184754
0.12,-32.18229786309254
0.13,-26.232029424269662
0.14,-26.496762742922257
0.15,-28.77618982578752
0.16,-30.573564013869458
0.17,-34.15829813781729
0.18,-29.608413055146997
0.19,-21.592111379505532
0.2,-21.465676983499954
0.21,-16.588792872888646
0.22,-17.353517693817754
0.23,-18.256948290789225
0.24,-17.86057321968095
0.25,-17.269877308532873
0.26,-17.406450714026533
0.27,-16.77695530755399
0.28,-18.129924713677102
0.29,-17.782191351693513
0.3,-22.93210856267793
0.31,-19.88100613688684
0.32,-20.28781345483933
0.33,-21.076027337925254
0.34,-26.25378495133036
0.35,-29.552503687427517
0.36,-32.24719895935549
0.37,-31.79244720669951
0.38,-26.944943762341737
0.39,-24.665623133101526
0.4,-19.738377486486126
0.41,-19.442540686256113
0.42,-21.550817988404386
0.43,-23.676404346595707
0.44,-29.095041892122122
0.45,-30.19680979198875
0.46,-25.649076491351277
0.47,-22.586156520577987
0.48,-18.708756448605868
0.49,-18.79369908845997
0.5,-19.746097134132228
0.51,-17.686213694058136
0.52,-19.6360991232191
0.53,-18.826057416179903
0.54,-19.83667031810694
0.55,-19.445026986441423
0.56,-19.472423363568108
0.57,-18.372659980882545
0.58,-21.09404786231042
0.59,-21.085032926744493
0.6,-21.62720593083654
0.61,-23.90191804284092
0.62,-24.297089021395088
0.63,-25.9382885948638
0.64,-27.779876430558268
0.65,-32.579184195744716
0.66,-20.409219225530997
0.67,-21.643204995293843
0.68,-30.396294807243358
0.69,-32.41160556428931
0.7,-34.83326979957049
0.71,-42.96188027867397
0.72,-43.50011640239199
0.73,-43.57980402222377
0.74,-42.668657847696984
0.75,-43.61992367617574
0.76,-45.54807663661845
0.77,-45.01264223900363
0.78,-44.03165429181129
0.79,-45.90683693839325
0.8,-45.75126460692089
0.81,-45.70002027162887
0.82,-42.280987883563476
0.83,-42.3501985257536
0.84,-42.63269137958573
0.85,-43.700723232210535
0.86,-41.5539874427866
0.87,-42.77745955806411
0.88,-42.280987883563476
0.89,-41.522344822589105
0.9,-40.97164629211217
0.91,-39.06314141006486
0.92,-31.62913542256951
0.93,-27.779876430558268
0.94,-26.592491506935115
0.95,-21.791795797637548
0.96,-21.8440812204582
0.97,-19.93871990163661
0.98,-18.43663253660364
0.99,-20.010078593034272
1.0,-18.819113333487806
1.01,-19.420195952840512
1.02,-20.04464669783558
1.03,-18.136338909393615
1.04,-19.73580579449456
1.05,-19.275120396649864
1.06,-23.429017318051134
1.07,-21.37514937176381
1.08,-20.141098036533297
1.09,-20.19785992591792
1.1,-21.304016532807136
1.11,-19.067902106066782
1.12,-19.23376473139427
1.13,-19.699881827500832
1.14,-20.27686025081777
1.15,-24.023225480244403
1.16,-22.7446757041968
1.17,-29.102598125428653
1.18,-30.449096730567526
1.19,-32.41160556428931
1.2,-40.708859840051346
1.21,-40.94205209095121
1.22,-37.16788164205228
1.23,-38.267798872635105
1.24,-32.389504052013066
1.25,-24.900080538835105
1.26,-22.40946430810307
1.27,-19.267808015436668
1.28,-18.429992793914607
1.29,-19.93345732065886
1.3,-19.728095283878975
1.31,-21.187754210095328
1.32,-21.8440812204582
1.33,-25.227709640907598
1.34,-32.18229786309254
1.35,-33.865637111834005
1.36,-29.68891307192362
1.37,-29.65662348217996
1.38,-29.426046281619897
1.39,-31.399626996557963
1.4,-32.66989927240235
1.41,-35.02547605138774
1.42,-36.005651542225195
1.43,-33.852565793132264
1.44,-24.615873043424045
1.45,-24.9280845060419
1.46,-22.596873227228112
1.47,-27.33694560307249
1.48,-27.87780181544434
1.49,-34.98074175694637
1.5,-36.277638998075815
1.51,-34.503295418529525
1.52,-30.326387873446933
1.53,-28.66047268197892
1.54,-31.844118326588827
1.55,-38.96847137601314
1.56,-42.009531739778
1.57,-38.69049918568197
1.58,-41.81136596657302
