seconds_elapsed,dBFS
0.0,-8.112704785306374
0.01,-8.977262769780468
0.02,-8.980989180081764
0.03,-7.824785030470011
0.04,-7.250395970739848
0.05,-7.563182728744997
0.06,-8.205610139207725
0.07,-8.407007106282084
0.08,-8.263069376122331
0.09,-8.181100636585828
0.1,-9.12075995042123
0.11,-9.028079441904703
0.12,-10.287311073349958
0.13,-10.504886395498225
0.14,-10.944010817036009
0.15,-11.732891281328673
0.16,-16.16611493234545
0.17,-16.778784493543284
0.18,-16.98800392958404
0.19,-18.973180451562524
0.2,-21.31326175947889
0.21,-18.994402942571817
0.22,-14.582490011392956
0.23,-12.274384864609981
0.24,-15.133787820994764
0.25,-9.167092906941011
0.26,-13.595187269345846
0.27,-12.042260180541893
0.28,-14.441573720815244
0.29,-12.602905347415
0.3,-14.482204619891569
0.31,-10.798524439987728
0.32,-13.008104265332374
0.33,-12.160771483702632
0.34,-15.511225597503495
0.35,-14.349805824450435
0.36,-12.643721507494877
0.37,-10.632865859626053
0.38,-11.118631159734393
0.39,-9.834897846753611
0.4,-9.26127679140686
0.41,-9.228234485496966
0.42,-12.903262119342532
0.43,-11.12339969657558
0.44,-14.029377186464922
0.45,-14.286414947600276
0.46,-13.646056460938656
0.47,-13.605337302213483
0.48,-12.57805623137224
0.49,-11.929530089335273
0.5,-10.872353100695856
0.51,-13.394638339861185
0.52,-13.381019238500858
0.53,-12.85072986678645
0.54,-16.588792872888646
0.55,-15.393454341399178
0.56,-12.668759466661186
0.57,-9.910894703102077
0.58,-11.255086707456023
0.59,-14.8993225105722
0.6,-16.140580696500102
0.61,-12.98088873163326
0.62,-13.606606890703365
0.63,-11.972553007276117
0.64,-13.281385339882426
0.65,-15.01203155532614
0.66,-15.54290283771226
0.67,-14.615226709165931
0.68,-12.655093451562415
0.69,-11.138676630733537
0.7,-10.23031457572019
0.71,-10.916953402223575
0.72,-13.361247678646448
0.73,-13.652436108407286
0.74,-13.577453202381378
0.75,-10.797605541321115
0.76,-11.457925092510159
0.77,-10.85938770166484
0.78,-12.097577729569187
0.79,-10.37701424519102
0.8,-9.75466945501455
0.81,-9.59720235432521
0.82,-8.416082907075262
0.83,-9.00936226524825
0.84,-9.96916713507026
0.85,-9.385340884376726
0.86,-9.867032749971553
0.87,-8.68565440492491
0.88,-9.170901672464906
0.89,-8.285058981887456
0.9,-7.351145802537359
0.91,-8.024788134194498
0.92,-7.559384511511643
0.93,-8.369408807858669
0.94,-7.24062899844014
0.95,-8.575396824501869
0.96,-8.221988314339653
0.97,-7.549264044723724
0.98,-7.722936544873338
0.99,-7.480630393872605
1.0,-7.416269347424517
1.01,-7.404448846146483
1.02,-7.430599931477628
1.03,-7.439334485793122
1.04,-7.487532173844854
1.05,-7.585372159982343
1.06,-7.484394321262747
1.07,-7.619081582500887
1.08,-8.095184753719272
1.09,-8.116752893025163
1.1,-7.081039648278419
1.11,-7.121866466749825
1.12,-8.713800305992494
1.13,-8.00411299264926
1.14,-7.760423142162379
1.15,-7.829353974965102
1.16,-7.873207322008428
1.17,-7.21382631611082
1.18,-7.668289932644383
1.19,-7.495067648266067
1.2,-8.362463984878904
1.21,-7.897520075077361
1.22,-7.802627136723829
1.23,-7.5454719077335355
1.24,-7.882398740472549
1.25,-7.797421719150658
1.26,-7.618444343247598
1.27,-9.365838676628178
1.28,-9.337832201224723
1.29,-8.103940352126298
1.3,-10.73625973150487
1.31,-10.253586137170485
1.32,-11.807916292957504
1.33,-10.907642768211614
1.34,-11.068244967894106
1.35,-13.446835859202222
1.36,-10.689852374601953
1.37,-9.742454729842985
1.38,-9.412717748621596
1.39,-8.160728749431382
1.4,-7.843075246288075
1.41,-7.257728414063567
1.42,-7.484394321262747
1.43,-7.560017432387651
1.44,-7.2467320689821735
1.45,-7.209569868304934
1.46,-7.170145002149843
1.47,-7.1895318043963155
1.48,-7.176804335880377
1.49,-7.158050187638202
1.5,-7.44183168688502
1.51,-7.063686413233928
1.52,-7.115249104098577
1.53,-7.055918616802841
1.54,-7.028488213437561
1.55,-7.079841759759341
1.56,-7.785071340783739
1.57,-7.468722039507176
1.58,-7.603800728881186
1.59,-7.768199230092726
1.6,-7.966225371116657
1.61,-7.276699258874105
1.62,-7.632474417666478
1.63,-7.50135220800631
1.64,-7.962246797275938
1.65,-7.998785451494389
1.66,-7.471854234427009
1.67,-7.395128221109951
1.68,-8.477066282993203
1.69,-7.5733194355270665
1.7,-8.30089846787658
1.71,-8.490441647562205
1.72,-8.750018729073805
1.73,-8.365935702275161
1.74,-7.758480207440472
1.75,-7.778578188326116
1.76,-7.713912243138906
1.77,-8.755101381462637
1.78,-8.346511933309651
1.79,-8.330589124747757
1.8,-8.816326333256274
1.81,-7.734553012425822
1.82,-8.71669222865549
1.83,-9.77751633618767
1.84,-10.277785646342899
1.85,-10.688944900366362
1.86,-11.106245201918465
1.87,-12.319154776431722
1.88,-13.684404821853091
1.89,-14.212585124771111
1.9,-12.454865943081046
1.91,-10.081819625062145
1.92,-9.301403573965203
1.93,-8.629634747226046
1.94,-10.026992268801946
1.95,-14.1070378855715
1.96,-15.370090506892264
1.97,-16.281093318915953
1.98,-13.94712131626164
1.99,-12.044381276923147
2.0,-10.99086038929052
2.01,-10.050567788303155
2.02,-8.626056036105393
2.03,-7.919921684073158
2.04,-8.174304697237446
2.05,-8.513015238471075
2.06,-9.775882421653494
2.07,-6.414827667691902
2.08,-6.322673214132274
2.09,-5.786800299368881
2.1,-6.2244278450551676
2.11,-7.382096126184993
2.12,-7.33077883700723
2.13,-7.839806310327596
2.14,-9.836542901614221
2.15,-10.441155950214307
2.16,-10.218272342167902
2.17,-8.895683630119802
2.18,-12.463766560883654
2.19,-12.479364622403956
2.2,-14.869903719915374
2.21,-11.680858428062887
2.22,-9.749781503485407
2.23,-12.821681984593381
2.24,-14.006745535398107
2.25,-12.414925647009758
2.26,-12.169375634617275
2.27,-13.813469449683444
2.28,-14.682509585854602
2.29,-14.452763274231419
2.3,-11.345631464651724
2.31,-9.392372412239267
2.32,-11.562653743944473
2.33,-11.78317896149709
2.34,-12.963185302096674
2.35,-13.598992141847981
2.36,-13.740957129362494
2.37,-11.996781445965013
2.38,-12.05287084596851
2.39,-12.62669145896098
2.4,-14.090913085820349
2.41,-15.767938472117212
2.42,-14.327704312174195
