seconds_elapsed,dBFS
0.0,-19.338753572373648
0.01,-20.594570169562758
0.02,-22.277541785665438
0.03,-22.887641453759628
0.04,-22.046357690496915
0.05,-22.110336232568464
0.06,-21.001341670225994
0.07,-21.5223448225891
0.08,-21.7820272234442
0.09,-22.13741619102101
0.1,-23.82746710440463
0.11,-19.659006977301107
0.12,-15.047929893202062
0.13,-16.101573413979104
0.14,-15.882681087076376
0.15,-16.111732350386372
0.16,-16.089736319288843
0.17,-17.657828408540922
0.18,-17.298962801627017
0.19,-17.067069790835887
0.2,-17.686213694058136
0.21,-16.786105092070233
0.22,-18.224477637504958
0.23,-20.625850211886743
0.24,-19.17571345674299
0.25,-18.98968235026102
0.26,-20.010078593034272
0.27,-22.12386565841616
0.28,-18.211523288141642
0.29,-19.482407145860485
0.3,-19.60311629833895
0.31,-18.25477980004321
0.32,-17.18703465893772
0.33,-17.75553806386204
0.34,-17.473569286115172
0.35,-18.22663857535366
0.36,-18.738506593694495
0.37,-18.907484592762277
0.38,-19.547582958330917
0.39,-20.35106384092995
0.4,-19.277559225709282
0.41,-18.181371396982257
0.42,-19.537524023057244
0.43,-19.49240241697276
0.44,-20.71749249569459
0.45,-23.261488799183955
0.46,-22.127251310237654
0.47,-21.684941008064023
0.48,-23.273072561253887
0.49,-23.619923676175738
0.5,-21.8440812204582
0.51,-20.21686328635528
0.52,-17.380924174732968
0.53,-19.575305246775756
0.54,-17.551202367578547
0.55,-18.100054270351933
0.56,-17.979488421423046
0.57,-17.293137906155742
0.58,-17.20815187257032
0.59,-16.3836187642837
0.6,-18.20289777637217
0.61,-16.196855431102257
0.62,-15.876083373399432
0.63,-14.87577951221661
0.64,-15.884331298848807
0.65,-15.763054643122608
0.66,-16.87258749552938
0.67,-15.957252762085147
0.68,-17.084106520007687
0.69,-17.31840738023798
0.7,-14.958460711026717
0.71,-16.704101958342203
0.72,-16.064425306803653
0.73,-14.1003155807409
0.74,-16.123599479677743
0.75,-16.397614158470645
0.76,-16.658876980414135
0.77,-16.262111532078983
0.78,-16.798931004635225
0.79,-16.88739404441737
0.8,-16.57091330783081
0.81,-16.294924356293972
0.82,-16.20541380172083
0.83,-17.93757813679176
0.84,-17.19278880928931
0.85,-17.902112704104493
0.86,-16.48736885673499
0.87,-15.196074310060759
0.88,-16.826479044340193
0.89,-17.563207745630866
0.9,-17.298962801627017
0.91,-18.025824509010853
