seconds_elapsed,dBFS
0.0,-18.114976651606366
0.01,-18.361677693873805
0.02,-19.646272933621578
0.03,-19.841874566098504
0.04,-13.757736474099884
0.05,-22.42346816383793
0.06,-23.409370420649193
0.07,-23.872889022043573
0.08,-25.61359279597603
0.09,-27.85812821781927
0.1,-25.715361852840843
0.11,-17.231247537774806
0.12,-17.345703127714337
0.13,-16.839364757727413
0.14,-15.629012968426618
0.15,-16.22255588274965
0.16,-17.773981625526496
0.17,-19.05125107331677
0.18,-24.9749593615126
0.19,-24.310140698739016
0.2,-28.349977279311354
0.21,-28.66047268197892
0.22,-27.220519236901417
0.23,-29.61642956668795
0.24,-28.89346944232566
0.25,-27.29386990198818
0.26,-17.511303860868274
0.27,-19.40038210988733
0.28,-25.136253044712827
0.29,-22.93954193038712
0.3,-24.830463097183845
0.31,-19.674312513663352
0.32,-18.930890399536782
0.33,-14.965881377550748
0.34,-20.60024907766833
0.35,-21.010270116759706
0.36,-25.689807584222976
0.37,-28.617473140507737
0.38,-27.983486947583472
0.39,-29.117730341169
0.4,-26.446506732105128
0.41,-21.662442853962276
0.42,-20.222300463145075
0.43,-16.855960242394307
0.44,-17.987894799662637
0.45,-17.619453295979724
0.46,-18.487706558664375
0.47,-21.75278724567455
0.48,-20.760784941049323
0.49,-21.013248306275617
0.5,-18.348517252510565
0.51,-15.885981824200675
0.52,-15.01203155532614
0.53,-14.606674798755957
0.54,-14.30565889516708
0.55,-14.527260397433784
0.56,-15.61620191944037
0.57,-16.381870924527714
0.58,-15.24346729550599
0.59,-14.714183675659546
0.6,-14.207141132340897
0.61,-14.001428999875996
0.62,-12.509525931114434
0.63,-15.082472250765226
0.64,-14.60952450010634
0.65,-16.184887861554948
0.66,-17.01052083043272
0.67,-17.008642190944904
0.68,-19.85229242598376
0.69,-23.68450307877971
0.7,-26.435378108368724
0.71,-25.912070978707142
0.72,-25.518004282384897
0.73,-25.169835647975717
0.74,-25.97512671579927
0.75,-23.472397560784152
0.76,-18.368265399641288
0.77,-16.15759517723563
0.78,-14.080179825711195
0.79,-13.01759056212575
0.8,-13.455566023978589
0.81,-13.063985207235858
0.82,-13.224092757871986
0.83,-13.51315501028777
0.84,-13.990805681458864
0.85,-15.659515153570487
0.86,-16.40111653337216
0.87,-16.637252347739015
0.88,-16.032470211583863
0.89,-16.655269134198992
0.9,-15.774454518662912
0.91,-12.954936033792404
0.92,-15.512806718767179
0.93,-12.337785800400116
0.94,-12.996260945201783
0.95,-15.015017423227
0.96,-14.976280972989006
0.97,-16.529929446445998
0.98,-19.565214174321465
0.99,-24.040091290666076
1.0,-24.98436476539649
1.01,-26.297460164097394
1.02,-27.663804908573468
1.03,-20.38147761894634
1.04,-17.567213228587747
1.05,-18.70418853388683
1.06,-17.547204259504245
1.07,-17.96270003322848
1.08,-18.802932030746376
1.09,-22.511507531374647
1.1,-22.006191655276904
1.11,-25.007922929114063
1.12,-21.525503902324985
1.13,-21.992844146483492
1.14,-24.371309188423417
1.15,-27.70232332929423
1.16,-28.32920591117081
1.17,-30.29164426856982
1.18,-31.224148510407858
1.19,-31.03324215228325
1.2,-30.83720623064922
1.21,-24.24075728725952
1.22,-17.93757813679176
1.23,-17.22161687968864
1.24,-18.040619798502895
1.25,-19.66410582666271
1.26,-20.889035305976883
1.27,-22.668657847696988
1.28,-25.10757093949286
1.29,-25.705131121813444
1.3,-26.11869840834174
1.31,-18.581754233037042
1.32,-11.454951321421003
1.33,-12.268940872179769
1.34,-11.875269189522315
1.35,-12.030603400165038
1.36,-12.43376345803549
1.37,-13.360013449210902
1.38,-12.422677445505588
1.39,-12.903262119342532
1.4,-14.002757828707175
1.41,-13.439359838395204
1.42,-14.22484659755353
1.43,-15.277258597548153
1.44,-14.988181491566577
1.45,-15.356102312629393
1.46,-15.258810683417497
1.47,-17.171708868216015
1.48,-17.443894198698924
