seconds_elapsed,dBFS
0.0,-1.7544091091164935
0.01,-2.503370534601099
0.02,-3.227598613059804
0.03,-4.108734709605297
0.04,-2.361323586048833
0.05,-2.860701575193284
0.06,-2.7687050910323396
0.07,-2.396880112929753
0.08,-2.988762351968627
0.09,-3.010478023394847
0.1,-2.4438139426576044
0.11,-3.2022674689467423
0.12,-2.947353819065447
0.13,-3.1583056072427764
0.14,-2.4765371482548284
0.15,-3.1480162994594103
0.16,-4.043890615493613
0.17,-3.2026507235031647
0.18,-2.4585769005557125
0.19,-2.5836578570940776
0.2,-2.051391529894875
0.21,-3.1586869268924223
0.22,-3.8369447940645696
0.23,-2.4955944466707516
0.24,-2.681281378926812
0.25,-3.5048770983939144
0.26,-2.3912929842411277
0.27,-2.4575215710315343
0.28,-2.7446757041968004
0.29,-3.3207281628997247
0.3,-3.4003477492114254
0.31,-3.761002554440367
0.32,-4.662448714423833
0.33,-3.5918204727979983
0.34,-3.7055951906282987
0.35,-2.5850855767830234
0.36,-2.4518953114036557
0.37,-2.5498183049474394
0.38,-2.795360706006867
0.39,-3.0827541971478167
0.4,-3.8093646374469743
0.41,-3.3506949691605326
0.42,-3.45344135144941
0.43,-2.6108247425887865
0.44,-2.3134482094183753
0.45,-3.060857302036984
0.46,-2.5929422326939755
0.47,-3.5786032909860337
0.48,-3.5259347740471805
0.49,-3.5235483220755603
0.5,-2.6118988648480004
0.51,-2.196949595008089
0.52,-2.494181360136043
0.53,-2.8898594108652875
0.54,-2.7116529175767874
0.55,-2.696092315375865
0.56,-3.0303692391576242
0.57,-3.145731440932999
0.58,-2.9730710334597594
0.59,-4.536860891374986
0.6,-4.9416521907646835
0.61,-4.073497786479566
0.62,-3.1324150653278755
0.63,-2.2678999788608363
0.64,-3.867508583718679
0.65,-2.7424945072729208
0.66,-2.8732385211503497
0.67,-2.7909733390045983
0.68,-1.7004020631968244
0.69,-1.9901771042769036
0.7,-2.57367038484809
0.71,-4.380960665351486
0.72,-5.214171177363626
0.73,-6.715665325384398
0.74,-7.606982023879965
0.75,-9.680021462006689
0.76,-7.394507201580993
0.77,-4.008074200747457
0.78,-2.954427777454829
0.79,-3.3343366232286478
0.8,-3.148397167655216
0.81,-4.523910538110743
0.82,-4.1083093164745685
0.83,-5.707176304219424
0.84,-3.3678653918639103
0.85,-3.3792008478526707
0.86,-2.9050306280122107
0.87,-2.0995278446277483
0.88,-1.7133073321009538
0.89,-1.5125589707142875
0.9,-2.886163130270733
0.91,-3.077841470383909
0.92,-3.9085668918025087
0.93,-6.1444725804827005
0.94,-5.468611399683315
0.95,-5.374104504717531
0.96,-3.2750046910890305
0.97,-3.2750046910890305
0.98,-3.2958991256327863
0.99,-2.678033575372381
1.0,-3.3788097236991406
1.01,-3.5211625256025676
1.02,-4.299697788388138
1.03,-4.352038348324426
1.04,-5.884366435566123
1.05,-8.6432473126487
1.06,-8.097877844086732
1.07,-11.838937360352267
1.08,-13.387207092034675
1.09,-16.74956364297956
1.1,-18.96847137601315
1.11,-20.868504745188726
1.12,-9.111674290975568
1.13,-1.9118655272489358
1.14,-1.9075722032591325
1.15,-2.0655018201798083
1.16,-1.744358434107668
1.17,-2.105943702753001
1.18,-2.5051387986160947
1.19,-2.049713259261103
1.2,-2.381524148464228
1.21,-1.9095534737143618
1.22,-2.161860549475411
1.23,-2.1707046125300717
1.24,-2.3141401743371293
1.25,-2.2013884010600284
1.26,-2.0101999108339896
1.27,-2.8522309492521574
1.28,-2.538804392896776
1.29,-2.1887608309450126
1.3,-2.201729941654928
1.31,-2.2000223729628408
1.32,-1.8841614207732602
1.33,-2.26273912451436
1.34,-1.8756042176034065
1.35,-1.8362183143949333
1.36,-2.405617202645938
1.37,-3.3257802453353853
1.38,-3.6336066817248676
1.39,-3.0194797234540722
1.4,-3.1442085357589273
1.41,-3.6861237317628737
1.42,-2.5061999298419044
1.43,-2.381175464590391
1.44,-2.664694238243684
1.45,-4.199391726130247
1.46,-4.389304671004826
1.47,-4.628961341840064
1.48,-4.861026050086268
1.49,-3.241446801421458
1.5,-5.108525485308215
1.51,-6.616305567468885
1.52,-3.270368301331831
1.53,-8.226771105214988
1.54,-12.13715392224297
1.55,-11.714491131634269
1.56,-8.77255023233889
1.57,-5.772362486019942
1.58,-5.082789497181893
1.59,-4.75818959684574
1.6,-4.782980207778889
1.61,-5.87132886348955
1.62,-5.675529965071446
1.63,-4.821684570245852
1.64,-4.199391726130247
1.65,-4.383594748658426
1.66,-3.0933449017287575
1.67,-2.07896153640988
1.68,-1.7307599162222334
1.69,-2.0739116982966324
1.7,-2.4241689496415346
1.71,-2.6280266586219927
1.72,-2.4108636781138424
1.73,-2.751950319059268
1.74,-4.049381464726766
1.75,-4.619932818977301
1.76,-7.3338616727585135
1.77,-7.374038426581561
1.78,-9.7270073627235
1.79,-6.429263437480462
1.8,-3.256088325814935
1.81,-1.8084276287922638
1.82,-3.0071047895505303
1.83,-3.823349593240505
1.84,-3.048046808772489
1.85,-4.8851819251684585
1.86,-5.266021602824215
1.87,-6.387133824444062
1.88,-3.193840144270774
1.89,-2.713464100442592
1.9,-2.803409972464863
1.91,-3.329668463153153
1.92,-2.8529671975796225
1.93,-2.50124909284878
1.94,-2.9387983072850816
1.95,-2.8276026246728607
1.96,-2.0557565517427303
1.97,-3.7430379365823603
