seconds_elapsed,dBFS
0.0,-38.18137139698226
0.01,-33.633311206064775
0.02,-35.88928381611958
0.03,-38.117110514689955
0.04,-34.995627604014075
0.05,-29.78650836428535
0.06,-28.66047268197892
0.07,-26.16708789080999
0.08,-28.923038456883774
0.09,-28.77618982578752
0.1,-30.930005079567504
0.11,-29.02732997992244
0.12,-30.449096730567526
0.13,-28.9824801919536
0.14,-29.8521864816638
0.15,-28.44757257167309
0.16,-30.248409288121998
0.17,-29.640523589455363
0.18,-31.619029674323002
0.19,-30.19680979198875
0.2,-34.280924498847256
0.21,-29.82749895304583
0.22,-30.035404753370504
0.23,-29.520716315671613
0.24,-34.93623667424207
0.25,-26.172481178557362
0.26,-25.85466927624269
0.27,-26.581174385284495
0.28,-24.46830997929963
0.29,-34.32218771012272
0.3,-29.496951896912897
0.31,-29.340162628186267
0.32,-27.46746947772866
0.33,-31.669676404630902
0.34,-34.53149638368602
0.35,-30.56461410103426
0.36,-32.45597802164835
0.37,-38.62237421184374
0.38,-32.865873244228496
0.39,-33.5068768100592
0.4,-30.967404016304414
0.41,-29.504866147700135
0.42,-28.287811601032043
0.43,-32.635769996122
0.44,-30.352537084279845
0.45,-33.697225325491466
0.46,-34.51738445590585
0.47,-39.70500473513271
0.48,-44.91873981483603
0.49,-40.20599913279624
0.5,-43.0744419788425
0.51,-55.19150158574453
0.52,-44.463877272064835
0.53,-44.508306471944
0.54,-55.66112350273499
0.55,-47.20227794989312
0.56,-37.36133929690196
0.57,-31.7206201849085
0.58,-32.85422214974098
0.59,-33.44434313723417
0.6,-35.581068653661504
0.61,-34.68825992677172
0.62,-38.03216226167297
0.63,-35.42313903674083
0.64,-36.59416392714908
0.65,-37.51926891382263
0.66,-36.225988362398375
0.67,-38.75916270244985
0.68,-37.400553312212516
0.69,-38.8748220630206
0.7,-38.96847137601314
0.71,-38.44327735878521
0.72,-38.7821716950785
0.73,-40.4259068188255
0.74,-39.730664693641266
0.75,-36.904081637711876
0.76,-34.32218771012272
0.77,-36.73863111839208
0.78,-36.140580696500095
0.79,-37.28343841923147
0.8,-38.117110514689955
0.81,-36.225988362398375
0.82,-35.36076254146589
0.83,-36.08973631928884
0.84,-38.159898234900986
0.85,-37.59932376289611
0.86,-36.243171136821125
0.87,-36.39936516939041
0.88,-37.844012891236346
0.89,-36.885541844892686
0.9,-36.45206031364975
0.91,-31.588782784890164
0.92,-36.63005608416411
0.93,-33.865637111834005
0.94,-39.182948683848615
0.95,-35.905812631075214
0.96,-37.016159188071846
0.97,-42.704773864962235
0.98,-41.74630281861858
0.99,-52.69272685357852
1.0,-45.64907649135128
1.01,-51.41934525619099
1.02,-48.03013165305762
1.03,-52.03272165152002
1.04,-59.42763781218885
1.05,-48.581802085699394
1.06,-52.35645687338553
1.07,-50.84644162720038
1.08,-33.41945518428073
1.09,-38.224477637504954
1.1,-38.03216226167297
1.11,-43.26534833696711
1.12,-38.18137139698226
1.13,-43.26534833696711
1.14,-39.20710972762797
1.15,-40.12494825257229
1.16,-40.88316447801559
1.17,-40.85386971285011
1.18,-43.3040383325111
1.19,-42.77745955806411
1.2,-42.850758639792225
1.21,-44.03165429181129
1.22,-43.381939210181585
1.23,-45.95931981491623
1.24,-46.012121738240396
1.25,-39.47741382026274
1.26,-38.71332676685816
1.27,-38.8748220630206
1.28,-44.733926680137785
1.29,-40.680146129148255
1.3,-42.31552426957359
1.31,-40.56623118965063
1.32,-41.33487230109275
1.33,-41.68172341601461
1.34,-41.68172341601461
1.35,-41.42810278083282
1.36,-40.48176482250891
1.37,-41.77877347190285
1.38,-43.90607297697328
1.39,-42.63269137958573
1.4,-44.20197131026188
1.41,-43.989591790056004
1.42,-27.42997637071509
1.43,-26.717962875890603
1.44,-27.214434550391246
1.45,-30.248409288121998
1.46,-28.85664916828962
1.47,-32.345469029240824
1.48,-29.608413055146997
1.49,-31.137721034755007
1.5,-31.262838505951855
1.51,-31.301701611671895
1.52,-33.054448132834864
1.53,-31.710407497502597
1.54,-30.68168851762347
1.55,-31.518613646821983
1.56,-37.24474842368748
1.57,-34.57397025628313
1.58,-37.11067469779735
1.59,-30.34381193072038
1.6,-28.58180208569939
1.61,-29.811079497044656
1.62,-31.74108165406008
1.63,-31.639252942220246
1.64,-30.95803917481711
1.65,-29.664684633234724
1.66,-30.300317149607984
1.67,-31.36032426145334
1.68,-31.7206201849085
1.69,-31.508635599041092
1.7,-33.722923242573856
1.71,-37.12970184590566
1.72,-38.333188563932055
1.73,-37.7616815673397
1.74,-36.41689472052298
1.75,-35.75817355862323
1.76,-38.053321564799646
1.77,-44.41967417596249
1.78,-48.03013165305762
1.79,-49.32463824579072
1.8,-48.301587796843094
1.81,-48.03013165305762
1.82,-47.89752007507736
1.83,-48.03013165305762
1.84,-48.44056499594966
1.85,-48.72537377824186
1.86,-47.96357278607907
1.87,-48.097204493209375
1.88,-48.87135855307185
1.89,-49.095041892122126
1.9,-49.885212717795596
1.91,-49.64052358945536
1.92,-51.518613646821976
1.93,-32.2363483775096
1.94,-32.947871462733524
1.95,-34.349805824450435
1.96,-36.072854118370536
1.97,-35.93896492184887
1.98,-38.18137139698226
1.99,-35.93896492184887
2.0,-39.27999873973685
2.01,-36.73863111839208
2.02,-40.28781345483932
2.03,-37.2640718791279
2.04,-38.69049918568197
2.05,-36.922661087872115
2.06,-38.20289777637217
2.07,-41.36583807234997
2.08,-36.191724453515974
2.09,-44.15907794093009
2.1,-38.48770655866437
2.11,-34.67389120614498
2.12,-37.034980191401395
2.13,-38.92152050689344
2.14,-38.62237421184374
2.15,-36.29492435629397
2.16,-35.790766053293396
2.17,-36.922661087872115
2.18,-38.053321564799646
2.19,-38.69049918568197
2.2,-37.9480367649525
2.21,-39.353504591437904
2.22,-43.03675910135147
2.23,-44.41967417596249
2.24,-42.49029655712677
2.25,-40.4259068188255
2.26,-41.77877347190285
2.27,-38.92152050689344
2.28,-39.730664693641266
2.29,-40.31525704682628
2.3,-45.49801373354236
2.31,-44.20197131026188
2.32,-45.95931981491623
2.33,-43.989591790056004
2.34,-48.44056499594966
2.35,-45.64907649135128
2.36,-49.17090167246491
2.37,-46.787173518080735
2.38,-46.84527333094888
2.39,-49.01983891465598
2.4,-51.22414851040786
2.41,-48.72537377824186
2.42,-51.41934525619099
2.43,-52.35645687338553
2.44,-29.901773046240198
2.45,-19.694761939561218
2.46,-21.79831428922909
2.47,-20.329011427591293
2.48,-24.24507755078458
2.49,-23.607868310412528
2.5,-22.09008152543887
2.51,-26.10262830266972
2.52,-31.099583148508376
2.53,-25.31036356651046
2.54,-27.838499080339716
2.55,-26.9272715494539
2.56,-31.75133049258022
2.57,-28.219256472946455
2.58,-29.8521864816638
2.59,-34.39139835231285
2.6,-37.439945169470604
2.61,-33.15029340480577
2.62,-32.02213555680554
2.63,-32.579184195744716
2.64,-33.81346944968344
2.65,-37.016159188071846
2.66,-31.771864520200506
2.67,-32.842586662886376
2.68,-39.552616797728874
2.69,-44.55296410058984
2.7,-36.45206031364975
2.71,-32.959648942013324
2.72,-35.629012968426615
2.73,-36.8301587265126
2.74,-32.64713152768056
2.75,-39.402856369877874
2.76,-37.09168913911697
2.77,-34.67389120614498
2.78,-27.983486947583472
2.79,-27.361656543318627
2.8,-27.58092973651456
2.81,-31.7206201849085
2.82,-28.667660013492096
2.83,-31.864873150414027
2.84,-27.34311675049944
2.85,-33.710064780361634
2.86,-27.760423142162377
2.87,-31.679841285414255
2.88,-28.812669886290863
2.89,-29.8521864816638
2.9,-29.186153458013308
2.91,-29.496951896912897
2.92,-33.22287786317275
2.93,-31.08057681786539
2.94,-32.36745863500595
2.95,-31.282248323276
2.96,-30.47561855159539
2.97,-30.68168851762347
2.98,-25.45817013322667
2.99,-28.144465571695786
3.0,-25.169835647975717
3.01,-26.25378495133036
3.02,-37.42022690983759
3.03,-30.222571223541507
3.04,-28.103940352126294
3.05,-27.97020576817924
3.06,-32.959648942013324
3.07,-32.54540882082786
3.08,-31.042688471472133
3.09,-32.24719895935549
3.1,-34.77497501942614
3.11,-31.99045446525204
3.12,-35.29883080216743
3.13,-31.099583148508376
3.14,-28.036815677733795
3.15,-29.520716315671613
3.16,-32.35645687338553
3.17,-33.49433400695822
3.18,-34.25352419335484
3.19,-35.645053397062966
3.2,-46.50236473578853
3.21,-45.49801373354236
3.22,-39.91243882367998
3.23,-41.942972872799444
3.24,-43.86461280451597
3.25,-41.77877347190285
3.26,-42.246588275678
3.27,-47.08163865449485
3.28,-41.06103874121523
3.29,-32.56791113817521
3.3,-34.308411514311665
3.31,-32.76157178179887
3.32,-36.38187092452772
3.33,-35.11564180540175
3.34,-38.20289777637217
3.35,-35.206753371292926
3.36,-39.502409203376885
3.37,-35.872786394943425
3.38,-38.01105437853166
3.39,-35.629012968426615
3.4,-38.311337257720595
3.41,-35.98893182649837
3.42,-38.289540785459394
3.43,-40.04464669783558
3.44,-38.57725260575926
3.45,-40.4259068188255
3.46,-38.24611124679071
3.47,-37.016159188071846
3.48,-36.41689472052298
3.49,-36.31224418184944
3.5,-34.40530690554588
3.51,-34.06410476318697
3.52,-37.341798479575715
3.53,-35.613002107417415
3.54,-36.86704154048001
3.55,-35.77445451866291
3.56,-37.016159188071846
3.57,-36.95993964139527
3.58,-38.75916270244985
3.59,-39.834069362963064
3.6,-41.273269988708556
3.61,-43.700723232210535
3.62,-45.85466927624269
3.63,-42.3501985257536
3.64,-35.741923058769785
3.65,-35.75817355862323
3.66,-38.03216226167297
3.67,-35.66112350273499
3.68,-38.736214499832904
3.69,-35.97224423320387
3.7,-40.680146129148255
3.71,-44.64297412512336
3.72,-50.05225420509091
3.73,-47.20227794989312
3.74,-48.798059471343734
3.75,-47.02194158350561
3.76,-49.32463824579072
3.77,-47.20227794989312
3.78,-54.745973691521485
3.79,-48.164799306236986
3.8,-37.225467861635146
3.81,-35.23733752133622
3.82,-38.69049918568197
3.83,-38.82837334463998
3.84,-41.9098837293992
3.85,-40.4537909186576
3.86,-41.490817057890006
3.87,-40.88316447801559
3.88,-39.834069362963064
3.89,-40.94205209095121
3.9,-40.20599913279624
3.91,-46.012121738240396
3.92,-41.74630281861858
3.93,-44.41967417596249
3.94,-44.15907794093009
3.95,-44.20197131026188
3.96,-43.90607297697328
3.97,-44.68833135423981
3.98,-39.27999873973685
3.99,-43.1122890523966
4.0,-40.04464669783558
4.01,-41.68172341601461
4.02,-39.9387199016366
4.03,-43.3040383325111
4.04,-41.61762061851039
4.05,-40.37040573773005
4.06,-41.74630281861858
4.07,-41.74630281861858
4.08,-43.342901438231145
4.09,-41.942972872799444
4.1,-41.64961288170624
4.11,-43.03675910135147
4.12,-41.876920161797734
4.13,-44.55296410058984
4.14,-34.6452248776892
4.15,-27.417514547002032
4.16,-26.798762431925404
4.17,-27.461209376817635
4.18,-29.496951896912897
4.19,-29.811079497044656
4.2,-30.827980643336808
4.21,-30.7636744506485
4.22,-30.422655645801623
4.23,-32.21468779362074
4.24,-30.001803591010074
4.25,-35.34523815907035
4.26,-30.317688934674713
4.27,-32.85422214974098
4.28,-30.88348172443225
4.29,-34.68825992677172
4.3,-35.97224423320387
4.31,-31.350526302559825
4.32,-30.17967785420972
4.33,-31.156852957992452
4.34,-29.402539123461207
4.35,-30.36127101124809
4.36,-32.26894087217977
4.37,-30.818764844447788
4.38,-31.23380486452978
4.39,-28.915636760962443
4.4,-30.282980038785997
4.41,-32.47824954574307
4.42,-29.86868390283995
4.43,-33.27160668459903
4.44,-39.03937699130614
4.45,-35.11564180540175
4.46,-33.06637111293361
4.47,-36.05600466665013
4.48,-42.009531739778
4.49,-37.439945169470604
4.5,-37.38092417473297
4.51,-39.834069362963064
4.52,-37.72080671713998
4.53,-41.81136596657302
4.54,-35.629012968426615
4.55,-36.522821516721955
4.56,-36.848580556616426
4.57,-35.565145845099615
4.58,-40.509829110697666
4.59,-41.091041844063405
4.6,-44.03165429181129
4.61,-40.88316447801559
4.62,-48.301587796843094
4.63,-42.668657847696984
4.64,-38.7821716950785
4.65,-39.15885466108119
4.66,-31.99045446525204
4.67,-34.25352419335484
4.68,-34.70265245639133
4.69,-35.517551810192515
4.7,-36.55841947490166
4.71,-38.333188563932055
4.72,-35.02547605138774
4.73,-41.00134167022599
4.74,-41.81136596657302
4.75,-33.64605646093865
4.76,-35.26802974280558
4.77,-38.39907426268287
4.78,-39.628476578071655
4.79,-39.57782984776375
4.8,-37.98999766606634
4.81,-34.46116490922928
4.82,-39.52747672333882
4.83,-37.59932376289611
4.84,-34.68825992677172
4.85,-33.456813906983115
4.86,-39.25563437695049
4.87,-38.01105437853166
4.88,-35.629012968426615
4.89,-33.944480826915246
4.9,-37.14877076605211
4.91,-38.55477939881613
4.92,-31.548616749670153
4.93,-34.93623667424207
4.94,-39.20710972762797
4.95,-36.9973788788353
4.96,-47.96357278607907
4.97,-41.30401653280713
4.98,-35.82348130717857
4.99,-37.63962958760262
5.0,-39.52747672333882
5.01,-43.90607297697328
5.02,-42.96188027867397
5.03,-40.97164629211217
5.04,-37.2640718791279
5.05,-41.459403317905384
5.06,-39.304431638092474
5.07,-40.34278762340235
5.08,-38.96847137601314
5.09,-38.074532539047524
5.1,-39.70500473513271
5.11,-41.03113891947621
5.12,-38.898139901556405
5.13,-38.69049918568197
5.14,-44.64297412512336
5.15,-43.86461280451597
5.16,-42.704773864962235
5.17,-31.782149766681258
5.18,-21.31943071544706
5.19,-22.195242965738807
5.2,-26.82780254469385
5.21,-26.845273330948878
5.22,-26.183277810945707
5.23,-20.729016065727212
5.24,-26.022720750706362
5.25,-26.08658787403337
5.26,-22.93954193038712
5.27,-25.849469701326527
5.28,-26.248340958900144
5.29,-29.918365008569246
5.3,-27.220519236901417
5.31,-31.710407497502597
5.32,-30.077589827248794
5.33,-27.549264044723728
5.34,-31.42922119771892
5.35,-30.11148602495115
5.36,-32.467106645384746
5.37,-27.779876430558268
5.38,-30.52000234586052
5.39,-32.075195524117134
5.4,-33.878728131098896
5.41,-27.851580241905648
5.42,-31.669676404630902
5.43,-34.717068874037864
5.44,-34.60240199897902
5.45,-26.655000632473506
5.46,-35.75817355862323
5.47,-29.77016614001377
5.48,-34.308411514311665
5.49,-39.86011402906796
5.5,-37.42022690983759
5.51,-23.708844681739173
5.52,-23.603853570503723
5.53,-25.643998508372352
5.54,-29.78650836428535
5.55,-34.15829813781729
5.56,-32.279832271272106
5.57,-30.17967785420972
5.58,-31.90653217337988
5.59,-28.070313172540725
5.6,-31.83375948262035
5.61,-29.049842017504155
5.62,-30.052254205090914
5.63,-28.510896470406397
5.64,-28.87135855307185
5.65,-30.12848385745615
5.66,-29.16328581083006
5.67,-32.7270811091929
5.68,-31.49866900054301
5.69,-22.593299522327644
5.7,-22.346724864584306
5.71,-19.304431638092478
5.72,-15.764682281024507
5.73,-21.582564696399693
5.74,-20.574723179544648
5.75,-18.98968235026102
5.76,-15.741923058769789
5.77,-24.96087032413627
5.78,-20.51826610955245
5.79,-23.389767862931528
5.8,-22.430478567477618
5.81,-22.256893860796062
5.82,-21.933032887387284
5.83,-18.27431573399226
5.84,-25.334823987176
5.85,-24.82122278818678
5.86,-28.631782681862894
5.87,-24.701984838274242
5.88,-24.310140698739016
5.89,-24.375694893963733
5.9,-27.480003231185005
5.91,-19.76929732799444
5.92,-29.125306346566934
5.93,-21.497113462397742
5.94,-27.129693491526155
5.95,-34.53149638368602
5.96,-23.523946018540368
5.97,-23.543854094269246
5.98,-25.30059865301648
5.99,-28.617473140507737
6.0,-23.265348336967108
6.01,-36.77512650669703
6.02,-25.943541627765406
6.03,-20.414778195089106
6.04,-10.799443435876865
6.05,-18.074532539047517
6.06,-15.132274204255191
6.07,-20.00477261263832
6.08,-12.82632312263491
6.09,-14.31529688101235
6.1,-15.601812039160144
6.11,-20.871434713048544
6.12,-19.392963556008837
6.13,-19.022780499982304
6.14,-13.269163739951214
6.15,-15.579475058640423
6.16,-17.390733198517474
6.17,-18.263457013190504
6.18,-15.212861592105892
6.19,-21.557158054115128
6.2,-16.819124353267355
6.21,-11.974657147218108
6.22,-15.197599086618359
6.23,-14.188113984232594
6.24,-14.804073504389628
6.25,-20.21686328635528
6.26,-16.978639088096738
6.27,-15.571511466225907
6.28,-17.36721012486326
6.29,-16.355695446240865
6.3,-18.7821716950785
