seconds_elapsed,dBFS
0.0,-20.848022597423604
0.01,-40.31525704682628
0.02,-45.64907649135128
0.03,-13.955047603933878
0.04,-11.36915188422691
0.05,-12.312588650652431
0.06,-15.71436679345365
0.07,-16.784274363928127
0.08,-14.56404109255528
0.09,-12.43043616834222
0.1,-15.457638011871516
0.11,-21.573028494558283
0.12,-18.992042325724004
0.13,-16.147382489829727
0.14,-14.309788151074688
0.15,-15.947272803532524
0.16,-14.968851420198275
0.17,-12.781177462810607
0.18,-10.674438191962032
0.19,-9.324638245790725
0.2,-9.964157008241443
0.21,-12.073066890449315
0.22,-13.074726947765674
0.23,-12.476019821783176
0.24,-14.125888064250748
0.25,-14.029377186464922
0.26,-12.465993141167075
0.27,-12.252629337549287
0.28,-13.948441862009233
0.29,-13.765491733220504
0.3,-19.514933920237844
0.31,-12.183375583751296
0.32,-11.606918276165366
0.33,-15.922372959519823
0.34,-15.097533620306473
0.35,-14.144779240709918
0.36,-16.402868250558306
0.37,-15.264955635663938
0.38,-14.263104471245082
0.39,-15.138330254448626
0.4,-13.616770284740614
0.41,-17.36133929690196
0.42,-16.037507943752964
0.43,-15.329741474071128
0.44,-13.486817009831277
0.45,-16.0796030617078
0.46,-14.470977099002933
0.47,-14.834732193653926
0.48,-15.52863378152474
0.49,-16.747740599707452
0.5,-16.32091706288761
0.51,-17.839877737795685
0.52,-16.819124353267355
0.53,-16.669709519300696
0.54,-15.09301246658
0.55,-14.834732193653926
0.56,-14.753214950497007
0.57,-14.076158270131337
0.58,-12.806615389942992
0.59,-15.020992240066594
0.6,-13.992132885929028
0.61,-14.447166695662752
0.62,-15.77608429437612
0.63,-14.409483818171724
0.64,-11.312419520488085
0.65,-13.404556570614082
0.66,-15.067436952501577
0.67,-14.682509585854602
0.68,-15.206753371292933
0.69,-16.583425137850334
0.7,-16.870738450362616
0.71,-18.390260573810885
0.72,-13.499348954925516
0.73,-11.223183465171818
0.74,-11.87630947812025
0.75,-13.2899507033245
0.76,-18.26128689709225
0.77,-18.631426729221836
0.78,-16.21055287472632
0.79,-15.452925529811045
0.8,-15.795665492910786
0.81,-14.15829813781729
0.82,-15.56355516848349
0.83,-16.70047528203145
0.84,-14.39417828180948
0.85,-16.29665478555322
0.86,-20.055310774851087
0.87,-17.96899187677638
0.88,-15.856320248518113
0.89,-14.606674798755957
0.9,-16.935690390104515
0.91,-14.878718899601026
0.92,-16.374883080516014
0.93,-14.92736295682998
0.94,-16.096498397978422
0.95,-13.834298931219733
0.96,-13.484312789073538
0.97,-14.120498123253673
0.98,-14.87577951221661
0.99,-14.066781875132364
1.0,-15.479663463799259
1.01,-15.303460396114502
1.02,-14.396959101310763
1.03,-15.68528454651435
1.04,-13.801774780141692
1.05,-14.756113145264658
1.06,-12.263500289704323
1.07,-13.523209579071418
1.08,-11.13008004931563
1.09,-12.167223797708447
1.1,-13.213164818114647
1.11,-13.345216359366383
1.12,-11.290024411206351
1.13,-12.356456873385529
1.14,-13.675441715365025
1.15,-14.659546215868634
1.16,-16.343507165707006
1.17,-19.23376473139427
1.18,-17.753491194608298
1.19,-18.3091551475124
1.2,-18.660912738813796
1.21,-16.80626860983448
1.22,-15.746795017187544
1.23,-13.783614311319832
1.24,-13.46930260739208
1.25,-14.925884884906381
1.26,-12.047563893009341
1.27,-12.82632312263491
1.28,-14.223483356612478
1.29,-12.902091277575163
1.3,-12.23309584437365
1.31,-13.812169264120344
1.32,-14.167773900849575
1.33,-15.834960819369002
1.34,-17.420226909837588
1.35,-18.036390000689543
1.36,-15.56355516848349
1.37,-15.332838600022312
1.38,-14.409483818171724
1.39,-14.08554479786327
1.4,-16.894806794718416
1.41,-15.193025559717746
1.42,-15.481238849608976
1.43,-14.785148404252919
1.44,-15.669169718815768
1.45,-15.643448020542722
1.46,-16.04422946828112
1.47,-13.033027925584353
1.48,-13.002180586702679
1.49,-12.721345955707505
1.5,-12.44708537726979
1.51,-12.583697518599227
1.52,-14.576809246221158
1.53,-14.622359738751392
1.54,-16.049274027306705
1.55,-15.833319959887769
1.56,-17.30090530183372
1.57,-16.704101958342203
1.58,-17.051954033898433
1.59,-15.6885111028806
1.6,-16.826479044340193
1.61,-14.21122380674653
1.62,-14.653814846714415
1.63,-15.667559879197023
1.64,-13.817371174524704
1.65,-13.937883113238305
1.66,-12.092243399340688
1.67,-13.271606684599032
1.68,-14.653814846714415
1.69,-13.010474868414247
1.7,-17.692308342633346
1.71,-15.774454518662912
1.72,-17.031212726741128
1.73,-16.474994533391126
1.74,-18.072409109226882
1.75,-17.021801208171535
1.76,-14.883129846613164
1.77,-13.532016884449249
1.78,-12.953758206190344
1.79,-12.337785800400116
1.8,-11.736985502303874
1.81,-10.148072576027351
1.82,-13.256959312429661
1.83,-16.010673739322655
1.84,-17.561205696610116
1.85,-14.451363791486415
1.86,-13.891838910400358
1.87,-14.500480351372143
1.88,-12.54765643104562
1.89,-13.19256059107376
1.9,-14.293282892639105
1.91,-13.681842990353008
1.92,-13.902341801206159
1.93,-12.984433751601415
1.94,-11.250245344174745
1.95,-9.185390232351551
1.96,-12.657369628105332
1.97,-10.839052524553093
1.98,-8.96088553043787
1.99,-11.454951321421003
2.0,-13.923385759744733
2.01,-12.493873660829994
2.02,-12.642585131534855
2.03,-12.76848638184938
2.04,-11.618019745871418
2.05,-41.30401653280713
2.06,-28.89346944232566
2.07,-20.93614533136413
2.08,-13.96033581696667
2.09,-13.441851130435245
2.1,-10.416497623822265
2.11,-11.407508929619759
2.12,-12.925538152760694
2.13,-14.20170054986545
2.14,-16.0224035042897
2.15,-16.15248733254973
2.16,-58.94496421785445
2.17,-58.94496421785445
2.18,-67.3864379856296
2.19,-66.22659904607586
2.2,-71.22414851040786
2.21,-71.22414851040786
2.22,-65.70002027162887
2.23,-69.48114499602985
2.24,-68.72537377824186
2.25,-67.3864379856296
2.26,-68.72537377824186
2.27,-62.704773864962235
2.28,-74.74597369152148
2.29,-27.638220531790004
2.3,-17.587268397132902
2.31,-16.300116678639327
2.32,-14.883129846613164
2.33,-4.956179052276048
2.34,-2.905400988939164
2.35,-3.198052784551701
2.36,-3.545050031068721
2.37,-3.0209809142006483
2.38,-3.306365221743592
2.39,-3.6836928656698396
2.4,-3.7516073240618484
2.41,-4.385790428449199
2.42,-3.8575842145688366
2.43,-3.724296387805879
2.44,-4.022383048776979
2.45,-4.398096502959533
2.46,-4.150097182275747
2.47,-4.0743451903473655
2.48,-3.514009065576842
2.49,-3.3788097236991406
2.5,-3.095616019440236
2.51,-2.462447539523479
2.52,-2.627309231543195
2.53,-2.850758639792227
2.54,-2.565831133740094
2.55,-2.257581334747751
2.56,-2.61225693512067
2.57,-3.028490762185389
2.58,-2.6015212428697216
2.59,-2.1198046174454053
2.6,-2.123527165805375
2.61,-2.044009563444308
2.62,-1.920458546883228
2.63,-2.2448718662982294
2.64,-2.498421309602197
2.65,-2.040320931557246
2.66,-2.1751300232701105
2.67,-2.582230372044139
2.68,-2.839356695414782
2.69,-2.8991069998806114
2.7,-2.9402856171582474
2.71,-3.307916827613753
2.72,-2.9570354255976943
2.73,-3.263418353704404
2.74,-3.0967518010225104
2.75,-3.4890182485655186
2.76,-2.821364738176715
2.77,-3.438069835429229
2.78,-3.190012243438441
2.79,-2.90169809011595
2.8,-4.038403235148555
2.81,-2.7687050910323396
2.82,-2.6946462336880055
2.83,-2.8001161890920203
2.84,-2.822098374702179
2.85,-3.022857767562186
2.86,-3.744669549180013
2.87,-3.6930148824613864
2.88,-3.991690084458783
2.89,-3.718600455476933
2.9,-3.8287027384686056
2.91,-3.7790044046936178
2.92,-4.167211398222042
2.93,-3.785969669523443
2.94,-3.748341798523854
2.95,-3.6473112763213527
2.96,-4.016909234925663
2.97,-4.243349187503967
2.98,-4.222204601347581
2.99,-4.080279333411136
3.0,-4.126193790133006
3.01,-4.149669758628879
3.02,-3.862958506893971
3.03,-3.8786870699837053
3.04,-4.1774961372653765
3.05,-4.406897242998196
3.06,-4.542225311291087
3.07,-4.267144382327243
3.08,-4.615422074360935
3.09,-4.104481715524309
3.1,-4.271044355290196
3.11,-4.432911500807624
3.12,-4.523464318407166
3.13,-4.618579349611404
3.14,-4.306223135880124
3.15,-4.4545759437034995
3.16,-4.900080538835107
3.17,-4.8309253707749535
3.18,-4.879601526879456
3.19,-4.782060774133693
3.2,-4.68242150316028
3.21,-4.616324035902562
3.22,-4.740329168446041
3.23,-5.160227361998083
3.24,-5.47707305611293
3.25,-5.322095972127777
3.26,-4.530160022136791
3.27,-6.5220002124104015
3.28,-5.115687924600907
3.29,-5.292307099260677
3.3,-5.490030378533599
3.31,-5.039591377970666
3.32,-5.17704884393745
3.33,-5.616628581981673
3.34,-5.8635157032631025
3.35,-5.951953093996494
3.36,-5.71689750236685
3.37,-5.619665429389125
3.38,-5.368201090599437
3.39,-5.4860414509603626
3.4,-6.137484520242859
3.41,-6.239093995328541
3.42,-5.460655010839978
3.43,-5.234002536398108
3.44,-5.4145522437944
3.45,-5.703086420853422
3.46,-6.1957105517606115
3.47,-6.122988796000256
3.48,-5.643998508372352
3.49,-6.191384101443621
3.5,-6.490045117190617
3.51,-5.810571787513732
3.52,-6.112266797801249
3.53,-6.064713750795532
3.54,-5.025397198477746
3.55,-5.176567777800246
3.56,-5.541050435568941
3.57,-5.050963446111601
3.58,-5.361810249815618
3.59,-5.608029942534525
3.6,-5.186194166503698
3.61,-5.22819354796018
3.62,-6.272865840053921
3.63,-5.74355865671437
3.64,-5.5732167110085
3.65,-6.397647085999806
3.66,-6.273411624693144
3.67,-6.764619512540034
3.68,-6.559148319585855
3.69,-6.556328500180488
3.7,-7.236969213426137
3.71,-7.075051857032005
3.72,-7.624181180262559
3.73,-7.133910966548594
3.74,-7.898836218672281
3.75,-6.6978798851215355
3.76,-7.909372553111279
3.77,-7.162886092635032
3.78,-7.7922194192942715
3.79,-7.411912554135761
3.8,-7.896204130883029
3.81,-7.9728603799474795
3.82,-8.040828562830848
3.83,-6.935514107852764
3.84,-8.56757458106365
3.85,-8.064944884583648
3.86,-8.686374956556502
3.87,-7.86337015499591
3.88,-8.229505311466594
3.89,-8.17158780962128
3.9,-8.591775223425351
3.91,-8.272682979359482
3.92,-7.480003231185011
3.93,-7.883712594602731
3.94,-7.707472048851081
3.95,-7.94833612262302
3.96,-8.523616838271371
