seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-33.944480826915246
0.05,-28.63894630258901
0.06,-30.094521391358896
0.07,-32.912634539607794
0.08,-34.877249081569246
0.09,-35.95558863914911
0.1,-38.24611124679071
0.11,-40.53798436918547
0.12,-40.01804364598864
0.13,-43.26534833696711
0.14,-40.88316447801559
0.15,-40.509829110697666
0.16,-38.82837334463998
0.17,-36.68417395168262
0.18,-35.66112350273499
0.19,-32.19308109183699
0.2,-32.02213555680554
0.21,-28.689257760976613
0.22,-27.549264044723728
0.23,-29.520716315671613
0.24,-29.2167376080566
0.25,-28.886092890172698
0.26,-26.199497964376537
0.27,-26.42981913881062
0.28,-22.73014472692561
0.29,-24.09088611167153
0.3,-25.990962435113723
0.31,-26.55858428246509
0.32,-24.55296410058984
0.33,-20.414778195089106
0.34,-21.81789916706009
0.35,-22.171385298211863
0.36,-24.28405692647013
0.37,-24.98436476539649
0.38,-20.874365669593335
0.39,-21.282482529403964
0.4,-20.769469384003813
0.41,-23.436888537110917
0.42,-20.490174592058622
0.43,-19.11325933518323
0.44,-22.586156520577987
0.45,-19.707567322446792
0.46,-22.19865655966683
0.47,-21.85063908384111
0.48,-22.20207149568018
0.49,-20.076678287811603
0.5,-23.17700998469494
0.51,-21.713953099146195
0.52,-19.679420358349255
0.53,-23.64005320925935
0.54,-22.661452629832084
0.55,-24.450592707194232
0.56,-25.017364114432805
0.57,-24.80277160835812
0.58,-25.388880617673774
0.59,-25.797644430404937
0.6,-24.223497689651794
0.61,-23.960268768492373
0.62,-25.761549853401633
0.63,-24.27537971332283
0.64,-24.5798693042547
0.65,-26.199497964376537
0.66,-24.729356361885493
0.67,-24.9749593615126
0.68,-24.548487991427102
0.69,-26.221172060808364
0.7,-24.816606317369594
0.71,-23.69260936927762
0.72,-24.76598641991842
0.73,-23.03299978961217
0.74,-24.688331354239807
0.75,-24.13344322589993
0.76,-24.904741601269503
0.77,-24.49495383343727
0.78,-23.71697373206398
0.79,-23.429017318051134
0.8,-23.480308207631552
0.81,-23.048046808772487
0.82,-24.082399653118493
0.83,-23.13888046938965
0.84,-22.343252592046333
0.85,-23.358495499220567
0.86,-22.50796877001461
0.87,-23.943557094961818
0.88,-23.69260936927762
0.89,-22.6291029103597
0.9,-23.02924210422453
0.91,-23.269209590481715
0.92,-24.20627232032157
0.93,-23.968636678232123
0.94,-23.413296246541144
0.95,-23.943557094961818
0.96,-24.323212017440756
0.97,-21.89338630822305
0.98,-21.160444840264667
0.99,-22.26721168775242
1.0,-22.24315579602927
1.01,-20.772366128949145
1.02,-22.157781709467102
1.03,-20.375939914176
1.04,-19.592992882696404
1.05,-20.73478358893917
1.06,-22.26377105010075
1.07,-23.269209590481715
1.08,-23.58380765891049
1.09,-22.869180469896055
1.1,-22.67226269922749
1.11,-22.29478596372973
1.12,-22.593299522327644
1.13,-21.484525214342106
1.14,-22.19183071284162
1.15,-22.0195597066083
1.16,-22.525677011903706
1.17,-21.62720593083654
1.18,-21.199919323621792
1.19,-21.384470663631095
1.2,-21.550817988404386
1.21,-20.772366128949145
1.22,-21.762522972049414
1.23,-20.43983767929059
1.24,-22.171385298211863
1.25,-21.726878532540425
1.26,-22.134026575509473
1.27,-23.972823658133912
1.28,-21.89338630822305
1.29,-21.082030026234698
1.3,-19.87055380152435
1.31,-18.559269390975075
1.32,-19.555134811846543
1.33,-20.62300191225864
1.34,-20.523895331809147
1.35,-20.640105737223653
1.36,-21.03412427425317
1.37,-21.23651722736534
1.38,-21.415614080423868
1.39,-21.064034392094406
1.4,-20.45937849661682
1.41,-20.75210917241919
1.42,-20.783962779053688
1.43,-20.66582479096883
1.44,-19.93345732065886
1.45,-20.108828440389665
1.46,-21.070028795119118
1.47,-19.79514820909414
1.48,-21.337963915162796
1.49,-20.4231233258877
1.5,-21.534988041179627
1.51,-22.906141758172318
1.52,-20.84217941547565
1.53,-24.116395350676385
1.54,-22.532770429723886
1.55,-24.679240940392727
1.56,-27.22660818887742
1.57,-27.657401745999618
1.58,-26.022720750706362
1.59,-25.65924137213463
1.6,-24.90940516628788
1.61,-24.87216656846438
1.62,-24.697431291832828
1.63,-24.129178119191074
1.64,-24.06121971178252
1.65,-24.159077940930096
1.66,-24.481621690162704
1.67,-24.6113644060853
1.68,-23.835707987032354
1.69,-23.997988010756256
1.7,-23.5319037741479
1.71,-23.18465601479965
1.72,-22.84707895761982
1.73,-23.059349204170868
1.74,-22.954427777454825
1.75,-24.388865312920913
1.76,-24.18478853583913
1.77,-25.21320495125016
1.78,-22.479710462412292
1.79,-21.344150446505576
1.8,-20.10346181084726
1.81,-18.697341162907016
1.82,-18.472130474698666
1.83,-19.228912278956297
1.84,-19.901948617527996
1.85,-20.010078593034272
1.86,-20.43983767929059
1.87,-19.928197926227465
1.88,-21.31943071544706
1.89,-20.73478358893917
1.9,-20.786864362390528
1.91,-19.941352388287477
1.92,-19.789971874234105
1.93,-21.10608234935935
1.94,-22.270653688842863
1.95,-21.29478113625597
1.96,-21.490817057890006
1.97,-25.10757093949286
1.98,-24.75681441311253
1.99,-19.66155602783681
2.0,-22.65425338396775
2.01,-27.238798913177604
2.02,-23.15411219558684
2.03,-19.48490488552919
2.04,-18.015271853554108
2.05,-18.33537672105109
2.06,-24.232123201421267
2.07,-19.304431638092478
2.08,-20.0900597257349
2.09,-22.872869529046042
2.1,-25.969854551972418
2.11,-20.67441475999404
2.12,-19.469929210029633
2.13,-19.514933920237844
2.14,-20.691620225451
2.15,-21.055050537160014
2.16,-20.591732107247665
2.17,-21.497113462397742
2.18,-23.05181264002075
2.19,-21.18471559203458
2.2,-24.21057546117652
2.21,-22.928394263011292
2.22,-23.889465152337888
2.23,-24.561923244899425
2.24,-22.72288834418272
2.25,-24.784359540757684
2.26,-21.853919873167392
2.27,-23.872889022043573
2.28,-23.881173132960573
2.29,-21.678507015445337
2.3,-20.45658425833052
2.31,-18.1342003178186
2.32,-17.339846813543907
