seconds_elapsed,dBFS
0.0,-52.69272685357852
0.01,-51.7206201849085
0.02,-49.80288139389895
0.03,-50.30899869919435
0.04,-49.247429829525956
0.05,-48.23292428007521
0.06,-47.96357278607907
0.07,-48.301587796843094
0.08,-47.96357278607907
0.09,-46.61517008284237
0.1,-45.64907649135128
0.11,-44.41967417596249
0.12,-42.2123243667956
0.13,-43.342901438231145
0.14,-40.82467341766925
0.15,-38.55477939881613
0.16,-41.74630281861858
0.17,-38.8748220630206
0.18,-34.96588137755075
0.19,-37.18703465893772
0.2,-39.70500473513271
0.21,-37.74122009818812
0.22,-35.85632024851811
0.23,-36.29492435629397
0.24,-37.12970184590566
0.25,-34.731509259139564
0.26,-35.613002107417415
0.27,-33.29607399553303
0.28,-36.123599479677736
0.29,-32.81936234520502
0.3,-31.679841285414255
0.31,-33.32061042325637
0.32,-30.573564013869458
0.33,-23.440826823117206
0.34,-20.268654402651407
0.35,-24.629413014424756
0.36,-24.33193717100022
0.37,-23.02924210422453
0.38,-24.176209878709123
0.39,-23.547841190799232
0.4,-25.21803715701488
0.41,-22.343252592046333
0.42,-21.75278724567455
0.43,-16.894806794718416
0.44,-18.572753310326842
0.45,-16.049274027306705
0.46,-12.827483794733661
0.47,-15.493852233038945
0.48,-13.34644848783686
0.49,-12.846075672629244
0.5,-13.199827091473637
0.51,-13.612957618220374
0.52,-12.404969203616494
0.53,-13.90759801294784
0.54,-12.592731205984578
0.55,-11.962039946638924
0.56,-12.298379050139241
0.57,-11.245406677881675
0.58,-12.156472602329028
0.59,-11.973605013531635
0.6,-9.846419778984444
0.61,-11.364246541781029
0.62,-8.596052933257226
0.63,-10.00599663460493
0.64,-11.400611847133092
0.65,-11.319246900264284
0.66,-13.526983045051292
0.67,-11.728798989315134
0.68,-10.219991639409871
0.69,-11.093876881158902
0.7,-11.169311344339155
0.71,-10.131887419270104
0.72,-9.83243084849663
0.73,-11.134854877448664
0.74,-9.47798706484144
0.75,-11.788326765617466
0.76,-10.234619422732065
0.77,-10.091979551715902
0.78,-11.69409213297209
0.79,-11.031354120618811
0.8,-9.803700856104198
0.81,-9.75303983218837
0.82,-9.55967190632435
0.83,-11.106245201918465
0.84,-12.302748759519826
0.85,-10.886266109658234
0.86,-11.66662925861191
0.87,-11.251213400975754
0.88,-10.064068299492932
0.89,-9.672753272586952
0.9,-10.361271011248089
0.91,-9.525477011673537
0.92,-10.388402130972825
0.93,-10.34032432190498
0.94,-11.237670414054225
0.95,-10.112335127023101
0.96,-10.369139061380244
0.97,-10.291644268569819
0.98,-10.601367494554419
0.99,-11.13008004931563
1.0,-10.69439116847545
1.01,-11.065401641019001
1.02,-11.081526147298336
1.03,-10.022789079928218
1.04,-10.773748233845144
1.05,-10.064068299492932
1.06,-11.04268847147213
1.07,-9.42683095027196
1.08,-10.615752575392225
1.09,-9.10108635279616
1.1,-9.789780502066776
1.11,-10.00012694017231
1.12,-9.706723645042498
1.13,-10.011030960270244
1.14,-9.681637441478896
1.15,-9.77016614001377
1.16,-10.398927293894232
1.17,-9.84065690237226
1.18,-10.131036403775566
1.19,-10.19680979198875
1.2,-9.813540437601725
1.21,-11.050252930594318
1.22,-10.417377073996462
1.23,-11.085324502945644
1.24,-10.328128707131102
1.25,-10.49245768784478
1.26,-11.221253696304057
1.27,-10.819685984449507
1.28,-10.71621045473621
1.29,-10.928139353078093
1.3,-11.448016479026222
1.31,-10.519112443740173
1.32,-10.693483219941925
1.33,-10.317688934674711
1.34,-10.631062872668242
1.35,-10.516443284291338
1.36,-11.0322980851514
1.37,-10.167705571627723
1.38,-11.396673114659722
1.39,-10.108090446472387
1.4,-10.687130236275763
1.41,-10.742648764259336
1.42,-9.763637849861983
1.43,-9.846419778984444
1.44,-9.96582672943806
1.45,-9.471674644768504
1.46,-9.48430407576574
1.47,-9.886039984774463
1.48,-10.090285405106656
1.49,-10.025310749168765
1.5,-10.01942799267023
1.51,-9.025081981901504
1.52,-9.649374837247
1.53,-10.038772029876359
1.54,-8.821447946298273
1.55,-10.317688934674711
1.56,-10.080973500699479
1.57,-9.811899733094
1.58,-9.302950619946326
1.59,-10.311604857029002
1.6,-9.848890754195663
1.61,-9.12075995042123
1.62,-10.081819625062145
1.63,-11.33389509582896
1.64,-10.83443752543381
1.65,-11.245406677881675
1.66,-11.412438772330031
1.67,-10.013549217733082
1.68,-11.33389509582896
1.69,-10.20796369931444
1.7,-10.465884478342023
1.71,-10.105544633458784
1.72,-11.45296937283555
1.73,-11.300727911806735
1.74,-11.592809622995702
1.75,-10.557460804654609
1.76,-10.036246450123727
1.77,-10.514664300232264
1.78,-10.644594406232299
1.79,-9.37051521459366
1.8,-9.16785452644591
1.81,-10.104696194909826
1.82,-10.271729445343878
1.83,-9.524683381115349
1.84,-9.806979478258091
1.85,-10.114033580223287
1.86,-10.084358492807038
1.87,-10.075898484698797
1.88,-10.489796705550372
1.89,-10.651819852952853
1.9,-9.170139785736811
1.91,-10.136143747888655
1.92,-10.214834768307632
1.93,-10.183957671807063
1.94,-10.428818036722092
1.95,-10.218272342167902
1.96,-9.87281315874756
1.97,-9.546136899795508
1.98,-10.16685103971321
1.99,-10.368264481543823
2.0,-9.562859681252531
2.01,-10.220851415667742
2.02,-9.75466945501455
2.03,-10.25272311470089
2.04,-11.346610211583636
2.05,-10.316819519766016
2.06,-9.49932541506896
2.07,-9.386121884209835
2.08,-10.46323162325251
2.09,-11.233804864529784
2.1,-9.63569943513082
2.11,-10.334224374078003
2.12,-8.94899417629092
2.13,-9.032577572320125
2.14,-9.464578651386722
2.15,-8.779830944951328
2.16,-9.626862105041482
2.17,-8.968325902349113
2.18,-8.934152840534727
2.19,-8.637513105714532
2.2,-8.830967532910218
2.21,-8.409798650461042
2.22,-8.390276655578653
2.23,-8.451779832418008
2.24,-8.078371830584139
2.25,-8.603187134593057
2.26,-8.723926250592804
2.27,-8.469332054448124
2.28,-8.382619288942163
2.29,-8.154626488789102
2.3,-8.738412394107433
2.31,-8.980989180081764
2.32,-8.812669886290864
2.33,-9.645350424610458
2.34,-8.841964651456339
2.35,-9.333949545204565
2.36,-8.855179598936987
2.37,-9.340162628186267
2.38,-9.858781690513748
2.39,-9.002633943119616
2.4,-8.554080003499681
2.41,-8.73768751285201
2.42,-8.582514073046655
2.43,-9.955813213519065
2.44,-8.980989180081764
2.45,-8.964604919711535
2.46,-8.969070290200456
2.47,-10.158310341249203
2.48,-8.663346900945605
2.49,-8.865471809615032
2.5,-8.651855727266177
2.51,-9.63569943513082
2.52,-9.262816706247888
