seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-26.264683183171726
0.21,-33.93129040731416
0.22,-38.898139901556405
0.23,-46.22659904607586
0.24,-42.59687322722811
0.25,-42.009531739778
0.26,-40.48176482250891
0.27,-39.231338166316874
0.28,-39.91243882367998
0.29,-35.565145845099615
0.3,-37.20623000296671
0.31,-38.267798872635105
0.32,-34.731509259139564
0.33,-33.28383172481285
0.34,-31.31144461845686
0.35,-30.231175374456143
0.36,-30.282980038785997
0.37,-31.875269189522314
0.38,-34.68825992677172
0.39,-40.34278762340235
0.4,-41.03113891947621
0.41,-43.1122890523966
0.42,-43.782281480619325
0.43,-45.05997690458577
0.44,-44.073921478079264
0.45,-44.59785251903888
0.46,-44.55296410058984
0.47,-44.91873981483603
0.48,-46.17248117855736
0.49,-46.22659904607586
0.5,-45.251938079596485
0.51,-50.754526593417395
0.52,-45.54807663661845
0.53,-44.41967417596249
0.54,-42.52567701190371
0.55,-46.17248117855736
0.56,-8.546276925183333
0.57,-6.429263437480462
0.58,-5.997304815562062
0.59,-4.802310830679013
0.6,-4.956648065458919
0.61,-6.613467134177371
0.62,-13.066371112933615
0.63,-17.297020735741217
0.64,-18.381455819242372
0.65,-9.720511418034029
0.66,-4.3179811292139725
0.67,-4.666530322996139
0.68,-4.430703878572315
0.69,-4.359478832710126
0.7,-4.6429741251233665
0.71,-5.608535509289888
0.72,-7.459332226004278
0.73,-7.395128221109951
0.74,-6.447620379088903
0.75,-7.076847761026423
0.76,-5.8323331544679
0.77,-5.497514558826668
0.78,-8.385403004898388
0.79,-8.784931077419
0.8,-15.922372959519823
0.81,-7.843729181137853
0.82,-5.621184251350514
0.83,-7.148386447387551
0.84,-7.986145622118483
0.85,-8.863265308996517
0.86,-13.434379396952515
0.87,-12.846075672629244
0.88,-11.462883641276475
0.89,-13.133443953085369
0.9,-12.548780454293782
0.91,-12.508406975926018
0.92,-12.112531306176118
0.93,-14.423421384766357
0.94,-11.95468836800449
0.95,-12.240686983812632
0.96,-14.417843674099126
0.97,-13.778432572381327
0.98,-19.192605037970534
0.99,-14.70265245639133
1.0,-12.719052954205786
1.01,-12.598382035432515
1.02,-10.93653828005458
1.03,-14.709857674256238
1.04,-13.012846118671417
1.05,-11.212575038158494
1.06,-12.598382035432515
1.07,-12.437092022796694
1.08,-12.28746438466926
1.09,-13.952404704282246
1.1,-13.20709967602192
1.11,-12.355357463265959
1.12,-14.619505823944028
1.13,-13.423183834107494
1.14,-13.94976260855448
1.15,-17.051954033898433
1.16,-15.40594079765635
1.17,-14.704093021887306
1.18,-14.56404109255528
1.19,-13.30097573925119
1.2,-11.744155036048177
1.21,-12.286373672086919
1.22,-14.974794553949176
1.23,-20.743442060802266
1.24,-20.047311489891474
1.25,-22.164580840646426
1.26,-16.711359856937108
1.27,-17.858501451122994
1.28,-17.796577070696205
1.29,-14.415056161354386
1.3,-15.173234723831996
1.31,-19.522457428406852
1.32,-20.495785632071623
1.33,-20.241357429719706
1.34,-15.016510742174729
1.35,-17.469606745153172
1.36,-14.123192675668044
1.37,-15.674001028649089
1.38,-14.881659282038743
1.39,-14.945119466532926
1.4,-14.377512034985765
1.41,-14.884600660203684
1.42,-14.252156444412869
1.43,-15.186931267492245
1.44,-15.560374688902707
1.45,-17.945944031623966
1.46,-17.267941734232256
1.47,-16.76781515135113
1.48,-16.32959861247398
1.49,-16.85042489033991
1.5,-17.841945068434516
1.51,-15.998959793328677
1.52,-16.23801273442975
1.53,-15.787501294886956
1.54,-16.39236324266051
1.55,-15.816928391260024
1.56,-16.366156173685166
1.57,-16.084668212772556
1.58,-19.821076257117518
1.59,-21.70427163096415
1.6,-20.501400299130776
1.61,-15.410627850367295
1.62,-12.79157488464704
1.63,-14.129932716076134
1.64,-15.624206610485256
1.65,-15.4356682702701
1.66,-15.78260645697885
1.67,-15.728944513750555
1.68,-15.026971169669782
1.69,-16.941280365394352
1.7,-20.25772531704709
1.71,-15.800567697709184
1.72,-15.907467243831546
1.73,-11.767753829334355
1.74,-11.202942243960523
1.75,-6.907873554178354
1.76,-5.312317867258509
1.77,-9.721323145490164
1.78,-13.218019982935342
1.79,-13.20225060980355
1.8,-13.37359962844998
1.81,-14.575389635261383
1.82,-14.954011352282759
1.83,-14.640933076743089
1.84,-17.269877308532873
1.85,-17.256337337532155
1.86,-17.20815187257032
1.87,-19.722958743434745
1.88,-21.588927985796428
1.89,-13.50185751512723
1.9,-16.039187837315506
1.91,-18.496619735062797
1.92,-16.85780614392884
1.93,-15.561964783120068
1.94,-19.006215659798567
1.95,-20.211429510990037
1.96,-11.841009376020029
1.97,-7.878458370086782
1.98,-9.874465410918809
1.99,-17.422196722667906
2.0,-16.084668212772556
2.01,-16.98425678127827
2.02,-18.50331062483112
2.03,-21.717182654728326
2.04,-20.04997709974454
2.05,-24.201971310261882
2.06,-17.469606745153172
2.07,-15.876083373399432
2.08,-14.905218244474492
2.09,-13.074726947765674
2.1,-16.162706027420196
2.11,-16.976767330813757
2.12,-17.72080671713998
2.13,-16.68779382655812
2.14,-19.130029779633567
2.15,-18.837643238409985
2.16,-12.703018870679305
2.17,-14.326324833153098
2.18,-14.773522650952216
2.19,-15.952261349455846
2.2,-14.422026621272703
2.21,-15.088493664966904
2.22,-17.63559057816548
2.23,-12.56903778577237
2.24,-15.083977213021102
2.25,-15.498586978121063
2.26,-14.041382564517242
2.27,-13.766784949874133
2.28,-15.514388127900007
2.29,-12.945517882001592
2.3,-13.868253737742652
2.31,-14.808446697217462
2.32,-11.470823211882369
2.33,-14.089570702750207
2.34,-13.838210026057178
2.35,-12.704163181284752
2.36,-14.865499482702074
2.37,-18.35509498068411
2.38,-21.956243906149766
2.39,-20.714613990402935
