seconds_elapsed,dBFS
0.0,-28.09720449320938
0.01,-29.632484820128152
0.02,-28.9824801919536
0.03,-31.53860419566452
0.04,-32.81936234520502
0.05,-31.478770046506295
0.06,-30.484477185344456
0.07,-23.119878296774626
0.08,-26.839445830134462
0.09,-26.21032825211146
0.1,-27.306155462223188
0.11,-21.30709718176231
0.12,-19.560173031035404
0.13,-19.74352315585348
0.14,-20.40088743627049
0.15,-19.808102558457453
0.16,-18.543564562347775
0.17,-18.025824509010853
0.18,-17.794520508679238
0.19,-17.41825754362621
0.2,-19.659006977301107
0.21,-23.737329704910316
0.22,-27.43621399370349
0.23,-28.864000746924063
0.24,-21.801575370415534
0.25,-17.81304711997913
0.26,-19.190189942824134
0.27,-18.72934184513855
0.28,-16.188305484907346
0.29,-19.28732139547875
0.3,-23.112289052396594
0.31,-26.491164360750965
0.32,-26.40761876982255
0.33,-27.361656543318627
0.34,-25.83388962604953
0.35,-25.990962435113723
0.36,-25.985680653474496
0.37,-26.55294592482597
0.38,-26.851104744150835
0.39,-26.485569584623185
0.4,-28.482695505249897
0.41,-27.5682496034041
0.42,-31.321198566296097
0.43,-28.39863785273134
0.44,-30.17112454023635
0.45,-28.52503136309138
0.46,-31.46883763874809
0.47,-29.386902954273584
0.48,-30.645497258438095
0.49,-28.9824801919536
0.5,-25.943541627765406
0.51,-22.37106971634388
0.52,-24.575379312095755
0.53,-21.503414434482593
0.54,-22.0497132592611
0.55,-22.909846552273294
0.56,-20.921395982195854
0.57,-20.848022597423604
0.58,-20.61446261322112
0.59,-20.3070148608799
0.6,-18.074532539047517
0.61,-17.215843606203865
0.62,-18.194280821659426
0.63,-18.055440332864322
0.64,-18.100054270351933
0.65,-21.713953099146195
0.66,-21.01920775051493
0.67,-21.19383463711162
0.68,-20.42034072466638
0.69,-21.341056630039006
0.7,-20.900788879675744
0.71,-20.74055494439275
0.72,-24.023225480244403
0.73,-23.71697373206398
0.74,-22.229439425807264
0.75,-22.388500767022492
0.76,-26.758268700597117
0.77,-25.05523181316043
0.78,-24.095132452327142
0.79,-24.48606346455664
0.8,-29.14807409128872
0.81,-26.341356099028474
0.82,-24.441747604965446
0.83,-26.97447758759332
0.84,-24.544014187754634
0.85,-27.374038426581556
0.86,-25.65924137213463
0.87,-29.193789405439663
0.88,-26.091931392896495
0.89,-26.798762431925404
0.9,-29.301403573965196
0.91,-25.28110169839227
0.92,-25.954057233938485
0.93,-28.23976625730026
0.94,-26.028025110955525
0.95,-27.12367207732447
0.96,-26.37994786512657
0.97,-28.87135855307185
0.98,-24.788958899953354
0.99,-25.47309007329038
1.0,-25.628782347450773
1.01,-26.886175678626714
1.02,-26.897897528770187
1.03,-25.198724442803687
1.04,-12.057118744152245
1.05,-14.69113652545278
1.06,-13.368656740487273
1.07,-12.258063112914531
1.08,-10.523562866360496
1.09,-8.878722597292574
1.1,-6.296912866303314
1.11,-6.146086008487352
1.12,-4.186505284463763
1.13,-4.854997563402644
1.14,-6.805723209355287
1.15,-4.68333044933504
1.16,-2.6108247425887865
1.17,-5.050489312557726
1.18,-5.820409462740405
1.19,-12.564532071943898
1.2,-10.459695743033492
1.21,-12.419354398992546
1.22,-13.015218016457338
1.23,-13.538313288956985
1.24,-13.843427560160944
1.25,-17.42613768899598
1.26,-18.025824509010853
1.27,-16.635452722820517
1.28,-13.640956114557186
1.29,-12.585955059778424
1.3,-15.952261349455846
1.31,-16.224271953018604
1.32,-16.90037051198225
1.33,-16.490907618095022
1.34,-14.441573720815244
1.35,-14.799702512279573
1.36,-16.540602259140144
1.37,-18.174923872520875
1.38,-18.606554973058046
1.39,-20.554921435919834
1.4,-17.782191351693513
1.41,-13.297299172153728
1.42,-14.994137870773468
1.43,-10.14551501906583
1.44,-8.899375197873983
1.45,-5.136253044712829
1.46,-5.088978232490424
1.47,-5.359844782898126
1.48,-5.731756128583099
1.49,-4.188651697511991
1.5,-4.103206223272368
1.51,-5.039591377970666
1.52,-5.918879949737221
1.53,-6.778491968494361
1.54,-5.914165478268309
1.55,-7.926521402982017
1.56,-7.668289932644383
1.57,-9.988399437673884
1.58,-10.108090446472387
1.59,-11.49568124967778
1.6,-10.916021889579852
1.61,-13.577453202381378
1.62,-18.59527313014442
1.63,-18.00894640870259
1.64,-21.206008275597796
1.65,-22.788415064630755
1.66,-13.744826409835449
1.67,-16.691415210658135
1.68,-16.51571939887895
1.69,-12.609694735179705
1.7,-10.595979225375379
1.71,-10.792094189843016
1.72,-9.979196066777794
1.73,-8.486919817388639
1.74,-12.571291519474187
1.75,-9.638915240290864
1.76,-11.137721034755009
1.77,-10.18738304487248
1.78,-11.139632331855484
1.79,-11.935812830757893
1.8,-15.083977213021102
1.81,-16.510396618829997
1.82,-19.598053115661
1.83,-20.42034072466638
1.84,-21.267133718839727
1.85,-21.966210504647844
1.86,-20.617308113537497
1.87,-22.984276224828495
1.88,-26.485569584623185
1.89,-23.24606777491477
1.9,-23.161738086891503
1.91,-21.31943071544706
1.92,-24.46830997929963
1.93,-23.64811810272461
1.94,-23.547841190799232
1.95,-25.088502019346407
1.96,-24.459446825838675
1.97,-26.028025110955525
1.98,-25.9382885948638
1.99,-26.232029424269662
2.0,-26.199497964376537
2.01,-27.612711292785153
2.02,-28.36385250532596
2.03,-27.78637055395467
2.04,-26.107981701691614
2.05,-26.156311351415127
2.06,-24.455018638315764
2.07,-26.043957655266425
2.08,-20.30152441212688
2.09,-18.093666803728937
2.1,-20.642959652031013
2.11,-23.968636678232123
2.12,-22.28788418375748
2.13,-24.733926680137778
2.14,-24.271044355290194
2.15,-25.285971835687263
2.16,-24.31449561968162
2.17,-24.761399205849266
2.18,-25.583293150233786
2.19,-27.220519236901417
2.2,-26.886175678626714
2.21,-26.36338753668197
2.22,-27.20835412337495
2.23,-25.24223859267223
2.24,-23.972823658133912
2.25,-25.730730579300594
2.26,-25.528016836390528
2.27,-24.279717236328363
2.28,-24.75681441311253
2.29,-26.97447758759332
2.3,-25.14583483237847
2.31,-26.78717351808073
2.32,-27.663804908573468
2.33,-24.561923244899425
2.34,-23.35459435851359
2.35,-27.42997637071509
2.36,-27.063686413233924
2.37,-26.586831102930255
2.38,-27.312304764878657
2.39,-28.696468960758242
2.4,-26.816174845985387
2.41,-28.682052543111705
2.42,-28.732615037217386
2.43,-28.103940352126294
2.44,-28.768912163327354
2.45,-27.90410278826705
2.46,-27.141748857289365
2.47,-29.24742982952596
2.48,-27.15382097825708
2.49,-25.37410450471753
2.5,-21.720413411558603
2.51,-16.381870924527714
2.52,-7.5562205987392295
2.53,-3.6893659451779226
2.54,-1.8851493330793767
2.55,-2.4920621612873557
2.56,-3.1598309862936413
2.57,-4.29448103769795
2.58,-4.8406388037652786
2.59,-4.99990598233068
2.6,-1.7738951288158629
2.61,-1.9652133300140582
2.62,-3.7597765131315253
2.63,-4.352475847487791
2.64,-4.355101305332889
2.65,-5.107570939492861
2.66,-5.186194166503698
2.67,-5.528517767192483
2.68,-6.146086008487352
2.69,-5.862474479378127
2.7,-4.422761081154103
2.71,-6.192465512007526
2.72,-3.421939314423226
2.73,-3.869577588668331
2.74,-3.241831788662532
2.75,-4.255022319358583
2.76,-4.621286499278967
2.77,-5.946169336040802
2.78,-5.995718786225406
2.79,-6.219002215771332
2.8,-6.094069721227841
2.81,-3.3028751216121384
2.82,-4.681967065739608
2.83,-5.047645054614483
2.84,-3.0382632817410764
2.85,-3.950237906473237
2.86,-3.3917261291190783
2.87,-3.906488579721656
2.88,-5.321117666147347
2.89,-5.384445143848061
2.9,-5.075654123710658
2.91,-4.817067854054423
2.92,-4.653385334211832
2.93,-4.1976724288882785
2.94,-4.424966685299436
2.95,-4.334993046560932
2.96,-3.641262466003731
2.97,-3.6893659451779226
2.98,-4.5866086473871075
2.99,-5.000377362660108
3.0,-4.99095461315923
3.01,-3.453835850808536
3.02,-4.507861053127046
3.03,-6.343556729807426
3.04,-4.888438813947891
3.05,-2.177854474070904
3.06,-1.7307599162222334
3.07,-3.049929520308648
3.08,-5.071850986596397
3.09,-5.51150230613363
3.1,-3.4160453808062425
3.11,-3.108496915406408
3.12,-5.970381624373932
3.13,-5.926218661998344
3.14,-6.0301477623927955
3.15,-6.143397128288166
3.16,-6.118698408341739
3.17,-4.887508149676341
3.18,-5.850509367332688
3.19,-4.5610269145092746
3.2,-5.034857407045729
3.21,-4.869844448509881
3.22,-6.716814024670349
3.23,-4.997078237442525
3.24,-4.731641220411906
3.25,-5.403681910045133
3.26,-5.86507777315996
3.27,-6.150389948934939
3.28,-5.915212917478269
3.29,-5.440795866120133
3.3,-7.041596294676683
3.31,-6.661847103903707
3.32,-6.42981913881062
3.33,-7.802627136723829
3.34,-6.278871358129596
3.35,-5.7348335031549045
3.36,-6.294724019914092
3.37,-7.1435586061526815
3.38,-6.125134784803777
3.39,-6.831875919468966
3.4,-5.765152568913625
3.41,-5.120466167453319
3.42,-6.648729437555769
3.43,-6.121379652270443
3.44,-5.86507777315996
3.45,-6.5388660228320745
3.46,-6.611764519325685
3.47,-6.139096650597611
3.48,-5.923596981486434
3.49,-7.271187324492584
3.5,-6.457649632463445
3.51,-5.314272607817692
3.52,-6.418156870353612
3.53,-5.742018286721613
3.54,-4.273645310434071
3.55,-4.863345813377055
3.56,-5.701042201112742
3.57,-4.875883252148844
3.58,-4.544014187754637
3.59,-3.7781853288631218
3.6,-3.467259501102788
3.61,-6.5130184863978275
3.62,-7.9463507007762715
3.63,-6.254874159387222
3.64,-7.057113210345925
3.65,-3.4791211512137816
3.66,-5.452705903483757
3.67,-2.385011757279632
3.68,-2.050720182728204
3.69,-3.600643114123403
3.7,-6.493403280633981
3.71,-6.439827847010137
3.72,-4.116821140016308
3.73,-4.723875152424216
3.74,-4.546698193432294
3.75,-6.699026234554118
3.76,-7.413779483672894
3.77,-7.219910576403075
3.78,-7.753948382534892
3.79,-8.395153042398514
3.8,-7.669571793573225
3.81,-8.735513231985037
3.82,-7.620993580814671
3.83,-5.403188127057702
3.84,-4.957117103968526
3.85,-3.8865620450238056
3.86,-5.674511032624028
3.87,-7.6420533874695
3.88,-8.411194759061342
3.89,-10.308130153657105
3.9,-5.9215002066692355
3.91,-6.69386885312319
3.92,-5.979346752145159
3.93,-5.658224348582383
3.94,-5.85935155641613
3.95,-7.179832994385231
3.96,-6.768663357344974
3.97,-7.664445484527005
3.98,-5.795577837571476
3.99,-7.904102788267052
4.0,-12.452642213002832
4.01,-11.124353718174438
4.02,-8.333356212900519
4.03,-5.2747745995052195
4.04,-4.340234192979162
4.05,-5.8708077674316765
4.06,-7.629283773822766
4.07,-6.787752596692772
4.08,-5.961425740405532
4.09,-9.207551050206005
4.1,-6.73003499685832
4.11,-7.334478371231425
4.12,-5.858310831560097
4.13,-6.336956509400123
4.14,-4.454133271652945
4.15,-4.79770439779736
4.16,-5.147273012634771
4.17,-6.395432710044392
4.18,-6.906699309261322
4.19,-6.283241617159183
4.2,-5.606007969729476
4.21,-7.130898275443482
4.22,-7.203492844592363
4.23,-6.032270932688888
4.24,-6.126207978063691
4.25,-6.182197543593023
4.26,-5.339234187645497
4.27,-5.590353619468455
4.28,-6.908460736172025
4.29,-7.159258911497384
4.3,-10.945879956194949
4.31,-11.603893063513413
4.32,-10.324647388592286
4.33,-6.281602512331913
4.34,-5.8525890727509955
4.35,-7.357945417588998
4.36,-3.480703929157766
4.37,-5.335803838227643
4.38,-6.719686437685734
4.39,-6.5253707555796145
4.4,-8.633931147794138
4.41,-10.837206230649219
4.42,-7.937091394719118
4.43,-7.945688994331882
4.44,-7.2126099753108965
4.45,-6.607793048766508
4.46,-6.97092822175844
4.47,-7.47624120572893
4.48,-6.707054919592478
4.49,-6.232572648863361
4.5,-6.948482523701776
4.51,-6.834786642876141
4.52,-6.708202480650833
4.53,-7.338796486974383
4.54,-6.810947455627834
4.55,-5.764637803770613
4.56,-6.5619690547251395
4.57,-5.666872846901205
4.58,-6.0988828855749135
4.59,-6.010003486885416
4.6,-6.157388403885732
4.61,-5.852069099711356
4.62,-5.9946615942038886
4.63,-7.784421807065877
4.64,-15.305004142610715
4.65,-30.50222160344233
4.66,-30.12848385745615
4.67,-30.609456170884485
4.68,-31.937908088188884
4.69,-32.107187787312995
4.7,-32.66989927240235
4.71,-31.36032426145334
4.72,-31.679841285414255
4.73,-32.03272165152002
4.74,-31.79244720669951
4.75,-31.854489539329155
4.76,-32.18229786309254
4.77,-32.66989927240235
4.78,-31.478770046506295
4.79,-31.60893567012126
4.8,-32.65850794009675
4.81,-32.18229786309254
4.82,-32.55665269247964
4.83,-32.90092059361382
4.84,-32.85422214974098
4.85,-32.534179485536505
4.86,-30.88348172443225
4.87,-28.26032458556763
4.88,-26.09727820109122
4.89,-29.14807409128872
4.9,-29.386902954273584
4.91,-29.16328581083006
4.92,-29.23974660068525
4.93,-30.11148602495115
4.94,-30.11148602495115
4.95,-30.11148602495115
4.96,-31.17602711509029
4.97,-30.911365824264358
4.98,-31.19524369292424
4.99,-32.4005477784062
5.0,-30.50222160344233
5.01,-30.449096730567526
5.02,-31.7206201849085
5.03,-31.282248323276
5.04,-29.15567662099777
5.05,-30.818764844447788
5.06,-31.41934525619098
5.07,-29.78650836428535
5.08,-29.86868390283995
5.09,-31.782149766681258
5.1,-30.10299956639812
5.11,-29.355714807163157
5.12,-31.885677686439582
5.13,-31.20486794835552
5.14,-30.308998699194355
5.15,-32.03272165152002
5.16,-26.204911420231465
5.17,-24.279717236328363
5.18,-28.682052543111705
5.19,-29.02732997992244
5.2,-29.75385460538329
5.21,-33.198615585838354
5.22,-30.892766481744005
5.23,-32.467106645384746
5.24,-32.25806311291453
5.25,-32.590471903165735
5.26,-30.90206117459249
5.27,-30.308998699194355
5.28,-29.23974660068525
5.29,-33.15029340480577
5.3,-30.87420688143879
5.31,-30.043825393524028
5.32,-31.64938226073039
5.33,-31.253149838312517
5.34,-30.01019170333563
5.35,-30.83720623064922
5.36,-31.761591438413884
5.37,-30.892766481744005
5.38,-29.934988725869488
5.39,-33.30833354539897
5.4,-30.995559274792225
5.41,-30.95803917481711
5.42,-31.41934525619098
5.43,-31.802756869201367
5.44,-25.003206181977756
5.45,-27.792869536403817
5.46,-28.301587796843094
5.47,-26.96856278338923
5.48,-28.51796104146527
5.49,-28.13093614584809
5.5,-28.219256472946455
5.51,-30.422655645801623
5.52,-28.952708475957554
5.53,-29.102598125428653
5.54,-30.74538836044608
5.55,-28.36385250532596
5.56,-29.496951896912897
5.57,-29.860431275484626
5.58,-30.205388449118754
5.59,-28.97502769073445
5.6,-29.102598125428653
5.61,-30.001803591010074
5.62,-29.324638245790723
5.63,-30.094521391358896
5.64,-32.21468779362074
5.65,-30.582523158179047
5.66,-30.7911759711585
5.67,-32.76157178179887
5.68,-30.01858792403588
5.69,-30.47561855159539
5.7,-31.588782784890164
5.71,-30.864941931613068
5.72,-29.301403573965196
5.73,-25.943541627765406
5.74,-23.83158656838418
5.75,-28.08374842601305
5.76,-29.97668774805081
5.77,-30.484477185344456
5.78,-30.10299956639812
5.79,-30.818764844447788
5.8,-31.128170852772485
5.81,-30.663574038402984
5.82,-30.326387873446933
5.83,-29.901773046240198
5.84,-30.87420688143879
5.85,-30.7636744506485
5.86,-30.645497258438095
5.87,-30.08605148367841
5.88,-31.109101932626032
5.89,-30.95803917481711
5.9,-31.137721034755007
5.91,-31.79244720669951
5.92,-32.225511333511086
5.93,-31.927436851672873
5.94,-32.467106645384746
5.95,-31.710407497502597
5.96,-33.41945518428073
5.97,-33.407037898909216
5.98,-33.519437751710385
5.99,-32.37847434940325
6.0,-30.4933448631316
6.01,-26.08124764045718
6.02,-27.753948382534894
6.03,-27.07565045043964
6.04,-28.178381622746727
6.05,-29.034827511366007
6.06,-29.426046281619897
6.07,-29.355714807163157
6.08,-30.449096730567526
6.09,-29.943312530663736
6.1,-29.86868390283995
6.11,-30.094521391358896
6.12,-30.36127101124809
6.13,-30.87420688143879
6.14,-31.508635599041092
6.15,-26.270137431161352
6.16,-23.71697373206398
6.17,-27.80588210758375
6.18,-30.7636744506485
6.19,-30.846441627200385
6.2,-28.02345276796263
6.21,-28.732615037217386
6.22,-29.69700425987533
6.23,-31.090074784517725
6.24,-30.001803591010074
6.25,-30.162579640739466
6.26,-32.47824954574307
6.27,-31.23380486452978
6.28,-31.023806095257378
6.29,-30.582523158179047
6.3,-29.209081468611522
6.31,-29.552503687427517
6.32,-30.08605148367841
6.33,-30.449096730567526
6.34,-29.968331913218748
6.35,-28.77618982578752
6.36,-30.077589827248794
6.37,-30.948684419321516
6.38,-29.592402194137794
6.39,-30.582523158179047
6.4,-31.262838505951855
6.41,-31.03324215228325
6.42,-31.08057681786539
6.43,-29.14047821005425
6.44,-14.037378927830517
6.45,-13.092659421903605
6.46,-11.49568124967778
6.47,-11.760564798185984
6.48,-7.9463507007762715
6.49,-8.224037759385473
6.5,-11.802756869201367
6.51,-16.108344717879287
6.52,-16.298385559622524
6.53,-17.384846455060654
6.54,-18.881810844117563
6.55,-18.86551242693317
6.56,-19.353504591437904
6.57,-18.291717972997567
6.58,-14.974794553949176
6.59,-13.281385339882426
6.6,-13.341521022302324
6.61,-11.818244343684562
6.62,-11.23477109064325
6.63,-11.033242152283254
6.64,-9.11394481500838
6.65,-10.425296135148015
6.66,-13.65754320227076
6.67,-14.714183675659546
6.68,-13.385969168618049
6.69,-13.050874427934394
6.7,-13.016404208284113
6.71,-11.985185499583606
6.72,-9.262046714701082
6.73,-10.742648764259336
6.74,-12.016847343772746
6.75,-9.647764848430887
6.76,-10.64188641255859
6.77,-12.086912343113639
6.78,-13.625673020341955
6.79,-14.072138575664809
6.8,-13.14066114472459
6.81,-14.69113652545278
6.82,-10.856611918001889
6.83,-12.843749510419823
6.84,-12.027426991412117
6.85,-13.232601782059096
6.86,-12.648268498640762
6.87,-12.210362151281304
6.88,-11.77597715741658
6.89,-11.063506606728062
6.9,-11.969397752786712
6.91,-11.733914655661291
6.92,-10.72258475155387
6.93,-10.653627154174119
6.94,-10.97865517025852
6.95,-11.763645082976726
6.96,-11.899227406028402
6.97,-10.953360537678371
6.98,-10.62475536396568
6.99,-10.030356284970281
7.0,-9.306045538788288
7.01,-9.014599010376209
7.02,-8.731166302389896
7.03,-10.067446708574055
7.04,-10.583419581074534
7.05,-9.09957484324078
7.06,-9.191497916272416
7.07,-9.342493680569914
7.08,-10.295112381867268
7.09,-10.343811930720383
7.1,-9.894316990964047
7.11,-9.763637849861983
7.12,-9.176999173338734
7.13,-8.481287857627006
7.14,-8.239081816999047
7.15,-8.728269557444568
7.16,-8.697190410124335
7.17,-9.140478210054251
7.18,-9.386902954273584
7.19,-9.899286983263329
7.2,-8.988446800217123
7.21,-8.941570338541494
7.22,-9.776699340500846
7.23,-9.794691021167544
7.24,-10.047195936693239
7.25,-9.65904104205215
7.26,-8.789305004311963
7.27,-7.908713657633014
7.28,-5.927792050217131
7.29,-5.792995287783454
7.3,-5.43088329484393
7.31,-4.275813368163936
7.32,-3.8147091679809906
7.33,-3.6881499733187217
7.34,-3.7471175428938257
7.35,-3.7287743850469894
7.36,-3.8439566957606157
7.37,-4.665623133101527
7.38,-5.707687675073423
7.39,-7.307999795946659
7.4,-8.790763469538808
7.41,-10.723495747373894
7.42,-11.567672458845792
7.43,-12.247198959355485
7.44,-12.324630342166902
7.45,-11.735961766120466
7.46,-11.77494881554146
7.47,-13.255739812302973
7.48,-14.351189038027378
7.49,-14.37057719259098
7.5,-12.795043459590199
7.51,-13.53453489856692
7.52,-14.248054489371784
7.53,-15.825120308907765
7.54,-15.609803473745451
7.55,-15.331289899004021
7.56,-24.279717236328363
7.57,-31.38978462764298
7.58,-33.29607399553303
7.59,-36.43445972072142
7.6,-36.364411844
7.61,-34.19898153602635
7.62,-34.559789208826054
7.63,-36.277638998075815
7.64,-37.07274498844913
7.65,-35.75817355862323
7.66,-36.005651542225195
7.67,-36.97863908809674
7.68,-38.09579543739675
7.69,-36.75685964478449
