seconds_elapsed,dBFS
0.0,-19.76929732799444
0.01,-15.792398892782751
0.02,-14.380287522990866
0.03,-13.204674804527091
0.04,-14.586753024797828
0.05,-18.000519641475478
0.06,-22.026251455504827
0.07,-24.733926680137778
0.08,-25.45817013322667
0.09,-25.700020271628876
0.1,-23.82746710440463
0.11,-27.930483642678823
0.12,-24.839713246767428
0.13,-19.319124434894096
0.14,-18.900475132014904
0.15,-15.413753957882797
0.16,-18.38365617128405
0.17,-18.62916271522803
0.18,-20.23590831433517
0.19,-19.552616797728874
0.2,-19.98093573024629
0.21,-17.8171695166574
0.22,-16.928242681491238
0.23,-18.272142903552393
0.24,-17.38288509349918
0.25,-18.185672407041945
0.26,-17.804808191556734
0.27,-20.32075618574885
0.28,-20.04464669783558
0.29,-22.991754391143253
0.3,-22.318985472902146
0.31,-24.463877272064835
0.32,-24.103631366545404
0.33,-23.35459435851359
0.34,-22.45154379115277
0.35,-23.93521330023944
0.36,-23.42115322549214
0.37,-18.320071184688842
0.38,-16.77695530755399
0.39,-16.219124759008384
0.4,-18.110710497474404
0.41,-20.08738178841199
0.42,-18.248277574183923
0.43,-17.918784282424383
0.44,-22.0497132592611
0.45,-23.19613769477698
0.46,-22.11371661386743
0.47,-22.24315579602927
0.48,-22.246588275678
0.49,-24.052762174952594
0.5,-25.523009116656507
0.51,-29.394717520377004
0.52,-25.349533371958227
0.53,-27.33694560307249
0.54,-27.349292285518256
0.55,-22.969339179637338
0.56,-22.05642828830685
0.57,-19.262936512427274
0.58,-18.040619798502895
0.59,-18.070286198391905
0.6,-18.15132381205456
0.61,-18.123515251102603
0.62,-17.93130899928535
0.63,-19.748671875410327
0.64,-18.987323015834438
0.65,-24.720222933453947
0.66,-22.09008152543887
0.67,-19.615787182625468
0.68,-18.64956011709824
0.69,-17.979488421423046
0.7,-17.297020735741217
0.71,-17.933398209070063
0.72,-18.89347132329939
0.73,-17.027446895492865
0.74,-18.237451336165023
0.75,-15.362316506876256
0.76,-16.59595501688387
0.77,-20.337274522844005
0.78,-28.945281464271126
0.79,-22.94326100115174
0.8,-22.2740970544531
0.81,-25.771847293419885
0.82,-27.734553012425817
0.83,-28.405611670559253
0.84,-26.028025110955525
0.85,-24.59785251903888
0.86,-26.19408788034111
0.87,-24.661088604343846
0.88,-25.518004282384897
0.89,-26.810366828625504
0.9,-27.838499080339716
0.91,-27.78637055395467
0.92,-27.638220531790004
0.93,-25.694912426942977
0.94,-27.12367207732447
0.95,-28.489737167279724
0.96,-28.44757257167309
0.97,-27.561916471779696
0.98,-31.730844894315304
0.99,-33.55722993448413
1.0,-29.68891307192362
1.01,-29.193789405439663
1.02,-33.544614261041836
1.03,-33.39463833986118
1.04,-30.77283195243303
1.05,-24.900080538835105
1.06,-24.292742816832018
1.07,-23.555820878671515
1.08,-22.465615709399636
1.09,-22.11709831125804
1.1,-21.662442853962276
1.11,-20.2604562995057
1.12,-20.181604357284275
1.13,-16.265559682040134
1.14,-15.691738858264479
1.15,-18.132062252666124
1.16,-19.808102558457453
1.17,-19.132428202854122
1.18,-15.919058366982723
1.19,-15.585851193731717
1.2,-20.241357429719706
1.21,-20.62300191225864
1.22,-24.75681441311253
1.23,-25.59842976104338
1.24,-27.281601694245147
1.25,-27.884369596201925
1.26,-29.745710310704958
1.27,-26.270137431161352
1.28,-25.943541627765406
1.29,-24.53507348738924
1.3,-25.73585953701565
1.31,-27.361656543318627
1.32,-24.779762615729474
1.33,-24.441747604965446
1.34,-24.904741601269503
1.35,-20.662963354725502
1.36,-20.467766608942377
1.37,-21.8637696829223
1.38,-21.643204995293843
1.39,-19.39790855451306
1.4,-20.340030635714363
1.41,-19.815884452038816
1.42,-19.101300239754046
1.43,-20.106144711142896
1.44,-20.509829110697662
1.45,-22.236294903383396
1.46,-21.26406720878561
1.47,-20.222300463145075
1.48,-20.749219174176567
1.49,-20.398111948265388
1.5,-19.562693236954164
1.51,-21.20296326605283
1.52,-23.378027528224877
1.53,-21.393801969421734
1.54,-24.99378036484215
1.55,-22.77016355625918
1.56,-24.450592707194232
1.57,-22.11371661386743
1.58,-24.76598641991842
1.59,-24.839713246767428
1.6,-21.456268183549724
1.61,-19.365816272646008
1.62,-20.348304225453816
1.63,-23.603853570503723
1.64,-24.965564131134084
1.65,-25.21803715701488
1.66,-24.561923244899425
1.67,-24.262380125506372
1.68,-27.355472214372384
1.69,-22.72288834418272
1.7,-22.026251455504827
1.71,-21.19383463711162
1.72,-20.411998265592473
1.73,-23.089561024675636
1.74,-27.657401745999618
1.75,-27.021941583505612
1.76,-25.548076636618447
1.77,-20.395337346856053
1.78,-18.11924490212865
1.79,-20.033995697557888
1.8,-24.04853649272959
1.81,-26.683563268005127
1.82,-24.82122278818678
1.83,-27.644609564544467
1.84,-26.264683183171726
1.85,-26.001535643525916
1.86,-30.911365824264358
1.87,-30.78199911912889
1.88,-28.768912163327354
1.89,-28.532107444654272
1.9,-25.418508467792684
1.91,-24.665623133101526
1.92,-24.75223203915341
1.93,-20.57755568882723
1.94,-24.078159531170456
1.95,-24.82122278818678
1.96,-25.37410450471753
1.97,-27.34311675049944
1.98,-24.97966079038953
1.99,-27.530319894055882
2.0,-20.409219225530997
2.01,-14.233030539400872
2.02,-18.43220547756893
2.03,-16.61388625702188
2.04,-26.603823393262655
2.05,-26.05991947838884
2.06,-21.341056630039006
2.07,-21.739823228882752
2.08,-16.913366395023626
2.09,-17.23510279289272
2.1,-22.448029370858794
2.11,-17.989997666066337
2.12,-20.331764919336678
2.13,-25.5380409455678
2.14,-26.637908026817122
2.15,-25.573216711008495
2.16,-23.535885387620347
2.17,-22.353673576665358
2.18,-20.395337346856053
2.19,-22.858122684012947
2.2,-26.55294592482597
2.21,-24.848973257919603
2.22,-27.536630021204505
2.23,-22.7847616935409
2.24,-23.18083215841473
2.25,-24.04853649272959
2.26,-23.335114893883535
2.27,-23.15411219558684
2.28,-16.184887861554948
2.29,-14.908167612800984
2.3,-12.326821535326369
2.31,-11.617009934832897
2.32,-12.63917689541576
2.33,-13.894463442717672
2.34,-16.693226469060708
2.35,-16.00899935095351
2.36,-13.426914085244091
2.37,-12.94434133074506
2.38,-12.88571604313537
2.39,-13.769371960954484
2.4,-15.690124830639643
2.41,-16.46969664384715
2.42,-14.462565972162889
2.43,-15.3096370290063
2.44,-16.48560001656228
2.45,-18.252611850540358
2.46,-18.510006672680205
2.47,-16.976767330813757
2.48,-20.569060930557907
2.49,-29.536595460200303
2.5,-29.004876138108116
2.51,-28.805361606820526
2.52,-29.402539123461207
2.53,-26.980396422328702
2.54,-26.183277810945707
2.55,-29.012354304422878
2.56,-29.713209282557244
2.57,-28.71090934585994
2.58,-27.330778837007227
2.59,-29.22440050192641
2.6,-28.52503136309138
2.61,-27.03384821955524
2.62,-26.67784322193863
2.63,-26.14017157042301
2.64,-24.48606346455664
2.65,-28.864000746924063
2.66,-30.40507286725077
2.67,-29.819285345211014
2.68,-34.19898153602635
2.69,-33.198615585838354
2.7,-29.75385460538329
2.71,-29.87694437862951
2.72,-33.29607399553303
2.73,-30.300317149607984
2.74,-28.732615037217386
2.75,-29.064882522800104
2.76,-31.061611985793935
2.77,-31.969397752786712
2.78,-32.912634539607794
2.79,-30.08605148367841
2.8,-27.728097501435194
2.81,-29.41820349134614
2.82,-28.989939092916963
2.83,-30.19680979198875
2.84,-27.367845278627158
2.85,-30.736259731504866
2.86,-29.918365008569246
2.87,-34.37751203498576
2.88,-30.591491553026483
2.89,-23.893614132420623
2.9,-24.010597579345962
2.91,-24.51276191684193
2.92,-25.705131121813444
2.93,-27.689464867082016
2.94,-23.048046808772487
2.95,-18.076656488107638
2.96,-14.309788151074688
2.97,-12.080519391668465
2.98,-14.073478267136284
2.99,-15.40594079765635
3.0,-18.300432184551735
3.01,-19.407807005314297
3.02,-15.07795892791072
3.03,-15.550840231701581
3.04,-20.66582479096883
3.05,-15.787501294886956
3.06,-16.42567278053039
3.07,-16.85042489033991
3.08,-16.755035069704146
3.09,-17.53522096539189
3.1,-15.745170727395424
3.11,-15.525466060979758
3.12,-17.406450714026533
3.13,-20.535164732855545
3.14,-19.25320169533872
3.15,-18.390260573810885
3.16,-18.665457945426184
3.17,-24.078159531170456
3.18,-26.129428353669283
3.19,-25.012642239003625
3.2,-23.484266234420513
3.21,-20.18431150695184
3.22,-18.507774083119507
3.23,-19.89408926880471
3.24,-18.22880005094975
3.25,-17.129701845905657
3.26,-16.15078538493224
3.27,-15.348340816591486
3.28,-15.108092139878144
3.29,-14.070799090792379
3.3,-15.103565488353093
3.31,-14.014726445274823
3.32,-19.328933458678602
3.33,-14.074818165270532
3.34,-16.142280645549086
3.35,-18.94261699729212
3.36,-19.467435772481846
3.37,-19.996819714504753
3.38,-19.949254638692793
3.39,-16.952471120180135
3.4,-19.022780499982304
3.41,-17.839877737795685
3.42,-16.448537340720474
3.43,-19.467435772481846
3.44,-17.569216662949774
3.45,-18.331000957916697
3.46,-20.241357429719706
3.47,-23.977012657317136
3.48,-22.11371661386743
3.49,-16.680555584774186
3.5,-22.958153228782827
3.51,-21.992844146483492
3.52,-24.082399653118493
3.53,-20.7318993486211
3.54,-22.378037939451715
3.55,-22.5754530199776
3.56,-21.337963915162796
3.57,-22.91726088446747
3.58,-24.99378036484215
3.59,-22.690309432580314
3.6,-22.8250335406127
3.61,-22.869180469896055
3.62,-22.741040680231603
3.63,-22.525677011903706
3.64,-20.88023055140837
3.65,-24.46830997929963
3.66,-24.956179052276042
3.67,-24.615873043424045
3.68,-20.192438022097633
3.69,-19.962441053306886
3.7,-20.60024907766833
3.71,-19.255634376950496
3.72,-17.873014219141005
3.73,-20.098098495062114
3.74,-20.033995697557888
3.75,-19.93871990163661
3.76,-19.941352388287477
3.77,-21.365838072349973
3.78,-20.868504745188726
3.79,-18.79831433279707
3.8,-19.562693236954164
3.81,-16.239731861528494
3.82,-14.216670359449255
3.83,-15.60021463416473
3.84,-15.52863378152474
3.85,-18.027936579449968
3.86,-16.724075790917176
3.87,-17.645691625516296
3.88,-20.033995697557888
3.89,-23.547841190799232
3.9,-25.155427201810664
3.91,-22.388500767022492
3.92,-23.342901438231145
3.93,-24.450592707194232
3.94,-25.359353485653273
3.95,-21.98951047166304
3.96,-23.972823658133912
3.97,-25.05523181316043
3.98,-25.669418162564273
3.99,-27.524014347762215
4.0,-25.933038736959606
4.01,-28.36385250532596
4.02,-27.40507057691072
4.03,-28.178381622746727
4.04,-27.010051246757524
4.05,-17.19470770682016
4.06,-16.143980927366805
4.07,-15.77282504869508
4.08,-15.174755495898925
4.09,-16.28627737734383
4.1,-16.74956364297956
4.11,-20.540804921130395
4.12,-22.865492976893073
4.13,-22.561202172419765
4.14,-16.215694990103774
4.15,-18.93323445288742
4.16,-21.267133718839727
4.17,-20.906671636174273
4.18,-23.660229500882252
4.19,-26.05459561083751
4.2,-21.88679610332567
4.21,-20.772366128949145
4.22,-19.73580579449456
4.23,-19.608182434171148
4.24,-17.076530514609757
4.25,-18.15775383552259
4.26,-24.82122278818678
4.27,-24.23643917151656
4.28,-21.453134180398973
4.29,-23.547841190799232
4.3,-24.93743926153749
4.31,-26.740971868519253
4.32,-23.786379564978468
4.33,-25.463140599535738
4.34,-21.242631898253602
4.35,-20.66582479096883
4.36,-24.74307453736888
4.37,-22.792069973011237
4.38,-23.22298745228716
4.39,-22.419965082670032
4.4,-24.65202664250146
4.41,-24.881461261312868
4.42,-24.288398785914733
4.43,-24.76598641991842
4.44,-22.532770429723886
4.45,-20.060647727177553
4.46,-14.181328662711003
4.47,-7.845037198554384
4.48,-13.324296872899907
4.49,-18.06604193266462
4.5,-13.752570145538314
4.51,-15.070441930783776
4.52,-19.572781379363526
4.53,-21.390690420171886
4.54,-22.378037939451715
4.55,-18.381455819242372
4.56,-16.535264213511887
4.57,-20.084704676466597
4.58,-21.672077785219845
4.59,-20.848022597423604
4.6,-21.30709718176231
4.61,-21.80483767642123
4.62,-22.795726419976646
4.63,-21.808101208166583
4.64,-20.02601600968561
4.65,-22.14419939295737
4.66,-21.57938479900446
4.67,-21.157415759279104
4.68,-21.736585245755577
4.69,-21.814631952563012
4.7,-21.996179101271274
4.71,-23.77409110788792
4.72,-21.344150446505576
4.73,-20.211429510990037
4.74,-19.05125107331677
4.75,-23.943557094961818
4.76,-23.292413227535
4.77,-19.482407145860485
4.78,-19.50491270235316
4.79,-18.14275784524781
4.8,-19.52998745890713
4.81,-19.77704451712531
4.82,-23.2306740807871
4.83,-21.53815172347214
4.84,-21.421856186073803
4.85,-21.26406720878561
4.86,-23.30016156849313
4.87,-22.679476893693757
4.88,-22.891338363642237
4.89,-25.901606050166464
4.9,-26.275595106262728
4.91,-26.547311224895594
4.92,-25.483050956994493
4.93,-23.219146687405626
4.94,-24.761399205849266
4.95,-27.670212794985865
4.96,-25.2713696081438
4.97,-29.568441104078858
4.98,-27.83196587985264
4.99,-28.198795003794878
5.0,-28.87135855307185
5.01,-29.968331913218748
5.02,-31.224148510407858
5.03,-31.518613646821983
5.04,-31.03324215228325
5.05,-28.834631692271905
5.06,-32.4005477784062
5.07,-31.896098671058603
5.08,-31.24347196584827
5.09,-29.255119860694997
5.1,-32.601774298564116
5.11,-34.349805824450435
5.12,-33.29607399553303
5.13,-32.01156234839335
5.14,-27.50512512762173
5.15,-18.09579543739676
5.16,-16.535264213511887
5.17,-17.83161333218831
5.18,-17.308679649757586
5.19,-17.430080444233024
5.2,-12.250456778849099
5.21,-10.254449245397762
5.22,-12.076260036605515
5.23,-15.547664403644973
5.24,-20.033995697557888
5.25,-21.962887034303847
5.26,-23.276937250811777
5.27,-21.067031076491244
5.28,-19.420195952840512
5.29,-20.52108026465177
5.3,-19.086971026213234
5.31,-18.770659579890218
5.32,-18.674555500212385
5.33,-22.984276224828495
5.34,-23.939384195704008
5.35,-24.64297412512336
5.36,-23.280803660685578
5.37,-17.757585415583495
5.38,-14.485013769216852
5.39,-15.834960819369002
5.4,-14.717068874037867
5.41,-11.836865838845174
5.42,-17.941760076996793
5.43,-15.412190763486773
5.44,-13.409519936256604
5.45,-14.235760234469872
5.46,-14.551291680375867
5.47,-16.952471120180135
5.48,-18.75456820901394
5.49,-18.21799804776913
5.5,-18.276489108115463
5.51,-21.400028413873358
5.52,-19.831469186431733
5.53,-18.46324238015174
5.54,-16.714991081755073
5.55,-17.99630932164604
5.56,-16.98425678127827
5.57,-19.13962744871846
5.58,-19.98622716485287
5.59,-20.02070028758698
5.6,-22.99923900137636
5.61,-17.96479680804568
5.62,-15.857965459175187
5.63,-16.91708307870809
5.64,-19.146832666583368
5.65,-15.64665907035307
5.66,-15.009046713496746
5.67,-18.063920577265613
5.68,-20.268654402651407
5.69,-18.040619798502895
5.7,-18.568256344325246
5.71,-20.192438022097633
5.72,-18.919179612218695
5.73,-19.365816272646008
5.74,-18.129924713677102
5.75,-19.72039161185464
5.76,-22.93954193038712
5.77,-23.04428260952048
5.78,-25.438316662553117
5.79,-22.554085507017085
5.8,-19.07028343291873
5.81,-15.02248658667468
5.82,-13.842122882781387
5.83,-13.036594293788044
5.84,-13.693377187067133
5.85,-15.234274255694153
5.86,-19.61071661059702
5.87,-17.070852843873944
5.88,-16.198566430741014
5.89,-19.056005254956023
5.9,-14.789512076606977
5.91,-18.055440332864322
5.92,-17.169795044337373
5.93,-19.89408926880471
5.94,-22.607603172555663
5.95,-25.700020271628876
5.96,-22.596873227228112
5.97,-24.318852725184605
5.98,-21.509719980776257
5.99,-19.849686789354628
6.0,-21.12718290718263
6.01,-15.44507707022033
6.02,-17.250540947835518
6.03,-16.200277767489347
6.04,-17.14495363145406
6.05,-19.915063355997297
6.06,-18.826057416179903
6.07,-17.006763957693327
6.08,-17.404484468486036
6.09,-16.5263747545044
6.1,-15.690124830639643
6.11,-16.3609242351846
6.12,-23.16937067933173
6.13,-24.137710427969576
6.14,-22.9805395546749
6.15,-24.086641845944246
6.16,-18.588511051454844
6.17,-14.482204619891569
6.18,-14.196263373075658
6.19,-14.539974558725246
6.2,-13.543353700900589
6.21,-14.086886558835749
6.22,-14.312542079327962
6.23,-14.182685303032086
6.24,-12.376270088602672
6.25,-12.263500289704323
6.26,-19.390492112077503
6.27,-20.65152702701928
6.28,-22.14419939295737
6.29,-17.93548792149156
6.3,-15.701429327441499
6.31,-18.975535947072025
6.32,-19.1492357346961
6.33,-17.345703127714337
