seconds_elapsed,dBFS
0.0,-15.704661887820478
0.01,-20.178898051096912
0.02,-19.95980216838971
0.03,-16.71317527958727
0.04,-17.545205895377617
0.05,-22.046357690496915
0.06,-20.084704676466597
0.07,-17.443894198698924
0.08,-21.837528304539646
0.09,-17.298962801627017
0.1,-22.291334388227103
0.11,-18.530125844394057
0.12,-18.388058548285574
0.13,-17.773981625526496
0.14,-18.09579543739676
0.15,-19.469929210029633
0.16,-19.06076204019981
0.17,-20.082028389390096
0.18,-19.552616797728874
0.19,-18.83300705487954
0.2,-18.816799872390614
0.21,-19.08935758746965
0.22,-16.60670931826357
0.23,-20.97164629211217
0.24,-19.01331100911462
0.25,-20.540804921130395
0.26,-18.272142903552393
0.27,-19.625937215493106
0.28,-19.410283381564305
0.29,-18.002625566964777
0.3,-19.292206597878657
0.31,-22.898736907222506
0.32,-18.805241800641138
0.33,-24.602354146316667
0.34,-23.46844493744492
0.35,-23.843956695760617
0.36,-24.570891639746858
0.37,-21.880210894793365
0.38,-23.18465601479965
0.39,-24.91873981483603
0.4,-25.79247886995649
0.41,-27.15382097825708
0.42,-27.027892861325324
0.43,-28.99740440462539
0.44,-26.156311351415127
0.45,-20.792670438567995
0.46,-19.996819714504753
0.47,-23.567804172783866
0.48,-25.684705739942334
0.49,-25.256791887846894
0.5,-26.666414418134387
0.51,-24.900080538835105
0.52,-26.637908026817122
0.53,-23.063119939909733
0.54,-18.624636456846257
0.55,-17.945944031623966
0.56,-20.54927207660649
0.57,-28.761640593511224
0.58,-22.444516371968408
0.59,-19.674312513663352
0.6,-21.857201902164714
0.61,-20.962757439583317
0.62,-21.35343851330193
0.63,-19.839272052329797
0.64,-19.1492357346961
0.65,-21.15136076451451
0.66,-20.492979658977255
0.67,-18.926204189745167
0.68,-18.697341162907016
0.69,-19.802918500029577
0.7,-19.410283381564305
0.71,-21.166506173126184
0.72,-20.871434713048544
0.73,-21.903281000356
0.74,-21.387579985174256
0.75,-20.409219225530997
0.76,-23.02924210422453
0.77,-22.486766425138306
0.78,-20.425906818825503
0.79,-23.6440847199551
0.8,-23.603853570503723
0.81,-20.414778195089106
0.82,-21.279410596697122
0.83,-18.828373344639978
