seconds_elapsed,dBFS
0.0,-22.788415064630755
0.01,-23.265348336967108
0.02,-22.339781707029893
0.03,-15.38877654415584
0.04,-13.400835906758491
0.05,-16.894806794718416
0.06,-20.509829110697662
0.07,-23.50011640239199
0.08,-25.65415744477962
0.09,-20.75210917241919
0.1,-18.036390000689543
0.11,-23.362398392855347
0.12,-20.411998265592473
0.13,-17.43402499000384
0.14,-16.583425137850334
0.15,-18.670005531728002
0.16,-21.643204995293843
0.17,-23.066892313318895
0.18,-22.332844095129065
0.19,-20.135711438135502
0.2,-18.222317237136135
0.21,-19.321575652530814
0.22,-20.214145973760598
0.23,-16.145681542083558
0.24,-20.821759178541743
0.25,-18.975535947072025
0.26,-19.49240241697276
0.27,-19.151639467833913
0.28,-18.731632125873784
0.29,-19.64881824928465
0.3,-17.95222374485429
0.31,-19.746097134132228
0.32,-18.814487027312893
0.33,-19.13482728853104
0.34,-18.867838900668264
0.35,-18.888805253008258
0.36,-20.387018856542927
0.37,-17.977388097476638
0.38,-20.56623118965063
0.39,-19.03226032590346
0.4,-22.766517852265235
0.41,-20.09273848894443
0.42,-22.817697484739053
0.43,-22.232866488245904
0.44,-23.15030175918528
0.45,-25.933038736959606
0.46,-27.492555097008147
0.47,-28.89346944232566
0.48,-30.035404753370504
0.49,-30.162579640739466
0.5,-30.27432444301435
0.51,-32.842586662886376
0.52,-28.915636760962443
0.53,-25.295720309929486
0.54,-21.1453099877891
0.55,-22.246588275678
0.56,-21.242631898253602
0.57,-22.872869529046042
0.58,-22.64346569104135
0.59,-22.472660226929378
0.6,-25.5380409455678
0.61,-23.951908912564974
0.62,-22.412963155940137
0.63,-24.310140698739016
0.64,-23.15030175918528
0.65,-25.443275777525432
0.66,-23.92687751299883
0.67,-23.116082845703502
0.68,-21.424978921911165
0.69,-16.841207135428256
0.7,-16.172936758447594
0.71,-17.825420184233913
0.72,-17.154499615092192
0.73,-14.883129846613164
0.74,-16.220840151457537
0.75,-16.91708307870809
0.76,-20.290553915388344
0.77,-19.592992882696404
0.78,-19.79514820909414
0.79,-16.80626860983448
0.8,-15.924030730235433
0.81,-18.05755961789083
0.82,-19.839272052329797
0.83,-15.504903989045363
0.84,-20.068659309271823
0.85,-16.190014800988443
0.86,-18.518942773919083
0.87,-17.225467861635146
0.88,-17.741220098188123
0.89,-17.021801208171535
0.9,-15.3685351501618
0.91,-16.18317955401909
0.92,-18.403484463152367
0.93,-16.978639088096738
0.94,-17.065178882014212
0.95,-17.033096254806207
0.96,-17.958508001468513
0.97,-16.94687394053973
0.98,-19.2264870689341
0.99,-15.769567025536823
1.0,-20.746330137184007
1.01,-14.931798682335213
1.02,-17.643670476085866
1.03,-18.71561282809995
1.04,-16.00899935095351
1.05,-17.74326407740407
1.06,-20.098098495062114
1.07,-18.447710066020008
1.08,-20.07935292667433
1.09,-20.84217941547565
1.1,-22.391991178818735
1.11,-18.76375962747806
1.12,-16.720440766951977
1.13,-17.85228910876395
1.14,-16.510396618829997
1.15,-19.25806774008115
1.16,-18.779868051081955
1.17,-18.300432184551735
1.18,-18.697341162907016
1.19,-18.29825281190498
1.2,-17.52126131884068
1.21,-19.20952953252956
1.22,-19.236191974567273
1.23,-20.662963354725502
1.24,-19.363352539928293
1.25,-20.27959725718611
1.26,-19.532498920436282
1.27,-18.683662593720946
1.28,-18.211523288141642
1.29,-17.724885557148284
1.3,-15.094519256355323
1.31,-14.676763049331354
1.32,-17.455752070353647
1.33,-15.168674004568345
1.34,-13.216805937278453
1.35,-14.131281351998116
1.36,-19.027519119651423
1.37,-18.8353248373184
1.38,-15.305004142610715
1.39,-16.05432151779532
1.4,-15.003080105233224
1.41,-14.524437553847655
1.42,-14.699772041960005
1.43,-15.133787820994764
1.44,-15.384101264790393
1.45,-15.555606152061518
1.46,-17.55720298242036
1.47,-17.200466944275984
1.48,-16.542382336949032
1.49,-16.680555584774186
1.5,-14.837657720673183
1.51,-16.474994533391126
1.52,-15.106582993903006
1.53,-14.384452418605582
1.54,-14.293282892639105
1.55,-14.961428216910747
1.56,-15.26649255323639
1.57,-17.006763957693327
1.58,-17.183200675367164
1.59,-17.881318129561294
1.6,-18.492162003562306
1.61,-19.11804758758567
1.62,-18.38365617128405
1.63,-16.70047528203145
1.64,-21.118133533586096
1.65,-20.4817648225089
1.66,-22.950703923319303
1.67,-18.548048759472703
1.68,-19.13482728853104
1.69,-20.329011427591293
1.7,-21.553987442786596
1.71,-19.89408926880471
1.72,-17.20815187257032
1.73,-20.60593170112131
1.74,-18.322256039344577
1.75,-15.777714375949463
1.76,-18.241780212226747
1.77,-18.59978410902434
1.78,-17.363295798687023
1.79,-15.055427424645632
1.8,-15.349892561059761
1.81,-17.5912849935689
1.82,-16.673323369836734
1.83,-19.787384863153758
1.84,-17.513294439457955
1.85,-17.38288509349918
1.86,-16.740452250517016
1.87,-15.142875064688221
1.88,-14.123192675668044
1.89,-14.190829597710415
1.9,-15.258810683417497
1.91,-15.059929051923419
1.92,-16.542382336949032
1.93,-14.850834799768922
1.94,-13.929972466390904
1.95,-13.559755269474465
1.96,-15.156523781026577
1.97,-15.105074110091678
1.98,-14.447166695662752
1.99,-15.034450623880392
2.0,-16.12869035975201
2.01,-14.028044279282367
2.02,-15.649871307681863
2.03,-16.453822336099872
2.04,-17.359383235720838
2.05,-13.65754320227076
2.06,-15.288038002790596
2.07,-18.447710066020008
2.08,-15.785869375739258
2.09,-16.599538304739173
2.1,-17.084106520007687
2.11,-16.159298459844884
2.12,-18.602040477302538
2.13,-18.2331246164551
2.14,-19.59552263067935
2.15,-18.114976651606366
2.16,-16.503304648941764
2.17,-17.326197416309977
2.18,-14.706974869836124
2.19,-16.771470059731612
2.2,-14.921452177671588
2.21,-15.112621151697832
2.22,-13.779727717338332
2.23,-15.111111218684371
2.24,-16.85780614392884
2.25,-13.150293404805778
2.26,-12.44708537726979
2.27,-11.873188986030618
2.28,-11.100534557637767
2.29,-12.248284763424413
2.3,-11.451978568107608
2.31,-11.909664669526617
2.32,-13.395877499523472
2.33,-12.592731205984578
2.34,-12.084780836443294
2.35,-13.116627123750746
2.36,-12.92084371155032
2.37,-12.491639922965538
2.38,-11.90340080653539
2.39,-14.335985790288978
2.4,-13.486817009831277
2.41,-14.595285333576332
2.42,-11.392736167447588
2.43,-12.549904623018326
2.44,-13.688248986393848
2.45,-13.920752475007856
2.46,-12.19955746070027
2.47,-13.237467826801526
2.48,-14.442971626932055
2.49,-12.797356612636644
2.5,-12.226594429670364
2.51,-13.474303119699487
2.52,-11.462883641276475
2.53,-12.78002296162753
2.54,-13.71006478036164
2.55,-12.677882103328123
2.56,-11.979919728195856
2.57,-14.881659282038743
2.58,-16.583425137850334
2.59,-15.709512985203244
2.6,-15.106582993903006
2.61,-16.678746966415115
2.62,-18.350709275143792
2.63,-18.96141254617478
2.64,-19.190189942824134
2.65,-18.328813902727486
2.66,-18.63369133349436
2.67,-19.93608821258813
2.68,-19.275120396649864
2.69,-19.44005509756035
2.7,-20.989451333477902
2.71,-20.953877674313695
2.72,-20.62300191225864
2.73,-18.15132381205456
2.74,-22.479710462412292
2.75,-19.562693236954164
2.76,-17.451797647504527
2.77,-19.805510142488927
2.78,-18.65864102711311
2.79,-16.669709519300696
2.8,-17.21007416750747
2.81,-15.272642944456774
2.82,-15.581068653661509
2.83,-16.542382336949032
2.84,-19.05838332194913
2.85,-15.194549801125195
2.86,-20.5860587630629
2.87,-15.686897674875947
2.88,-15.387217838070352
2.89,-16.780614064827155
2.9,-16.062740525567047
2.91,-14.143428507539
2.92,-18.94496421785446
2.93,-19.265371922407642
2.94,-20.792670438567995
2.95,-14.704093021887306
2.96,-15.651477871940225
2.97,-17.357427614945255
2.98,-19.615787182625468
2.99,-17.406450714026533
3.0,-19.294650229808703
3.01,-18.690499185681972
3.02,-15.574696027082135
3.03,-16.707730149555385
3.04,-12.454865943081046
3.05,-11.464867853652452
3.06,-10.96459350353501
3.07,-14.329084010316729
3.08,-15.508064218164478
3.09,-14.189471684843104
3.1,-13.377308641233434
3.11,-17.808926678897087
3.12,-18.41893782279257
3.13,-15.74029967970926
3.14,-14.985204832991156
3.15,-17.298962801627017
3.16,-16.658876980414135
3.17,-16.784274363928127
3.18,-18.645023219821905
3.19,-17.237031062328562
3.2,-17.42810884289938
3.21,-16.33481171034262
3.22,-16.852269615766417
3.23,-17.34960953193492
3.24,-19.45497931023214
3.25,-18.909822337262476
3.26,-18.399074262682873
3.27,-21.32869237223863
3.28,-21.979517117189943
3.29,-17.050066412541863
3.3,-16.734989999228272
3.31,-17.20815187257032
3.32,-16.67151625662142
3.33,-14.861097477554353
3.34,-18.20289777637217
3.35,-17.112575538080257
3.36,-15.598617522890933
3.37,-18.615591009907384
3.38,-17.45377463388795
3.39,-14.342893058754827
3.4,-14.685384280449124
3.41,-17.164056101520032
3.42,-13.719063704790708
3.43,-16.29665478555322
3.44,-16.164410312648478
3.45,-15.423139036740833
3.46,-12.508406975926018
3.47,-16.965545249616987
3.48,-19.279998739736854
3.49,-21.115119169634944
3.5,-21.857201902164714
3.51,-21.497113462397742
3.52,-20.195148550950353
3.53,-17.33789558594094
3.54,-15.929005941619991
3.55,-18.02371295202025
3.56,-16.538822546063933
3.57,-17.86057321968095
3.58,-16.68779382655812
3.59,-18.58400592187352
3.6,-17.380924174732968
3.61,-20.0233577419868
3.62,-17.080317691315955
3.63,-19.385551332855506
3.64,-17.565210256219117
3.65,-15.252670075428929
3.66,-15.985591741997279
3.67,-15.589041017358483
3.68,-15.3685351501618
3.69,-14.719955031113122
3.7,-14.831807651660618
3.71,-14.650950579701465
3.72,-16.074540862649663
3.73,-13.939202255110088
3.74,-14.037378927830517
3.75,-13.725497220852604
3.76,-16.42918648997882
3.77,-17.605357726069006
3.78,-14.508928291384569
3.79,-14.359492948447672
3.8,-15.2266208146861
3.81,-14.169128425552213
3.82,-16.284549014063213
3.83,-13.23503446367087
