seconds_elapsed,dBFS
0.0,-16.319181793750268
0.01,-14.178616017580254
0.02,-11.98307880793174
0.03,-12.481595205271393
0.04,-14.431794672340965
0.05,-13.440605395095993
0.06,-13.969597944048367
0.07,-15.083977213021102
0.08,-15.909122171842277
0.09,-16.802599032408516
0.1,-18.061799739838868
0.11,-18.51223983624516
0.12,-16.80993973822305
0.13,-16.096498397978422
0.14,-16.756859644784495
0.15,-18.51670788656903
0.16,-14.717068874037867
0.17,-13.684404821853091
0.18,-12.544285233783015
0.19,-13.906283661785753
0.2,-18.606554973058046
0.21,-19.547582958330917
0.22,-21.503414434482593
0.23,-22.329377366031732
0.24,-23.615903361529533
0.25,-24.301437401780305
0.26,-25.954057233938485
0.27,-24.00639235552232
0.28,-23.436888537110917
0.29,-27.956944865392668
0.3,-38.074532539047524
0.31,-38.57725260575926
0.32,-41.091041844063405
0.33,-39.13482728853104
0.34,-40.59457016956276
0.35,-45.59842976104338
0.36,-48.164799306236986
0.37,-48.37079843903322
0.38,-39.730664693641266
0.39,-27.715200855208337
0.4,-25.21803715701488
0.41,-22.205487774834573
0.42,-22.9246815509915
0.43,-22.40946430810307
0.44,-24.624897345158473
0.45,-25.334823987176
0.46,-26.21032825211146
0.47,-27.392644409357803
0.48,-28.391669629623504
0.49,-31.090074784517725
0.5,-36.75685964478449
0.51,-38.71332676685816
0.52,-41.36583807234997
0.53,-42.52567701190371
0.54,-44.82584171392076
0.55,-44.64297412512336
0.56,-36.77512650669703
0.57,-26.816174845985387
0.58,-23.567804172783866
0.59,-21.10006302157995
0.6,-18.994402942571817
0.61,-17.080317691315955
0.62,-18.64048869106422
0.63,-17.139231073014017
0.64,-16.85780614392884
0.65,-19.034631899880804
0.66,-18.670005531728002
0.67,-19.681975407533162
0.68,-20.66582479096883
0.69,-22.795726419976646
0.7,-21.79831428922909
0.71,-20.304269202681574
0.72,-20.729016065727212
0.73,-20.965719379812548
0.74,-19.05838332194913
0.75,-18.224477637504958
0.76,-16.57269960904802
0.77,-17.509313738362586
0.78,-22.525677011903706
0.79,-22.708393739837746
0.8,-24.44616903017574
0.81,-25.901606050166464
0.82,-26.40761876982255
0.83,-27.355472214372384
0.84,-28.308484097037105
