seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-74.74597369152148
0.13,-57.63962958760263
0.14,-61.06103874121523
0.15,-46.06524661111521
0.16,-40.708859840051346
0.17,-39.1108661984721
0.18,-27.454953784442043
0.19,-22.36410707898663
0.2,-22.147592981450646
0.21,-21.86705543656015
0.22,-19.08935758746965
0.23,-19.326480164032134
0.24,-15.144390530039367
0.25,-12.867039213709823
0.26,-13.005734309072633
0.27,-14.804073504389628
0.28,-12.761571781798878
0.29,-16.115121304638517
0.3,-14.155592674584685
0.31,-16.881838630324527
0.32,-16.241451328947363
0.33,-18.00894640870259
0.34,-14.887543034770461
0.35,-16.599538304739173
0.36,-16.300116678639327
0.37,-14.3733504651682
0.38,-13.116627123750746
0.39,-13.377308641233434
0.4,-12.426001763835917
0.41,-13.111828289574499
0.42,-12.064557568546048
0.43,-14.761912437510183
0.44,-13.786206340476062
0.45,-13.09505321815358
0.46,-15.006062897033853
0.47,-15.629012968426618
0.48,-15.536558140835506
0.49,-14.065443216019279
0.5,-15.379428500593736
0.51,-14.447166695662752
0.52,-14.012065327105091
0.53,-12.668759466661186
0.54,-13.853872040166543
0.55,-14.078839100287823
0.56,-13.495587472526179
0.57,-14.485013769216852
0.58,-15.275719773974624
0.59,-14.324945573183854
0.6,-14.652382595142521
0.61,-14.369190888280631
0.62,-15.894239158825851
0.63,-17.954317991914
0.64,-16.87258749552938
0.65,-14.60952450010634
0.66,-15.322003487244825
0.67,-16.655269134198992
0.68,-14.891958466351474
0.69,-14.1003155807409
0.7,-13.765491733220504
0.71,-14.61380080591426
0.72,-19.132428202854122
0.73,-18.642755659532803
0.74,-20.708859840051343
0.75,-23.199968296664007
0.76,-24.530606585959823
0.77,-25.10757093949286
0.78,-25.359353485653273
0.79,-26.232029424269662
0.8,-24.301437401780305
0.81,-23.512023038441615
0.82,-23.843956695760617
0.83,-24.01480484009088
0.84,-26.281056212785327
0.85,-23.238367517639116
0.86,-24.09088611167153
0.87,-28.232924280075217
0.88,-25.334823987176
0.89,-27.171960677794132
0.9,-27.057710568733974
0.91,-27.12367207732447
0.92,-28.71090934585994
0.93,-28.57468542029671
0.94,-30.555673400668866
0.95,-33.697225325491466
0.96,-33.78750264517783
0.97,-34.226210052487346
0.98,-32.04332066398599
0.99,-31.301701611671895
1.0,-29.31688644729489
1.01,-29.993423571413533
1.02,-25.5380409455678
1.03,-25.689807584222976
1.04,-24.697431291832828
1.05,-23.885318153148077
1.06,-23.070666325821488
1.07,-20.93614533136413
1.08,-24.455018638315764
1.09,-18.789086295129003
1.1,-18.647291372240606
1.11,-13.653712600383729
1.12,-16.164410312648478
1.13,-14.719955031113122
1.14,-15.565145845099613
1.15,-15.617802267604832
1.16,-15.189977879111717
1.17,-16.5192697319094
1.18,-16.20198944148012
1.19,-16.161002076529382
1.2,-16.747740599707452
1.21,-16.118511581667534
1.22,-17.3868082596174
1.23,-17.808926678897087
1.24,-17.763730367829936
1.25,-19.44005509756035
1.26,-20.060647727177553
1.27,-18.55477939881613
1.28,-18.62237421184374
1.29,-18.241780212226747
1.3,-17.69027631791053
1.31,-20.057978841110142
1.32,-19.221638679392605
1.33,-18.665457945426184
1.34,-19.022780499982304
1.35,-20.312508782402766
1.36,-20.222300463145075
1.37,-19.95980216838971
1.38,-23.725110397425336
1.39,-20.04997709974454
1.4,-20.13301939111626
1.41,-22.7446757041968
1.42,-20.122259538841476
1.43,-22.81036761963059
1.44,-21.684941008064023
1.45,-18.884141687989878
1.46,-22.63269137958573
1.47,-19.241048496716754
1.48,-22.339781707029893
1.49,-17.86057321968095
1.5,-19.47741382026274
1.51,-20.95979650904908
1.52,-18.164188622559504
1.53,-19.671759717278167
1.54,-17.80274967996088
1.55,-20.40644107433569
1.56,-16.26728427047786
1.57,-19.96772122954126
1.58,-18.775262595174446
1.59,-18.3529018511085
1.6,-19.748671875410327
1.61,-22.02959926423313
1.62,-19.336297502899324
1.63,-20.11957165714339
1.64,-16.55663610775896
1.65,-16.26900920140162
1.66,-15.779344763497765
1.67,-14.186756495812533
1.68,-16.31571229514689
1.69,-12.819362345205027
1.7,-14.724286065677086
1.71,-12.514003193913606
1.72,-12.877539988276784
1.73,-14.974794553949176
1.74,-13.73837856629233
1.75,-14.437381351831242
1.76,-15.667559879197023
1.77,-12.644858032146558
1.78,-13.783614311319832
1.79,-12.493873660829994
1.8,-13.41945518428073
1.81,-13.846037502980478
1.82,-16.327861608241
1.83,-15.938964921848871
1.84,-16.06779584997286
1.85,-19.925569422761175
1.86,-19.1492357346961
1.87,-23.304038332511098
1.88,-22.329377366031732
1.89,-24.253724529734725
1.9,-25.849469701326527
1.91,-27.85812821781927
1.92,-25.42840691859392
1.93,-25.488035685761467
1.94,-26.017419627784374
1.95,-26.63221795806593
1.96,-27.117654834521954
1.97,-27.838499080339716
1.98,-29.02732997992244
1.99,-27.708759705756272
2.0,-27.555587954459252
2.01,-29.28594825024673
2.02,-29.270520378272224
2.03,-29.835720335238488
2.04,-32.56791113817521
