seconds_elapsed,dBFS
0.0,-18.59978410902434
0.01,-17.213920034135754
0.02,-13.609146624533759
0.03,-11.277391801126521
0.04,-10.224291372005007
0.05,-8.899375197873983
0.06,-7.0076751313992345
0.07,-5.747667646034954
0.08,-6.249429484453054
0.09,-7.002924849827149
0.1,-6.288707534926914
0.11,-7.036827430573325
0.12,-4.456789642427938
0.13,-4.99990598233068
0.14,-4.31362446079838
0.15,-3.722668597389183
0.16,-3.0967518010225104
0.17,-4.213158369349811
0.18,-3.6521533593073268
0.19,-4.138137263500666
0.2,-4.691060334616678
0.21,-4.431586860136363
0.22,-4.053607558148366
0.23,-4.13941789595976
0.24,-4.222635609393226
0.25,-4.274512468587645
0.26,-3.9832999465081076
0.27,-3.82129156938582
0.28,-4.121932240818757
0.29,-3.427837250168322
0.3,-3.638441128772528
0.31,-3.4451610011662126
0.32,-6.031209282667635
0.33,-5.638923492371671
0.34,-3.2352893251241985
0.35,-3.685718540167247
0.36,-3.4388574569058354
0.37,-3.831586568384178
0.38,-4.9304222505421
0.39,-4.515882088659355
0.4,-3.885318153148076
0.41,-4.570891639746861
0.42,-10.223431255191109
0.43,-4.430703878572315
0.44,-5.559129305819797
0.45,-6.135335478446021
0.46,-4.081975547767562
0.47,-4.020698430921027
0.48,-5.612075300767079
0.49,-4.3735017643881235
0.5,-4.287964502289831
0.51,-4.278415751975893
0.52,-4.513207587056145
0.53,-4.9379072638888575
0.54,-3.9820421245324007
0.55,-4.351163416101265
0.56,-7.616532905945609
0.57,-3.216459162135377
0.58,-3.2912515723201032
0.59,-4.510533908714268
0.6,-5.487537084134625
0.61,-7.135116335637131
0.62,-5.549582990867634
0.63,-5.693380659081137
0.64,-5.099461532645898
0.65,-4.371747659340901
0.66,-4.717028501103001
0.67,-4.57897112012298
0.68,-5.463637802640604
0.69,-4.147105658348099
0.7,-3.815531695409453
0.71,-3.3733358340319097
0.72,-3.5267304037663463
0.73,-3.5894158523872925
0.74,-3.4066233979020852
0.75,-3.6889606023102632
0.76,-3.6344122360623854
0.77,-3.46686439160523
0.78,-3.3588857096763074
0.79,-3.9039952614656874
0.8,-3.539470400935908
0.81,-3.517187653833554
0.82,-4.07646406178423
0.83,-3.358495499220568
0.84,-3.765908451005729
0.85,-5.4591639989681395
0.86,-5.736372599400283
0.87,-4.250264705097038
0.88,-4.442631709972885
0.89,-6.261412277601888
0.9,-4.8401760129380875
0.91,-4.853606968159169
0.92,-6.149851839735617
0.93,-8.073670038143113
0.94,-4.949146891882709
0.95,-5.085169258186961
0.96,-4.894490563545269
0.97,-4.49317503153917
0.98,-4.782520478790607
0.99,-4.234712526120147
1.0,-3.8865620450238056
1.01,-4.243781246082814
1.02,-3.2777103951122655
1.03,-4.370870739639191
1.04,-3.581405255454972
1.05,-4.699252423957768
1.06,-3.7806427881065803
1.07,-3.4937728639409156
1.08,-5.828702471737078
1.09,-14.294657133546655
1.1,-5.79506126618127
1.11,-7.056515893037428
1.12,-12.319154776431722
1.13,-22.611182768583276
1.14,-26.446506732105128
1.15,-33.74869741471482
1.16,-36.277638998075815
1.17,-35.66112350273499
1.18,-38.805241800641134
1.19,-37.80274967996088
1.2,-41.36583807234997
1.21,-42.009531739778
1.22,-41.30401653280713
1.23,-41.84408122045819
1.24,-43.421153225492134
1.25,-46.84527333094888
1.26,-48.23292428007521
1.27,-47.02194158350561
1.28,-48.301587796843094
1.29,-24.965564131134084
1.3,-18.76835898667373
1.31,-22.353673576665358
1.32,-21.03412427425317
1.33,-16.46793139851274
1.34,-13.450576283994714
1.35,-9.891005241943633
1.36,-6.890276527012773
1.37,-6.367800537990193
1.38,-7.385197232875818
1.39,-7.256505910241976
1.4,-6.492283748553026
1.41,-6.518069564415828
1.42,-7.439334485793122
1.43,-10.616652434459395
1.44,-25.21803715701488
1.45,-30.582523158179047
1.46,-36.904081637711876
1.47,-39.91243882367998
1.48,-42.9246815509915
1.49,-38.35509498068411
1.5,-43.86461280451597
1.51,-47.141748857289365
1.52,-46.729459753330964
1.53,-45.49801373354236
1.54,-39.75640068176758
1.55,-45.59842976104338
1.56,-50.939339728115655
1.57,-52.03272165152002
1.58,-53.53201688444925
1.59,-53.53201688444925
1.6,-57.053842065562876
1.61,-55.19150158574453
1.62,-54.60240199897902
1.63,-56.32959861247397
1.64,-41.81136596657302
1.65,-54.60240199897902
1.66,-55.98893182649837
1.67,-54.46116490922928
1.68,-58.26779887263511
1.69,-56.32959861247397
1.7,-53.04254149678523
1.71,-58.713326766858145
1.72,-55.19150158574453
1.73,-54.60240199897902
1.74,-53.65882044506962
1.75,-23.4882260656439
1.76,-33.865637111834005
1.77,-41.5539874427866
1.78,-50.30899869919435
1.79,-50.754526593417395
1.8,-48.097204493209375
1.81,-38.71332676685816
1.82,-51.92743685167287
1.83,-53.04254149678523
1.84,-54.05073156633725
1.85,-55.34523815907035
1.86,-41.00134167022599
1.87,-40.37040573773005
1.88,-31.730844894315304
1.89,-24.93743926153749
1.9,-30.01858792403588
1.91,-24.00639235552232
1.92,-23.631995797143453
1.93,-20.211429510990037
1.94,-22.079971856435606
1.95,-20.569060930557907
1.96,-16.94500901522112
1.97,-16.074540862649663
1.98,-15.606606017556917
1.99,-14.979254574400475
2.0,-16.130387983062032
2.01,-17.759633250000167
2.02,-16.755035069704146
2.03,-12.659646401286931
2.04,-14.108382971077567
2.05,-17.517276965725827
2.06,-16.648057934417363
2.07,-15.449785294911308
2.08,-15.606606017556917
2.09,-12.786952271638485
2.1,-12.940812632895158
2.11,-10.094521391358896
2.12,-12.674459991665998
2.13,-10.946814676630401
2.14,-10.488023170140828
2.15,-11.425269473520608
2.16,-9.852186481663802
2.17,-10.079281499206243
2.18,-10.370013729286732
2.19,-9.786508364285352
2.2,-10.836283230846206
2.21,-9.800423471049536
2.22,-9.53262295172124
2.23,-10.962720333452687
2.24,-11.88463627529535
2.25,-14.798246003575217
2.26,-19.85229242598376
2.27,-32.0539326257679
2.28,-34.14477924070991
2.29,-25.568182871610542
2.3,-20.45658425833052
2.31,-14.287788102237247
2.32,-7.89817812194597
2.33,-5.0966011957469215
2.34,-7.8110925994245095
2.35,-6.334207897106035
2.36,-5.394304830062647
2.37,-4.32364806702232
2.38,-5.1563870216512
2.39,-4.657009551502432
2.4,-3.7528322127241456
2.41,-4.631671729724985
2.42,-3.4427966359475306
2.43,-3.9272941124203875
2.44,-4.0840962816302016
2.45,-4.94118398659574
2.46,-4.199821603621021
2.47,-3.8911245065578672
2.48,-4.135576564885993
2.49,-3.4290173180511325
2.5,-4.136003295566668
2.51,-4.345915672730643
2.52,-4.360792521246531
2.53,-4.649309896515263
2.54,-3.698694055787794
2.55,-3.966125458736566
2.56,-4.770576057878879
2.57,-3.9569238605322687
2.58,-3.6764043465957124
2.59,-4.471857774565157
2.6,-4.717028501103001
2.61,-4.027438863610101
2.62,-4.174923810601542
2.63,-4.920607948973369
2.64,-4.6792409403927335
2.65,-4.721592335612194
2.66,-4.4514777130168
2.67,-4.186934524642648
2.68,-4.685603230999646
2.69,-3.773272495226454
2.7,-2.558710676204745
2.71,-3.2676648830904718
2.72,-3.3545943585135944
2.73,-3.2030339949709847
2.74,-3.936881418093246
2.75,-4.169353048167076
2.76,-4.095557200591886
2.77,-3.779823557769914
2.78,-3.357324973022709
2.79,-3.6557866937816574
2.8,-3.874131135109745
2.81,-3.4506803575126477
2.82,-4.939779525498321
2.83,-25.715361852840843
2.84,-32.601774298564116
2.85,-40.4537909186576
2.86,-42.96188027867397
2.87,-45.95931981491623
2.88,-49.64052358945536
2.89,-54.18539921951661
2.9,-61.36583807234997
2.91,-73.40703789890921
2.92,-63.074441978842486
2.93,-58.26779887263511
2.94,-55.823481307178575
2.95,-54.32218771012272
2.96,-53.16234877056899
2.97,-52.807773431360346
2.98,-52.57918419574472
2.99,-52.57918419574472
3.0,-52.57918419574472
3.01,-52.807773431360346
3.02,-52.92436430457484
3.03,-52.92436430457484
3.04,-49.64052358945536
3.05,-43.94773199993912
3.06,-32.29073734444098
3.07,-21.992844146483492
3.08,-15.32045671675938
3.09,-15.132274204255191
3.1,-21.694600941928712
3.11,-25.59338129264315
3.12,-26.374424246728623
3.13,-27.232701412303776
3.14,-27.799373385182477
3.15,-28.41259109209836
3.16,-27.34311675049944
3.17,-28.75437510614651
3.18,-25.18908416474632
3.19,-22.40946430810307
3.2,-19.96772122954126
3.21,-17.960603764450823
3.22,-20.856794747273465
3.23,-19.509921866066424
3.24,-19.707567322446792
3.25,-19.132428202854122
3.26,-18.858536742201604
3.27,-25.443275777525432
3.28,-18.937924458205504
3.29,-13.840818401343466
3.3,-12.128581614971237
3.31,-9.85548346011981
3.32,-7.542313057773978
3.33,-7.851580241905648
3.34,-8.68277279599475
3.35,-10.49955762868197
3.36,-9.433110852678778
3.37,-17.414320150250507
3.38,-20.68014612914826
3.39,-18.06816380628897
3.4,-9.498534170282436
3.41,-12.386193670353967
3.42,-7.721001976476448
3.43,-7.147782820462254
3.44,-10.496894470715969
3.45,-18.68821972375101
3.46,-31.710407497502597
3.47,-32.117878114370846
3.48,-27.97020576817924
3.49,-28.945281464271126
3.5,-27.799373385182477
3.51,-31.558640858847422
3.52,-29.355714807163157
3.53,-25.18908416474632
3.54,-26.56987198988611
3.55,-29.592402194137794
