seconds_elapsed,dBFS
0.0,-35.25267007542893
0.01,-36.55841947490166
0.02,-37.559204108944144
0.03,-35.581068653661504
0.04,-32.61309142021474
0.05,-30.27432444301435
0.06,-26.897897528770187
0.07,-26.851104744150835
0.08,-28.864000746924063
0.09,-28.703686152397463
0.1,-31.449006831873547
0.11,-32.590471903165735
0.12,-36.505077098624085
0.13,-36.95993964139527
0.14,-38.053321564799646
0.15,-36.277638998075815
0.16,-31.042688471472133
0.17,-38.82837334463998
0.18,-38.69049918568197
0.19,-37.16788164205228
0.2,-40.88316447801559
0.21,-40.94205209095121
0.22,-42.07660457992975
0.23,-39.304431638092474
0.24,-41.00134167022599
0.25,-41.273269988708556
0.26,-39.628476578071655
0.27,-40.01804364598864
0.28,-41.06103874121523
0.29,-42.178195090515246
0.3,-41.522344822589105
0.31,-40.76657360480111
0.32,-40.76657360480111
0.33,-43.22682991624633
0.34,-34.03737892783052
0.35,-32.947871462733524
0.36,-28.66047268197892
0.37,-27.695891718753742
0.38,-30.511107424818892
0.39,-29.57642079195113
0.4,-28.631782681862894
0.41,-30.663574038402984
0.42,-31.33096347979008
0.43,-29.77016614001377
0.44,-31.399626996557963
0.45,-33.519437751710385
0.46,-32.65850794009675
0.47,-32.50057832317607
0.48,-30.995559274792225
0.49,-28.41259109209836
0.5,-29.125306346566934
0.51,-29.17852421761235
0.52,-28.117427761106622
0.53,-28.761640593511224
0.54,-30.892766481744005
0.55,-30.582523158179047
0.56,-28.87135855307185
0.57,-27.825437589700854
0.58,-27.818914202508715
0.59,-27.275474082253403
0.6,-27.423743223954546
0.61,-29.04233152015937
0.62,-27.171960677794132
0.63,-28.9824801919536
0.64,-26.0652466111152
0.65,-27.950321998401524
0.66,-25.45817013322667
0.67,-26.868622510703226
0.68,-27.838499080339716
0.69,-27.42997637071509
0.7,-28.653291292865354
0.71,-28.82730491862948
0.72,-26.73521390368256
0.73,-27.708759705756272
0.74,-27.734553012425817
0.75,-29.355714807163157
0.76,-31.46883763874809
0.77,-30.68168851762347
0.78,-31.95888850814342
0.79,-30.094521391358896
0.8,-34.489229197418034
0.81,-30.449096730567526
0.82,-31.478770046506295
0.83,-28.370798439033223
0.84,-30.995559274792225
0.85,-31.43910838107231
0.86,-31.639252942220246
0.87,-32.76157178179887
0.88,-34.433191005377985
0.89,-32.81936234520502
0.9,-29.968331913218748
0.91,-36.64805793441736
0.92,-33.0783104820136
0.93,-28.64611583633331
0.94,-32.32353495284228
0.95,-31.458916575832742
0.96,-33.04254149678523
0.97,-30.457928342551646
0.98,-29.355714807163157
0.99,-29.885212717795593
1.0,-30.119980783220477
1.01,-31.282248323276
1.02,-34.01073507369288
1.03,-33.99744373270901
1.04,-33.710064780361634
1.05,-31.969397752786712
1.06,-34.349805824450435
1.07,-32.30165612606495
1.08,-35.85632024851811
1.09,-32.30165612606495
1.1,-36.08973631928884
1.11,-31.937908088188884
1.12,-35.77445451866291
1.13,-32.279832271272106
1.14,-34.363647882580025
1.15,-35.25267007542893
1.16,-36.123599479677736
1.17,-35.72570290533895
1.18,-31.885677686439582
1.19,-32.54540882082786
1.2,-31.969397752786712
1.21,-30.7636744506485
1.22,-31.782149766681258
1.23,-34.267213541559705
1.24,-34.433191005377985
1.25,-34.10434833929267
1.26,-34.09091308582035
1.27,-30.378765256110782
1.28,-34.877249081569246
1.29,-33.67160321358432
1.3,-33.0783104820136
1.31,-33.49433400695822
1.32,-33.684404821853086
1.33,-36.9973788788353
1.34,-33.67160321358432
1.35,-34.17183810881801
1.36,-33.81346944968344
1.37,-31.166434745658094
1.38,-30.911365824264358
1.39,-31.82341297795672
1.4,-31.864873150414027
1.41,-34.117804406489
1.42,-34.23985638622608
1.43,-34.906692803452316
1.44,-33.95769130799874
1.45,-35.645053397062966
1.46,-33.13825474780157
1.47,-35.77445451866291
1.48,-34.6452248776892
1.49,-38.03216226167297
1.5,-33.722923242573856
1.51,-34.60240199897902
1.52,-34.89195846635147
1.53,-32.842586662886376
1.54,-33.67160321358432
1.55,-33.67160321358432
1.56,-34.19898153602635
1.57,-31.291969521423425
1.58,-34.25352419335484
1.59,-36.45206031364975
1.6,-34.03737892783052
1.61,-31.813078783236115
1.62,-32.90092059361382
1.63,-33.15029340480577
1.64,-36.26038797028385
1.65,-34.21258512477111
1.66,-35.645053397062966
1.67,-35.07044193078378
1.68,-31.896098671058603
1.69,-34.01073507369288
1.7,-34.13128135199811
1.71,-36.63005608416411
1.72,-32.001001994948965
1.73,-36.05600466665013
1.74,-31.33096347979008
1.75,-33.407037898909216
1.76,-33.865637111834005
1.77,-33.735800768487955
1.78,-32.87753998827678
1.79,-33.49433400695822
1.8,-31.090074784517725
1.81,-32.16077148370263
1.82,-31.253149838312517
1.83,-30.77283195243303
1.84,-33.44434313723417
1.85,-32.92436430457484
1.86,-30.582523158179047
1.87,-32.32353495284228
1.88,-31.224148510407858
1.89,-31.90653217337988
1.9,-33.93129040731416
1.91,-32.865873244228496
1.92,-33.99744373270901
1.93,-32.117878114370846
1.94,-30.308998699194355
1.95,-28.79805947134374
1.96,-31.937908088188884
1.97,-30.672626555781086
1.98,-31.185630089687088
1.99,-30.727140686427823
2.0,-32.225511333511086
2.01,-32.279832271272106
2.02,-34.717068874037864
2.03,-30.672626555781086
2.04,-31.53860419566452
2.05,-32.41160556428931
2.06,-31.771864520200506
2.07,-34.23985638622608
2.08,-33.684404821853086
2.09,-31.70020680386035
2.1,-31.224148510407858
2.11,-31.948391963496753
2.12,-33.735800768487955
2.13,-34.475185718792
2.14,-33.59518726934584
2.15,-34.363647882580025
2.16,-33.80047634383789
2.17,-31.979919728195853
2.18,-33.80047634383789
2.19,-33.684404821853086
2.2,-33.0783104820136
2.21,-33.235034463670864
2.22,-30.370013729286732
2.23,-33.01877707802652
2.24,-36.77512650669703
2.25,-34.60240199897902
2.26,-36.364411844
2.27,-35.66112350273499
2.28,-35.677223395459585
2.29,-37.32230152495152
2.3,-37.053842065562876
2.31,-30.422655645801623
2.32,-32.18229786309254
2.33,-32.422677445505585
2.34,-33.95769130799874
2.35,-33.407037898909216
2.36,-31.57872384961649
2.37,-31.090074784517725
2.38,-33.04254149678523
2.39,-33.76161323811785
2.4,-31.99045446525204
2.41,-32.635769996122
2.42,-31.272537992876117
2.43,-31.004964678676114
2.44,-32.09651060141033
2.45,-33.6205846255637
2.46,-31.042688471472133
2.47,-28.967581578286953
2.48,-29.648569805536145
2.49,-33.030651160037145
2.5,-30.68168851762347
2.51,-29.993423571413533
2.52,-31.49866900054301
2.53,-33.80047634383789
2.54,-32.81936234520502
2.55,-28.553370343003508
2.56,-30.01019170333563
2.57,-32.579184195744716
2.58,-31.4094805309534
2.59,-30.317688934674713
2.6,-32.2363483775096
2.61,-31.166434745658094
2.62,-32.624423306542276
2.63,-31.166434745658094
2.64,-30.528906385223618
2.65,-31.558640858847422
2.66,-29.82749895304583
2.67,-31.528603170221025
2.68,-33.65882044506963
2.69,-33.80047634383789
2.7,-34.10434833929267
2.71,-33.16234877056899
2.72,-30.537819561622044
2.73,-33.29607399553303
2.74,-31.508635599041092
2.75,-31.08057681786539
2.76,-33.407037898909216
2.77,-34.267213541559705
2.78,-34.46116490922928
2.79,-34.308411514311665
2.8,-34.37751203498576
2.81,-35.07044193078378
2.82,-36.08973631928884
2.83,-36.8301587265126
2.84,-36.97863908809674
2.85,-36.10665139695803
2.86,-38.71332676685816
2.87,-38.57725260575926
2.88,-37.9062775997192
2.89,-38.39907426268287
2.9,-37.7616815673397
2.91,-35.741923058769785
2.92,-35.97224423320387
2.93,-37.07274498844913
2.94,-38.37705678666515
2.95,-35.17627653427739
2.96,-34.81865938462336
2.97,-33.32061042325637
2.98,-35.22203198497398
2.99,-32.18229786309254
3.0,-32.6813055637829
3.01,-30.265677464064204
3.02,-29.860431275484626
3.03,-30.449096730567526
3.04,-30.13699526395601
3.05,-29.57642079195113
3.06,-32.2363483775096
3.07,-31.761591438413884
3.08,-31.690018075843895
3.09,-31.061611985793935
3.1,-31.321198566296097
3.11,-30.08605148367841
3.12,-32.30165612606495
3.13,-33.569863958003346
3.14,-30.74538836044608
3.15,-30.88348172443225
3.16,-31.262838505951855
3.17,-32.97144241244438
3.18,-33.102238567774485
3.19,-30.119980783220477
3.2,-29.86868390283995
3.21,-30.986164044413698
3.22,-30.44027408924212
3.23,-30.864941931613068
3.24,-31.49866900054301
3.25,-30.54674189382732
3.26,-31.11863115973439
3.27,-32.579184195744716
3.28,-32.12858161497124
3.29,-33.544614261041836
3.3,-32.842586662886376
3.31,-34.86256456473596
3.32,-34.25352419335484
3.33,-34.98074175694637
3.34,-29.624453483783345
3.35,-31.95888850814342
3.36,-30.01858792403588
3.37,-31.17602711509029
3.38,-28.667660013492096
3.39,-28.9824801919536
3.4,-29.568441104078858
3.41,-31.214502879613097
3.42,-31.004964678676114
3.43,-29.034827511366007
3.44,-30.001803591010074
3.45,-31.979919728195853
3.46,-29.386902954273584
3.47,-31.74108165406008
3.48,-32.13929832162136
3.49,-30.466768943455364
3.5,-33.46930260739208
3.51,-31.20486794835552
3.52,-32.70416318128475
3.53,-31.350526302559825
3.54,-30.188239599248014
3.55,-30.727140686427823
3.56,-31.875269189522314
3.57,-31.253149838312517
3.58,-27.864681133737825
3.59,-27.943704177404772
3.6,-29.843949506520126
3.61,-28.66047268197892
3.62,-30.699840853672352
3.63,-31.399626996557963
3.64,-33.11422737525142
3.65,-31.090074784517725
3.66,-31.33096347979008
3.67,-31.83375948262035
3.68,-32.65850794009675
3.69,-31.301701611671895
3.7,-31.864873150414027
3.71,-30.63647295670367
3.72,-31.061611985793935
3.73,-29.624453483783345
3.74,-32.534179485536505
3.75,-33.64605646093865
3.76,-33.95769130799874
3.77,-32.912634539607794
3.78,-33.06637111293361
3.79,-31.588782784890164
3.8,-29.504866147700135
3.81,-29.102598125428653
3.82,-31.43910838107231
3.83,-32.25806311291453
3.84,-34.10434833929267
3.85,-33.30833354539897
3.86,-33.06637111293361
3.87,-33.569863958003346
3.88,-33.247208102157046
3.89,-33.48180929009726
3.9,-31.62913542256951
3.91,-31.83375948262035
3.92,-33.28383172481285
3.93,-31.01438027812177
3.94,-33.6205846255637
3.95,-32.26894087217977
3.96,-33.48180929009726
3.97,-32.97144241244438
3.98,-35.055427424645636
3.99,-32.45597802164835
4.0,-34.21258512477111
