seconds_elapsed,dBFS
0.0,-23.567804172783866
0.01,-25.705131121813444
0.02,-20.789766915345883
0.03,-23.436888537110917
0.04,-23.87703008988748
0.05,-23.652153359307327
0.06,-22.25002211230626
0.07,-25.725604648412336
0.08,-25.017364114432805
0.09,-23.543854094269246
0.1,-23.81923403304123
0.11,-25.927792050217132
0.12,-22.38501175727963
0.13,-23.476351983633272
0.14,-25.74099152513426
0.15,-23.90191804284092
0.16,-25.13146611175173
0.17,-24.86288181115263
0.18,-24.477182186034334
0.19,-22.79938440682291
0.2,-22.134026575509473
0.21,-22.006191655276904
0.22,-24.584361618623298
0.23,-24.31449561968162
0.24,-22.839724266546977
0.25,-22.817697484739053
0.26,-23.87703008988748
0.27,-24.3625444150883
0.28,-23.8233495932405
0.29,-25.74099152513426
0.3,-26.717962875890603
0.31,-25.07898323522875
0.32,-24.0274388636101
0.33,-27.20835412337495
0.34,-28.44757257167309
0.35,-23.165553544733687
0.36,-25.478069087263385
0.37,-25.2713696081438
0.38,-25.359353485653273
0.39,-23.496151147980253
0.4,-25.75640570777418
0.41,-24.729356361885493
0.42,-26.05991947838884
0.43,-23.90191804284092
0.44,-25.07898323522875
0.45,-26.107981701691614
0.46,-22.561202172419765
0.47,-26.547311224895594
0.48,-25.508003256941404
0.49,-30.645497258438095
0.5,-26.792966042228766
0.51,-27.851580241905648
0.52,-27.051738832755838
0.53,-32.03272165152002
0.54,-31.340739383622335
0.55,-29.584407817468467
0.56,-34.267213541559705
0.57,-35.629012968426615
0.58,-36.59416392714908
0.59,-32.590471903165735
0.6,-33.569863958003346
0.61,-32.77309917518034
0.62,-29.536595460200303
0.63,-31.53860419566452
0.64,-26.3248691159612
0.65,-30.01858792403588
0.66,-26.341356099028474
0.67,-29.65662348217996
0.68,-23.848083989560326
0.69,-25.503007059140103
0.7,-22.239724672288006
0.71,-23.52792398501157
0.72,-24.336303036705647
0.73,-23.22298745228716
0.74,-22.85443988148245
0.75,-22.93954193038712
0.76,-22.357150018432023
0.77,-23.81923403304123
0.78,-25.74099152513426
0.79,-21.840804144532488
0.8,-24.946804103024792
0.81,-23.20763457221734
0.82,-23.5319037741479
0.83,-23.62796989225652
0.84,-24.638451401960488
0.85,-26.51357957225688
0.86,-26.14017157042301
0.87,-27.524014347762215
0.88,-28.15801610430063
0.89,-27.454953784442043
0.9,-30.326387873446933
0.91,-28.43356306921976
0.92,-25.73585953701565
0.93,-24.624897345158473
0.94,-28.191985211491485
0.95,-29.69700425987533
0.96,-27.184074891247466
0.97,-31.379953398932898
0.98,-36.70228843090309
0.99,-32.55665269247964
1.0,-29.95164431992424
1.01,-34.545631276371005
1.02,-30.34381193072038
1.03,-34.906692803452316
1.04,-36.94128036539435
1.05,-31.49866900054301
1.06,-29.379095412500188
1.07,-35.29883080216743
1.08,-31.379953398932898
1.09,-33.58251638505932
1.1,-33.48180929009726
1.11,-39.42763781218884
1.12,-31.449006831873547
1.13,-35.34523815907035
1.14,-33.67160321358432
1.15,-38.13847802765047
1.16,-39.27999873973685
1.17,-41.58574575837924
1.18,-35.11564180540175
1.19,-34.308411514311665
1.2,-37.927132086659505
1.21,-35.66112350273499
1.22,-34.847904831909105
1.23,-34.17183810881801
1.24,-41.30401653280713
1.25,-37.2640718791279
1.26,-35.66112350273499
1.27,-34.906692803452316
1.28,-29.04233152015937
1.29,-31.291969521423425
1.3,-36.72044076695198
1.31,-31.64938226073039
1.32,-33.431890246731136
1.33,-30.422655645801623
1.34,-37.18703465893772
1.35,-34.03737892783052
1.36,-37.36133929690196
1.37,-37.225467861635146
1.38,-34.503295418529525
1.39,-36.10665139695803
1.4,-33.30833354539897
1.41,-37.302848236555626
1.42,-34.70265245639133
1.43,-35.92237295951982
1.44,-36.77512650669703
1.45,-36.59416392714908
1.46,-31.5988533827001
1.47,-34.51738445590585
1.48,-33.78750264517783
1.49,-34.951046378832544
1.5,-35.206753371292926
1.51,-34.14477924070991
1.52,-34.63092711373966
1.53,-33.633311206064775
1.54,-32.36745863500595
1.55,-36.55841947490166
1.56,-36.0224035042897
1.57,-34.76046225140812
1.58,-34.117804406489
1.59,-35.80710827756498
1.6,-33.984172699358695
1.61,-31.03324215228325
1.62,-32.075195524117134
1.63,-30.672626555781086
1.64,-32.76157178179887
1.65,-34.02404678455595
1.66,-34.44716669566275
1.67,-36.005651542225195
1.68,-33.852565793132264
1.69,-31.82341297795672
1.7,-37.439945169470604
1.71,-37.400553312212516
1.72,-40.28781345483932
1.73,-36.45206031364975
1.74,-32.16077148370263
1.75,-32.36745863500595
1.76,-33.35754551635211
1.77,-32.12858161497124
1.78,-37.70044119869388
1.79,-35.97224423320387
1.8,-31.619029674323002
1.81,-33.456813906983115
1.82,-30.11148602495115
1.83,-34.51738445590585
1.84,-31.669676404630902
1.85,-33.90496950948155
1.86,-33.09026628519248
1.87,-36.70228843090309
1.88,-38.55477939881613
1.89,-39.402856369877874
1.9,-38.333188563932055
1.91,-36.97863908809674
1.92,-34.23985638622608
1.93,-37.619453295979724
1.94,-38.71332676685816
1.95,-37.302848236555626
1.96,-36.97863908809674
1.97,-36.73863111839208
1.98,-35.48596672215866
1.99,-37.341798479575715
2.0,-34.433191005377985
2.01,-38.736214499832904
2.02,-34.81865938462336
2.03,-38.03216226167297
2.04,-35.32974147407113
2.05,-37.016159188071846
2.06,-36.922661087872115
2.07,-35.92237295951982
2.08,-34.906692803452316
2.09,-35.02547605138774
2.1,-31.782149766681258
2.11,-35.92237295951982
2.12,-34.717068874037864
2.13,-37.51926891382263
2.14,-34.96588137755075
2.15,-32.47824954574307
2.16,-35.565145845099615
2.17,-41.273269988708556
2.18,-37.70044119869388
2.19,-33.944480826915246
2.2,-31.37013328523785
2.21,-28.01677901455089
2.22,-28.63894630258901
2.23,-29.355714807163157
2.24,-29.095041892122122
2.25,-32.48940675940057
2.26,-33.65882044506963
2.27,-30.23978805700423
2.28,-29.959984108983633
2.29,-25.117121121475382
2.3,-26.286520755046766
2.31,-24.989071289292774
2.32,-27.593628407837908
2.33,-26.16169794981292
2.34,-29.355714807163157
2.35,-28.31538587700935
2.36,-31.08057681786539
2.37,-28.908241367039253
2.38,-30.08605148367841
2.39,-30.213975587374332
2.4,-32.61309142021474
2.41,-30.396294807243358
2.42,-29.43389615982077
2.43,-28.89346944232566
2.44,-30.043825393524028
2.45,-29.209081468611522
2.46,-28.39863785273134
2.47,-30.995559274792225
2.48,-30.95803917481711
2.49,-31.844118326588827
2.5,-33.34521635936638
2.51,-33.39463833986118
2.52,-35.28341661952751
2.53,-35.02547605138774
2.54,-37.53921356010161
2.55,-35.454496073100394
2.56,-35.145906259846555
2.57,-35.629012968426615
2.58,-36.29492435629397
2.59,-35.581068653661504
2.6,-33.852565793132264
2.61,-37.59932376289611
2.62,-41.459403317905384
2.63,-36.9973788788353
2.64,-35.790766053293396
2.65,-38.75916270244985
2.66,-37.09168913911697
2.67,-40.260456299505705
2.68,-39.86011402906796
2.69,-32.75005966661059
2.7,-30.12848385745615
2.71,-29.729444595018798
2.72,-33.247208102157046
2.73,-25.684705739942334
2.74,-23.69666535330559
2.75,-22.318985472902146
2.76,-21.481381000864133
2.77,-22.318985472902146
2.78,-22.127251310237654
2.79,-24.18049814818061
2.8,-25.14104261728418
2.81,-24.35816534283116
2.82,-23.6440847199551
2.83,-23.802791264973134
2.84,-23.77818532886312
2.85,-23.68450307877971
2.86,-24.24075728725952
2.87,-23.18465601479965
2.88,-23.50011640239199
2.89,-25.715361852840843
2.9,-26.637908026817122
2.91,-25.463140599535738
2.92,-25.31036356651046
2.93,-25.20354859712824
2.94,-24.46830997929963
2.95,-24.41086048709051
2.96,-23.910229899588185
2.97,-23.014227598086382
2.98,-22.36410707898663
2.99,-22.53986964518902
3.0,-25.9382885948638
3.01,-26.980396422328702
3.02,-23.492187702947724
3.03,-21.245690848677214
3.04,-21.78528219430413
3.05,-24.844342018333446
3.06,-26.541680177931394
3.07,-27.838499080339716
3.08,-30.92068045211473
3.09,-29.057359014631096
3.1,-25.488035685761467
3.11,-26.043957655266425
3.12,-25.31036356651046
3.13,-28.97502769073445
3.14,-26.335856960105907
3.15,-27.89752007507736
3.16,-31.301701611671895
3.17,-32.35645687338553
3.18,-35.407502867553205
3.19,-33.93129040731416
3.2,-34.33598579028897
3.21,-35.77445451866291
3.22,-32.4005477784062
3.23,-34.39139835231285
3.24,-32.80777343136036
3.25,-27.956944865392668
3.26,-28.886092890172698
3.27,-29.262816706247886
3.28,-30.282980038785997
3.29,-31.669676404630902
3.3,-31.74108165406008
3.31,-34.745973691521485
3.32,-32.075195524117134
3.33,-32.77309917518034
3.34,-34.6452248776892
3.35,-33.06637111293361
3.36,-34.15829813781729
3.37,-34.349805824450435
3.38,-35.581068653661504
3.39,-34.89195846635147
3.4,-31.74108165406008
3.41,-34.18539921951661
3.42,-33.64605646093865
3.43,-35.97224423320387
3.44,-33.90496950948155
3.45,-33.38225645659825
3.46,-32.865873244228496
3.47,-33.34521635936638
3.48,-32.02213555680554
3.49,-30.827980643336808
3.5,-30.555673400668866
3.51,-30.34381193072038
3.52,-30.08605148367841
3.53,-31.05214507516951
3.54,-30.68168851762347
3.55,-29.985051628945577
3.56,-30.892766481744005
3.57,-31.350526302559825
3.58,-31.109101932626032
3.59,-30.257039084796183
3.6,-27.19013833975762
3.61,-34.65954621586863
3.62,-33.77454829581452
3.63,-32.467106645384746
3.64,-32.81936234520502
3.65,-33.80047634383789
3.66,-30.736259731504866
3.67,-31.639252942220246
3.68,-35.19150158574453
3.69,-34.92145217767158
3.7,-37.53921356010161
3.71,-35.39189479571978
3.72,-32.107187787312995
3.73,-31.449006831873547
3.74,-34.280924498847256
3.75,-33.18650981434835
3.76,-35.581068653661504
3.77,-34.475185718792
3.78,-34.89195846635147
3.79,-32.77309917518034
3.8,-30.27432444301435
3.81,-31.253149838312517
3.82,-30.13699526395601
3.83,-28.32920591117081
3.84,-30.257039084796183
3.85,-30.663574038402984
3.86,-36.43445972072142
3.87,-36.17464305245918
3.88,-33.67160321358432
3.89,-33.78750264517783
3.9,-31.91697822351214
3.91,-33.030651160037145
3.92,-32.635769996122
