seconds_elapsed,dBFS
0.0,-24.76598641991842
0.01,-26.05459561083751
0.02,-25.578253469420478
0.03,-25.912070978707142
0.04,-26.51919242520701
0.05,-26.172481178557362
0.06,-27.32461644608676
0.07,-26.649299359122725
0.08,-25.75640570777418
0.09,-23.81923403304123
0.1,-26.08658787403337
0.11,-26.897897528770187
0.12,-24.137710427969576
0.13,-23.93521330023944
0.14,-24.75681441311253
0.15,-20.714613990402935
0.16,-22.887641453759628
0.17,-22.134026575509473
0.18,-22.08334043884667
0.19,-19.78479862236107
0.2,-18.543564562347775
0.21,-16.819124353267355
0.22,-17.70044119869388
0.23,-22.715638018521283
0.24,-24.839713246767428
0.25,-26.892034626328165
0.26,-20.00212083742674
0.27,-18.24611124679071
0.28,-18.94966056273127
0.29,-24.606858107858116
0.3,-23.972823658133912
0.31,-21.528664131444103
0.32,-20.903729759892787
0.33,-21.765770640675047
0.34,-21.230406858039785
0.35,-22.002852854683006
0.36,-22.09008152543887
0.37,-21.187754210095328
0.38,-22.543421430001573
0.39,-21.484525214342106
0.4,-21.710724743919265
0.41,-22.37106971634388
0.42,-23.712908255912968
0.43,-24.35378847721168
0.44,-23.519969873065545
0.45,-24.647499204484923
0.46,-23.972823658133912
0.47,-22.839724266546977
0.48,-23.52792398501157
0.49,-22.26721168775242
0.5,-22.069873940586326
0.51,-22.181601989809007
0.52,-22.388500767022492
0.53,-20.580389122105682
0.54,-21.12718290718263
0.55,-23.014227598086382
0.56,-23.04428260952048
0.57,-24.249399964229372
0.58,-24.606858107858116
0.59,-24.06968549182703
0.6,-24.227809374842373
0.61,-24.086641845944246
0.62,-23.918549717885277
0.63,-20.98648129083037
0.64,-18.36387304069152
0.65,-18.445493429632304
0.66,-19.66155602783681
0.67,-23.456597848127394
0.68,-24.214880734939047
0.69,-24.706540773148205
0.7,-25.174643779644615
0.71,-24.03165429181129
0.72,-22.329377366031732
0.73,-23.599840685406672
0.74,-25.86507777315996
0.75,-25.65415744477962
0.76,-20.068659309271823
0.77,-23.77409110788792
0.78,-26.113338402224056
0.79,-24.371309188423417
0.8,-16.68779382655812
0.81,-15.669169718815768
0.82,-17.27181331425538
0.83,-18.06604193266462
0.84,-20.77816251864578
0.85,-22.188419799922055
0.86,-22.869180469896055
0.87,-22.37106971634388
0.88,-22.164580840646426
0.89,-22.8250335406127
0.9,-22.973071033459757
0.91,-20.28781345483933
0.92,-23.089561024675636
0.93,-22.12386565841616
0.94,-22.75195031905927
0.95,-22.462095591970275
0.96,-23.448708756179006
0.97,-22.472660226929378
0.98,-23.059349204170868
0.99,-20.95683658752169
1.0,-19.236191974567273
1.01,-18.17277576081509
1.02,-16.32091706288761
1.03,-20.720371955239628
1.04,-19.08458512051548
1.05,-25.165030176407463
1.06,-25.705131121813444
1.07,-23.98120367773045
1.08,-25.89115371480397
1.09,-24.323212017440756
1.1,-25.117121121475382
1.11,-25.87028670263425
1.12,-26.204911420231465
1.13,-25.32013947034271
1.14,-27.33694560307249
1.15,-26.986319293092173
1.16,-27.3184584241074
1.17,-28.370798439033223
1.18,-27.423743223954546
1.19,-23.676404346595707
1.2,-21.553987442786596
1.21,-20.79557493270576
1.22,-17.77808551865177
1.23,-18.617851488680863
1.24,-18.518942773919083
1.25,-24.811992298861057
1.26,-27.670212794985865
1.27,-28.24661362828008
1.28,-27.864681133737825
1.29,-29.15567662099777
1.3,-28.03013165305762
1.31,-28.496784542626223
1.32,-27.963572786079073
1.33,-29.410367776211153
1.34,-28.41259109209836
1.35,-28.41259109209836
1.36,-21.962887034303847
1.37,-22.462095591970275
1.38,-18.59978410902434
1.39,-18.33537672105109
1.4,-18.36387304069152
1.41,-17.692308342633346
1.42,-16.86704154048001
1.43,-20.074004472294703
1.44,-25.543057341686477
1.45,-26.700746042427884
1.46,-28.01677901455089
1.47,-30.213975587374332
1.48,-27.89752007507736
1.49,-29.489044850724543
1.5,-24.575379312095755
1.51,-26.297460164097394
1.52,-26.86277932875527
1.53,-22.8250335406127
1.54,-22.561202172419765
1.55,-26.74673365290172
1.56,-23.733254692103664
1.57,-23.18083215841473
1.58,-21.982846957996706
1.59,-17.537217033340017
1.6,-17.27762392187852
1.61,-16.40637274511384
1.62,-14.685384280449124
1.63,-16.076227934547376
1.64,-22.11371661386743
1.65,-25.448237725468466
1.66,-25.13146611175173
1.67,-23.219146687405626
1.68,-22.06651057572801
1.69,-21.62720593083654
1.7,-21.791795797637548
1.71,-23.40152408801259
1.72,-25.050489312557723
1.73,-26.188681163927466
1.74,-25.42840691859392
1.75,-23.081998212149028
1.76,-24.28405692647013
1.77,-25.498013733542365
1.78,-23.989591790056004
1.79,-18.926204189745167
1.8,-18.747681022472527
1.81,-15.508064218164478
1.82,-17.485467766932075
1.83,-15.672390293431109
1.84,-23.18083215841473
1.85,-23.04428260952048
1.86,-24.040091290666076
1.87,-23.769998815874377
1.88,-21.801575370415534
1.89,-23.889465152337888
1.9,-25.633851439884143
