seconds_elapsed,dBFS
0.0,-12.659646401286931
0.01,-12.937285368019044
0.02,-12.71790668041487
0.03,-15.155006197439583
0.04,-14.135328516614972
0.05,-11.797600508326834
0.06,-14.233030539400872
0.07,-16.3365501051524
0.08,-14.692575182124898
0.09,-15.987261623697716
0.1,-16.300116678639327
0.11,-17.8171695166574
0.12,-14.908167612800984
0.13,-19.01094524861026
0.14,-18.200742736133336
0.15,-15.091505938150577
0.16,-17.75553806386204
0.17,-14.652382595142521
0.18,-18.923862032622154
0.19,-14.050731566337246
0.2,-17.471587789668103
0.21,-15.746795017187544
0.22,-15.38877654415584
0.23,-19.85229242598376
0.24,-15.68205918827526
0.25,-17.641649796854217
0.26,-16.120207216546138
0.27,-14.448565502274693
0.28,-17.416288623831296
0.29,-12.902091277575163
0.3,-15.294203674487342
0.31,-16.35918095577322
0.32,-14.67963584235839
0.33,-18.527888078147477
0.34,-14.989670203480081
0.35,-19.517441032288176
0.36,-12.51064503047024
0.37,-13.808269874767284
0.38,-16.68598370054593
0.39,-15.153488878955844
0.4,-16.833839968202824
0.41,-18.963764852116867
0.42,-15.314272387813135
0.43,-16.42742945757917
0.44,-16.655269134198992
0.45,-15.795665492910786
0.46,-16.324388641526177
0.47,-16.905937795350752
0.48,-16.04759218208157
0.49,-14.538560954744899
0.5,-14.90079606891623
0.51,-17.35547243437694
0.52,-15.269567204467814
0.53,-11.47578913142651
0.54,-12.984433751601415
0.55,-15.473364776331024
0.56,-16.076227934547376
0.57,-14.189471684843104
0.58,-16.848580556616433
0.59,-16.56377177432423
0.6,-18.570504536297953
0.61,-17.076530514609757
0.62,-16.74591793898561
0.63,-18.766059002643857
0.64,-20.5860587630629
0.65,-19.991521824960774
0.66,-19.072665412815205
0.67,-15.365425271991066
0.68,-18.50554206726807
0.69,-15.756547139811609
0.7,-16.243171136821132
0.71,-15.504903989045363
0.72,-17.044406008537003
0.73,-11.325103214434712
0.74,-15.409065218423157
0.75,-11.75030506437077
0.76,-14.359492948447672
0.77,-17.371126215839453
0.78,-20.271388824093183
0.79,-13.245989970237504
0.8,-16.61388625702188
