seconds_elapsed,dBFS
0.0,-12.571291519474187
0.01,-11.999946665424782
0.02,-12.245027758334789
0.03,-12.350961213829802
0.04,-10.740822846733574
0.05,-10.620252803272836
0.06,-11.658508758183512
0.07,-11.292942239901187
0.08,-11.061611985793935
0.09,-11.277391801126521
0.1,-11.1453687478954
0.11,-11.281276801588502
0.12,-10.080973500699479
0.13,-9.854659098173757
0.14,-10.503109776625584
0.15,-11.232838745888214
0.16,-9.161763439493582
0.17,-11.304623366357092
0.18,-9.92002594932162
0.19,-11.64127786113327
0.2,-11.010612813461506
0.21,-11.263807967377948
0.22,-10.447331485233118
0.23,-10.623854665086036
0.24,-10.951489788233694
0.25,-10.370013729286732
0.26,-10.082665831856916
0.27,-9.613222074170679
0.28,-9.77179897950313
0.29,-8.683493108607681
0.3,-12.182297863092547
0.31,-9.509618161845141
0.32,-9.595602006160744
0.33,-9.283632321786655
0.34,-8.914157178361462
0.35,-10.234619422732065
0.36,-11.518613646821986
0.37,-11.377988487797255
0.38,-12.585955059778424
0.39,-11.585763880971205
0.4,-11.072985915360787
0.41,-11.948391963496757
0.42,-10.751784113900413
0.43,-14.252156444412869
0.44,-11.300727911806735
0.45,-11.742105993897114
0.46,-12.397233185869098
0.47,-12.633499472089191
0.48,-11.435152157074025
0.49,-12.82052208746432
0.5,-11.402581883348857
0.51,-12.420461939910599
0.52,-10.83443752543381
0.53,-11.761591438413888
0.54,-10.917885014777486
0.55,-11.293915067324287
0.56,-11.912798295790438
0.57,-10.850138537082994
0.58,-10.102151376403004
0.59,-10.83443752543381
0.6,-13.021150596182585
0.61,-10.383144328367928
0.62,-9.944145350036166
0.63,-10.995559274792225
0.64,-11.375041954279519
0.65,-10.587903083800452
0.66,-10.370888485281036
0.67,-9.242050855809008
0.68,-10.444684289711617
0.69,-10.654530945823451
0.7,-12.903262119342532
0.71,-11.265747214905106
0.72,-11.072037518827871
0.73,-11.156852957992452
0.74,-10.520002345860522
0.75,-12.426001763835917
0.76,-11.054984065107536
0.77,-11.796569603377778
0.78,-11.486724158452326
0.79,-10.897412584897342
0.8,-9.53739017996279
0.81,-10.71621045473621
0.82,-11.16260076208754
0.83,-11.028522842393686
0.84,-12.53305735006074
0.85,-10.37176332938089
0.86,-10.19852484572876
0.87,-11.834794811263102
0.88,-11.805852155676387
0.89,-12.213606181062456
0.9,-11.833759482620351
0.91,-11.781120693800712
0.92,-11.304623366357092
0.93,-11.736985502303874
0.94,-10.995559274792225
0.95,-11.127216411846515
0.96,-12.12215793196819
0.97,-10.016068205513722
0.98,-9.972508825844598
0.99,-10.363018851004078
1.0,-11.228009763922467
1.01,-11.44999729765238
1.02,-10.787504066796878
1.03,-10.4552779159518
1.04,-11.63419270925565
1.05,-9.680021462006689
1.06,-9.212908694775262
1.07,-10.457928342551643
1.08,-9.57083424078998
1.09,-10.240649795150482
1.1,-9.891005241943633
1.11,-9.052096433653347
1.12,-9.837365545895565
1.13,-9.613222074170679
1.14,-11.372096419981897
1.15,-10.257039084796187
1.16,-9.843126238462256
1.17,-9.830786572175947
1.18,-9.418203491346139
1.19,-11.209684078025944
1.2,-9.980032334013607
1.21,-12.442642466872119
1.22,-10.687130236275763
1.23,-10.959911335539541
1.24,-11.125307844570528
1.25,-10.709840832381047
1.26,-9.16024133493557
1.27,-9.645350424610458
1.28,-9.640523589455363
1.29,-10.981470237415898
1.3,-10.981470237415898
1.31,-11.79141691316434
1.32,-10.103847839228333
1.33,-10.983347455845092
1.34,-9.655817778395878
1.35,-11.216431149048937
1.36,-10.496894470715969
1.37,-11.635204520036464
1.38,-10.21139855438167
1.39,-10.541387394754187
1.4,-9.925010678088597
1.41,-10.157456733107583
1.42,-11.033242152283254
1.43,-10.583419581074534
1.44,-11.512625442766769
1.45,-10.11658188290786
1.46,-10.121680732269464
1.47,-10.382268337278681
1.48,-11.073934415458705
1.49,-9.895145125553801
1.5,-10.81784380212276
1.51,-9.711587419115308
1.52,-11.360324261453343
1.53,-10.462347518245071
1.54,-10.551206499239449
1.55,-10.383144328367928
1.56,-11.925344118344345
1.57,-11.568676549898074
1.58,-10.910434910632036
1.59,-13.091462771128402
1.6,-9.369735616725878
1.61,-10.506663377836269
1.62,-12.18768780408962
1.63,-9.589203560465828
1.64,-10.712570098589854
1.65,-11.630146644369137
1.66,-10.831669702486792
1.67,-11.679841285414255
1.68,-9.802881393898952
1.69,-12.643721507494877
1.7,-13.33044443465279
1.71,-11.664598421651975
1.72,-12.251542990272771
1.73,-14.534321522640209
1.74,-11.873188986030618
1.75,-13.078310482013599
1.76,-15.03744420986145
1.77,-12.174757560335077
1.78,-15.053927400526879
1.79,-15.183885724109686
1.8,-14.286414947600276
1.81,-13.232601782059096
1.82,-14.061428476110471
1.83,-13.174420891536705
1.84,-14.186756495812533
1.85,-15.312726993335602
1.86,-12.841423971011537
1.87,-14.39417828180948
1.88,-12.82052208746432
1.89,-13.50436680003218
1.9,-13.355078284511048
1.91,-14.504703294314771
1.92,-12.877539988276784
1.93,-14.26858366375484
1.94,-13.952404704282246
1.95,-16.540602259140144
1.96,-16.22255588274965
1.97,-16.464401983739243
1.98,-14.592440299277046
1.99,-14.859630638128749
2.0,-15.173234723831996
2.01,-14.193546060480973
2.02,-15.240401867685902
2.03,-15.711130619929602
2.04,-17.445869386800233
2.05,-15.079463108300324
2.06,-15.746795017187544
2.07,-16.675130859103074
2.08,-16.819124353267355
2.09,-17.190870335590056
2.1,-19.166075852827092
2.11,-16.46969664384715
2.12,-16.969284332601145
2.13,-19.207109727627973
2.14,-19.50240920337688
2.15,-17.96479680804568
2.16,-20.66868717018012
2.17,-18.072409109226882
2.18,-18.097924592852465
2.19,-20.48737043073061
2.2,-17.573224918506863
2.21,-19.21921549911798
2.22,-17.32035423436202
2.23,-17.08789700212678
2.24,-19.52998745890713
2.25,-17.78835374261398
2.26,-19.108473720936512
2.27,-19.600584338070888
2.28,-17.765779651698843
2.29,-18.692779245975434
2.3,-19.557653556140856
2.31,-17.844012891236346
2.32,-17.260203747405953
2.33,-19.284879824236235
2.34,-18.884141687989878
2.35,-18.572753310326842
2.36,-17.42613768899598
2.37,-17.479516489112367
2.38,-17.99420492681126
2.39,-18.672280218041397
2.4,-17.870939481369746
2.41,-17.139231073014017
2.42,-17.416288623831296
2.43,-17.61340953627532
2.44,-17.776033329714153
2.45,-16.93010401003968
2.46,-17.252472647974265
2.47,-17.551202367578547
2.48,-16.920801353438705
2.49,-15.609803473745451
2.5,-16.62646018693285
2.51,-16.489138057196968
2.52,-15.328193325125214
2.53,-15.982252941403383
2.54,-17.571220559518373
2.55,-16.236293947516437
2.56,-14.711299435341473
2.57,-16.32265267876671
2.58,-14.417843674099126
2.59,-15.297288152374183
2.6,-13.891838910400358
2.61,-13.79917810160574
2.62,-13.01403198660118
2.63,-13.029463021106622
2.64,-13.277717053924587
2.65,-12.910290486257159
2.66,-13.054448132834864
2.67,-13.524467218925649
2.68,-12.954936033792404
2.69,-14.656680058562287
2.7,-13.737089571760311
2.71,-13.270385126389005
2.72,-13.53453489856692
2.73,-13.733223735495294
2.74,-13.499348954925516
2.75,-13.620584625563705
2.76,-13.310787533164437
2.77,-14.943638370163395
2.78,-13.127434204254971
2.79,-14.0976281148661
2.8,-14.504703294314771
2.81,-14.116457861313362
2.82,-13.751279043397242
2.83,-12.963185302096674
2.84,-12.414925647009758
2.85,-12.615356615073857
2.86,-13.73966775214079
2.87,-12.817043325130363
2.88,-16.154189613718934
2.89,-13.16114248077633
2.9,-12.478249545743068
2.91,-14.052067959852932
2.92,-13.023524763106773
2.93,-11.92220596344609
2.94,-12.414925647009758
2.95,-12.356456873385529
2.96,-14.585331787841687
2.97,-13.390921921218709
2.98,-13.58378264202462
2.99,-13.904969509481553
3.0,-12.812407141599921
3.01,-14.449964534191714
3.02,-13.73966775214079
3.03,-13.667766407379817
3.04,-14.58817449434327
3.05,-14.205780667205676
3.06,-13.296073995533026
3.07,-14.000100374307355
3.08,-13.939202255110088
3.09,-14.391398352312851
3.1,-13.92865472541317
3.11,-14.861097477554353
3.12,-16.262111532078983
3.13,-15.978915423730019
3.14,-15.672390293431109
3.15,-15.249601398612674
3.16,-15.89589156815987
3.17,-14.576809246221158
3.18,-15.983922181273623
3.19,-13.886592223657884
3.2,-13.752570145538314
3.21,-14.714183675659546
3.22,-14.000100374307355
3.23,-15.251135601502481
3.24,-14.178616017580254
3.25,-12.12429863182821
3.26,-9.359607206797229
3.27,-9.748967112257201
3.28,-10.237203355411559
3.29,-11.517615326076324
3.3,-12.84840245797347
3.31,-11.10529316710214
3.32,-10.343811930720383
3.33,-10.636472956703667
3.34,-11.482746191981118
3.35,-12.653955586932756
3.36,-9.450404032331164
3.37,-9.878597416913705
3.38,-10.772831952433034
3.39,-10.781999119128889
3.4,-11.772892496962235
3.41,-11.120538260332253
3.42,-9.069399757696788
3.43,-10.414738990562952
3.44,-10.215694034236815
3.45,-10.15233684516797
3.46,-13.33659635051168
3.47,-13.2899507033245
3.48,-13.339058337387026
3.49,-12.549904623018326
3.5,-13.733223735495294
3.51,-11.530602454298924
3.52,-11.267686895493352
3.53,-13.158730403660561
3.54,-13.205887155654478
3.55,-15.701429327441499
3.56,-13.533275800262466
3.57,-14.222120329597042
3.58,-15.643448020542722
3.59,-15.354549458484188
3.6,-15.254204820487798
3.61,-17.246678835883017
3.62,-16.6968501193586
3.63,-17.30090530183372
3.64,-16.86149912427277
3.65,-15.877732332044738
3.66,-17.033096254806207
3.67,-13.97357045252743
3.68,-15.885981824200675
3.69,-14.14748133736822
3.7,-14.515974523326165
3.71,-14.282296785703426
3.72,-14.078839100287823
3.73,-14.105693008331366
3.74,-13.998771951939073
3.75,-14.887543034770461
3.76,-14.416449805904197
3.77,-14.040047813897933
3.78,-13.931290407314162
3.79,-13.86302127394703
3.8,-13.063985207235858
3.81,-12.900920593613815
3.82,-13.94316088319444
3.83,-14.387230125580988
3.84,-14.988181491566577
3.85,-16.355695446240865
3.86,-17.14495363145406
3.87,-16.120207216546138
3.88,-15.651477871940225
3.89,-17.12589308038176
3.9,-17.175537781497354
3.91,-15.003080105233224
3.92,-16.25005377556324
3.93,-16.617476951425253
3.94,-14.858164046375489
3.95,-14.057415591013422
3.96,-14.358108411959831
3.97,-14.000100374307355
3.98,-12.640312825534172
3.99,-11.995726629078893
4.0,-11.806884163001081
4.01,-14.280924498847254
4.02,-14.967366271927913
4.03,-16.542382336949032
4.04,-15.568328072516804
4.05,-15.91740154491989
4.06,-17.14495363145406
4.07,-15.675612062621632
4.08,-14.15829813781729
4.09,-14.208501810598253
4.1,-13.511899007156657
4.11,-12.331205580662628
4.12,-11.200054487640445
4.13,-10.595979225375379
4.14,-10.154896411898754
4.15,-9.282088712463581
4.16,-9.018341476562792
4.17,-10.452628297860766
4.18,-10.681688517623469
4.19,-11.267686895493352
4.2,-10.38752560948885
4.21,-13.220448583437133
4.22,-10.273459357645567
4.23,-11.591802738436748
4.24,-12.131795238848827
4.25,-11.455942465330114
4.26,-10.587903083800452
4.27,-11.19716769107987
4.28,-9.87363924554623
4.29,-10.942142080015449
4.3,-10.798524439987728
4.31,-10.7417357575167
4.32,-9.5588751453608
4.33,-10.36564127027768
4.34,-10.634669220919372
4.35,-9.401756646127401
4.36,-9.642936671742884
4.37,-10.302052765487087
4.38,-10.246684357198234
4.39,-11.861756763498557
4.4,-10.864015979942444
4.41,-10.291644268569819
4.42,-10.78933982494343
4.43,-9.92916680508213
4.44,-10.646400204500356
4.45,-8.855914352533674
4.46,-10.11573236560677
4.47,-9.554096113802512
4.48,-9.074672835996411
4.49,-9.897630003167105
4.5,-10.29684695793655
4.51,-10.364767042544258
4.52,-9.492997474063776
4.53,-9.626059157073446
4.54,-10.382268337278681
4.55,-8.798789408706083
4.56,-10.214834768307632
4.57,-10.178822143688556
4.58,-9.91338409112143
4.59,-10.201955969470024
4.6,-10.065757339777896
4.61,-11.665613780778513
4.62,-11.339761297968687
4.63,-10.935604664786517
4.64,-11.734938150582417
4.65,-11.439108381072305
4.66,-11.576713459690131
4.67,-11.022863053115628
4.68,-11.394704417997154
4.69,-11.034186322036675
4.7,-11.16739350603636
4.71,-10.219131948248869
4.72,-10.048038776889726
4.73,-10.264813239434062
4.74,-9.71077660094547
4.75,-11.228975345562954
4.76,-12.810089977483718
4.77,-12.245027758334789
4.78,-11.256055304015495
4.79,-9.481934658254872
4.8,-9.549319710251812
4.81,-10.704384871373724
4.82,-10.076744114805882
4.83,-10.773748233845144
4.84,-10.363018851004078
4.85,-11.405537775716354
4.86,-11.965192528963073
4.87,-11.9515395952174
4.88,-11.309495142601286
