seconds_elapsed,dBFS
0.0,-16.896660971187845
0.01,-16.804433627333076
0.02,-17.19278880928931
0.03,-17.32230152495152
0.04,-17.430080444233024
0.05,-17.698407270657878
0.06,-17.351563393069707
0.07,-17.93757813679176
0.08,-22.836049255010003
0.09,-24.76598641991842
0.1,-27.32461644608676
0.11,-35.23733752133622
0.12,-41.2426318982536
0.13,-48.798059471343734
0.14,-51.32119856629609
0.15,-50.754526593417395
0.16,-49.481144996029855
0.17,-52.467106645384746
0.18,-53.65882044506962
0.19,-54.05073156633725
0.2,-54.32218771012272
0.21,-57.24474842368748
0.22,-58.48770655866437
0.23,-59.18294868384861
0.24,-62.3501985257536
0.25,-63.46054508275023
0.26,-69.48114499602985
0.27,-69.48114499602985
0.28,-72.24719895935547
0.29,-74.74597369152148
0.3,-73.40703789890921
0.31,-74.74597369152148
0.32,-76.32959861247397
0.33,-78.2677988726351
0.34,-80.76657360480111
0.35,-76.32959861247397
0.36,-74.74597369152148
0.37,-54.05073156633725
0.38,-34.76046225140812
0.39,-31.528603170221025
0.4,-28.915636760962443
0.41,-25.730730579300594
0.42,-23.79047958376503
0.43,-22.11709831125804
0.44,-20.95683658752169
0.45,-18.011054378531664
0.46,-17.260203747405953
0.47,-16.755035069704146
0.48,-15.218974111456017
0.49,-14.681072595258541
0.5,-15.108092139878144
0.51,-14.688259926771721
0.52,-14.717068874037867
0.53,-14.510337080559347
0.54,-14.207141132340897
0.55,-14.327704312174195
0.56,-14.243954470585216
0.57,-14.442971626932055
0.58,-15.031458069281259
0.59,-16.711359856937108
0.6,-19.70244290363263
0.61,-22.416463413750172
0.62,-23.456597848127394
0.63,-24.904741601269503
0.64,-27.380235993478866
0.65,-34.58817449434327
0.66,-40.28781345483932
0.67,-46.67212694029891
0.68,-48.945281464271126
0.69,-50.84644162720038
0.7,-51.32119856629609
0.71,-50.30899869919435
0.72,-53.918119988356985
0.73,-57.844012891236346
0.74,-62.3501985257536
0.75,-60.76657360480111
0.76,-59.42763781218885
0.77,-65.20354859712823
0.78,-64.73392668013777
0.79,-67.3864379856296
0.8,-68.72537377824186
0.81,-73.40703789890921
0.82,-74.74597369152148
0.83,-74.74597369152148
0.84,-76.32959861247397
0.85,-76.32959861247397
0.86,-76.32959861247397
0.87,-74.74597369152148
0.88,-78.2677988726351
0.89,-78.2677988726351
0.9,-78.2677988726351
0.91,-78.2677988726351
0.92,-78.2677988726351
0.93,-78.2677988726351
0.94,-76.32959861247397
0.95,-76.32959861247397
0.96,-76.32959861247397
0.97,-74.74597369152148
0.98,-78.2677988726351
0.99,-76.32959861247397
1.0,-78.2677988726351
1.01,-78.2677988726351
1.02,-76.32959861247397
1.03,-74.74597369152148
1.04,-78.2677988726351
