seconds_elapsed,dBFS
0.0,-17.19278880928931
0.01,-18.344134866121905
0.02,-19.378145429631736
0.03,-18.45658227275471
0.04,-17.40055331221252
0.05,-18.496619735062797
0.06,-19.063141410064862
0.07,-17.023682696240854
0.08,-20.028675091181366
0.09,-22.130638282258758
0.1,-17.833678696515737
0.11,-21.157415759279104
0.12,-20.30152441212688
0.13,-22.100202974987425
0.14,-21.031138919476213
0.15,-19.32402756211324
0.16,-17.34375058423347
0.17,-17.73509104491389
0.18,-16.27763899807581
0.19,-18.370462412334945
0.2,-17.080317691315955
0.21,-17.044406008537003
0.22,-17.330095055880907
0.23,-17.089792863672685
0.24,-16.848580556616433
0.25,-16.973025025870875
0.26,-18.43441872503614
0.27,-17.956412744037518
0.28,-17.080317691315955
0.29,-17.445869386800233
0.3,-18.36387304069152
0.31,-17.48745243268687
0.32,-13.625673020341955
0.33,-16.778784493543284
0.34,-16.707730149555385
0.35,-16.87628676715176
0.36,-17.86264548251747
0.37,-15.767938472117212
0.38,-17.38288509349918
0.39,-15.415317433656629
0.4,-16.39586350047055
0.41,-15.438803404625762
0.42,-16.04759218208157
0.43,-16.32959861247398
0.44,-17.81510807375273
0.45,-17.603345939230117
0.46,-20.334519284236265
0.47,-18.720186756398412
0.48,-16.213980613380937
0.49,-12.681305563782901
0.5,-16.308777452752107
0.51,-17.154499615092192
0.52,-17.943851802386327
0.53,-17.18703465893772
0.54,-17.906277599719207
0.55,-15.619402910682812
0.56,-19.30932647600058
0.57,-16.374883080516014
0.58,-16.348728620410725
0.59,-16.18317955401909
0.6,-17.30284823655563
0.61,-16.667903157718214
0.62,-16.922661087872115
0.63,-16.142280645549086
0.64,-13.902341801206159
0.65,-12.867039213709823
0.66,-14.918498295773347
0.67,-13.201038766112983
0.68,-12.990345335330638
0.69,-13.96033581696667
0.7,-13.08906996405044
0.71,-13.777137620513395
0.72,-15.473364776331024
0.73,-15.115641805401747
0.74,-13.602798681813104
0.75,-16.05600466665013
0.76,-14.821579502196025
0.77,-16.76781515135113
0.78,-15.426269651169411
0.79,-14.968851420198275
0.8,-16.576273313948487
0.81,-16.61568141867714
0.82,-19.277559225709282
0.83,-16.317446871216173
0.84,-19.45497931023214
