seconds_elapsed,dBFS
0.0,-29.293672474533512
0.01,-27.220519236901417
0.02,-29.347935236882176
0.03,-32.36745863500595
0.04,-29.426046281619897
0.05,-25.5380409455678
0.06,-28.370798439033223
0.07,-25.959319814916235
0.08,-25.007922929114063
0.09,-29.77833340872842
0.1,-31.272537992876117
0.11,-29.762006543699226
0.12,-30.188239599248014
0.13,-29.61642956668795
0.14,-23.00298372643461
0.15,-23.512023038441615
0.16,-28.212430626121247
0.17,-27.825437589700854
0.18,-37.07274498844913
0.19,-36.885541844892686
0.2,-32.61309142021474
0.21,-31.185630089687088
0.22,-31.7206201849085
0.23,-32.075195524117134
0.24,-33.735800768487955
0.25,-30.50222160344233
0.26,-27.367845278627158
0.27,-26.468806846120955
0.28,-27.00411217668814
0.29,-22.625515923053683
0.3,-22.09345403165016
0.31,-21.239574024735642
0.32,-19.9703625218341
0.33,-17.93130899928535
0.34,-19.202272139289022
0.35,-19.88100613688684
0.36,-17.30284823655563
0.37,-14.919975111153605
0.38,-14.167773900849575
0.39,-17.954317991914
0.4,-19.535011108346218
0.41,-20.055310774851087
0.42,-18.579503127766422
0.43,-18.93323445288742
0.44,-22.795726419976646
0.45,-22.6291029103597
0.46,-22.564762692919746
0.47,-24.271044355290194
0.48,-29.78650836428535
0.49,-31.321198566296097
0.5,-34.616652846536844
0.51,-31.782149766681258
0.52,-31.08057681786539
0.53,-33.984172699358695
0.54,-34.6452248776892
0.55,-32.83096674190513
0.56,-32.04332066398599
0.57,-32.69272685357853
0.58,-33.16234877056899
0.59,-35.08548243607973
0.6,-29.426046281619897
0.61,-24.561923244899425
0.62,-22.9805395546749
0.63,-24.99849199481288
0.64,-23.77409110788792
0.65,-23.165553544733687
0.66,-26.55294592482597
0.67,-29.270520378272224
0.68,-28.539189295546432
0.69,-28.349977279311354
0.7,-27.306155462223188
0.71,-28.93044646555292
0.72,-28.790763469538803
0.73,-23.603853570503723
0.74,-23.085778795293837
0.75,-22.483237727288405
0.76,-23.04052004085083
0.77,-23.339007293517604
0.78,-22.650655997443735
0.79,-24.146251126433587
0.8,-25.290844705177236
0.81,-25.623716211618568
0.82,-24.14197972745984
0.83,-23.82746710440463
0.84,-24.023225480244403
0.85,-24.249399964229372
0.86,-23.555820878671515
0.87,-23.72918159020578
0.88,-24.729356361885493
0.89,-24.18049814818061
0.9,-25.578253469420478
0.91,-24.9749593615126
0.92,-24.4284968172879
0.93,-23.40544636834028
0.94,-24.517219648342422
0.95,-24.701984838274242
0.96,-26.798762431925404
0.97,-29.713209282557244
0.98,-30.08605148367841
0.99,-31.458916575832742
1.0,-36.540602259140144
1.01,-37.38092417473297
1.02,-37.53921356010161
1.03,-35.48596672215866
1.04,-36.45206031364975
1.05,-39.304431638092474
1.06,-38.39907426268287
1.07,-36.922661087872115
1.08,-36.29492435629397
1.09,-36.904081637711876
1.1,-36.73863111839208
1.11,-35.677223395459585
1.12,-35.80710827756498
1.13,-35.19150158574453
1.14,-33.21073825303724
1.15,-33.16234877056899
1.16,-32.12858161497124
1.17,-30.74538836044608
1.18,-34.19898153602635
1.19,-36.612091466306104
1.2,-35.613002107417415
1.21,-36.77512650669703
1.22,-34.545631276371005
1.23,-32.117878114370846
1.24,-33.76161323811785
1.25,-33.544614261041836
1.26,-31.969397752786712
1.27,-38.44327735878521
1.28,-32.4005477784062
1.29,-28.18518075392605
1.3,-31.864873150414027
1.31,-30.466768943455364
1.32,-30.690759943657483
1.33,-32.51176427403059
1.34,-30.370013729286732
1.35,-29.721323145490164
1.36,-29.27823088888781
1.37,-29.23974660068525
1.38,-29.13288896567622
1.39,-32.117878114370846
1.4,-30.413859807441792
1.41,-29.87694437862951
1.42,-32.02213555680554
1.43,-31.099583148508376
