seconds_elapsed,dBFS
0.0,-11.274479190702518
0.01,-10.16685103971321
0.02,-9.493788214620384
0.03,-11.575708439192848
0.04,-10.147219973362807
0.05,-10.961783899875364
0.06,-10.42705690743016
0.07,-10.744475065703838
0.08,-9.612420386077622
0.09,-10.797605541321115
0.1,-11.435152157074025
0.11,-10.422655645801623
0.12,-10.439392317794427
0.13,-10.642788983312048
0.14,-9.572430031652093
0.15,-9.868683902839953
0.16,-10.336838112892469
0.17,-10.000965225135376
0.18,-11.18947425422785
0.19,-10.355156340359827
0.2,-11.348568036372285
0.21,-11.842045569237847
0.22,-12.227677660904302
0.23,-11.358363785282496
0.24,-13.638407064021486
0.25,-10.874206881438793
0.26,-9.617231624921871
0.27,-11.665613780778513
0.28,-10.632865859626053
0.29,-11.166434745658096
0.3,-9.63569943513082
0.31,-10.894624624790572
0.32,-10.860313160047056
0.33,-9.867858287171057
0.34,-11.786267277845381
0.35,-14.603826032040336
0.36,-11.947343006350613
0.37,-12.883379242034895
0.38,-11.909664669526617
0.39,-11.955738212646859
0.4,-16.462637814008783
0.41,-10.70893126751943
0.42,-10.091979551715902
0.43,-10.288177539472487
0.44,-10.035404753370505
0.45,-13.029463021106622
0.46,-11.514621052112265
0.47,-11.682893070760894
0.48,-12.064557568546048
0.49,-11.609944542837196
0.5,-14.27680893864798
0.51,-12.604036543566634
0.52,-11.529602754736555
0.53,-12.413818811756517
0.54,-11.818244343684562
0.55,-11.769808931588841
0.56,-11.021920113350486
0.57,-9.439395298743335
0.58,-12.030603400165038
0.59,-10.57445951256999
0.6,-11.794508160473105
0.61,-12.63917689541576
0.62,-12.330109361864167
0.63,-11.564660881940249
0.64,-10.7829163681543
0.65,-11.66358318120455
0.66,-9.6228481072631
0.67,-11.505644418512858
0.68,-11.450987876388478
0.69,-15.035947287903749
0.7,-11.340739383622335
0.71,-11.578723849616491
0.72,-10.933737735249384
0.73,-11.331940575200088
0.74,-12.155398214345958
0.75,-13.280162405753256
0.76,-10.704384871373724
0.77,-11.389784627642987
0.78,-12.224428372392788
0.79,-9.618835963610966
0.8,-10.048881698879619
0.81,-15.520716645220451
0.82,-12.245027758334789
0.83,-12.172604389863448
0.84,-12.009449250307737
0.85,-11.923251889106705
0.86,-11.582746025950495
0.87,-11.517615326076324
0.88,-11.38290159932486
0.89,-8.522202543773732
0.9,-9.385340884376726
0.91,-9.063377299741479
0.92,-8.873567110859247
0.93,-10.097063975063854
0.94,-8.963116972874824
0.95,-11.801725352112326
0.96,-10.462347518245071
0.97,-10.682595234012211
0.98,-9.526270714752453
0.99,-8.558339184512484
1.0,-7.6222684802207565
1.01,-9.382217587098173
1.02,-10.35428316723639
1.03,-8.523616838271371
1.04,-9.618835963610966
1.05,-11.432186171169135
1.06,-9.45827596475149
1.07,-11.106245201918465
1.08,-9.170901672464906
1.09,-8.130936145848091
1.1,-9.62846822369215
1.11,-7.803928978698398
1.12,-9.728632108264726
1.13,-9.018341476562792
1.14,-9.45355194924088
1.15,-9.378315044174968
1.16,-7.995457396877612
1.17,-8.470737765672759
1.18,-11.493689986570008
1.19,-10.42705690743016
1.2,-9.80779932720278
1.21,-11.038908710908542
1.22,-12.76848638184938
1.23,-10.461463503218297
1.24,-7.738428623245561
1.25,-11.070141036366614
1.26,-11.544610342939496
1.27,-8.200157603160456
1.28,-12.297286966195127
1.29,-11.852414305861378
