seconds_elapsed,dBFS
0.0,-12.564532071943898
0.01,-13.464304972249563
0.02,-13.972246081153655
0.03,-12.298379050139241
0.04,-12.439311774824635
0.05,-12.827483794733661
0.06,-12.634634659915164
0.07,-13.71006478036164
0.08,-13.303427648833615
0.09,-14.036044792256423
0.1,-12.297286966195127
0.11,-13.466803430382157
0.12,-12.083715279226958
0.13,-13.252082338894422
0.14,-11.46586012984455
0.15,-13.390921921218709
0.16,-12.813565955508393
0.17,-11.59482374234109
0.18,-13.633311206064779
0.19,-12.962006355418508
0.2,-9.94247979113594
0.21,-10.728052160235062
0.22,-10.427937427440854
0.23,-9.56923874305624
0.24,-10.889980012285875
0.25,-9.634895669837313
0.26,-9.028828968559873
0.27,-9.75711446266984
0.28,-11.231872734694639
0.29,-8.82876977901546
0.3,-9.249736124084293
0.31,-10.955231690128105
0.32,-9.776699340500846
0.33,-11.176986934930824
0.34,-11.433174720608324
0.35,-12.1296526908266
0.36,-9.851362432553742
0.37,-11.228975345562954
0.38,-10.48447718534446
0.39,-10.201098061460234
0.4,-11.015322399673547
0.41,-10.349045971034272
0.42,-10.099607303266517
0.43,-11.622060164429246
0.44,-9.790598729154004
0.45,-10.611254677907807
0.46,-8.945281464271126
0.47,-10.527124846987848
0.48,-9.019838914655988
0.49,-11.697148930342392
0.5,-10.496006932817268
0.51,-9.277459529743563
0.52,-9.096552612995236
0.53,-9.437038098591893
0.54,-9.837365545895565
0.55,-11.930576897367642
0.56,-10.85568685387214
0.57,-11.690018075843899
0.58,-12.306027484807478
0.59,-11.206794079783322
0.6,-11.076780537368744
0.61,-8.444068077117553
0.62,-10.464115818258929
0.63,-12.60177429856412
0.64,-10.836283230846206
0.65,-13.9947879034151
0.66,-12.092243399340688
0.67,-10.297714375886846
0.68,-11.993617379520675
0.69,-9.212143114620691
0.7,-10.598672942140048
0.71,-8.070313172540725
0.72,-10.476504008514251
0.73,-12.610826815942215
0.74,-11.426257236032399
0.75,-12.097577729569187
0.76,-13.134646401988523
0.77,-12.333398433397846
0.78,-14.456963075895029
0.79,-12.388400451269817
0.8,-12.615356615073857
0.81,-13.347680791114527
0.82,-14.856697702210939
0.83,-15.004571373094741
0.84,-12.56565828129887
0.85,-12.952580538282898
0.86,-13.78750264517783
