seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-51.518613646821976
0.05,-47.44870269411245
0.06,-47.70232332929424
0.07,-36.05600466665013
0.08,-35.77445451866291
0.09,-35.50174490930948
0.1,-33.852565793132264
0.11,-40.260456299505705
0.12,-43.7414066304196
0.13,-43.700723232210535
0.14,-45.49801373354236
0.15,-43.57980402222377
0.16,-39.01567741415257
0.17,-42.178195090515246
0.18,-42.88764145375963
0.19,-44.20197131026188
0.2,-42.38501175727962
0.21,-46.787173518080735
0.22,-45.90683693839325
0.23,-44.87216656846438
0.24,-45.85466927624269
0.25,-41.97618855242873
0.26,-41.9098837293992
0.27,-49.96833191321875
0.28,-41.1816780366135
0.29,-44.82584171392076
0.3,-44.073921478079264
0.31,-45.802813064677096
0.32,-45.15542720181067
0.33,-45.39874534291136
0.34,-43.57980402222377
0.35,-42.704773864962235
0.36,-45.39874534291136
0.37,-43.1884815553319
0.38,-42.59687322722811
0.39,-26.51919242520701
0.4,-27.851580241905648
0.41,-31.710407497502597
0.42,-34.06410476318697
0.43,-35.93896492184887
0.44,-40.680146129148255
0.45,-41.876920161797734
0.46,-43.46054508275023
0.47,-43.539868827102254
0.48,-38.5100066726802
0.49,-38.333188563932055
0.5,-42.9246815509915
0.51,-44.073921478079264
0.52,-42.110336232568464
0.53,-42.246588275678
0.54,-42.178195090515246
0.55,-40.56623118965063
0.56,-40.01804364598864
0.57,-38.20289777637217
0.58,-39.182948683848615
0.59,-42.52567701190371
0.6,-43.61992367617574
0.61,-43.26534833696711
0.62,-32.30165612606495
0.63,-31.137721034755007
0.64,-35.98893182649837
0.65,-33.102238567774485
0.66,-36.072854118370536
0.67,-33.32061042325637
0.68,-34.489229197418034
0.69,-32.88922242398285
0.7,-34.19898153602635
0.71,-32.17152800475295
0.72,-37.225467861635146
0.73,-37.09168913911697
0.74,-36.77512650669703
0.75,-30.34381193072038
0.76,-21.365838072349973
0.77,-23.52792398501157
0.78,-26.08124764045718
0.79,-28.812669886290863
0.8,-31.7206201849085
0.81,-35.19150158574453
0.82,-36.072854118370536
0.83,-33.09026628519248
0.84,-33.407037898909216
0.85,-37.72080671713998
0.86,-33.710064780361634
0.87,-31.95888850814342
0.88,-29.371294882440154
0.89,-32.4005477784062
0.9,-33.722923242573856
0.91,-33.55722993448413
0.92,-33.36989219879788
0.93,-32.66989927240235
0.94,-34.19898153602635
0.95,-33.878728131098896
0.96,-37.20623000296671
0.97,-39.88623702511363
0.98,-40.28781345483932
0.99,-42.77745955806411
1.0,-39.91243882367998
1.01,-38.224477637504954
1.02,-42.99923900137636
1.03,-40.97164629211217
1.04,-37.9062775997192
1.05,-35.597020705230754
1.06,-38.39907426268287
1.07,-39.52747672333882
1.08,-42.31552426957359
1.09,-41.1816780366135
1.1,-34.67389120614498
1.11,-32.54540882082786
1.12,-37.59932376289611
1.13,-38.69049918568197
1.14,-44.64297412512336
1.15,-44.20197131026188
1.16,-43.539868827102254
1.17,-42.2123243667956
1.18,-39.96508074019487
1.19,-32.92436430457484
1.2,-32.601774298564116
1.21,-33.519437751710385
1.22,-36.848580556616426
1.23,-36.59416392714908
1.24,-40.73766878731749
1.25,-41.97618855242873
1.26,-41.61762061851039
1.27,-43.90607297697328
1.28,-44.733926680137785
1.29,-45.802813064677096
1.3,-45.70002027162887
1.31,-45.01264223900363
1.32,-43.7414066304196
1.33,-42.110336232568464
1.34,-40.88316447801559
1.35,-44.463877272064835
1.36,-42.63269137958573
1.37,-40.708859840051346
1.38,-43.0744419788425
1.39,-41.42810278083282
1.4,-41.522344822589105
1.41,-43.15030175918528
1.42,-43.46054508275023
1.43,-44.24507755078458
1.44,-43.539868827102254
1.45,-40.97164629211217
1.46,-38.59978410902434
1.47,-35.533387529506975
1.48,-36.77512650669703
1.49,-31.95888850814342
1.5,-33.11422737525142
1.51,-38.851566655184754
1.52,-35.581068653661504
1.53,-35.741923058769785
1.54,-41.9098837293992
1.55,-42.850758639792225
1.56,-44.733926680137785
1.57,-45.49801373354236
1.58,-43.94773199993912
1.59,-46.90376439129521
1.6,-45.10757093949286
1.61,-44.463877272064835
1.62,-41.06103874121523
1.63,-39.03937699130614
1.64,-37.034980191401395
1.65,-36.97863908809674
1.66,-38.074532539047524
1.67,-31.99045446525204
1.68,-30.809558813232975
1.69,-30.90206117459249
1.7,-29.729444595018798
1.71,-32.26894087217977
1.72,-38.57725260575926
1.73,-40.79557493270576
1.74,-39.25563437695049
1.75,-43.381939210181585
1.76,-43.700723232210535
1.77,-46.5585842824651
1.78,-46.729459753330964
1.79,-45.64907649135128
1.8,-47.96357278607907
1.81,-46.17248117855736
1.82,-46.61517008284237
1.83,-46.729459753330964
1.84,-45.01264223900363
1.85,-44.20197131026188
1.86,-44.41967417596249
1.87,-43.3040383325111
1.88,-43.15030175918528
1.89,-45.05997690458577
1.9,-43.1884815553319
1.91,-44.64297412512336
1.92,-46.17248117855736
1.93,-45.802813064677096
1.94,-46.33585696010591
1.95,-43.700723232210535
1.96,-45.251938079596485
1.97,-43.700723232210535
1.98,-41.30401653280713
1.99,-43.26534833696711
2.0,-43.1122890523966
2.01,-42.96188027867397
2.02,-41.74630281861858
2.03,-45.10757093949286
2.04,-46.012121738240396
2.05,-45.44823772546847
2.06,-46.06524661111521
2.07,-45.49801373354236
2.08,-45.49801373354236
2.09,-44.24507755078458
2.1,-43.50011640239199
2.11,-42.88764145375963
2.12,-44.87216656846438
2.13,-42.110336232568464
2.14,-41.74630281861858
2.15,-41.15136076451451
2.16,-39.552616797728874
2.17,-39.99152182496077
2.18,-42.455059634001046
2.19,-42.77745955806411
2.2,-44.68833135423981
2.21,-46.33585696010591
2.22,-48.945281464271126
2.23,-46.96265200423083
2.24,-46.50236473578853
2.25,-48.164799306236986
2.26,-50.22257122354151
2.27,-48.510896470406394
2.28,-50.05225420509091
2.29,-47.89752007507736
2.3,-45.802813064677096
2.31,-45.64907649135128
