seconds_elapsed,dBFS
0.0,-38.159898234900986
0.01,-42.56120217241977
0.02,-38.992042325724
0.03,-43.782281480619325
0.04,-41.459403317905384
0.05,-43.782281480619325
0.06,-45.10757093949286
0.07,-44.15907794093009
0.08,-38.37705678666515
0.09,-41.459403317905384
0.1,-45.39874534291136
0.11,-47.44870269411245
0.12,-38.944964217854455
0.13,-28.79805947134374
0.14,-15.47493902003956
0.15,-18.670005531728002
0.16,-24.388865312920913
0.17,-12.82052208746432
0.18,-20.082028389390096
0.19,-24.189081043778266
0.2,-26.374424246728623
0.21,-27.442456099353425
0.22,-32.03272165152002
0.23,-31.023806095257378
0.24,-28.952708475957554
0.25,-14.902269877291374
0.26,-23.504083467835724
0.27,-30.001803591010074
0.28,-31.90653217337988
0.29,-33.60787666479203
0.3,-19.048874957958482
0.31,-25.483050956994493
0.32,-28.878722597292573
0.33,-22.329377366031732
0.34,-27.232701412303776
0.35,-25.493023276847737
0.36,-28.689257760976613
0.37,-30.370013729286732
0.38,-33.970921911681145
0.39,-37.96899187677637
0.4,-40.260456299505705
0.41,-42.280987883563476
0.42,-40.623001912258644
0.43,-43.22682991624633
0.44,-43.342901438231145
0.45,-38.55477939881613
0.46,-36.46969664384714
0.47,-37.927132086659505
0.48,-41.091041844063405
0.49,-38.333188563932055
0.5,-38.074532539047524
0.51,-39.86011402906796
0.52,-34.15829813781729
0.53,-20.464969671343564
0.54,-27.530319894055882
0.55,-28.144465571695786
0.56,-35.13076085123488
0.57,-36.72044076695198
0.58,-39.75640068176758
0.59,-41.84408122045819
0.6,-40.56623118965063
0.61,-32.13929832162136
0.62,-20.697362962610978
0.63,-23.75364890113978
0.64,-21.381362454745513
0.65,-32.92436430457484
0.66,-34.86256456473596
0.67,-40.56623118965063
0.68,-34.05073156633725
0.69,-17.289256811525455
0.7,-21.10909357824653
0.71,-24.539542687198708
0.72,-17.835744552070267
0.73,-21.23651722736534
0.74,-14.30565889516708
0.75,-16.331335964142554
0.76,-19.540037664990013
0.77,-15.965578162548155
0.78,-20.337274522844005
0.79,-13.319381954314633
0.8,-16.007325285295813
0.81,-19.699881827500832
0.82,-14.260366170579886
0.83,-15.208280023838928
0.84,-13.847342768538283
0.85,-22.77016355625918
0.86,-16.331335964142554
0.87,-17.89586910280194
0.88,-13.426914085244091
0.89,-22.448029370858794
0.9,-28.070313172540725
0.91,-27.42997637071509
0.92,-24.521679668793723
0.93,-21.80483767642123
0.94,-21.055050537160014
0.95,-27.943704177404772
0.96,-23.860477651075303
0.97,-27.04577119965399
0.98,-33.13825474780157
0.99,-36.26038797028385
1.0,-36.86704154048001
1.01,-39.1108661984721
1.02,-39.75640068176758
1.03,-42.14419939295736
1.04,-42.31552426957359
1.05,-41.00134167022599
1.06,-46.44650673210513
1.07,-47.44870269411245
1.08,-47.96357278607907
1.09,-44.779762615729474
1.1,-39.182948683848615
1.11,-33.247208102157046
1.12,-36.364411844
1.13,-38.66773144096018
1.14,-43.86461280451597
1.15,-45.59842976104338
1.16,-45.70002027162887
1.17,-39.15885466108119
1.18,-39.42763781218884
1.19,-44.20197131026188
1.2,-47.574587356066225
1.21,-47.20227794989312
1.22,-51.92743685167287
1.23,-51.22414851040786
1.24,-51.92743685167287
1.25,-46.39100565100968
1.26,-37.38092417473297
1.27,-31.528603170221025
1.28,-17.819231448925375
1.29,-22.284435349232098
1.3,-26.97447758759332
1.31,-32.26894087217977
1.32,-32.66989927240235
1.33,-35.629012968426615
1.34,-35.08548243607973
1.35,-39.01567741415257
1.36,-38.311337257720595
1.37,-40.23318503805073
1.38,-41.490817057890006
1.39,-39.231338166316874
1.4,-36.191724453515974
1.41,-23.77818532886312
1.42,-16.60670931826357
1.43,-21.10608234935935
1.44,-26.547311224895594
1.45,-29.481144996029855
1.46,-32.33449506740448
1.47,-32.590471903165735
1.48,-36.0224035042897
1.49,-37.823356782480985
1.5,-39.730664693641266
1.51,-38.805241800641134
1.52,-37.70044119869388
1.53,-40.708859840051346
1.54,-32.225511333511086
1.55,-27.549264044723728
1.56,-28.81998432010253
1.57,-33.944480826915246
1.58,-34.77497501942614
1.59,-36.39936516939041
1.6,-40.4259068188255
1.61,-43.03675910135147
1.62,-42.455059634001046
1.63,-43.03675910135147
1.64,-46.118698408341736
1.65,-43.3040383325111
1.66,-42.59687322722811
1.67,-45.85466927624269
1.68,-46.787173518080735
1.69,-45.802813064677096
1.7,-47.263231811533224
1.71,-46.84527333094888
1.72,-42.178195090515246
1.73,-39.9387199016366
1.74,-42.31552426957359
1.75,-38.289540785459394
1.76,-36.64805793441736
1.77,-29.379095412500188
1.78,-33.44434313723417
1.79,-34.717068874037864
1.8,-32.51176427403059
1.81,-33.102238567774485
1.82,-38.44327735878521
1.83,-40.17889805109691
1.84,-41.522344822589105
1.85,-41.5539874427866
1.86,-38.992042325724
1.87,-30.63647295670367
1.88,-34.09091308582035
1.89,-33.16234877056899
1.9,-28.553370343003508
1.91,-27.760423142162377
1.92,-33.04254149678523
1.93,-34.226210052487346
1.94,-35.72570290533895
1.95,-33.13825474780157
1.96,-29.449617231330755
1.97,-27.845037198554383
1.98,-29.193789405439663
1.99,-30.19680979198875
2.0,-30.17967785420972
2.01,-32.959648942013324
2.02,-31.548616749670153
2.03,-30.582523158179047
2.04,-22.50089556959274
2.05,-23.623945852509742
2.06,-26.188681163927466
2.07,-23.18083215841473
2.08,-28.23976625730026
2.09,-27.593628407837908
2.1,-22.777459558064116
2.11,-23.21147024886968
2.12,-26.51357957225688
2.13,-25.623716211618568
2.14,-25.875498757778978
2.15,-27.587276751512412
2.16,-32.80777343136036
2.17,-33.55722993448413
2.18,-31.75133049258022
2.19,-22.19865655966683
2.2,-20.597409159500785
2.21,-26.76981908745619
2.22,-30.308998699194355
2.23,-32.912634539607794
2.24,-28.419576126361463
2.25,-27.689464867082016
2.26,-29.536595460200303
2.27,-31.253149838312517
2.28,-26.374424246728623
2.29,-27.728097501435194
2.3,-29.410367776211153
2.31,-31.33096347979008
2.32,-34.03737892783052
2.33,-34.308411514311665
2.34,-31.679841285414255
2.35,-33.918119988356985
2.36,-35.01053900619659
2.37,-37.96899187677637
2.38,-35.19150158574453
2.39,-37.053842065562876
2.4,-37.782191351693506
2.41,-34.67389120614498
2.42,-25.77700059504721
2.43,-24.770576057878877
2.44,-24.900080538835105
2.45,-24.15480023109822
2.46,-27.498837838430763
2.47,-20.921395982195854
2.48,-23.567804172783866
2.49,-24.82122278818678
2.5,-18.06816380628897
2.51,-25.12668181549303
2.52,-28.50383764056803
2.53,-31.291969521423425
2.54,-30.54674189382732
2.55,-29.11016093795526
2.56,-32.81936234520502
2.57,-36.666097171717716
2.58,-37.24474842368748
2.59,-37.927132086659505
2.6,-37.70044119869388
2.61,-41.273269988708556
2.62,-40.9125583796311
2.63,-33.174420891536705
2.64,-31.508635599041092
2.65,-24.262380125506372
2.66,-25.46811391180334
2.67,-12.648268498640762
2.68,-19.482407145860485
