seconds_elapsed,dBFS
0.0,-12.25697608586373
0.01,-13.818672139050175
0.02,-13.237467826801526
0.03,-14.391398352312851
0.04,-15.234274255694153
0.05,-14.344275171835644
0.06,-14.688259926771721
0.07,-14.38167559964393
0.08,-15.04193652423005
0.09,-13.94976260855448
0.1,-15.275719773974624
0.11,-14.131281351998116
0.12,-13.5068768100592
0.13,-15.40594079765635
0.14,-14.166419587345924
0.15,-15.303460396114502
0.16,-13.385969168618049
0.17,-15.638633670504605
0.18,-14.458363461168204
0.19,-14.455562916363009
0.2,-15.629012968426618
0.21,-13.010474868414247
0.22,-14.294657133546655
0.23,-14.62807038303209
0.24,-14.918498295773347
0.25,-14.945119466532926
0.26,-16.622865777761724
0.27,-15.284956807427292
0.28,-13.538313288956985
0.29,-16.18317955401909
0.3,-12.843749510419823
0.31,-12.551028937256913
0.32,-16.20198944148012
0.33,-14.986693034766077
0.34,-14.671020312171375
0.35,-14.965881377550748
0.36,-14.728619260896947
0.37,-14.618079218103905
0.38,-13.606606890703365
0.39,-14.58817449434327
0.4,-16.0914263454909
0.41,-18.496619735062797
0.42,-14.127236072267431
0.43,-15.60820459851994
0.44,-15.614601866080761
0.45,-16.231139626543467
0.46,-13.801774780141692
0.47,-14.068120740589825
0.48,-18.17277576081509
0.49,-17.663903165500084
0.5,-14.341511165563132
0.51,-14.780786923047511
0.52,-15.182363352773207
0.53,-14.638073053787362
0.54,-13.485564809203714
0.55,-13.899714887640675
0.56,-12.742010254838847
0.57,-14.539974558725246
0.58,-14.269954002108722
0.59,-12.992711095834997
0.6,-17.581246982931223
0.61,-13.597723665812422
0.62,-16.587003259276038
0.63,-13.037783408669505
0.64,-14.289161473990928
0.65,-15.286497268482686
0.66,-15.082472250765226
0.67,-14.722842147522641
0.68,-16.837522770733326
0.69,-16.294924356293972
0.7,-15.237337521336226
0.71,-17.825420184233913
0.72,-15.670779856856909
0.73,-13.724210136366576
0.74,-19.108473720936512
0.75,-14.358108411959831
0.76,-17.629535583400887
0.77,-15.286497268482686
0.78,-17.31256943470305
0.79,-18.907484592762277
0.8,-17.398588401076875
0.81,-18.26128689709225
0.82,-16.660681465647187
0.83,-14.76046225140813
0.84,-17.14113817361188
0.85,-15.059929051923419
0.86,-19.248338375145558
0.87,-13.868253737742652
0.88,-16.196855431102257
0.89,-16.753210877817136
0.9,-16.863346203415944
0.91,-19.618323579092042
0.92,-16.35918095577322
0.93,-16.565556607298365
0.94,-16.517494383995594
0.95,-17.204308558508473
0.96,-17.165968661175025
0.97,-21.909883729399198
0.98,-17.160232245135106
0.99,-17.553202111949773
1.0,-18.26779887263511
1.01,-19.646272933621578
1.02,-18.423358122958234
1.03,-21.557158054115128
1.04,-16.409878654197993
1.05,-18.43220547756893
1.06,-15.62741055358247
1.07,-16.196855431102257
1.08,-17.063288384751758
1.09,-18.01949137738645
1.1,-19.106081902213404
1.11,-18.08090594496249
1.12,-15.955588639149115
1.13,-18.166334611363023
1.14,-16.213980613380937
1.15,-17.1812843180206
1.16,-20.00212083742674
1.17,-17.52325418098962
1.18,-19.289763653230835
1.19,-15.87938160379337
1.2,-17.547204259504245
1.21,-15.963912443943364
1.22,-18.654099385368816
1.23,-16.16781988664243
1.24,-22.81036761963059
1.25,-18.44106185319022
1.26,-19.270244791897614
1.27,-19.943985673024358
1.28,-18.43441872503614
1.29,-19.79514820909414
1.3,-24.665623133101526
1.31,-18.57500266671337
1.32,-23.749566226734146
1.33,-21.697823308739203
1.34,-17.023682696240854
1.35,-21.390690420171886
1.36,-21.759276517278646
1.37,-21.19687644755702
1.38,-20.723252369670956
1.39,-17.52126131884068
1.4,-21.778773471902856
1.41,-22.430478567477618
1.42,-20.334519284236265
1.43,-21.681723416014613
1.44,-21.50656663543828
1.45,-22.73740717687886
1.46,-20.084704676466597
1.47,-23.835707987032354
1.48,-23.335114893883535
1.49,-21.601668566941132
1.5,-20.18701950062555
1.51,-18.796006404089972
1.52,-22.110336232568464
1.53,-19.289763653230835
1.54,-23.135076707718145
1.55,-19.941352388287477
1.56,-20.97164629211217
1.57,-22.5754530199776
1.58,-20.04997709974454
1.59,-24.779762615729474
1.6,-29.69700425987533
1.61,-23.50805234596649
1.62,-22.7446757041968
1.63,-22.462095591970275
1.64,-13.851259742511344
1.65,-12.813565955508393
1.66,-13.740957129362494
1.67,-14.014726445274823
1.68,-12.56791113817522
1.69,-16.212266574966282
1.7,-12.683588620607207
1.71,-13.956369355384052
1.72,-11.726753566101145
1.73,-15.459209407558854
1.74,-13.499348954925516
1.75,-14.906692803452323
1.76,-16.948739266357716
1.77,-13.941841140027263
1.78,-14.930319855458729
1.79,-13.041351730378603
1.8,-15.20980694476016
1.81,-11.987292702320303
1.82,-14.861097477554353
1.83,-13.712634950416806
1.84,-14.205780667205676
1.85,-14.619505823944028
1.86,-15.138330254448626
1.87,-13.335365618715349
1.88,-14.821579502196025
1.89,-14.326324833153098
1.9,-15.547664403644973
1.91,-14.089570702750207
1.92,-13.935245430364082
1.93,-12.157547123223338
1.94,-12.591601481116228
1.95,-12.615356615073857
1.96,-12.539792338486631
1.97,-13.49182761835677
1.98,-12.005224595731232
1.99,-12.220097877656164
2.0,-12.035899997461959
2.01,-14.174548637670732
2.02,-12.189844717345817
2.03,-14.56829505866989
2.04,-11.843081886084278
2.05,-11.98940041638987
2.06,-13.746116553118632
2.07,-13.066371112933615
2.08,-14.08554479786327
2.09,-11.66358318120455
2.1,-14.503295418529522
2.11,-14.242588227619276
2.12,-13.574922717399732
2.13,-13.053256734487471
2.14,-14.997117592805457
2.15,-14.437381351831242
2.16,-18.469907598259645
2.17,-13.310787533164437
2.18,-13.402075950966188
2.19,-15.471790817889087
2.2,-13.535794179415529
2.21,-15.03744420986145
2.22,-12.551028937256913
2.23,-14.129932716076134
2.24,-11.8493023850167
2.25,-15.459209407558854
2.26,-14.117804406489004
2.27,-14.037378927830517
2.28,-12.489406759400579
2.29,-10.527124846987848
2.3,-12.133938315503682
2.31,-15.133787820994764
2.32,-12.235264064464308
2.33,-14.420632081711538
2.34,-14.767715604345767
2.35,-13.9947879034151
2.36,-12.378474349403252
2.37,-15.088493664966904
2.38,-13.204674804527091
2.39,-15.100549030730114
2.4,-13.316925537545414
2.41,-12.57805623137224
2.42,-13.932608548243628
2.43,-13.737089571760311
2.44,-12.992711095834997
2.45,-13.028275044678857
2.46,-12.46265348474475
2.47,-11.953638650239231
2.48,-13.034216552290015
2.49,-13.190139774548037
2.5,-12.728228594449618
2.51,-12.242857099910882
2.52,-12.481595205271393
2.53,-13.399596039560887
2.54,-13.832995624196798
2.55,-12.43376345803549
2.56,-13.801774780141692
2.57,-13.158730403660561
2.58,-12.365257167591286
2.59,-13.662653300749124
2.6,-12.072002769205953
2.61,-12.538669477695452
2.62,-12.520723418340179
2.63,-12.777714419517448
2.64,-13.4244270731618
2.65,-12.077324679572843
2.66,-12.3939198577198
2.67,-13.034216552290015
2.68,-12.054994535377151
2.69,-13.103436704149658
2.7,-12.896239434978245
2.71,-13.474303119699487
2.72,-12.844912513653544
2.73,-12.682447017183332
2.74,-12.321344588529055
2.75,-11.953638650239231
2.76,-12.166148079131549
2.77,-11.718576686572277
2.78,-12.337785800400116
2.79,-11.622060164429246
2.8,-12.024251743839535
2.81,-11.598853382700103
2.82,-11.863834230535025
2.83,-12.11787811437085
2.84,-11.593816624288122
2.85,-11.431197734224902
2.86,-12.343273127411898
2.87,-11.928483407447153
2.88,-12.16399704156779
2.89,-12.325725869649979
2.9,-11.596838328836972
2.91,-12.46265348474475
2.92,-11.229941034555894
2.93,-11.39076836280889
2.94,-11.92011448988962
2.95,-12.413818811756517
2.96,-11.84826532577864
2.97,-11.68492819017931
2.98,-11.355423900455627
2.99,-11.83997330640133
3.0,-10.769167793071349
3.01,-11.466852519407247
3.02,-10.755440945714481
3.03,-12.076260036605515
3.04,-11.228975345562954
3.05,-11.679841285414255
3.06,-11.370133285237848
3.07,-11.139632331855484
3.08,-11.923251889106705
3.09,-11.236703865381548
3.1,-11.38585080074691
3.11,-11.777005621053808
3.12,-11.07108922583735
3.13,-11.489708829338367
3.14,-11.148238377227619
3.15,-11.69409213297209
3.16,-11.16739350603636
3.17,-12.001001994948961
3.18,-10.799443435876865
3.19,-11.068244967894106
3.2,-11.37602402106083
3.21,-11.286135497043304
3.22,-11.995726629078893
3.23,-11.647355451798536
3.24,-11.45296937283555
3.25,-12.209281077207091
3.26,-11.413425076724216
3.27,-11.794508160473105
3.28,-11.709386888884062
3.29,-11.354444159928043
3.3,-10.93653828005458
3.31,-10.823371521637748
3.32,-11.669676404630906
3.33,-12.06774758742431
3.34,-12.460427760289758
3.35,-11.869030073028938
3.36,-12.135010052149877
3.37,-11.842045569237847
3.38,-11.460899882072225
3.39,-11.896098671058606
3.4,-11.380936021213266
3.41,-12.788107694272455
3.42,-12.133938315503682
3.43,-11.307546104191207
3.44,-11.617009934832897
3.45,-12.260237575221058
3.46,-11.835830263328234
3.47,-12.63917689541576
3.48,-12.698443135218254
3.49,-11.994671940274484
3.5,-12.00311303874063
3.51,-12.66648030379372
3.52,-12.101847553736807
3.53,-12.624423306542278
3.54,-12.898579698939072
3.55,-12.73511669127219
3.56,-12.972622640673393
3.57,-12.14037071987423
3.58,-12.884547564000215
3.59,-13.392160550759211
3.6,-12.403863636296466
3.61,-12.9690824369814
3.62,-12.571291519474187
3.63,-13.579984424791267
3.64,-13.1780458020594
3.65,-12.252629337549287
3.66,-12.907947065323459
3.67,-14.286414947600276
3.68,-13.0556396946226
3.69,-12.83096674190513
3.7,-12.998628317698877
3.71,-12.609694735179705
3.72,-12.747759073394107
3.73,-13.503112066965633
3.74,-13.12142861068234
3.75,-13.632037708571396
3.76,-12.292920002986968
3.77,-12.4005477784062
3.78,-14.231666013494673
3.79,-14.86843539269726
3.8,-12.93846096383028
3.81,-10.696207350319613
3.82,-11.932670891986767
3.83,-12.932584575244007
3.84,-12.810089977483718
3.85,-13.439359838395204
3.86,-12.594991096627759
3.87,-14.279552428764937
3.88,-14.883129846613164
3.89,-13.451823450288485
3.9,-13.047302192787162
3.91,-13.156318996194196
3.92,-13.681842990353008
3.93,-13.964304090684394
3.94,-14.724286065677086
3.95,-11.969397752786712
3.96,-13.191350098473645
3.97,-12.683588620607207
3.98,-12.738562789170228
3.99,-11.45296937283555
4.0,-11.759538279288842
4.01,-12.230928165391086
4.02,-13.97621980122513
4.03,-12.255889194835838
4.04,-15.975579187991647
4.05,-13.753861439622021
4.06,-13.499348954925516
4.07,-11.547614974726644
4.08,-13.855178483673265
4.09,-15.183885724109686
4.1,-13.579984424791267
4.11,-13.71134977032449
4.12,-12.012619090244893
4.13,-13.054448132834864
4.14,-13.250863523255285
4.15,-11.484734947487933
4.16,-13.255739812302973
4.17,-11.14919513105775
4.18,-13.392160550759211
4.19,-13.730647466860638
4.2,-12.115738996113993
4.21,-12.092243399340688
4.22,-12.978526188537487
4.23,-11.894013473680191
4.24,-11.633181016325958
4.25,-14.490634794902792
4.26,-12.92906064945165
4.27,-13.270385126389005
4.28,-12.600643396975634
4.29,-11.818244343684562
4.3,-12.098644988849028
4.31,-11.511627810004164
4.32,-12.387296990728656
4.33,-11.58174030723947
4.34,-13.97092191168115
4.35,-14.517384455905846
4.36,-13.310787533164437
4.37,-12.32791733923094
4.38,-12.389504052013066
4.39,-13.54461426104184
4.4,-15.212861592105892
4.41,-11.580734704964764
4.42,-13.488069391008285
4.43,-14.437381351831242
4.44,-11.199092115511817
4.45,-12.277652898625357
4.46,-12.660785011714996
4.47,-12.326821535326369
4.48,-12.500578323176072
4.49,-14.912593543922515
4.5,-11.582746025950495
4.51,-11.45296937283555
4.52,-13.626945584938483
4.53,-12.086912343113639
4.54,-15.978915423730019
4.55,-14.058753013394705
4.56,-12.375168167936677
4.57,-13.345216359366383
4.58,-12.863541774710257
4.59,-11.87110928061231
4.6,-11.760564798185984
4.61,-13.158730403660561
4.62,-14.583910783398753
4.63,-11.771864520200513
4.64,-13.959013461839191
4.65,-11.986239037050852
4.66,-14.27818057538799
4.67,-12.644858032146558
4.68,-14.112419477836633
4.69,-11.931623831574667
4.7,-12.14037071987423
4.71,-14.915545418084509
4.72,-13.357545516352115
4.73,-12.557777880594177
4.74,-14.088228527110038
4.75,-14.663847225928322
4.76,-12.26676423023427
4.77,-12.898579698939072
4.78,-13.334135061280683
4.79,-13.360013449210902
4.8,-14.440176039641086
4.81,-13.769371960954484
4.82,-12.319154776431722
4.83,-12.737413937949974
4.84,-12.3773721490797
4.85,-13.096250363719264
4.86,-15.03744420986145
4.87,-14.127236072267431
4.88,-11.882553827517919
4.89,-11.063506606728062
4.9,-13.028275044678857
4.91,-13.109429866353944
4.92,-13.788799143372348
4.93,-13.128635821416472
4.94,-12.900920593613815
4.95,-17.254404777809405
4.96,-14.671020312171375
4.97,-14.676763049331354
4.98,-13.675441715365025
4.99,-14.065443216019279
5.0,-12.79157488464704
5.01,-13.876108348350014
5.02,-14.181328662711003
5.03,-14.891958466351474
5.04,-13.49809494645758
5.05,-15.48281452120297
5.06,-16.376629514549858
5.07,-17.663903165500084
5.08,-14.068120740589825
5.09,-18.858536742201604
5.1,-15.24346729550599
5.11,-13.638407064021486
5.12,-13.915488299308503
5.13,-15.281876704686486
5.14,-16.621069130813947
5.15,-16.891099628790155
5.16,-12.521843961415726
5.17,-14.620932664134187
5.18,-15.648265040522766
5.19,-18.80986318390422
5.2,-18.828373344639978
5.21,-20.871434713048544
5.22,-16.413385978953126
5.23,-17.378963698562117
5.24,-19.810695748397016
5.25,-19.277559225709282
5.26,-19.656458674616534
5.27,-18.097924592852465
5.28,-18.083031453265782
5.29,-19.21921549911798
5.3,-20.865575765347092
5.31,-18.69962302017432
5.32,-19.417716749273495
5.33,-21.65923358378423
5.34,-18.830689890763345
5.35,-21.387579985174256
5.36,-19.427637812188845
5.37,-19.26050178511265
5.38,-21.025171286374366
5.39,-20.392563631476243
5.4,-21.62400965126485
5.41,-25.478069087263385
5.42,-23.872889022043573
5.43,-20.962757439583317
5.44,-24.00639235552232
5.45,-25.478069087263385
5.46,-24.67016003037786
5.47,-25.588335756841637
5.48,-27.663804908573468
5.49,-28.610327200460034
5.5,-23.425084381765657
5.51,-18.747681022472527
5.52,-19.326480164032134
5.53,-21.525503902324985
5.54,-22.522132474152798
5.55,-22.229439425807264
5.56,-20.714613990402935
5.57,-23.456597848127394
5.58,-24.078159531170456
5.59,-23.358495499220567
5.6,-24.67016003037786
5.61,-25.03627732743219
5.62,-19.50491270235316
5.63,-25.102799783295957
5.64,-28.23976625730026
5.65,-24.04853649272959
5.66,-25.669418162564273
5.67,-24.75223203915341
5.68,-22.280987883563476
5.69,-24.258051249444645
5.7,-20.9953944672288
5.71,-20.445416285544052
