seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-84.28839878591472
0.08,-37.68012331893091
0.09,-38.71332676685816
0.1,-34.53149638368602
0.11,-31.639252942220246
0.12,-40.4259068188255
0.13,-36.922661087872115
0.14,-30.08605148367841
0.15,-30.33509553296124
0.16,-35.533387529506975
0.17,-41.876920161797734
0.18,-44.91873981483603
0.19,-43.03675910135147
0.2,-40.17889805109691
0.21,-32.075195524117134
0.22,-31.802756869201367
0.23,-35.905812631075214
0.24,-27.34311675049944
0.25,-31.379953398932898
0.26,-29.95164431992424
0.27,-34.05073156633725
0.28,-31.99045446525204
0.29,-30.026992268801944
0.3,-29.31688644729489
0.31,-30.809558813232975
0.32,-32.635769996122
0.33,-31.478770046506295
0.34,-31.004964678676114
0.35,-29.560468740381882
0.36,-33.29607399553303
0.37,-35.26802974280558
0.38,-34.877249081569246
0.39,-36.05600466665013
0.4,-37.844012891236346
0.41,-38.03216226167297
0.42,-37.47951648911237
0.43,-35.29883080216743
0.44,-33.11422737525142
0.45,-35.66112350273499
0.46,-38.71332676685816
0.47,-39.13482728853104
0.48,-39.603116298338946
0.49,-37.53921356010161
0.5,-39.13482728853104
0.51,-44.37569489396373
0.52,-42.31552426957359
0.53,-42.14419939295736
0.54,-39.353504591437904
0.55,-39.834069362963064
0.56,-42.009531739778
0.57,-42.3501985257536
0.58,-40.651527027019284
0.59,-39.378145429631736
0.6,-39.304431638092474
0.61,-39.70500473513271
0.62,-39.67942035834925
0.63,-40.48176482250891
0.64,-39.67942035834925
0.65,-38.69049918568197
0.66,-37.864718239868445
0.67,-37.823356782480985
0.68,-39.42763781218884
0.69,-39.353504591437904
0.7,-38.39907426268287
0.71,-38.224477637504954
0.72,-41.1816780366135
0.73,-38.55477939881613
0.74,-37.53921356010161
0.75,-38.55477939881613
0.76,-39.75640068176758
0.77,-36.38187092452772
0.78,-37.88547306369365
0.79,-37.400553312212516
0.8,-35.19150158574453
0.81,-37.034980191401395
0.82,-31.37013328523785
0.83,-31.56867654989807
0.84,-31.282248323276
0.85,-29.324638245790723
0.86,-33.30833354539897
0.87,-27.171960677794132
0.88,-15.690124830639643
0.89,-25.453202509620823
0.9,-28.57468542029671
0.91,-38.35509498068411
0.92,-38.736214499832904
0.93,-36.540602259140144
0.94,-35.95558863914911
0.95,-32.64713152768056
0.96,-36.225988362398375
0.97,-30.001803591010074
0.98,-39.304431638092474
0.99,-35.145906259846555
1.0,-38.992042325724
1.01,-40.12494825257229
1.02,-29.560468740381882
1.03,-38.898139901556405
1.04,-36.46969664384714
1.05,-32.41160556428931
1.06,-32.279832271272106
1.07,-30.50222160344233
1.08,-30.248409288121998
1.09,-26.845273330948878
1.1,-28.110681438718494
1.11,-30.809558813232975
1.12,-33.74869741471482
1.13,-37.053842065562876
1.14,-31.23380486452978
1.15,-34.559789208826054
1.16,-34.80407350438963
1.17,-36.45206031364975
1.18,-36.08973631928884
1.19,-36.17464305245918
1.2,-30.326387873446933
1.21,-33.49433400695822
1.22,-36.95993964139527
1.23,-37.88547306369365
1.24,-37.619453295979724
1.25,-33.970921911681145
1.26,-36.793431865712655
1.27,-36.97863908809674
1.28,-38.851566655184754
1.29,-37.2640718791279
1.3,-39.42763781218884
1.31,-40.85386971285011
1.32,-41.459403317905384
1.33,-39.78221315139747
1.34,-35.407502867553205
1.35,-35.11564180540175
1.36,-36.70228843090309
1.37,-41.091041844063405
1.38,-36.904081637711876
1.39,-37.927132086659505
1.4,-29.41820349134614
1.41,-27.542944735868726
1.42,-21.37204449607818
1.43,-24.219188143724605
1.44,-39.452490160010754
1.45,-37.24474842368748
1.46,-32.117878114370846
1.47,-36.26038797028385
1.48,-41.942972872799444
1.49,-39.78221315139747
1.5,-34.17183810881801
1.51,-23.951908912564974
1.52,-26.075910688130705
1.53,-21.230406858039785
1.54,-30.29164426856982
1.55,-35.04043882793561
1.56,-37.63962958760262
1.57,-39.03937699130614
1.58,-35.13076085123488
1.59,-32.4005477784062
1.6,-30.27432444301435
1.61,-41.21210149902416
1.62,-40.12494825257229
1.63,-41.1816780366135
1.64,-36.904081637711876
1.65,-40.23318503805073
1.66,-41.64961288170624
1.67,-40.680146129148255
1.68,-40.85386971285011
1.69,-40.34278762340235
1.7,-40.260456299505705
1.71,-44.33193717100022
1.72,-42.280987883563476
1.73,-41.71395309914619
1.74,-42.49029655712677
1.75,-44.11639535067637
1.76,-43.22682991624633
1.77,-38.805241800641134
1.78,-38.48770655866437
1.79,-44.41967417596249
1.8,-43.989591790056004
1.81,-41.71395309914619
1.82,-40.23318503805073
1.83,-44.073921478079264
1.84,-36.29492435629397
1.85,-37.53921356010161
1.86,-28.768912163327354
1.87,-34.951046378832544
1.88,-35.055427424645636
1.89,-37.51926891382263
1.9,-34.40530690554588
1.91,-33.48180929009726
1.92,-30.069136406009214
1.93,-27.741013324838228
1.94,-27.884369596201925
1.95,-37.439945169470604
1.96,-44.24507755078458
1.97,-42.56120217241977
1.98,-34.433191005377985
1.99,-40.01804364598864
2.0,-44.59785251903888
2.01,-43.03675910135147
2.02,-40.53798436918547
2.03,-33.48180929009726
2.04,-35.161078123333866
2.05,-26.712220138730626
2.06,-27.099628076813605
2.07,-36.505077098624085
2.08,-33.544614261041836
2.09,-36.63005608416411
2.1,-46.44650673210513
2.11,-45.01264223900363
2.12,-44.733926680137785
2.13,-42.59687322722811
2.14,-38.75916270244985
2.15,-19.941352388287477
2.16,-25.9382885948638
2.17,-37.96899187677637
2.18,-38.48770655866437
2.19,-40.4537909186576
2.2,-44.11639535067637
2.21,-40.04464669783558
2.22,-31.875269189522314
2.23,-28.287811601032043
2.24,-33.48180929009726
2.25,-40.94205209095121
2.26,-33.55722993448413
2.27,-34.349805824450435
2.28,-22.42346816383793
2.29,-37.9062775997192
2.3,-35.055427424645636
2.31,-46.012121738240396
2.32,-43.381939210181585
2.33,-39.25563437695049
