seconds_elapsed,dBFS
0.0,-3.7589592483926775
0.01,-4.214880734939049
0.02,-4.038403235148555
0.03,-3.9285440305860746
0.04,-3.8530393322666057
0.05,-3.933128603328422
0.06,-4.084520490545237
0.07,-4.136003295566668
0.08,-3.9272941124203875
0.09,-3.997568006905301
0.1,-3.96821809122749
0.11,-3.8608910778412793
0.12,-3.753648901139779
0.13,-3.814297933473987
0.14,-3.7896594251658637
0.15,-3.9314612059747267
0.16,-3.6046563700456824
0.17,-3.667908797030459
0.18,-3.8134755228652137
0.19,-3.9110615228965977
0.2,-3.68450307877971
0.21,-3.7458934597954197
0.22,-3.6675044542406336
0.23,-3.724296387805879
0.24,-3.622336758463261
0.25,-3.7173803843563884
0.26,-3.4105479821176274
0.27,-3.747933694140662
0.28,-3.774909797707846
0.29,-3.972823658133915
0.3,-3.8708192282441805
0.31,-4.065874869681895
0.32,-4.0713796384362775
0.33,-4.013121691236074
0.34,-3.95274453617792
0.35,-3.9732424671524424
0.36,-4.036293626987682
0.37,-4.065028291743792
0.38,-3.906488579721656
0.39,-3.9615234411437235
0.4,-3.9946285484679818
0.41,-3.9181335376481137
0.42,-3.974917905193624
0.43,-4.1590779409301
0.44,-3.9820421245324007
0.45,-3.8836599076985823
0.46,-3.6966653533055913
0.47,-3.63642644882054
0.48,-3.8138867184360095
0.49,-3.732439918908746
0.5,-3.703564875844255
0.51,-3.57020281678256
0.52,-3.909398355895237
0.53,-3.7516073240618484
0.54,-3.8237612565329853
0.55,-4.017751135637581
0.56,-3.933128603328422
0.57,-3.917717377351071
0.58,-3.961105196788854
0.59,-3.78474009920575
0.6,-3.933128603328422
0.61,-3.921463538029368
0.62,-3.8414812605171287
0.63,-3.7929405243221015
0.64,-3.850148372134055
0.65,-4.252426933989254
0.66,-3.862544981714142
0.67,-4.020698430921027
0.68,-3.9900114083868687
0.69,-4.015646536844104
0.7,-3.8036126645328814
0.71,-3.8907096382828588
0.72,-3.867922345283033
0.73,-3.9098141177907317
0.74,-3.839831362205004
0.75,-3.8762017183606448
0.76,-3.974917905193624
0.77,-3.964870121197866
0.78,-3.9971480233625334
0.79,-3.9900114083868687
0.8,-3.8546917416006234
0.81,-3.864199200571319
0.82,-3.8266434460058276
0.83,-4.119802249970136
0.84,-3.8762017183606448
0.85,-4.039247221899261
0.86,-3.782691202058027
0.87,-3.8633720517621932
0.88,-3.7039709008361754
0.89,-3.9385498563692294
0.9,-3.7426300813178957
0.91,-3.8225263251826336
0.92,-3.7577334954487993
0.93,-3.7695896926959516
0.94,-3.648118102724615
0.95,-3.701535035532602
0.96,-3.8147091679809906
0.97,-3.8526262790464667
0.98,-3.839418936591192
0.99,-4.0417796743117975
1.0,-4.060796639298179
1.01,-3.8687499275463493
1.02,-4.132163473968038
1.03,-4.402935806451326
1.04,-4.188222372467391
1.05,-4.056567047454735
1.06,-4.133869851781701
1.07,-4.231260264692321
1.08,-4.325828643349406
1.09,-4.081127399183931
1.1,-4.309705326711255
1.11,-3.84932256022641
1.12,-4.04642442229048
1.13,-4.0400912906660755
1.14,-3.794171256118431
1.15,-3.832410695680974
1.16,-3.9081511896014645
1.17,-3.9673809777304974
1.18,-4.162073591809273
1.19,-3.5482400011318687
1.2,-3.8427188899530345
1.21,-3.8720610453365905
1.22,-3.947731999939127
1.23,-3.96821809122749
1.24,-4.005971945094706
1.25,-3.862544981714142
1.26,-3.8952742795277597
1.27,-4.0739214780792725
1.28,-3.9023334468266557
1.29,-3.9306276273140033
1.3,-3.9010872944649764
1.31,-3.850148372134055
1.32,-3.78474009920575
1.33,-3.7908896921075197
1.34,-3.6311904668718626
1.35,-3.7605938547749314
1.36,-3.8555180641658726
1.37,-3.811008758148091
1.38,-3.818411154954493
1.39,-3.9260443740947286
1.4,-3.727960031995759
1.41,-3.6404562761351307
1.42,-3.6990998531500145
1.43,-3.7712263010456177
1.44,-3.9841385956965607
1.45,-3.9473144191290634
1.46,-3.8097756384472667
1.47,-3.8509742625633225
1.48,-4.15266216594575
1.49,-4.127046350954074
1.5,-4.180069225949563
1.51,-4.414825540378537
1.52,-4.077311755108289
1.53,-3.8799300125274656
1.54,-3.9677995243942608
1.55,-3.9895917900560027
1.56,-4.022383048776979
1.57,-4.103206223272368
1.58,-3.914388812589867
1.59,-3.964870121197866
1.6,-3.9210472181578346
1.61,-4.000508460444033
1.62,-3.8811731329605776
1.63,-3.9891721919960648
1.64,-3.8571709451676375
1.65,-3.849735456365963
1.66,-3.974917905193624
1.67,-3.913140929585341
1.68,-4.070108997501952
1.69,-3.8836599076985823
1.7,-3.8670948418633566
1.71,-3.923545436756543
1.72,-3.8427188899530345
1.73,-3.94982020517531
1.74,-4.019014139731327
1.75,-3.7995064432877474
1.76,-3.8032019550433342
1.77,-4.079431350433008
1.78,-3.99336908502228
1.79,-3.860064243986484
1.8,-3.866267417272298
1.81,-3.9110615228965977
1.82,-3.745077500223371
1.83,-4.054030280603155
1.84,-3.9765936664756394
1.85,-3.979107914748135
1.86,-3.9168851165697065
1.87,-3.978688822825636
1.88,-3.959850584546889
1.89,-3.859237488832798
1.9,-3.8332349011793454
1.91,-4.105332147760565
1.92,-4.055721376181739
1.93,-3.836532505485493
1.94,-3.9293774092998888
1.95,-3.96821809122749
1.96,-4.053184856265515
1.97,-3.9732424671524424
1.98,-3.8348835468401865
1.99,-3.808542693785318
2.0,-3.9992481441779253
2.01,-3.9837192609805667
2.02,-3.8385941441076104
2.03,-3.8328227886540356
2.04,-3.707625980106597
2.05,-3.885732763980779
2.06,-3.697071055897415
2.07,-3.8122420529374974
2.08,-3.6731669668944016
2.09,-3.7929405243221015
2.1,-3.8007381058480894
2.11,-3.6565943078815484
2.12,-3.739775630576662
2.13,-3.7597765131315253
2.14,-3.66912193834923
2.15,-3.8977650952896252
2.16,-3.821703135148557
2.17,-3.9077355072947606
2.18,-3.8237612565329853
2.19,-4.02786031437988
2.2,-3.9210472181578346
2.21,-3.9202146382733667
2.22,-3.8040233934436123
2.23,-4.029546321982217
2.24,-4.217895696785524
2.25,-4.112138604872948
2.26,-4.033341036090416
2.27,-4.084520490545237
2.28,-3.7929405243221015
2.29,-3.931044406644621
2.3,-3.8489096837135306
2.31,-3.9707299158945215
2.32,-3.7740911078879207
2.33,-4.031232656917003
2.34,-3.745077500223371
2.35,-4.005971945094706
2.36,-4.075192676896781
2.37,-4.022383048776979
2.38,-3.851387237228232
2.39,-3.864199200571319
2.4,-3.697071055897415
2.41,-3.8973499097233284
2.42,-3.873303039996327
2.43,-3.836532505485493
2.44,-3.8526262790464667
2.45,-3.6873394199737826
2.46,-3.9925295441712425
2.47,-3.840656272185971
2.48,-3.832410695680974
2.49,-3.839006530559347
2.5,-3.9056573941097232
2.51,-3.8530393322666057
2.52,-3.823349593240505
2.53,-4.144542314773921
2.54,-3.963196619985991
2.55,-4.095132452327146
2.56,-4.004710835889142
2.57,-3.748341798523854
2.58,-3.8357079870323547
2.59,-3.8728890220435774
2.6,-3.947731999939127
2.61,-3.826231646094025
2.62,-3.853865497639185
2.63,-3.914388812589867
2.64,-3.8844889908508433
2.65,-3.898180300702743
2.66,-3.9260443740947286
2.67,-3.7430379365823603
2.68,-3.8985955259645797
2.69,-4.084520490545237
2.7,-3.923961876389276
2.71,-3.953162378132929
2.72,-4.0976812535303715
2.73,-4.1779249324491365
2.74,-3.7365145493902174
2.75,-3.850148372134055
2.76,-3.8361202364753737
2.77,-3.769180588787152
2.78,-3.8270552654420786
2.79,-3.78883934400224
2.8,-3.856757695428612
2.81,-3.774909797707846
2.82,-3.808542693785318
2.83,-3.758550644857941
2.84,-3.8040233934436123
2.85,-3.5518301183724716
2.86,-3.748341798523854
2.87,-3.579403760034436
2.88,-3.8762017183606448
2.89,-3.9795270268926863
2.9,-4.116395350676383
2.91,-4.015646536844104
2.92,-3.9418876946802897
2.93,-3.9837192609805667
2.94,-4.118524506132091
2.95,-4.185646867737456
2.96,-3.914804813434702
2.97,-3.974917905193624
2.98,-3.8724750238242924
2.99,-4.022383048776979
3.0,-4.198961869913691
3.01,-3.987913519422231
3.02,-3.848083989560329
3.03,-3.769180588787152
3.04,-3.9189659180644734
3.05,-4.015646536844104
3.06,-3.8192340330412304
3.07,-3.8753734258278976
3.08,-4.067991675589592
3.09,-3.810186658896323
3.1,-3.9322948646410794
3.11,-3.917301236992239
3.12,-4.148387613872242
3.13,-3.8179997451432586
3.14,-3.904410764808974
3.15,-3.834059184894134
3.16,-3.826231646094025
3.17,-4.019014139731327
3.18,-3.777775819910495
3.19,-3.78514993663891
3.2,-3.9971480233625334
3.21,-3.5402672715454635
3.22,-3.7654995204419635
3.23,-3.7871994139231564
3.24,-3.6675044542406336
3.25,-3.7912998198143772
3.26,-3.784330281109561
3.27,-3.6473112763213527
3.28,-3.697071055897415
3.29,-3.6626538083747717
3.3,-3.735291959531338
3.31,-3.787609367416475
3.32,-3.7426300813178957
3.33,-3.714534218036412
3.34,-3.791709966887435
3.35,-3.783510702920798
3.36,-3.860477651075307
3.37,-4.046002069824468
3.38,-4.121932240818757
3.39,-4.0747689232858635
3.4,-3.8749593091796
3.41,-3.8948592130025532
3.42,-3.9828806522772298
3.43,-4.1595058278061225
3.44,-3.9858161370349925
3.45,-4.029546321982217
3.46,-3.9227126173841165
3.47,-4.013121691236074
3.48,-3.7962228633835773
3.49,-3.921463538029368
3.5,-4.182643077105714
3.51,-3.8188225842532013
3.52,-3.973661296365729
3.53,-4.016488315168944
3.54,-3.9874940024264207
3.55,-3.9577599667694323
3.56,-3.6650787927015553
3.57,-3.792530319139468
3.58,-3.806899039766209
3.59,-3.612286668667238
3.6,-3.7275528840997425
3.61,-4.136856819827961
3.62,-4.048114037553906
3.63,-4.0013487728945565
3.64,-3.6849082136774287
3.65,-3.858410812365242
3.66,-3.78474009920575
3.67,-3.8542786097953625
3.68,-3.824584641654283
3.69,-3.6275674043790564
3.7,-3.859237488832798
3.71,-3.762637545435889
3.72,-4.108734709605297
3.73,-4.0637585795274145
3.74,-3.844369336898871
3.75,-3.8254081048363626
3.76,-3.817588354817652
3.77,-3.9770126573171414
3.78,-3.974917905193624
3.79,-3.9135568706670947
3.8,-3.9548339469883294
3.81,-4.291004943749378
3.82,-3.8898799611747616
3.83,-3.979107914748135
3.84,-3.9381327167539224
3.85,-3.98120367773045
3.86,-3.8159429883345988
3.87,-3.772453959708903
3.88,-3.8282908409160417
3.89,-4.012700954979939
3.9,-4.0747689232858635
3.91,-3.8122420529374974
3.92,-3.9795270268926863
3.93,-3.783920482348519
3.94,-3.886976715237909
3.95,-3.836532505485493
3.96,-3.7945815388061184
3.97,-4.099805826013157
3.98,-3.929794128643556
3.99,-3.9260443740947286
4.0,-3.9069042023567597
4.01,-3.8373571022144617
4.02,-3.8526262790464667
4.03,-3.923129017088795
4.04,-3.6654830225858896
4.05,-3.8658537345328083
4.06,-3.8811731329605776
4.07,-3.94355709496182
4.08,-4.0874905331927645
4.09,-3.9393841957040108
4.1,-4.021961863681101
4.11,-4.1860760654960645
4.12,-3.9197983782566066
4.13,-4.059950556145545
4.14,-3.8423063272133624
4.15,-4.013121691236074
4.16,-3.9565058375931854
4.17,-3.9757557454217327
4.18,-3.87661589424886
4.19,-3.8575842145688366
4.2,-3.999668229281292
4.21,-3.792120133328522
4.22,-3.6662915387959183
4.23,-4.0739214780792725
4.24,-4.057835708763944
4.25,-3.775728564700776
4.26,-3.8911245065578672
4.27,-4.148387613872242
4.28,-3.804844909535974
4.29,-3.777366330263857
4.3,-3.9039952614656874
4.31,-3.9356302996700436
4.32,-3.974499015384372
4.33,-3.80730992411256
4.34,-3.8911245065578672
4.35,-3.8237612565329853
4.36,-3.826231646094025
4.37,-3.887391405249593
4.38,-3.91230910717156
4.39,-3.946479317730663
4.4,-3.9139728316679676
4.41,-4.0000883347026726
4.42,-3.923545436756543
4.43,-3.936881418093246
4.44,-4.060796639298179
4.45,-3.9260443740947286
4.46,-3.8894651523378876
4.47,-3.776547408881261
4.48,-4.034606309292498
4.49,-3.868336126558298
4.5,-3.95274453617792
4.51,-3.9590142770517245
4.52,-3.914804813434702
4.53,-3.9481496008256745
4.54,-3.8670948418633566
4.55,-4.082399653118495
4.56,-3.9060729769732783
4.57,-3.891954302559269
4.58,-3.9732424671524424
4.59,-3.993788885879667
4.6,-3.8762017183606448
4.61,-3.944809355766747
4.62,-4.0747689232858635
4.63,-3.8952742795277597
4.64,-4.069685491827032
4.65,-3.814297933473987
4.66,-3.9185497178852775
4.67,-3.8036126645328814
4.68,-3.727145755287741
4.69,-3.806488174855744
4.7,-3.769998815874382
4.71,-3.805666503335118
4.72,-3.6796429333737484
4.73,-3.8985955259645797
4.74,-3.971567352227417
4.75,-3.8167656326159416
4.76,-3.9189659180644734
4.77,-4.001768959607653
4.78,-3.8274671044046302
4.79,-3.9081511896014645
4.8,-3.9560878347711856
4.81,-3.8865620450238056
4.82,-4.072226835670606
4.83,-3.9222962376405954
4.84,-4.0426239892226015
4.85,-3.8728890220435774
4.86,-3.735699470363854
4.87,-3.980365311855752
4.88,-3.8861473946053926
4.89,-3.971567352227417
4.9,-3.960268768492376
4.91,-3.8534524051302226
4.92,-4.266277959419985
4.93,-4.021540699007802
4.94,-3.839418936591192
4.95,-3.8994260360419988
4.96,-3.9866550292162573
4.97,-3.9023334468266557
4.98,-3.8795156785832425
4.99,-4.163785856294255
5.0,-4.0308110424889385
5.01,-3.6436814846708883
5.02,-3.806899039766209
