seconds_elapsed,dBFS
0.0,-17.59731337296975
0.01,-18.84460215690592
0.02,-17.912528690048795
0.03,-17.038749290891243
0.04,-16.034149131012704
0.05,-15.885981824200675
0.06,-17.200466944275984
0.07,-17.571220559518373
0.08,-18.403484463152367
0.09,-18.670005531728002
0.1,-17.763730367829936
0.11,-15.2266208146861
0.12,-15.02248658667468
0.13,-16.02743539955724
0.14,-17.475551234700625
0.15,-17.89378889931024
0.16,-16.695038105241657
0.17,-16.010673739322655
0.18,-14.668150366783275
0.19,-13.822576202178931
0.2,-14.961428216910747
0.21,-15.955588639149115
0.22,-14.705533826342474
0.23,-14.020051128744605
0.24,-15.003080105233224
0.25,-14.767715604345767
0.26,-14.625214591575142
0.27,-15.756547139811609
0.28,-13.748697414714819
0.29,-16.05937194315598
0.3,-16.123599479677743
0.31,-18.43663253660364
0.32,-17.77808551865177
0.33,-17.639629587602627
0.34,-17.65378092960558
0.35,-19.442540686256113
0.36,-17.250540947835518
0.37,-16.474994533391126
0.38,-19.728095283878975
0.39,-19.410283381564305
0.4,-18.313519916266593
0.41,-16.698662511569257
0.42,-16.922661087872115
0.43,-16.722258088778478
0.44,-18.038504642121307
0.45,-17.240888885904333
0.46,-18.100054270351933
0.47,-19.442540686256113
0.48,-17.5912849935689
0.49,-17.858501451122994
0.5,-19.125234919098844
0.51,-19.05125107331677
0.52,-19.774461352901646
0.53,-18.053321564799646
0.54,-16.961807775532616
0.55,-16.010673739322655
0.56,-15.909122171842277
0.57,-16.89295301397548
0.58,-15.826759619970115
0.59,-14.237125403767468
0.6,-14.704093021887306
0.61,-16.87813699394288
0.62,-16.651662785947867
0.63,-17.647713245364372
0.64,-19.115653131433206
0.65,-16.839364757727413
0.66,-16.698662511569257
0.67,-14.852300154413992
0.68,-15.950598182454485
0.69,-14.077498581782491
0.7,-15.193025559717746
0.71,-16.939416640542643
0.72,-16.22770511102301
0.73,-17.32230152495152
0.74,-15.68528454651435
0.75,-16.62646018693285
0.76,-17.5832536572241
0.77,-17.95222374485429
0.78,-18.846923035914532
0.79,-15.52863378152474
0.8,-16.39586350047055
0.81,-16.195144768440286
0.82,-14.921452177671588
0.83,-15.434101127345132
0.84,-13.929972466390904
0.85,-15.130760851234887
0.86,-16.422160491910734
0.87,-17.58526079521987
0.88,-18.13847802765047
0.89,-18.283012495307606
0.9,-16.225988362398375
0.91,-15.60500773074809
0.92,-14.830345749841452
0.93,-15.12924776184197
0.94,-14.792422409902109
0.95,-13.605337302213483
0.96,-14.646655949385014
0.97,-14.179972234249114
0.98,-15.004571373094741
0.99,-16.928242681491238
1.0,-15.278797693793532
1.01,-13.94580097125065
1.02,-14.78805727555876
1.03,-15.019498150506179
1.04,-14.31667460956438
1.05,-13.186509814348351
1.06,-13.90759801294784
1.07,-12.82864462195063
1.08,-14.704093021887306
1.09,-15.617802267604832
1.1,-14.828884094030169
1.11,-15.407502867553209
1.12,-15.967244200653976
1.13,-17.027446895492865
1.14,-15.215917314085715
1.15,-15.1777978390607
1.16,-15.940625862601244
1.17,-17.135418127545382
1.18,-17.579240772127047
1.19,-16.09311670058781
1.2,-14.23985638622608
1.21,-13.087873807656887
1.22,-14.971822478766004
1.23,-14.539974558725246
1.24,-12.556652692479634
1.25,-11.978866956891244
1.26,-13.698508417249187
1.27,-12.412712117528342
1.28,-14.413662740377937
1.29,-13.052065499535583
1.3,-12.979707379759551
1.31,-13.96827417819378
1.32,-12.075195524117133
1.33,-12.52857025728986
1.34,-13.740957129362494
1.35,-13.571128371665681
1.36,-12.75696510460892
1.37,-13.835602433831632
1.38,-13.83038959668308
1.39,-14.116457861313362
1.4,-13.782318586749955
1.41,-13.53453489856692
1.42,-13.55470533349613
1.43,-12.728228594449618
1.44,-13.508132087124478
1.45,-12.50505097499378
1.46,-13.210738253037245
1.47,-14.804073504389628
1.48,-15.185408362318174
1.49,-16.736810368015835
1.5,-16.291464531656285
1.51,-15.28957901044798
1.52,-13.49809494645758
1.53,-13.689530752741348
1.54,-13.66137549425354
1.55,-14.458363461168204
1.56,-15.064433013464868
1.57,-13.059215361076415
1.58,-15.504903989045363
1.59,-13.649883687102388
1.6,-16.253497141173476
1.61,-17.332044531736486
1.62,-14.422026621272703
1.63,-14.27818057538799
1.64,-16.569127373900784
1.65,-16.64085271655246
1.66,-17.573224918506863
1.67,-18.87016599770511
1.68,-18.543564562347775
1.69,-18.814487027312893
1.7,-19.363352539928293
1.71,-19.467435772481846
1.72,-19.646272933621578
1.73,-20.241357429719706
1.74,-19.738377486486126
1.75,-21.058044123141073
1.76,-20.039319565109217
1.77,-20.757892055214736
1.78,-19.728095283878975
1.79,-20.839259297902988
1.8,-22.708393739837746
1.81,-21.640002823962433
1.82,-20.111512999099972
1.83,-20.574723179544648
1.84,-21.801575370415534
1.85,-22.2740970544531
1.86,-21.630403387025076
1.87,-22.332844095129065
1.88,-20.671550492981087
1.89,-15.32045671675938
1.9,-14.17048316151972
1.91,-16.70047528203145
1.92,-16.819124353267355
1.93,-18.049085578547405
1.94,-15.538143880618653
1.95,-15.619402910682812
1.96,-16.15078538493224
1.97,-16.430943877873144
1.98,-14.082861897567634
1.99,-13.13705179930051
2.0,-13.816070404827318
2.01,-14.250788910813561
2.02,-14.593862699941496
2.03,-15.56355516848349
2.04,-13.933926889240023
2.05,-13.199827091473637
2.06,-14.25762873291523
2.07,-14.931798682335213
2.08,-14.10300387839098
2.09,-12.624423306542278
2.1,-14.188113984232594
2.11,-13.227738461865934
2.12,-14.109728264914077
2.13,-14.615226709165931
2.14,-14.020051128744605
2.15,-16.281093318915953
2.16,-16.576273313948487
2.17,-15.751669709844574
2.18,-13.92865472541317
2.19,-15.701429327441499
2.2,-17.053842065562876
2.21,-14.78805727555876
2.22,-15.126222373571029
2.23,-14.36503330241518
2.24,-14.371963718196616
2.25,-15.993944362737167
2.26,-14.770618642353428
2.27,-14.955494218635156
2.28,-15.577881755941638
2.29,-15.007554677138517
2.3,-14.415056161354386
2.31,-15.205226987027858
2.32,-14.521615627364724
2.33,-16.0224035042897
2.34,-16.904081637711876
2.35,-16.57984848981212
2.36,-17.870939481369746
2.37,-17.587268397132902
2.38,-17.285377450300597
2.39,-15.606606017556917
2.4,-14.80698872161386
2.41,-16.161002076529382
2.42,-16.898515543552758
2.43,-17.156410071415316
2.44,-14.683946814225228
2.45,-14.271324556689564
2.46,-15.214389318719286
2.47,-14.94660081549841
2.48,-14.846440218527663
2.49,-16.775126506697024
2.5,-16.203701452846275
2.51,-15.155006197439583
2.52,-14.034710861571462
2.53,-14.847904831909107
2.54,-12.956114021132388
2.55,-11.555632411214257
2.56,-11.767753829334355
2.57,-13.2899507033245
2.58,-14.293282892639105
2.59,-12.923190615006387
2.6,-11.789356692652294
2.61,-13.774548295814515
2.62,-13.97489502586405
2.63,-12.59951264261121
2.64,-13.270385126389005
2.65,-14.459764072255343
2.66,-12.465993141167075
2.67,-14.000100374307355
2.68,-15.052427635412549
2.69,-15.286497268482686
2.7,-15.805472670811614
2.71,-16.667903157718214
2.72,-17.12398932374114
2.73,-17.059508624188165
2.74,-16.734989999228272
2.75,-17.90003100496018
2.76,-17.551202367578547
2.77,-17.481499795351844
2.78,-18.392463157729892
2.79,-19.66920767094335
2.8,-20.20328521631171
2.81,-18.63369133349436
2.82,-17.958508001468513
2.83,-17.08221189907356
2.84,-18.100054270351933
2.85,-18.550291726467236
2.86,-19.782213151397475
2.87,-16.294924356293972
2.88,-15.245000415206036
2.89,-14.76916700206626
2.9,-14.750317722438771
2.91,-16.256941872385816
2.92,-16.490907618095022
2.93,-17.038749290891243
2.94,-15.554017221363212
2.95,-14.87577951221661
2.96,-13.92865472541317
2.97,-16.35918095577322
2.98,-15.674001028649089
2.99,-12.54765643104562
3.0,-14.427607019561709
3.01,-15.468643756391591
3.02,-15.468643756391591
3.03,-13.360013449210902
3.04,-12.681305563782901
3.05,-12.774252756381067
3.06,-13.080700326474425
3.07,-12.6119590442744
3.08,-11.970449376934504
3.09,-13.563544649148351
3.1,-12.947871462733527
3.11,-10.899271722241352
3.12,-11.101486070991193
3.13,-10.775581086698132
3.14,-11.00684698221324
3.15,-11.322174563784412
3.16,-11.870069614606154
3.17,-11.438119156125271
3.18,-11.818244343684562
3.19,-14.573970256283133
3.2,-13.566071821013159
3.21,-13.16114248077633
3.22,-11.351505601240394
3.23,-11.217395444319212
3.24,-10.819685984449507
3.25,-11.028522842393686
3.26,-12.416032623324016
3.27,-13.325526037217823
3.28,-13.969597944048367
3.29,-13.274050316529078
3.3,-13.361247678646448
3.31,-14.596708200257877
3.32,-16.88369004025119
3.33,-17.718768015185294
3.34,-17.912528690048795
3.35,-15.023981190418894
3.36,-12.940812632895158
3.37,-13.157524616244443
3.38,-13.715205881214935
3.39,-13.01403198660118
3.4,-13.37978219660771
3.41,-14.608099532563477
3.42,-14.747421460445258
3.43,-14.936236674242068
3.44,-15.662732149769507
3.45,-16.33481171034262
3.46,-16.09480738470761
3.47,-14.483609080988986
3.48,-14.21122380674653
3.49,-16.753210877817136
3.5,-15.74029967970926
3.51,-16.301848142741157
3.52,-15.318910221671512
3.53,-14.417843674099126
3.54,-15.497008442971227
3.55,-14.396959101310763
3.56,-14.034710861571462
3.57,-12.509525931114434
3.58,-13.29239950222374
3.59,-14.177260012638298
3.6,-14.435984345050896
3.61,-14.616652846536851
3.62,-13.267942525237347
3.63,-14.983716886154445
3.64,-13.446835859202222
3.65,-15.517551810192519
3.66,-14.724286065677086
3.67,-13.127434204254971
3.68,-11.726753566101145
3.69,-13.303427648833615
3.7,-13.740957129362494
3.71,-12.571291519474187
3.72,-12.814724924038776
3.73,-13.998771951939073
3.74,-12.861210930837942
3.75,-13.653712600383729
3.76,-12.53081351392373
3.77,-13.433134732676105
3.78,-13.523209579071418
3.79,-13.728071962130704
3.8,-14.088228527110038
3.81,-13.65882044506963
3.82,-15.202175022963404
3.83,-15.549252172525742
3.84,-13.209525224666018
3.85,-12.656231465273585
3.86,-13.604067899268138
3.87,-12.801984767608573
3.88,-13.65882044506963
3.89,-14.839120853774945
3.9,-14.840584233382156
3.91,-15.343687245819543
3.92,-15.779344763497765
3.93,-14.852300154413992
3.94,-14.744526163872427
3.95,-17.363295798687023
3.96,-17.769879670485413
3.97,-17.833678696515737
3.98,-19.270244791897614
3.99,-18.36606894252045
4.0,-18.51670788656903
4.01,-18.265627671614414
4.02,-17.745308537726107
4.03,-17.003008709196415
4.04,-16.841207135428256
4.05,-17.59731337296975
4.06,-19.628476578071655
4.07,-17.85021931496456
4.08,-16.784274363928127
4.09,-19.55009951336462
4.1,-18.87016599770511
4.11,-17.645691625516296
4.12,-19.1492357346961
4.13,-18.805241800641138
4.14,-20.362111078842755
4.15,-18.93323445288742
4.16,-17.864718239868452
4.17,-14.483609080988986
4.18,-14.192187722900902
4.19,-13.227738461865934
4.2,-14.1596511855088
4.21,-13.49809494645758
4.22,-13.050874427934394
4.23,-14.850834799768922
4.24,-15.115641805401747
4.25,-15.481238849608976
4.26,-16.604916009774065
4.27,-17.639629587602627
4.28,-15.838243468553221
4.29,-17.2660065911613
4.3,-19.5249667133118
4.31,-18.24611124679071
4.32,-16.032470211583863
4.33,-14.342893058754827
4.34,-13.97357045252743
4.35,-13.746116553118632
4.36,-12.899750067415956
4.37,-13.219234198305749
4.38,-12.337785800400116
4.39,-15.148938513198376
4.4,-13.719063704790708
4.41,-15.473364776331024
4.42,-17.326197416309977
4.43,-15.571511466225907
4.44,-16.215694990103774
4.45,-16.714991081755073
4.46,-16.639052345598127
4.47,-17.676065440025965
4.48,-16.784274363928127
4.49,-17.10497467158072
4.5,-16.88739404441737
4.51,-16.0224035042897
4.52,-16.293194271707417
4.53,-16.04422946828112
4.54,-15.326645452067911
4.55,-16.298385559622524
4.56,-15.449785294911308
4.57,-15.000098337391357
4.58,-14.561206272152155
4.59,-12.806615389942992
4.6,-14.226210052487346
4.61,-13.740957129362494
4.62,-14.548461017278282
4.63,-16.084668212772556
4.64,-14.337366804623404
4.65,-14.62378704787268
4.66,-14.517384455905846
4.67,-15.854675349424461
4.68,-14.711299435341473
4.69,-14.192187722900902
4.7,-13.33659635051168
4.71,-14.413662740377937
4.72,-13.725497220852604
4.73,-13.352611753289573
4.74,-13.316925537545414
4.75,-14.777880485129117
4.76,-15.032954217702505
4.77,-16.811775884438124
4.78,-15.088493664966904
4.79,-15.225090935397589
4.8,-17.135418127545382
4.81,-17.34375058423347
4.82,-16.46793139851274
4.83,-16.39586350047055
4.84,-13.859098993619341
4.85,-14.872841119212243
4.86,-15.277258597548153
4.87,-15.78913352069991
4.88,-14.39417828180948
4.89,-15.701429327441499
4.9,-15.614601866080761
4.91,-13.969597944048367
4.92,-14.65524733449503
4.93,-15.972244233203867
4.94,-15.686897674875947
4.95,-16.313978065404072
