seconds_elapsed,dBFS
0.0,-18.14275784524781
0.01,-13.261839025837816
0.02,-9.786508364285352
0.03,-9.798785242142745
0.04,-9.900944279516796
0.05,-11.600868904147376
0.06,-13.215592061287648
0.07,-12.773099175180347
0.08,-11.763645082976726
0.09,-11.41145257992045
0.1,-11.513623190127358
0.11,-11.866951363042215
0.12,-13.309560452617355
0.13,-15.468643756391591
0.14,-16.161002076529382
0.15,-15.094519256355323
0.16,-16.86149912427277
0.17,-17.287316914334127
0.18,-16.61388625702188
0.19,-14.483609080988986
0.2,-15.446646194899525
0.21,-15.43096768949078
0.22,-15.968910558383415
0.23,-16.145681542083558
0.24,-14.054741363886983
0.25,-15.724082554688223
0.26,-13.699791698575014
0.27,-13.904969509481553
0.28,-12.733968295734314
0.29,-10.082665831856916
0.3,-8.43356306921976
0.31,-8.167514070952969
0.32,-8.815594920714219
0.33,-14.312542079327962
0.34,-10.8003625290091
0.35,-9.156437240082987
0.36,-16.79709757145943
0.37,-24.375694893963733
0.38,-23.226829916246338
0.39,-22.181601989809007
0.4,-20.91844911545408
0.41,-20.428691204051482
0.42,-19.314224073896376
0.43,-21.531825510783122
0.44,-23.249920464992606
0.45,-29.332396968627354
0.46,-30.87420688143879
0.47,-33.25939882645723
0.48,-31.875269189522314
0.49,-30.33509553296124
0.5,-29.680829414161877
0.51,-31.95888850814342
0.52,-33.28383172481285
0.53,-26.897897528770187
0.54,-23.688555278357782
0.55,-19.041750509462208
0.56,-16.608502997080077
0.57,-13.530758151074384
0.58,-12.460427760289758
0.59,-13.600260803157195
0.6,-12.750059666610591
0.61,-15.525466060979758
0.62,-15.412190763486773
0.63,-12.992711095834997
0.64,-11.736985502303874
0.65,-13.806970467234294
0.66,-13.543353700900589
0.67,-12.656231465273585
0.68,-13.67800165927924
0.69,-14.936236674242068
0.7,-15.503324305556774
0.71,-14.227573721481132
0.72,-14.053404559015076
0.73,-13.878728131098894
0.74,-13.20709967602192
0.75,-14.081520758116493
0.76,-17.233174951438116
0.77,-20.711736438732405
0.78,-20.989451333477902
0.79,-20.29329524084524
0.8,-22.795726419976646
0.81,-25.59842976104338
0.82,-26.286520755046766
0.83,-27.251006771319407
0.84,-26.08658787403337
0.85,-26.474390831937228
0.86,-26.017419627784374
0.87,-22.2123243667956
0.88,-15.997287661330432
0.89,-15.790766053293394
0.9,-18.992042325724004
0.91,-19.499906425766117
0.92,-20.989451333477902
0.93,-19.95980216838971
0.94,-17.93757813679176
0.95,-18.92152050689344
0.96,-20.611618044786304
0.97,-26.440940637946007
0.98,-31.43910838107231
