seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-15.015017423227
0.05,-7.818914202508712
0.06,-7.965562148909023
0.07,-7.828701121446206
0.08,-8.56757458106365
0.09,-11.375041954279519
0.1,-12.385090490110143
0.11,-10.459695743033492
0.12,-11.879431091680557
0.13,-10.067446708574055
0.14,-11.79141691316434
0.15,-11.466852519407247
0.16,-11.623070562806245
0.17,-18.147039772688764
0.18,-16.104958406086663
0.19,-15.73543136217608
0.2,-13.748697414714819
0.21,-16.34002793888778
0.22,-13.116627123750746
0.23,-12.442642466872119
0.24,-13.587582520891521
0.25,-10.37176332938089
0.26,-11.181787625727914
0.27,-11.318271231671506
0.28,-13.66137549425354
0.29,-12.576928413460111
0.3,-12.40718076050637
0.31,-10.40419466193805
0.32,-10.264813239434062
0.33,-10.573564013869461
0.34,-7.299396253787666
0.35,-8.802440015929184
0.36,-9.995936728485052
0.37,-11.911753628083597
0.38,-12.298379050139241
0.39,-11.073934415458705
0.4,-11.587776366994586
0.41,-12.02636844657648
0.42,-10.022789079928218
0.43,-10.225151574000073
0.44,-8.978753142062448
0.45,-8.177702002259075
0.46,-15.64023815737313
0.47,-16.5263747545044
0.48,-16.381870924527714
0.49,-20.157277903934144
0.5,-20.40366381143815
0.51,-23.292413227535
0.52,-26.39100565100968
0.53,-28.43356306921976
0.54,-30.27432444301435
0.55,-32.21468779362074
0.56,-32.51176427403059
0.57,-41.1816780366135
0.58,-36.05600466665013
0.59,-39.378145429631736
0.6,-40.53798436918547
0.61,-37.844012891236346
0.62,-42.88764145375963
0.63,-42.110336232568464
0.64,-44.91873981483603
0.65,-46.28105621278533
0.66,-47.89752007507736
0.67,-46.96265200423083
0.68,-43.03675910135147
0.69,-46.787173518080735
0.7,-47.02194158350561
0.71,-45.15542720181067
0.72,-42.9246815509915
0.73,-43.22682991624633
0.74,-45.34953337195822
0.75,-41.942972872799444
0.76,-41.64961288170624
0.77,-44.59785251903888
0.78,-40.82467341766925
0.79,-43.381939210181585
0.8,-43.381939210181585
0.81,-41.9098837293992
0.82,-41.61762061851039
0.83,-42.41996508267003
0.84,-39.91243882367998
0.85,-44.779762615729474
0.86,-41.9098837293992
0.87,-42.96188027867397
0.88,-42.96188027867397
0.89,-33.431890246731136
0.9,-30.77283195243303
0.91,-22.16798240310935
0.92,-18.588511051454844
0.93,-13.698508417249187
0.94,-14.016057310157235
0.95,-10.703475877637555
0.96,-8.837564133095864
0.97,-9.123032851032933
0.98,-10.158310341249203
0.99,-10.893695503579004
1.0,-9.82010635656737
1.01,-10.802201007085191
1.02,-8.83170024113437
1.03,-8.344433389135556
1.04,-6.5840022836126035
1.05,-7.486904512635776
1.06,-7.960921010867493
1.07,-7.68561103740788
1.08,-8.956424364629443
1.09,-10.622053547477082
1.1,-12.658507940096747
1.11,-14.028044279282367
1.12,-15.463925301062481
1.13,-19.250769694864182
1.14,-28.336124182853215
1.15,-31.31144461845686
1.16,-35.37631472044278
1.17,-34.308411514311665
1.18,-35.37631472044278
1.19,-38.18137139698226
1.2,-40.4259068188255
1.21,-42.63269137958573
1.22,-42.704773864962235
1.23,-42.704773864962235
1.24,-42.07660457992975
1.25,-41.00134167022599
1.26,-41.42810278083282
1.27,-42.63269137958573
1.28,-39.353504591437904
1.29,-32.959648942013324
1.3,-31.23380486452978
1.31,-31.49866900054301
1.32,-32.796199959110986
1.33,-33.456813906983115
1.34,-34.25352419335484
1.35,-37.823356782480985
1.36,-38.053321564799646
1.37,-39.502409203376885
1.38,-39.502409203376885
1.39,-41.64961288170624
1.4,-42.88764145375963
1.41,-44.64297412512336
1.42,-43.700723232210535
1.43,-46.96265200423083
1.44,-46.118698408341736
1.45,-45.39874534291136
1.46,-45.10757093949286
1.47,-43.782281480619325
1.48,-40.260456299505705
1.49,-38.074532539047524
1.5,-38.992042325724
1.51,-36.75685964478449
1.52,-35.42313903674083
1.53,-35.905812631075214
1.54,-33.21073825303724
1.55,-33.65882044506963
1.56,-34.70265245639133
1.57,-32.88922242398285
1.58,-32.117878114370846
1.59,-33.41945518428073
1.6,-34.17183810881801
1.61,-31.62913542256951
1.62,-32.534179485536505
1.63,-30.967404016304414
1.64,-28.28093168808774
1.65,-29.371294882440154
1.66,-29.51278761622735
1.67,-30.484477185344456
1.68,-30.052254205090914
1.69,-27.851580241905648
1.7,-29.43389615982077
1.71,-28.64611583633331
1.72,-28.783473591110003
1.73,-30.699840853672352
1.74,-28.952708475957554
1.75,-29.835720335238488
1.76,-29.843949506520126
1.77,-29.386902954273584
1.78,-31.147281728772654
1.79,-31.099583148508376
1.8,-31.948391963496753
1.81,-33.27160668459903
1.82,-34.19898153602635
1.83,-34.18539921951661
1.84,-38.053321564799646
1.85,-38.35509498068411
1.86,-39.552616797728874
1.87,-41.15136076451451
1.88,-42.52567701190371
1.89,-42.9246815509915
1.9,-42.88764145375963
1.91,-44.33193717100022
1.92,-43.26534833696711
1.93,-41.1816780366135
1.94,-41.58574575837924
1.95,-41.97618855242873
1.96,-43.15030175918528
1.97,-44.20197131026188
1.98,-44.37569489396373
1.99,-43.90607297697328
2.0,-44.91873981483603
2.01,-43.66022950088225
2.02,-43.0744419788425
2.03,-43.26534833696711
2.04,-42.56120217241977
2.05,-43.381939210181585
2.06,-42.455059634001046
2.07,-44.733926680137785
2.08,-43.57980402222377
2.09,-41.71395309914619
2.1,-42.3501985257536
2.11,-40.59457016956276
2.12,-41.84408122045819
2.13,-42.178195090515246
2.14,-42.96188027867397
2.15,-44.733926680137785
2.16,-44.87216656846438
2.17,-43.989591790056004
2.18,-43.94773199993912
2.19,-45.10757093949286
2.2,-44.64297412512336
2.21,-45.49801373354236
2.22,-44.64297412512336
2.23,-41.273269988708556
2.24,-40.4259068188255
2.25,-40.12494825257229
2.26,-37.12970184590566
2.27,-41.876920161797734
2.28,-35.70951298520325
2.29,-36.59416392714908
2.3,-37.302848236555626
2.31,-36.005651542225195
2.32,-39.1108661984721
