seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-70.30899869919435
0.1,-42.14419939295736
0.11,-36.08973631928884
0.12,-33.852565793132264
0.13,-32.7270811091929
0.14,-32.35645687338553
0.15,-32.65850794009675
0.16,-33.5068768100592
0.17,-34.32218771012272
0.18,-36.140580696500095
0.19,-39.27999873973685
0.2,-39.6539111193444
0.21,-35.37631472044278
0.22,-31.03324215228325
0.23,-27.89752007507736
0.24,-20.746330137184007
0.25,-16.21055287472632
0.26,-13.927337184320304
0.27,-14.811363382818431
0.28,-14.717068874037867
0.29,-15.825120308907765
0.3,-15.490697169568705
0.31,-15.902504350845524
0.32,-15.763054643122608
0.33,-14.376124623492029
0.34,-13.595187269345846
0.35,-14.494852952640763
0.36,-14.28504201001138
0.37,-15.683671717684526
0.38,-14.203060376034655
0.39,-14.29190886912314
0.4,-13.870871152147897
0.41,-15.147422254202107
0.42,-13.686967409167167
0.43,-15.622605082014218
0.44,-13.33044443465279
0.45,-14.906692803452323
0.46,-14.566876838462955
0.47,-14.081520758116493
0.48,-16.88369004025119
0.49,-13.474303119699487
0.5,-16.590582855303648
0.51,-14.455562916363009
0.52,-14.518794617389272
0.53,-15.421574152557145
0.54,-15.534972690500162
0.55,-17.981589253368966
0.56,-14.388619312251372
0.57,-15.653084733407773
0.58,-14.606674798755957
0.59,-15.260346513964876
0.6,-15.506483959879747
0.61,-17.072744988449134
0.62,-15.60820459851994
0.63,-17.231247537774806
0.64,-14.675327009047344
0.65,-15.52229949527277
0.66,-17.479516489112367
0.67,-16.039187837315506
0.68,-15.189977879111717
0.69,-15.75817355862323
0.7,-18.306973585366542
0.71,-14.409483818171724
0.72,-18.181371396982257
0.73,-15.77282504869508
0.74,-15.680446958175395
0.75,-14.430398563740665
0.76,-14.517384455905846
0.77,-15.357655444441857
0.78,-16.952471120180135
0.79,-15.023981190418894
0.8,-15.550840231701581
0.81,-15.374758248861149
0.82,-14.761912437510183
0.83,-17.733048987860155
0.84,-14.166419587345924
0.85,-16.13718179618748
0.86,-14.976280972989006
0.87,-14.933277761034073
0.88,-14.575389635261383
0.89,-16.30704460693328
0.9,-13.426914085244091
0.91,-15.035947287903749
0.92,-16.346987786726558
0.93,-14.956977338187649
0.94,-14.408091290771857
0.95,-15.130760851234887
0.96,-14.322187710122725
0.97,-13.54713593028239
0.98,-16.642653460756705
0.99,-14.286414947600276
1.0,-15.099041194663824
1.01,-15.080967549221736
1.02,-15.412190763486773
1.03,-14.731509259139566
1.04,-15.549252172525742
1.05,-15.451355270448898
1.06,-16.6968501193586
1.07,-15.512806718767179
1.08,-17.156410071415316
1.09,-17.003008709196415
1.1,-15.932324333117114
1.11,-18.015271853554108
1.12,-14.889014595915544
1.13,-17.3868082596174
1.14,-16.642653460756705
1.15,-17.52126131884068
1.16,-15.47021714461038
1.17,-15.78913352069991
1.18,-13.864329094417476
1.19,-15.597020705230758
1.2,-17.34375058423347
1.21,-16.270734474947478
1.22,-17.19278880928931
1.23,-14.456963075895029
1.24,-17.016159188071846
1.25,-15.872786394943425
1.26,-15.937304298645635
1.27,-17.60938269816979
1.28,-16.965545249616987
1.29,-16.02911334598148
1.3,-15.557195373479924
1.31,-15.288038002790596
1.32,-16.346987786726558
1.33,-15.487543251727928
1.34,-18.011054378531664
1.35,-15.248067466663775
1.36,-17.106874264729473
1.37,-15.853030761776253
1.38,-14.988181491566577
1.39,-15.816928391260024
1.4,-15.861256815651883
1.41,-16.75868460321921
1.42,-15.03744420986145
1.43,-17.808926678897087
1.44,-15.60021463416473
1.45,-16.34002793888778
1.46,-17.808926678897087
1.47,-16.236293947516437
1.48,-16.28800608461156
1.49,-16.096498397978422
1.5,-19.32402756211324
1.51,-17.04252002663011
1.52,-22.625515923053683
1.53,-42.88764145375963
1.54,-37.782191351693506
1.55,-35.69335318586658
1.56,-34.363647882580025
1.57,-33.18650981434835
1.58,-31.813078783236115
1.59,-28.99740440462539
1.6,-26.156311351415127
1.61,-25.13146611175173
1.62,-23.24221679296826
1.63,-21.18471559203458
1.64,-19.314224073896376
1.65,-17.225467861635146
1.66,-18.291717972997567
1.67,-20.688750280062898
1.68,-22.130638282258758
1.69,-22.398976213081838
1.7,-22.532770429723886
1.71,-22.550529359725623
1.72,-22.928394263011292
1.73,-22.455059634001042
1.74,-22.564762692919746
1.75,-21.181678036613498
1.76,-19.96772122954126
1.77,-19.71269476630175
1.78,-18.98968235026102
1.79,-18.25477980004321
1.8,-18.87016599770511
1.81,-18.132062252666124
1.82,-18.015271853554108
1.83,-17.87508945260878
1.84,-17.31646096238377
1.85,-17.467626152364275
1.86,-18.346325782929604
1.87,-17.12589308038176
1.88,-16.74956364297956
1.89,-17.357427614945255
1.9,-17.43994516947061
1.91,-17.93130899928535
1.92,-17.449821110998545
1.93,-17.844012891236346
1.94,-17.81510807375273
1.95,-17.868865239058263
1.96,-17.82335678248099
1.97,-17.927132086659505
1.98,-17.945944031623966
1.99,-17.59731337296975
2.0,-18.304792571007795
2.01,-18.874822063020602
2.02,-18.61107181644536
2.03,-19.284879824236235
2.04,-18.96141254617478
2.05,-18.26779887263511
2.06,-19.1588546610812
2.07,-19.238619896214963
2.08,-18.61107181644536
2.09,-17.67809414250817
2.1,-19.562693236954164
2.11,-18.593018518934336
2.12,-18.08090594496249
2.13,-18.518942773919083
2.14,-17.99630932164604
2.15,-18.416728515992396
2.16,-19.029889399278105
2.17,-17.455752070353647
2.18,-17.731007410782222
2.19,-17.914613386959815
2.2,-18.44992726823704
2.21,-17.22932055171298
2.22,-17.977388097476638
2.23,-17.14304569303056
2.24,-17.485467766932075
2.25,-17.85021931496456
2.26,-17.992101041700316
2.27,-17.07463754530117
2.28,-17.54121054588764
2.29,-17.188952285535212
2.3,-17.573224918506863
2.31,-17.65378092960558
2.32,-18.11711051468996
2.33,-17.441919459657097
2.34,-19.106081902213404
