seconds_elapsed,dBFS
0.0,-8.991431642046518
0.01,-9.378315044174968
0.02,-7.704897307572982
0.03,-5.779062772083977
0.04,-8.228138100754176
0.05,-8.489032744130395
0.06,-6.8773946605530885
0.07,-5.149190956807745
0.08,-5.937763466261842
0.09,-5.979346752145159
0.1,-7.478122014781297
0.11,-6.417601914621508
0.12,-8.444068077117553
0.13,-8.468629284138418
0.14,-6.872715078171428
0.15,-7.448702694112457
0.16,-6.201662941864834
0.17,-7.483766886752557
0.18,-7.17559316811183
0.19,-5.898991786899761
0.2,-6.67784322193863
0.21,-7.410668157337349
0.22,-6.338056197904226
0.23,-7.736490601675348
0.24,-7.084634305374032
0.25,-7.415024326331859
0.26,-8.823643848127201
0.27,-7.2126099753108965
0.28,-7.589816856703217
0.29,-7.109838645623981
0.3,-5.925169894834782
0.31,-7.35052791958223
0.32,-6.110659639014527
0.33,-6.006827078132494
0.34,-7.0852335595491684
0.35,-6.158465589927674
0.36,-5.89324317587685
0.37,-7.765606427196438
0.38,-9.11394481500838
0.39,-6.459322301141092
0.4,-7.689464867082015
0.41,-7.728097501435197
0.42,-7.8476538244630305
0.43,-7.40507057691072
0.44,-6.564226302564784
0.45,-7.835885210431918
0.46,-6.8779797856594485
0.47,-7.471854234427009
0.48,-6.611764519325685
0.49,-7.457455480783668
0.5,-6.305673771932208
0.51,-7.266902681336997
0.52,-7.948998030768744
0.53,-9.138959830601372
0.54,-8.364546848796337
0.55,-7.655481717335113
0.56,-9.351046228906144
0.57,-9.100330565139554
0.58,-14.265843635455127
0.59,-8.749292878604319
0.6,-9.610015765666915
0.61,-6.775021776822926
0.62,-8.352057150727624
0.63,-8.46020047257153
0.64,-7.147782820462254
0.65,-10.66900441659679
0.66,-9.841479936403108
0.67,-7.2126099753108965
0.68,-9.619638244093508
0.69,-8.604614678295517
0.7,-7.750712811762494
0.71,-7.581564229347891
0.72,-8.985462983754228
0.73,-7.61780715074186
0.74,-8.510190329221663
0.75,-8.187901897318628
0.76,-9.93249313911534
0.77,-8.329205911170812
0.78,-7.93246544052856
0.79,-9.199138565637446
0.8,-7.086432191944373
0.81,-7.392644409357806
0.82,-6.371663754209576
0.83,-7.5974416322957605
0.84,-8.146496804422368
0.85,-7.081039648278419
0.86,-7.443705058969941
0.87,-7.072657895840507
0.88,-3.810597698795984
0.89,-6.204911420231464
0.9,-5.272828726713421
0.91,-7.038615447796792
0.92,-6.447620379088903
0.93,-6.715091032704228
0.94,-8.684213480960413
0.95,-5.327478625522126
0.96,-6.593624030522099
0.97,-6.1719416990604
0.98,-7.615258848057287
0.99,-7.449327600738005
1.0,-8.80317032152831
1.01,-6.67727142445723
1.02,-7.776631188735329
1.03,-10.405072867250771
1.04,-9.359607206797229
