seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-64.73392668013777
0.13,-36.576273313948484
0.14,-38.69049918568197
0.15,-46.67212694029891
0.16,-45.05997690458577
0.17,-45.300598653016465
0.18,-47.20227794989312
0.19,-42.850758639792225
0.2,-33.633311206064775
0.21,-29.004876138108116
0.22,-33.49433400695822
0.23,-40.4537909186576
0.24,-32.01156234839335
0.25,-32.117878114370846
0.26,-20.241357429719706
0.27,-37.619453295979724
0.28,-32.02213555680554
0.29,-43.03675910135147
0.3,-39.06314141006486
0.31,-35.19150158574453
0.32,-37.9480367649525
0.33,-40.651527027019284
0.34,-38.57725260575926
0.35,-28.900852264391965
0.36,-35.47021714461037
0.37,-40.23318503805073
0.38,-39.6539111193444
0.39,-38.311337257720595
0.4,-38.944964217854455
0.41,-36.86704154048001
0.42,-37.459708294351934
0.43,-38.532364187310215
0.44,-40.56623118965063
0.45,-36.75685964478449
0.46,-34.89195846635147
0.47,-32.98325191751046
0.48,-31.885677686439582
0.49,-32.389504052013066
0.5,-33.76161323811785
0.51,-31.137721034755007
0.52,-26.603823393262655
0.53,-36.140580696500095
0.54,-33.49433400695822
0.55,-36.55841947490166
0.56,-37.864718239868445
0.57,-36.576273313948484
0.58,-35.07044193078378
0.59,-35.88928381611958
0.6,-31.7206201849085
0.61,-36.9973788788353
0.62,-37.16788164205228
0.63,-38.39907426268287
0.64,-38.62237421184374
0.65,-38.736214499832904
0.66,-38.267798872635105
0.67,-38.57725260575926
0.68,-38.09579543739675
0.69,-37.559204108944144
0.7,-34.01073507369288
0.71,-29.82749895304583
0.72,-38.82837334463998
0.73,-38.09579543739675
0.74,-35.80710827756498
0.75,-38.13847802765047
0.76,-37.42022690983759
0.77,-37.782191351693506
0.78,-36.243171136821125
0.79,-33.030651160037145
0.8,-29.340162628186267
0.81,-29.600403935503394
0.82,-33.59518726934584
0.83,-33.633311206064775
0.84,-34.349805824450435
0.85,-33.99744373270901
0.86,-38.053321564799646
0.87,-37.36133929690196
0.88,-40.88316447801559
0.89,-38.8748220630206
0.9,-39.231338166316874
0.91,-40.12494825257229
0.92,-40.85386971285011
0.93,-42.043003417569324
0.94,-36.140580696500095
0.95,-33.58251638505932
0.96,-33.407037898909216
0.97,-29.95164431992424
0.98,-30.077589827248794
0.99,-32.0539326257679
1.0,-33.44434313723417
1.01,-35.04043882793561
1.02,-38.805241800641134
1.03,-45.85466927624269
1.04,-42.704773864962235
1.05,-43.82334959324051
1.06,-46.50236473578853
1.07,-37.927132086659505
1.08,-34.280924498847256
1.09,-30.727140686427823
1.1,-25.518004282384897
1.11,-18.272142903552393
1.12,-20.298780488667614
1.13,-18.237451336165023
1.14,-20.640105737223653
1.15,-21.73011289848287
1.16,-25.295720309929486
1.17,-21.503414434482593
1.18,-19.161261058004214
1.19,-21.726878532540425
1.2,-21.26406720878561
1.21,-20.176192587864307
1.22,-19.973004617561866
1.23,-20.66582479096883
1.24,-20.428691204051482
1.25,-20.886099395981695
1.26,-22.346724864584306
1.27,-20.694491119424605
1.28,-18.545806371532517
1.29,-14.897849202174456
1.3,-18.185672407041945
1.31,-17.95222374485429
1.32,-15.43723569599628
1.33,-19.779628449804807
1.34,-16.813612418885832
1.35,-13.831692512704132
1.36,-15.487543251727928
1.37,-12.682447017183332
1.38,-13.924702701546675
1.39,-13.539573117755781
1.4,-11.36326580563839
1.41,-11.256055304015495
1.42,-11.474795720361431
1.43,-11.897141457498188
1.44,-12.931409774452597
1.45,-13.638407064021486
1.46,-13.203462622592522
1.47,-15.909122171842277
1.48,-19.137227037030367
1.49,-17.979488421423046
1.5,-16.576273313948487
1.51,-17.819231448925375
1.52,-14.469574678778997
1.53,-14.633784784315875
1.54,-15.78260645697885
1.55,-14.995627604014075
1.56,-14.135328516614972
1.57,-15.114131347239857
1.58,-15.013524360973548
1.59,-13.842122882781387
1.6,-15.622605082014218
1.61,-13.568599728376189
1.62,-15.220502913649185
1.63,-16.590582855303648
1.64,-12.196318672655263
1.65,-15.790766053293394
1.66,-15.839885258490643
1.67,-11.825481293155939
1.68,-14.423421384766357
1.69,-15.407502867553209
1.7,-11.78009174282657
1.71,-13.37359962844998
1.72,-10.220851415667742
1.73,-14.696892582414964
1.74,-14.265843635455127
1.75,-17.587268397132902
1.76,-17.217767604359494
1.77,-15.861256815651883
1.78,-15.745170727395424
1.79,-16.98800392958404
1.8,-14.256260337538144
1.81,-15.538143880618653
1.82,-15.897544291909135
1.83,-13.82387794660071
1.84,-16.68598370054593
1.85,-14.804073504389628
1.86,-15.39657427305559
1.87,-14.814281048159291
1.88,-13.965627251573245
1.89,-16.09480738470761
1.9,-13.441851130435245
1.91,-16.420404880052697
1.92,-17.2660065911613
1.93,-14.555539405444497
1.94,-16.20883951252764
1.95,-14.60952450010634
1.96,-14.080179825711195
1.97,-16.239731861528494
1.98,-15.581068653661509
1.99,-14.864031899757286
2.0,-12.899750067415956
2.01,-11.976761797007438
2.02,-13.32675537550281
2.03,-13.634584890301692
2.04,-14.521615627364724
2.05,-14.150184274884372
2.06,-11.381918754668867
2.07,-13.319381954314633
2.08,-11.814111649595386
2.09,-11.097680642830403
2.1,-10.944945336337364
2.11,-10.314211797062995
2.12,-10.21139855438167
2.13,-10.398927293894232
2.14,-10.506663377836269
2.15,-10.534253193418355
2.16,-10.109788069782406
2.17,-10.34032432190498
2.18,-13.193771252395404
2.19,-12.50505097499378
2.2,-12.1296526908266
2.21,-11.707346031346933
2.22,-9.805340012485374
2.23,-11.760564798185984
2.24,-15.099041194663824
2.25,-11.727776217499049
2.26,-11.767753829334355
2.27,-11.798631535645756
2.28,-9.218269646095333
2.29,-10.576250786991281
2.3,-9.694576111985118
2.31,-11.797600508326834
2.32,-11.823412977956725
2.33,-10.125932061040189
2.34,-12.005224595731232
2.35,-13.956369355384052
