seconds_elapsed,dBFS
0.0,-21.297858510827776
0.01,-25.85466927624269
0.02,-27.792869536403817
0.03,-26.609494885229136
0.04,-25.20354859712824
0.05,-26.792966042228766
0.06,-25.031545161889884
0.07,-26.689287083459746
0.08,-26.36890413873344
0.09,-28.26032458556763
0.1,-26.30841336811895
0.11,-27.884369596201925
0.12,-29.520716315671613
0.13,-31.109101932626032
0.14,-31.82341297795672
0.15,-31.83375948262035
0.16,-31.927436851672873
0.17,-34.58817449434327
0.18,-28.761640593511224
0.19,-23.786379564978468
0.2,-23.652153359307327
0.21,-32.35645687338553
0.22,-24.530606585959823
0.23,-27.43621399370349
0.24,-26.3248691159612
0.25,-27.010051246757524
0.26,-28.01677901455089
0.27,-27.72164678473464
0.28,-29.97668774805081
0.29,-31.156852957992452
0.3,-33.431890246731136
0.31,-32.30165612606495
0.32,-34.21258512477111
0.33,-37.09168913911697
0.34,-35.677223395459585
0.35,-37.499369959785916
0.36,-35.13076085123488
0.37,-35.77445451866291
0.38,-36.68417395168262
0.39,-36.73863111839208
0.4,-35.597020705230754
0.41,-35.54925217252573
0.42,-30.591491553026483
0.43,-23.889465152337888
0.44,-17.32035423436202
0.45,-22.239724672288006
0.46,-18.91449971467118
0.47,-19.87055380152435
0.48,-17.645691625516296
0.49,-22.832375797717752
0.5,-19.020412159234688
0.51,-22.02290493662772
0.52,-22.30169323219558
0.53,-22.096827847827
0.54,-21.067031076491244
0.55,-22.343252592046333
0.56,-24.38008281506643
0.57,-22.550529359725623
0.58,-21.31943071544706
0.59,-21.54448254710377
0.6,-23.843956695760617
0.61,-23.472397560784152
0.62,-20.877297615490562
0.63,-25.828702471737074
0.64,-21.525503902324985
0.65,-22.661452629832084
0.66,-22.850758639792225
0.67,-21.29478113625597
0.68,-20.92434384906211
0.69,-25.61359279597603
0.7,-23.010478023394842
0.71,-24.349413816007107
0.72,-25.548076636618447
0.73,-24.375694893963733
0.74,-25.155427201810664
0.75,-28.20561013920772
0.76,-25.75640570777418
0.77,-26.792966042228766
0.78,-26.804562692333306
0.79,-27.70232332929423
0.8,-29.441753138771766
0.81,-29.23974660068525
0.82,-29.36350135151077
0.83,-28.370798439033223
0.84,-29.072412553300374
0.85,-28.056898668502868
0.86,-30.818764844447788
0.87,-30.352537084279845
0.88,-32.279832271272106
0.89,-32.61309142021474
0.9,-32.31258865065243
0.91,-30.92068045211473
0.92,-29.600403935503394
0.93,-32.31258865065243
0.94,-24.103631366545404
0.95,-20.490174592058622
0.96,-17.665929028981704
0.97,-19.07028343291873
0.98,-19.844477859880335
0.99,-17.948036764952505
1.0,-18.606554973058046
1.01,-19.238619896214963
1.02,-18.474353920157643
1.03,-21.7820272234442
1.04,-27.461209376817635
1.05,-27.845037198554383
1.06,-29.97668774805081
1.07,-29.410367776211153
1.08,-32.61309142021474
1.09,-29.843949506520126
1.1,-32.47824954574307
1.11,-32.7270811091929
1.12,-33.174420891536705
1.13,-30.818764844447788
1.14,-30.83720623064922
1.15,-25.339724348173718
1.16,-23.24606777491477
1.17,-22.564762692919746
1.18,-22.693923283116355
1.19,-21.73334846925527
1.2,-23.765908451005725
1.21,-20.09273848894443
1.22,-21.516030107924884
1.23,-23.93521330023944
1.24,-26.21574846422998
1.25,-21.26406720878561
1.26,-25.885932260100255
1.27,-24.858243151689607
1.28,-25.87028670263425
1.29,-25.901606050166464
1.3,-24.67016003037786
1.31,-24.065451570398785
1.32,-24.55296410058984
1.33,-24.793560695895728
1.34,-25.13146611175173
1.35,-26.491164360750965
1.36,-22.367587700006183
1.37,-21.09404786231042
1.38,-21.573028494558283
1.39,-20.807202631414224
1.4,-22.38501175727963
1.41,-21.982846957996706
1.42,-22.19183071284162
1.43,-22.24315579602927
1.44,-21.933032887387284
1.45,-20.685881282633652
1.46,-16.369645884313893
1.47,-21.73334846925527
1.48,-18.48993399543464
1.49,-20.552096296965647
1.5,-16.939416640542643
1.51,-27.19013833975762
1.52,-19.570258245100888
1.53,-24.219188143724605
1.54,-25.05523181316043
1.55,-27.010051246757524
1.56,-25.513002330252384
1.57,-25.59842976104338
1.58,-25.10757093949286
1.59,-24.779762615729474
1.6,-24.881461261312868
1.61,-24.3625444150883
1.62,-26.16708789080999
1.63,-25.31036356651046
1.64,-22.43398589223275
1.65,-23.335114893883535
1.66,-23.440826823117206
1.67,-21.31943071544706
1.68,-20.45937849661682
1.69,-20.81302232318173
1.7,-21.291704851599032
1.71,-20.608774407622896
1.72,-20.93319345720214
1.73,-20.30152441212688
1.74,-20.594570169562758
1.75,-20.789766915345883
1.76,-20.620154546346217
1.77,-23.374117607097382
1.78,-21.972861262735467
1.79,-23.480308207631552
1.8,-24.881461261312868
1.81,-26.16169794981292
1.82,-26.626531614400935
1.83,-25.649076491351277
1.84,-26.05991947838884
1.85,-25.844273237134402
1.86,-25.603481165453307
1.87,-23.131274611076975
1.88,-22.38501175727963
1.89,-20.886099395981695
1.9,-21.49396468961065
1.91,-20.208713897512215
1.92,-20.57189159365549
1.93,-21.40314331067492
1.94,-22.92097042526187
1.95,-25.828702471737074
1.96,-21.166506173126184
1.97,-18.38365617128405
1.98,-24.078159531170456
1.99,-20.24953751788173
2.0,-19.91243882367998
2.01,-18.14918152825086
2.02,-22.346724864584306
2.03,-19.32402756211324
2.04,-24.74307453736888
2.05,-29.77833340872842
2.06,-24.150524626956727
2.07,-22.586156520577987
2.08,-22.40946430810307
2.09,-22.318985472902146
2.1,-21.707497588155572
2.11,-21.35343851330193
2.12,-20.495785632071623
2.13,-21.98617807582778
2.14,-21.946288730689712
2.15,-22.715638018521283
2.16,-22.28788418375748
2.17,-22.564762692919746
2.18,-23.951908912564974
2.19,-25.359353485653273
2.2,-25.2373929079507
2.21,-26.25378495133036
2.22,-25.71024498103568
2.23,-26.3248691159612
2.24,-19.962441053306886
2.25,-23.688555278357782
2.26,-27.74747844582005
2.27,-23.397603578066516
2.28,-22.381524148464223
2.29,-25.022088558192507
2.3,-25.948797839507087
2.31,-23.839831362205004
2.32,-23.39368483690459
2.33,-22.339781707029893
2.34,-22.4691372540001
2.35,-25.413563469288455
2.36,-21.57938479900446
2.37,-22.11371661386743
2.38,-22.84707895761982
2.39,-21.54764969012448
2.4,-21.720413411558603
2.41,-22.154384138667645
2.42,-23.108496915406405
2.43,-24.75681441311253
2.44,-22.93582445134982
2.45,-22.532770429723886
2.46,-24.830463097183845
2.47,-21.979517117189943
2.48,-18.235287706900362
2.49,-22.98801450318965
2.5,-19.1492357346961
2.51,-18.68594085986858
2.52,-18.6268992912053
2.53,-19.15404386636499
2.54,-19.951890320593783
2.55,-22.444516371968408
2.56,-19.717825238771095
2.57,-18.16848113049864
2.58,-19.52998745890713
2.59,-19.17330305305385
2.6,-18.381455819242372
2.61,-19.373211666569198
2.62,-19.805510142488927
2.63,-23.362398392855347
2.64,-25.354442040999892
2.65,-25.797644430404937
2.66,-26.435378108368724
2.67,-26.51919242520701
2.68,-27.87780181544434
2.69,-27.263231811533227
2.7,-28.510896470406397
2.71,-30.378765256110782
2.72,-27.46746947772866
2.73,-24.839713246767428
2.74,-22.318985472902146
2.75,-19.75897847957195
2.76,-19.64372836362006
2.77,-21.35343851330193
2.78,-19.79773753379302
2.79,-20.95683658752169
2.8,-21.873630675055878
2.81,-25.088502019346407
2.82,-26.14017157042301
2.83,-24.688331354239807
2.84,-25.553098833715904
2.85,-25.818337447072643
2.86,-24.733926680137778
2.87,-26.25378495133036
2.88,-26.396539827455623
2.89,-24.03165429181129
2.9,-21.847359533249737
2.91,-21.80483767642123
2.92,-22.226013715000455
2.93,-20.007425197675907
2.94,-20.02601600968561
2.95,-19.405331334886235
2.96,-19.437570219947048
2.97,-20.484567174408696
2.98,-20.7318993486211
2.99,-17.5752297401287
3.0,-18.916839348257867
3.01,-21.563502750991887
3.02,-20.839259297902988
3.03,-17.85228910876395
3.04,-19.096521208195757
3.05,-19.949254638692793
3.06,-19.459959751674827
3.07,-20.498592511927384
3.08,-20.178898051096912
3.09,-18.96847137601315
3.1,-18.877151031968214
3.11,-20.683013232537242
3.12,-21.57620606534114
3.13,-22.836049255010003
3.14,-24.103631366545404
3.15,-24.419674175962495
3.16,-26.507970344010236
