seconds_elapsed,dBFS
0.0,-36.848580556616426
0.01,-39.6539111193444
0.02,-37.9062775997192
0.03,-41.091041844063405
0.04,-42.49029655712677
0.05,-41.490817057890006
0.06,-41.459403317905384
0.07,-40.23318503805073
0.08,-39.552616797728874
0.09,-42.56120217241977
0.1,-41.33487230109275
0.11,-41.06103874121523
0.12,-40.4259068188255
0.13,-38.66773144096018
0.14,-39.378145429631736
0.15,-40.34278762340235
0.16,-42.99923900137636
0.17,-38.09579543739675
0.18,-43.66022950088225
0.19,-40.73766878731749
0.2,-42.2123243667956
0.21,-42.14419939295736
0.22,-40.73766878731749
0.23,-40.97164629211217
0.24,-42.246588275678
0.25,-38.59978410902434
0.26,-43.61992367617574
0.27,-38.736214499832904
0.28,-39.834069362963064
0.29,-40.76657360480111
0.3,-39.730664693641266
0.31,-39.52747672333882
0.32,-40.09809849506211
0.33,-36.59416392714908
0.34,-37.9480367649525
0.35,-38.59978410902434
0.36,-40.59457016956276
0.37,-41.68172341601461
0.38,-38.39907426268287
0.39,-39.27999873973685
0.4,-40.39811194826538
0.41,-36.10665139695803
0.42,-39.6539111193444
0.43,-36.08973631928884
0.44,-37.98999766606634
0.45,-41.81136596657302
0.46,-39.452490160010754
0.47,-41.58574575837924
0.48,-38.96847137601314
0.49,-39.86011402906796
0.5,-40.39811194826538
0.51,-41.84408122045819
0.52,-40.4259068188255
0.53,-43.94773199993912
0.54,-39.231338166316874
0.55,-40.4259068188255
0.56,-36.32959861247398
0.57,-41.77877347190285
0.58,-35.66112350273499
0.59,-34.60240199897902
0.6,-33.28383172481285
0.61,-31.854489539329155
0.62,-28.17158780962128
0.63,-24.044312865299876
0.64,-22.28788418375748
0.65,-20.552096296965647
0.66,-19.93345732065886
0.67,-19.08458512051548
0.68,-18.19858823044498
0.69,-18.50331062483112
0.7,-18.64048869106422
0.71,-18.654099385368816
0.72,-18.74309259677783
0.73,-19.163668121796274
0.74,-18.159898234900986
0.75,-18.58400592187352
0.76,-18.053321564799646
0.77,-17.885473063693656
0.78,-17.864718239868452
0.79,-17.680123318930917
0.8,-17.412352122681632
0.81,-17.563207745630866
0.82,-17.80274967996088
0.83,-17.200466944275984
0.84,-17.84815001426672
0.85,-17.341798479575726
0.86,-17.85021931496456
0.87,-18.087284030896903
0.88,-17.749398902594756
0.89,-17.9984142264517
0.9,-17.33399444523397
0.91,-17.617438242116595
0.92,-17.4834835545561
0.93,-17.549203083500654
0.94,-16.646256069534218
0.95,-16.680555584774186
0.96,-16.010673739322655
0.97,-16.308777452752107
0.98,-16.31571229514689
0.99,-16.450298648571604
1.0,-16.012348450527703
1.01,-15.802202380999615
1.02,-16.231139626543467
1.03,-15.329741474071128
1.04,-15.047929893202062
1.05,-16.32265267876671
1.06,-16.355695446240865
1.07,-16.642653460756705
1.08,-17.50732407173195
1.09,-16.711359856937108
1.1,-16.608502997080077
1.11,-16.97115447786363
1.12,-16.416894720522983
1.13,-16.820962442288725
1.14,-17.264071879127894
1.15,-16.705915864506895
1.16,-17.19278880928931
1.17,-17.684183094484172
1.18,-18.15775383552259
1.19,-17.225467861635146
1.2,-17.122085984270818
1.21,-17.238959759935703
1.22,-17.839877737795685
1.23,-18.19858823044498
1.24,-18.276489108115463
1.25,-17.759633250000167
1.26,-17.43402499000384
1.27,-17.326197416309977
1.28,-17.786299126486583
1.29,-17.437971327935454
1.3,-17.773981625526496
1.31,-18.209366107045724
1.32,-19.326480164032134
1.33,-18.36387304069152
1.34,-17.607369978976894
1.35,-17.579240772127047
1.36,-17.684183094484172
1.37,-16.98425678127827
1.38,-15.530218075124766
1.39,-15.785869375739258
1.4,-15.409065218423157
1.41,-15.40594079765635
1.42,-14.694014077123311
1.43,-14.479396378794341
1.44,-14.427607019561709
1.45,-15.348340816591486
1.46,-16.147382489829727
1.47,-15.89093528292521
1.48,-15.33593683070901
1.49,-15.409065218423157
1.5,-15.584256721099782
1.51,-15.732187332394929
1.52,-15.955588639149115
1.53,-16.32091706288761
1.54,-15.268029742805586
1.55,-15.915745038833421
1.56,-15.769567025536823
1.57,-16.30357995206562
1.58,-16.207126488236895
1.59,-15.251135601502481
1.6,-14.76916700206626
1.61,-14.995627604014075
1.62,-14.958460711026717
1.63,-15.232743027900316
1.64,-15.099041194663824
1.65,-14.940676934867724
1.66,-15.371646142185769
1.67,-15.26188261612434
1.68,-14.86843539269726
1.69,-14.30841151431167
1.7,-14.796789739067144
1.71,-14.581069471748272
1.72,-14.865499482702074
1.73,-14.906692803452323
1.74,-16.505077098624085
1.75,-17.696373818784355
1.76,-18.027936579449968
1.77,-18.525650888273407
1.78,-18.530125844394057
1.79,-18.74079929256964
1.8,-18.77756501788854
1.81,-17.992101041700316
1.82,-17.971090171179156
1.83,-17.706545842008115
1.84,-17.242818440424777
1.85,-17.046292400039274
1.86,-16.74591793898561
1.87,-17.256337337532155
1.88,-16.870738450362616
1.89,-17.27956165521351
1.9,-16.863346203415944
1.91,-17.561205696610116
1.92,-17.154499615092192
1.93,-17.057619360529152
1.94,-18.017381359244638
1.95,-17.9984142264517
1.96,-18.011054378531664
1.97,-18.71561282809995
1.98,-18.097924592852465
1.99,-18.770659579890218
2.0,-18.69962302017432
2.01,-19.555134811846543
2.02,-19.365816272646008
2.03,-19.19743724373526
2.04,-19.787384863153758
2.05,-19.415238253140807
2.06,-18.980248855292952
2.07,-19.34858480108374
2.08,-20.033995697557888
2.09,-19.425156483893705
2.1,-20.214145973760598
2.11,-20.34278762340235
2.12,-19.582881252173685
2.13,-19.582881252173685
