seconds_elapsed,dBFS
0.0,-14.140727671186994
0.01,-13.670324089859449
0.02,-11.020977275939732
0.03,-11.999946665424782
0.04,-9.773432126003769
0.05,-10.749042500019563
0.06,-9.980868681771998
0.07,-11.832724277370563
0.08,-10.314211797062995
0.09,-11.091025152661143
0.1,-11.845154890781007
0.11,-9.6630718044049
0.12,-13.55722993448413
0.13,-12.093310003337614
0.14,-14.333224420169373
0.15,-12.322439701641276
0.16,-12.913806803546152
0.17,-16.52282151672195
0.18,-14.189471684843104
0.19,-18.94966056273127
0.2,-18.185672407041945
0.21,-16.762335670796322
0.22,-16.660681465647187
0.23,-15.725702905338956
0.24,-16.943144490229937
0.25,-15.032954217702505
0.26,-14.730064139822021
0.27,-10.342939897223534
0.28,-10.357776386522591
0.29,-11.77906291372995
0.3,-15.020992240066594
0.31,-14.46116490922928
0.32,-21.743062419536766
0.33,-22.03965043947786
0.34,-23.922712617384114
0.35,-24.811992298861057
0.36,-27.708759705756272
0.37,-27.202277949893123
0.38,-32.738562789170224
0.39,-32.03272165152002
0.4,-33.93129040731416
0.41,-34.81865938462336
0.42,-32.422677445505585
0.43,-23.98120367773045
0.44,-19.435086053009464
0.45,-14.451363791486415
0.46,-11.414411493128442
0.47,-11.267686895493352
0.48,-9.769349835362252
0.49,-8.35067051444785
0.5,-9.697813793371244
0.51,-10.588800062129133
0.52,-11.824447073992005
0.53,-10.82798064333681
0.54,-11.58174030723947
0.55,-8.66550318950103
0.56,-15.914088848602823
0.57,-15.12924776184197
0.58,-10.81784380212276
0.59,-13.086677815966452
0.6,-10.25272311470089
0.61,-17.724885557148284
0.62,-19.2970945494078
0.63,-24.06121971178252
0.64,-24.570891639746858
0.65,-25.906836938393255
0.66,-27.983486947583472
0.67,-28.62462496440958
0.68,-30.01019170333563
0.69,-31.782149766681258
0.7,-32.0539326257679
0.71,-34.19898153602635
0.72,-32.04332066398599
0.73,-29.968331913218748
0.74,-28.212430626121247
0.75,-24.279717236328363
0.76,-25.136253044712827
0.77,-28.384706992266256
0.78,-24.784359540757684
0.79,-20.772366128949145
0.8,-23.362398392855347
0.81,-21.169538426478
0.82,-22.37106971634388
0.83,-21.181678036613498
0.84,-20.304269202681574
0.85,-22.887641453759628
0.86,-22.946981665007332
0.87,-23.432952035961257
0.88,-25.65924137213463
0.89,-26.330361300550177
0.9,-29.170901672464904
0.91,-28.886092890172698
0.92,-28.56757458106365
0.93,-28.667660013492096
0.94,-28.900852264391965
0.95,-32.579184195744716
0.96,-36.10665139695803
0.97,-35.872786394943425
0.98,-38.01105437853166
0.99,-34.01073507369288
1.0,-33.0783104820136
1.01,-30.34381193072038
1.02,-32.947871462733524
1.03,-34.6452248776892
1.04,-36.95993964139527
1.05,-38.465463551277026
1.06,-41.03113891947621
1.07,-42.63269137958573
1.08,-41.21210149902416
1.09,-43.782281480619325
1.1,-46.06524661111521
1.11,-48.510896470406394
1.12,-48.03013165305762
1.13,-49.247429829525956
1.14,-49.481144996029855
1.15,-51.22414851040786
1.16,-51.619029674323
1.17,-52.57918419574472
1.18,-53.04254149678523
1.19,-54.60240199897902
1.2,-54.05073156633725
1.21,-54.60240199897902
1.22,-53.65882044506962
1.23,-54.32218771012272
1.24,-53.16234877056899
1.25,-53.787502645177824
1.26,-55.0404388279356
