seconds_elapsed,dBFS
0.0,-13.12383034984822
0.01,-12.11787811437085
0.02,-12.372964745895922
0.03,-13.503112066965633
0.04,-12.92671215960685
0.05,-11.31144461845686
0.06,-12.824002243626296
0.07,-13.388445191906783
0.08,-12.733968295734314
0.09,-14.979254574400475
0.1,-14.744526163872427
0.11,-15.10960154810821
0.12,-13.190139774548037
0.13,-12.153249836982035
0.14,-14.194904610517067
0.15,-13.065178078162415
0.16,-12.320249613470807
0.17,-12.700730701636026
0.18,-11.799662685363598
0.19,-12.789263270624598
0.2,-12.242857099910882
0.21,-14.169128425552213
0.22,-14.933277761034073
0.23,-11.619029674323002
0.24,-12.110393504137743
0.25,-11.096729546236181
0.26,-15.332838600022312
0.27,-10.108090446472387
0.28,-10.650916343341796
0.29,-12.207119332636932
0.3,-12.284192657728175
0.31,-12.649405618448375
0.32,-12.789263270624598
0.33,-11.228009763922467
0.34,-11.527603700725873
0.35,-13.733223735495294
0.36,-13.410761220951546
0.37,-12.573545838105595
0.38,-11.88463627529535
0.39,-11.687981763646535
0.4,-13.29852452161447
0.41,-13.049683519639109
0.42,-13.288726562720958
0.43,-13.868253737742652
0.44,-13.387207092034675
0.45,-13.493080722252483
0.46,-12.683588620607207
0.47,-14.524437553847655
0.48,-14.701212129775303
0.49,-11.955738212646859
0.5,-13.532016884449249
0.51,-14.593862699941496
0.52,-13.846037502980478
0.53,-11.335850056367951
0.54,-12.572418605654716
0.55,-11.825481293155939
0.56,-14.552707357933896
0.57,-12.1511019908687
0.58,-13.138254747801577
0.59,-12.645994705528807
0.6,-13.706210950687503
0.61,-11.226078922603397
0.62,-13.94316088319444
0.63,-13.721636539417952
0.64,-11.306571748966888
0.65,-12.203877724225334
0.66,-13.829086876075003
0.67,-13.4893219527868
0.68,-11.031354120618811
0.69,-13.712634950416806
0.7,-13.0354053416764
0.71,-14.20170054986545
0.72,-12.697299577894759
0.73,-11.259930770733693
0.74,-12.469334082155019
0.75,-12.917324544925881
0.76,-11.824447073992005
0.77,-10.92068045211473
0.78,-11.754407503761268
0.79,-11.688999860071315
0.8,-11.617009934832897
0.81,-15.503324305556774
0.82,-14.237125403767468
0.83,-12.750059666610591
0.84,-12.657369628105332
0.85,-15.606606017556917
0.86,-15.096026307567236
0.87,-15.677223395459583
0.88,-13.634584890301692
0.89,-12.428218683102179
0.9,-13.92865472541317
0.91,-14.785148404252919
0.92,-17.114476794438524
0.93,-15.724082554688223
0.94,-14.39417828180948
0.95,-15.013524360973548
0.96,-12.11680848939098
0.97,-13.028275044678857
0.98,-14.442971626932055
0.99,-14.162357913370549
1.0,-11.2803053885541
1.01,-12.157547123223338
1.02,-12.829805604327294
1.03,-14.380287522990866
1.04,-15.62741055358247
1.05,-12.142515913670774
1.06,-14.25762873291523
1.07,-15.376314720442782
1.08,-15.651477871940225
1.09,-11.92011448988962
1.1,-10.394540259285051
1.11,-13.093856237563514
1.12,-14.146130183964535
1.13,-13.275272390345807
1.14,-10.689852374601953
1.15,-13.243554218780693
1.16,-13.839514115788337
1.17,-12.790419000735817
1.18,-11.557637927186699
1.19,-11.248309554187221
1.2,-11.706325782372005
1.21,-13.610416769982841
1.22,-12.641448904227579
1.23,-12.230928165391086
1.24,-12.184453438147179
1.25,-13.471802503693137
1.26,-11.466852519407247
1.27,-10.480932647593551
1.28,-12.683588620607207
1.29,-12.12751067117627
1.3,-12.616489434069669
1.31,-11.8534518606184
1.32,-12.790419000735817
1.33,-12.013675960677308
1.34,-11.331940575200088
1.35,-11.252181565680326
1.36,-13.783614311319832
1.37,-13.46930260739208
1.38,-11.178906892860406
1.39,-12.02636844657648
1.4,-14.22484659755353
1.41,-14.632355831505537
1.42,-14.06276651657188
1.43,-13.882659287372409
1.44,-13.752570145538314
1.45,-13.597723665812422
1.46,-12.493873660829994
1.47,-12.385090490110143
1.48,-13.418212656614198
1.49,-14.562623566703405
1.5,-15.111111218684371
1.51,-14.547046031588412
1.52,-15.27110493831941
1.53,-16.61927285541967
1.54,-15.007554677138517
1.55,-11.930576897367642
1.56,-13.444343137234169
1.57,-12.891560797839501
1.58,-12.211443359926266
1.59,-12.638041113833484
1.6,-14.337366804623404
1.61,-13.65754320227076
1.62,-12.991528135038061
1.63,-14.081520758116493
1.64,-15.161078123333873
1.65,-15.6643410947844
1.66,-12.596121262479079
1.67,-12.758116544875477
1.68,-12.431545123292729
1.69,-13.351378750286854
1.7,-14.267213541559702
1.71,-13.249644878617989
1.72,-12.300563630039607
1.73,-13.510643185620737
1.74,-12.836774759265012
1.75,-14.494852952640763
1.76,-13.003364999282148
1.77,-13.299750043964027
1.78,-14.585331787841687
1.79,-14.812822092980237
1.8,-12.313682660306636
1.81,-12.581440564022914
1.82,-12.610826815942215
1.83,-12.133938315503682
1.84,-12.196318672655263
1.85,-12.680164260366492
1.86,-13.043731426184738
1.87,-12.608562801948406
1.88,-11.400611847133092
1.89,-12.600643396975634
1.9,-13.620584625563705
1.91,-12.576928413460111
1.92,-11.120538260332253
1.93,-12.246113291003587
1.94,-12.285283096451352
1.95,-14.207141132340897
1.96,-11.679841285414255
1.97,-11.998891464106826
1.98,-11.484734947487933
1.99,-11.841009376020029
2.0,-11.832724277370563
2.01,-12.06987491774062
2.02,-11.595830977181675
2.03,-11.387817491491884
2.04,-12.027426991412117
2.05,-12.294011537972766
2.06,-13.929972466390904
2.07,-12.229844528730949
2.08,-12.5758007419703
2.09,-13.149088787975877
2.1,-11.832724277370563
2.11,-13.313242214440649
2.12,-13.063985207235858
2.13,-12.057118744152245
2.14,-14.053404559015076
2.15,-14.001428999875996
2.16,-13.485564809203714
2.17,-12.918497442049812
2.18,-14.40252341260808
2.19,-13.638407064021486
2.2,-12.85422214974098
2.21,-12.221180298947123
2.22,-19.192605037970534
2.23,-29.8521864816638
2.24,-35.50174490930948
2.25,-84.28839878591472
2.26,-44.37569489396373
2.27,-100
2.28,-100
2.29,-100
2.3,-90.30899869919435
2.31,-90.30899869919435
2.32,-90.30899869919435
2.33,-90.30899869919435
2.34,-90.30899869919435
2.35,-90.30899869919435
2.36,-90.30899869919435
2.37,-90.30899869919435
2.38,-90.30899869919435
2.39,-90.30899869919435
2.4,-90.30899869919435
2.41,-90.30899869919435
2.42,-90.30899869919435
2.43,-90.30899869919435
2.44,-90.30899869919435
2.45,-90.30899869919435
2.46,-90.30899869919435
2.47,-100
2.48,-100
2.49,-100
2.5,-100
2.51,-100
2.52,-100
2.53,-100
2.54,-100
2.55,-100
2.56,-100
2.57,-100
2.58,-100
2.59,-100
2.6,-100
2.61,-100
2.62,-100
2.63,-100
2.64,-100
2.65,-100
2.66,-100
2.67,-100
2.68,-100
2.69,-100
2.7,-100
2.71,-100
2.72,-100
2.73,-100
2.74,-100
2.75,-100
2.76,-100
2.77,-100
2.78,-100
2.79,-100
2.8,-100
2.81,-100
2.82,-100
2.83,-100
2.84,-100
2.85,-100
2.86,-100
2.87,-100
2.88,-100
2.89,-100
2.9,-100
2.91,-100
2.92,-100
2.93,-100
2.94,-100
2.95,-100
2.96,-100
2.97,-100
2.98,-100
2.99,-100
3.0,-100
3.01,-100
3.02,-100
3.03,-100
3.04,-100
3.05,-100
3.06,-100
3.07,-100
3.08,-100
3.09,-100
3.1,-100
3.11,-100
3.12,-100
3.13,-100
3.14,-100
3.15,-100
3.16,-100
3.17,-100
3.18,-100
3.19,-100
3.2,-100
3.21,-100
3.22,-100
3.23,-100
3.24,-100
3.25,-100
3.26,-100
3.27,-100
3.28,-100
3.29,-100
3.3,-100
3.31,-100
3.32,-100
3.33,-100
3.34,-100
3.35,-100
3.36,-100
3.37,-100
3.38,-100
3.39,-100
3.4,-100
3.41,-100
3.42,-100
3.43,-100
3.44,-100
3.45,-100
3.46,-100
3.47,-100
3.48,-100
3.49,-100
3.5,-100
3.51,-100
3.52,-100
3.53,-100
3.54,-100
3.55,-100
3.56,-100
3.57,-100
3.58,-100
3.59,-100
3.6,-100
3.61,-100
3.62,-100
3.63,-100
3.64,-100
3.65,-100
3.66,-100
3.67,-100
3.68,-100
3.69,-100
3.7,-100
3.71,-100
3.72,-100
3.73,-100
3.74,-100
3.75,-100
3.76,-100
3.77,-100
3.78,-100
3.79,-100
3.8,-100
3.81,-100
3.82,-100
3.83,-100
3.84,-100
3.85,-100
3.86,-100
3.87,-100
3.88,-100
3.89,-100
3.9,-100
3.91,-100
3.92,-100
3.93,-100
3.94,-100
3.95,-100
3.96,-100
3.97,-100
3.98,-100
3.99,-100
4.0,-100
4.01,-100
4.02,-100
4.03,-100
4.04,-100
4.05,-90.30899869919435
4.06,-38.532364187310215
4.07,-37.579240772127044
4.08,-40.34278762340235
4.09,-40.34278762340235
4.1,-42.2123243667956
4.11,-40.82467341766925
4.12,-40.73766878731749
4.13,-37.7616815673397
4.14,-36.46969664384714
4.15,-37.28343841923147
