seconds_elapsed,dBFS
0.0,-25.766697047411853
0.01,-25.083741323344487
0.02,-25.40368191004513
0.03,-24.661088604343846
0.04,-24.75223203915341
0.05,-23.55183011837247
0.06,-23.543854094269246
0.07,-22.412963155940137
0.08,-21.976188552428738
0.09,-21.400028413873358
0.1,-21.710724743919265
0.11,-21.74954442703018
0.12,-21.73334846925527
0.13,-21.09404786231042
0.14,-21.876920161797734
0.15,-21.550817988404386
0.16,-20.4231233258877
0.17,-21.688159792476647
0.18,-21.130201461387834
0.19,-20.894910104738592
0.2,-21.563502750991887
0.21,-21.896683286679057
0.22,-22.90243854360415
0.23,-22.12386565841616
0.24,-22.181601989809007
0.25,-22.298238911355433
0.26,-22.777459558064116
0.27,-23.860477651075303
0.28,-24.253724529734725
0.29,-23.652153359307327
0.3,-24.040091290666076
0.31,-24.904741601269503
0.32,-24.661088604343846
0.33,-24.624897345158473
0.34,-22.965608928500743
0.35,-21.717182654728326
0.36,-21.304016532807136
0.37,-22.154384138667645
0.38,-20.40088743627049
0.39,-20.111512999099972
0.4,-21.35343851330193
0.41,-22.72288834418272
0.42,-21.982846957996706
0.43,-23.081998212149028
0.44,-22.462095591970275
0.45,-22.701155498053808
0.46,-22.792069973011237
0.47,-22.188419799922055
0.48,-23.161738086891503
0.49,-22.906141758172318
0.5,-22.458576900555713
0.51,-23.72918159020578
0.52,-23.37020944521454
0.53,-24.13344322589993
0.54,-23.985396721325305
0.55,-24.31449561968162
0.56,-25.21320495125016
0.57,-24.48606346455664
0.58,-23.18465601479965
0.59,-23.504083467835724
0.6,-20.60593170112131
0.61,-21.20296326605283
0.62,-23.165553544733687
0.63,-22.7847616935409
0.64,-21.553987442786596
0.65,-23.429017318051134
0.66,-22.465615709399636
0.67,-21.896683286679057
0.68,-21.59529594036176
0.69,-18.3266273980871
0.7,-18.830689890763345
0.71,-20.29603743175612
0.72,-18.786780816777565
0.73,-19.3117749297555
0.74,-20.763678790697305
0.75,-20.73478358893917
0.76,-21.630403387025076
0.77,-23.249920464992606
0.78,-22.486766425138306
0.79,-22.493828124420013
0.8,-21.646408347584646
0.81,-24.305787960167315
0.82,-21.10608234935935
0.83,-23.135076707718145
0.84,-21.662442853962276
0.85,-23.025486043781967
0.86,-22.733775192866894
0.87,-23.599840685406672
0.88,-22.381524148464223
0.89,-24.13344322589993
0.9,-22.40247083780734
0.91,-22.891338363642237
0.92,-22.984276224828495
0.93,-22.611182768583276
0.94,-23.265348336967108
0.95,-23.595829653408327
0.96,-21.40314331067492
0.97,-23.769998815874377
0.98,-20.85386971285011
0.99,-20.772366128949145
1.0,-22.16798240310935
1.01,-20.781062164687754
1.02,-21.743062419536766
1.03,-23.219146687405626
1.04,-22.01621576445418
1.05,-22.17478952699856
1.06,-21.801575370415534
1.07,-22.009531739777994
1.08,-22.832375797717752
1.09,-22.079971856435606
1.1,-22.64346569104135
1.11,-22.57188811549987
1.12,-22.490296557126776
1.13,-22.45154379115277
1.14,-23.385852654554192
1.15,-22.90243854360415
1.16,-22.909846552273294
1.17,-23.93104440664462
1.18,-22.832375797717752
1.19,-23.389767862931528
1.2,-22.532770429723886
1.21,-22.08334043884667
1.22,-21.490817057890006
1.23,-22.305148927342838
1.24,-21.617620618510387
1.25,-20.992422392045626
1.26,-21.54448254710377
1.27,-21.400028413873358
1.28,-21.406259324928275
1.29,-21.245690848677214
1.3,-23.41722384762008
1.31,-22.639872768699295
1.32,-23.188481555331904
1.33,-23.342901438231145
1.34,-23.331224237765596
1.35,-22.518589382266807
1.36,-23.157924304332727
1.37,-22.532770429723886
1.38,-23.761820011467748
1.39,-23.943557094961818
1.4,-24.46830997929963
1.41,-22.686697084997345
1.42,-25.443275777525432
1.43,-24.262380125506372
1.44,-25.083741323344487
1.45,-24.890765910984733
1.46,-25.40368191004513
1.47,-25.9382885948638
1.48,-24.301437401780305
1.49,-25.413563469288455
1.5,-25.533027444916016
1.51,-24.397656699944775
1.52,-25.573216711008495
1.53,-23.811008758148088
1.54,-25.85466927624269
1.55,-25.478069087263385
1.56,-24.738499404454007
1.57,-25.638923492371667
1.58,-24.620384022303966
1.59,-25.155427201810664
1.6,-24.539542687198708
1.61,-25.79247886995649
1.62,-24.43732842927202
1.63,-24.638451401960488
1.64,-26.36338753668197
1.65,-24.297089021395088
1.66,-25.174643779644615
1.67,-27.06966637191286
1.68,-25.46811391180334
1.69,-26.781384854328948
1.7,-25.463140599535738
1.71,-26.16708789080999
1.72,-26.424263724717775
1.73,-24.75681441311253
1.74,-25.13146611175173
1.75,-23.331224237765596
1.76,-19.810695748397016
1.77,-18.57725260575926
1.78,-18.800622874907155
1.79,-20.464969671343564
1.8,-19.353504591437904
1.81,-18.548048759472703
1.82,-17.73509104491389
1.83,-20.462173634094867
1.84,-21.569852085805366
1.85,-21.58574575837924
1.86,-20.4817648225089
1.87,-21.857201902164714
1.88,-22.14080712982576
1.89,-21.713953099146195
1.9,-24.146251126433587
1.91,-22.67226269922749
1.92,-21.73334846925527
1.93,-23.081998212149028
1.94,-22.795726419976646
1.95,-24.67016003037786
1.96,-22.529222996700074
1.97,-21.91649148143949
1.98,-22.865492976893073
1.99,-22.843400833644438
2.0,-24.340671097968464
2.01,-22.03965043947786
2.02,-21.65602549893222
2.03,-21.400028413873358
2.04,-21.9065817374803
2.05,-23.22298745228716
2.06,-21.726878532540425
2.07,-21.896683286679057
2.08,-21.166506173126184
2.09,-22.25345730698741
2.1,-21.103072164044853
2.11,-21.847359533249737
2.12,-22.09008152543887
2.13,-22.226013715000455
2.14,-22.50796877001461
2.15,-22.755589912507897
2.16,-24.086641845944246
2.17,-23.914388812589866
2.18,-25.438316662553117
2.19,-22.419965082670032
2.2,-24.779762615729474
2.21,-25.45817013322667
2.22,-24.6837849580941
2.23,-24.040091290666076
2.24,-23.607868310412528
2.25,-24.881461261312868
2.26,-23.304038332511098
2.27,-23.603853570503723
2.28,-22.621930416444233
2.29,-22.43398589223275
2.3,-21.64961288170624
2.31,-21.415614080423868
2.32,-21.356536743988634
2.33,-20.2440832698921
2.34,-21.172571738762382
2.35,-21.381362454745513
2.36,-21.462539584282865
2.37,-21.923104264125147
2.38,-20.318006181091377
2.39,-15.909122171842277
2.4,-17.21007416750747
2.41,-18.22880005094975
2.42,-17.792464433480134
2.43,-18.28083748850068
2.44,-18.89813990155641
2.45,-17.402518667948492
2.46,-18.80986318390422
2.47,-20.2440832698921
2.48,-20.157277903934144
2.49,-20.28507385865258
2.5,-20.729016065727212
2.51,-21.678507015445337
2.52,-21.136241718681372
2.53,-21.169538426478
2.54,-21.13926342323022
2.55,-20.927292716731948
2.56,-19.72039161185464
2.57,-20.757892055214736
2.58,-19.402856369877878
2.59,-20.373172385193513
2.6,-20.195148550950353
2.61,-21.157415759279104
2.62,-20.88023055140837
2.63,-20.786864362390528
2.64,-22.16798240310935
2.65,-21.133221064977455
2.66,-20.98648129083037
2.67,-22.511507531374647
2.68,-23.319562714906642
2.69,-22.444516371968408
2.7,-21.337963915162796
2.71,-23.188481555331904
2.72,-22.91726088446747
2.73,-22.36410707898663
2.74,-22.51504773506664
2.75,-22.157781709467102
2.76,-22.887641453759628
2.77,-23.280803660685578
2.78,-22.30169323219558
2.79,-23.504083467835724
2.8,-22.25002211230626
2.81,-21.65923358378423
2.82,-20.839259297902988
2.83,-20.28507385865258
2.84,-19.847081934143002
2.85,-18.722474624089255
2.86,-19.865332346820633
2.87,-19.17330305305385
2.88,-18.429992793914607
2.89,-17.810986655104553
2.9,-17.571220559518373
2.91,-17.776033329714153
2.92,-17.945944031623966
2.93,-18.302612104161135
2.94,-18.877151031968214
2.95,-19.427637812188845
2.96,-18.055440332864322
2.97,-19.618323579092042
2.98,-19.125234919098844
2.99,-19.435086053009464
3.0,-19.053627838863974
3.01,-18.74079929256964
3.02,-19.567735843562016
3.03,-20.111512999099972
3.04,-20.127637798851126
3.05,-19.34858480108374
3.06,-19.25320169533872
3.07,-18.6268992912053
3.08,-19.983581044607554
3.09,-19.638641458855005
