seconds_elapsed,dBFS
0.0,-24.775168122293564
0.01,-25.349533371958227
0.02,-25.959319814916235
0.03,-27.715200855208337
0.04,-26.944943762341737
0.05,-28.26032458556763
0.06,-26.402077532225967
0.07,-25.943541627765406
0.08,-24.858243151689607
0.09,-23.66427038936549
0.1,-24.262380125506372
0.11,-24.336303036705647
0.12,-24.06968549182703
0.13,-23.769998815874377
0.14,-24.349413816007107
0.15,-23.906072976973274
0.16,-25.563151947845185
0.17,-25.369184714363364
0.18,-26.402077532225967
0.19,-22.733775192866894
0.2,-24.720222933453947
0.21,-25.948797839507087
0.22,-25.828702471737074
0.23,-23.802791264973134
0.24,-23.28467179240752
0.25,-26.424263724717775
0.26,-28.151238195538383
0.27,-26.25378495133036
0.28,-25.548076636618447
0.29,-25.985680653474496
0.3,-27.715200855208337
0.31,-24.724788447166453
0.32,-26.626531614400935
0.33,-24.775168122293564
0.34,-22.984276224828495
0.35,-28.82730491862948
0.36,-30.326387873446933
0.37,-36.63005608416411
0.38,-36.10665139695803
0.39,-33.33290467815828
0.4,-39.57782984776375
0.41,-33.41945518428073
0.42,-32.88922242398285
0.43,-34.745973691521485
0.44,-34.21258512477111
0.45,-34.995627604014075
0.46,-35.407502867553205
0.47,-41.21210149902416
0.48,-39.99152182496077
0.49,-39.57782984776375
0.5,-43.342901438231145
0.51,-43.381939210181585
0.52,-41.33487230109275
0.53,-40.39811194826538
0.54,-43.82334959324051
0.55,-43.50011640239199
0.56,-46.5585842824651
0.57,-47.44870269411245
0.58,-47.83196587985263
0.59,-47.70232332929424
0.6,-50.136995263955995
0.61,-50.136995263955995
0.62,-48.72537377824186
0.63,-54.05073156633725
0.64,-54.60240199897902
0.65,-56.32959861247397
0.66,-56.86704154048
0.67,-58.26779887263511
0.68,-58.053321564799646
0.69,-58.48770655866437
0.7,-62.009531739778
0.71,-59.67942035834925
0.72,-61.06103874121523
0.73,-61.36583807234997
0.74,-57.63962958760263
0.75,-56.68417395168261
0.76,-41.42810278083282
0.77,-42.96188027867397
0.78,-46.96265200423083
0.79,-46.50236473578853
0.8,-44.733926680137785
0.81,-46.22659904607586
0.82,-30.736259731504866
0.83,-30.317688934674713
0.84,-30.265677464064204
0.85,-39.502409203376885
0.86,-35.613002107417415
0.87,-41.12114894400974
0.88,-39.3289334586786
0.89,-39.502409203376885
0.9,-38.59978410902434
0.91,-43.539868827102254
0.92,-43.989591790056004
0.93,-45.802813064677096
0.94,-48.87135855307185
0.95,-49.01983891465598
0.96,-50.30899869919435
0.97,-54.46116490922928
0.98,-54.60240199897902
0.99,-53.28383172481285
1.0,-56.505077098624085
1.01,-54.745973691521485
1.02,-59.67942035834925
1.03,-57.24474842368748
1.04,-60.76657360480111
1.05,-59.67942035834925
1.06,-59.18294868384861
1.07,-61.36583807234997
1.08,-58.053321564799646
1.09,-61.68172341601461
1.1,-63.074441978842486
1.11,-64.73392668013777
1.12,-62.3501985257536
1.13,-63.86461280451597
1.14,-63.86461280451597
1.15,-63.074441978842486
1.16,-63.86461280451597
1.17,-64.28839878591474
1.18,-66.78717351808073
1.19,-64.28839878591474
1.2,-64.73392668013777
1.21,-64.73392668013777
1.22,-65.20354859712823
1.23,-64.73392668013777
1.24,-63.46054508275023
1.25,-66.22659904607586
1.26,-65.70002027162887
1.27,-68.03013165305762
1.28,-100
1.29,-100
1.3,-100
1.31,-100
1.32,-100
1.33,-100
1.34,-100
1.35,-100
1.36,-65.70002027162887
1.37,-57.844012891236346
1.38,-54.46116490922928
1.39,-56.15759517723562
1.4,-55.50174490930948
1.41,-52.92436430457484
1.42,-52.35645687338553
1.43,-52.13929832162136
1.44,-52.35645687338553
1.45,-50.30899869919435
1.46,-48.798059471343734
1.47,-49.01983891465598
1.48,-46.729459753330964
1.49,-45.95931981491623
1.5,-45.34953337195822
1.51,-44.68833135423981
1.52,-43.86461280451597
1.53,-44.15907794093009
1.54,-42.96188027867397
1.55,-39.1108661984721
1.56,-41.97618855242873
1.57,-43.82334959324051
1.58,-40.82467341766925
1.59,-41.12114894400974
1.6,-41.12114894400974
1.61,-40.07133147961686
1.62,-39.96508074019487
1.63,-42.77745955806411
1.64,-42.59687322722811
1.65,-42.07660457992975
1.66,-43.15030175918528
1.67,-42.63269137958573
1.68,-45.85466927624269
1.69,-30.308998699194355
1.7,-25.344627475392866
1.71,-21.75278724567455
1.72,-20.654384697595496
1.73,-15.912432974107663
1.74,-16.123599479677743
1.75,-17.839877737795685
1.76,-22.11709831125804
1.77,-20.603089924672577
1.78,-24.099380869940852
1.79,-25.184268035075895
1.8,-24.040091290666076
1.81,-22.81403177899228
1.82,-25.059976904585763
1.83,-25.102799783295957
1.84,-23.119878296774626
1.85,-26.038643559268255
1.86,-25.959319814916235
1.87,-27.41129033345151
1.88,-29.600403935503394
1.89,-30.370013729286732
1.9,-30.47561855159539
1.91,-28.232924280075217
1.92,-27.517713375677356
1.93,-24.6837849580941
1.94,-22.86180704870788
1.95,-23.885318153148077
1.96,-24.890765910984733
1.97,-24.729356361885493
1.98,-24.023225480244403
1.99,-24.638451401960488
2.0,-26.547311224895594
2.01,-28.377749931711644
2.02,-30.378765256110782
2.03,-32.433763458035486
2.04,-32.69272685357853
2.05,-31.83375948262035
2.06,-31.508635599041092
2.07,-34.6452248776892
2.08,-34.39139835231285
2.09,-34.98074175694637
2.1,-36.123599479677736
2.11,-35.055427424645636
2.12,-35.905812631075214
2.13,-37.59932376289611
2.14,-37.74122009818812
2.15,-36.885541844892686
2.16,-36.63005608416411
2.17,-36.10665139695803
2.18,-29.034827511366007
