seconds_elapsed,dBFS
0.0,-27.214434550391246
0.01,-27.83196587985264
0.02,-27.753948382534894
0.03,-27.081638654494856
0.04,-28.32920591117081
0.05,-28.653291292865354
0.06,-29.721323145490164
0.07,-30.265677464064204
0.08,-31.49866900054301
0.09,-31.730844894315304
0.1,-31.710407497502597
0.11,-31.282248323276
0.12,-31.156852957992452
0.13,-32.02213555680554
0.14,-31.979919728195853
0.15,-29.301403573965196
0.16,-34.475185718792
0.17,-35.80710827756498
0.18,-35.01053900619659
0.19,-33.99744373270901
0.2,-34.29465713354666
0.21,-37.53921356010161
0.22,-38.5100066726802
0.23,-41.74630281861858
0.24,-42.63269137958573
0.25,-40.680146129148255
0.26,-42.178195090515246
0.27,-39.99152182496077
0.28,-42.38501175727962
0.29,-45.64907649135128
0.3,-42.41996508267003
0.31,-36.64805793441736
0.32,-32.6813055637829
0.33,-31.291969521423425
0.34,-29.835720335238488
0.35,-29.057359014631096
0.36,-28.391669629623504
0.37,-28.496784542626223
0.38,-26.598155602106853
0.39,-23.672357810469382
0.4,-21.630403387025076
0.41,-20.30152441212688
0.42,-20.93319345720214
0.43,-19.99946987154684
0.44,-20.26592084176714
0.45,-20.65724330865901
0.46,-21.1121058514302
0.47,-21.468815516375315
0.48,-20.953877674313695
0.49,-22.82136473817671
0.5,-22.850758639792225
0.51,-21.909883729399198
0.52,-21.992844146483492
0.53,-22.898736907222506
0.54,-21.772269623124195
0.55,-23.90191804284092
0.56,-23.58380765891049
0.57,-23.960268768492373
0.58,-24.21057546117652
0.59,-23.7414066304196
0.6,-23.37020944521454
0.61,-24.6565564416331
0.62,-24.9280845060419
0.63,-25.329926389280203
0.64,-24.793560695895728
0.65,-23.607868310412528
0.66,-25.208375432283326
0.67,-26.530429023977288
0.68,-26.204911420231465
0.69,-25.443275777525432
0.7,-25.563151947845185
0.71,-26.346858721726324
0.72,-26.134798301066336
0.73,-25.75640570777418
0.74,-25.959319814916235
0.75,-24.288398785914733
0.76,-26.74673365290172
0.77,-25.42840691859392
0.78,-26.341356099028474
0.79,-27.051738832755838
0.8,-23.725110397425336
0.81,-26.16708789080999
0.82,-25.117121121475382
0.83,-24.137710427969576
0.84,-26.96856278338923
0.85,-24.816606317369594
0.86,-26.55294592482597
0.87,-24.06968549182703
0.88,-26.03333271248827
0.89,-25.408621284439295
0.9,-25.849469701326527
0.91,-25.2373929079507
0.92,-26.396539827455623
0.93,-26.76981908745619
0.94,-26.221172060808364
0.95,-26.82780254469385
0.96,-29.87694437862951
0.97,-29.23974660068525
0.98,-29.82749895304583
0.99,-29.209081468611522
1.0,-29.394717520377004
1.01,-29.270520378272224
1.02,-29.049842017504155
1.03,-30.44027408924212
1.04,-31.042688471472133
1.05,-30.690759943657483
1.06,-31.272537992876117
