seconds_elapsed,dBFS
0.0,-28.010110384942664
0.01,-25.628782347450773
0.02,-21.824437285274758
0.03,-17.4834835545561
0.04,-15.523882633824144
0.05,-13.51315501028777
0.06,-14.40252341260808
0.07,-17.351563393069707
0.08,-24.711099098961597
0.09,-34.51738445590585
0.1,-41.490817057890006
0.11,-45.01264223900363
0.12,-45.75126460692089
0.13,-48.945281464271126
0.14,-49.247429829525956
0.15,-49.80288139389895
0.16,-45.70002027162887
0.17,-49.095041892122126
0.18,-50.84644162720038
0.19,-54.60240199897902
0.2,-54.46116490922928
0.21,-52.92436430457484
0.22,-50.39629480724336
0.23,-51.92743685167287
0.24,-48.798059471343734
0.25,-52.467106645384746
0.26,-52.69272685357852
0.27,-55.50174490930948
0.28,-55.66112350273499
0.29,-54.18539921951661
0.3,-53.16234877056899
0.31,-55.34523815907035
0.32,-55.50174490930948
0.33,-32.76157178179887
0.34,-25.588335756841637
0.35,-24.42408437643199
0.36,-25.31036356651046
0.37,-23.725110397425336
0.38,-18.923862032622154
0.39,-15.025476051387743
0.4,-15.481238849608976
0.41,-17.59329398852132
0.42,-16.655269134198992
0.43,-14.992648392995992
0.44,-14.761912437510183
0.45,-23.397603578066516
0.46,-32.995077500872945
0.47,-37.11067469779735
0.48,-38.159898234900986
0.49,-35.629012968426615
0.5,-34.745973691521485
0.51,-35.92237295951982
0.52,-34.76046225140812
0.53,-36.277638998075815
0.54,-35.677223395459585
0.55,-35.83988525849064
0.56,-23.135076707718145
0.57,-19.2264870689341
0.58,-16.969284332601145
0.59,-13.724210136366576
0.6,-11.598853382700103
0.61,-10.41913624152411
0.62,-10.81876484444779
0.63,-10.629260259890565
0.64,-10.728963729699936
0.65,-17.739176599851902
0.66,-16.42742945757917
0.67,-21.190793891539496
0.68,-22.76287367783038
0.69,-23.374117607097382
0.7,-23.704783007763798
0.71,-24.04853649272959
0.72,-26.36890413873344
0.73,-30.466768943455364
0.74,-34.51738445590585
0.75,-38.053321564799646
0.76,-30.19680979198875
0.77,-27.147782820462254
0.78,-25.59338129264315
0.79,-29.46536680887903
0.8,-27.779876430558268
0.81,-27.812395710917173
0.82,-27.670212794985865
0.83,-28.89346944232566
0.84,-32.796199959110986
0.85,-28.952708475957554
0.86,-34.98074175694637
0.87,-28.71090934585994
0.88,-26.221172060808364
0.89,-19.459959751674827
0.9,-17.551202367578547
0.91,-13.936564171676578
0.92,-11.9515395952174
0.93,-15.047929893202062
0.94,-17.595303448249908
0.95,-21.979517117189943
0.96,-30.4933448631316
