seconds_elapsed,dBFS
0.0,-19.834069362963064
0.01,-20.921395982195854
0.02,-21.78528219430413
0.03,-19.653911119344404
0.04,-19.472423363568108
0.05,-19.532498920436282
0.06,-17.956412744037518
0.07,-18.059679420131513
0.08,-21.456268183549724
0.09,-20.068659309271823
0.1,-19.904569981555156
0.11,-22.741040680231603
0.12,-21.12718290718263
0.13,-23.972823658133912
0.14,-25.880713942347583
0.15,-22.88025235111234
0.16,-23.802791264973134
0.17,-25.050489312557723
0.18,-28.849303806635746
0.19,-23.188481555331904
0.2,-25.448237725468466
0.21,-25.418508467792684
0.22,-27.63183619512766
0.23,-34.92145217767158
0.24,-42.49029655712677
0.25,-54.60240199897902
0.26,-54.891958466351475
0.27,-54.46116490922928
0.28,-53.787502645177824
0.29,-54.05073156633725
0.3,-53.04254149678523
0.31,-53.04254149678523
0.32,-52.467106645384746
0.33,-53.787502645177824
0.34,-53.28383172481285
0.35,-53.787502645177824
0.36,-52.807773431360346
0.37,-51.03324215228325
0.38,-52.807773431360346
0.39,-52.03272165152002
0.4,-51.32119856629609
0.41,-47.83196587985263
0.42,-46.28105621278533
0.43,-45.802813064677096
0.44,-44.59785251903888
0.45,-43.03675910135147
0.46,-42.77745955806411
0.47,-43.782281480619325
0.48,-43.3040383325111
0.49,-43.1884815553319
0.5,-41.876920161797734
0.51,-41.1816780366135
0.52,-41.06103874121523
0.53,-41.97618855242873
0.54,-42.178195090515246
0.55,-42.3501985257536
0.56,-41.64961288170624
0.57,-42.59687322722811
0.58,-47.574587356066225
0.59,-48.87135855307185
0.6,-49.40253912346121
0.61,-47.83196587985263
0.62,-48.510896470406394
0.63,-45.75126460692089
0.64,-47.44870269411245
0.65,-46.729459753330964
0.66,-48.301587796843094
0.67,-48.301587796843094
0.68,-47.3864379856296
0.69,-47.83196587985263
0.7,-45.59842976104338
0.71,-47.83196587985263
0.72,-44.68833135423981
0.73,-45.95931981491623
0.74,-44.33193717100022
0.75,-43.700723232210535
0.76,-45.44823772546847
0.77,-43.539868827102254
0.78,-42.96188027867397
0.79,-42.9246815509915
0.8,-43.782281480619325
0.81,-42.704773864962235
0.82,-41.00134167022599
0.83,-42.59687322722811
0.84,-41.97618855242873
0.85,-43.90607297697328
0.86,-44.03165429181129
0.87,-44.24507755078458
0.88,-43.15030175918528
0.89,-45.59842976104338
0.9,-44.64297412512336
0.91,-45.802813064677096
0.92,-43.7414066304196
0.93,-42.63269137958573
0.94,-42.3501985257536
0.95,-44.03165429181129
0.96,-42.49029655712677
0.97,-42.31552426957359
0.98,-41.00134167022599
0.99,-40.708859840051346
1.0,-42.49029655712677
1.01,-43.46054508275023
1.02,-41.42810278083282
1.03,-36.20883951252764
1.04,-34.6452248776892
1.05,-37.225467861635146
1.06,-37.11067469779735
1.07,-38.898139901556405
1.08,-38.44327735878521
1.09,-39.231338166316874
1.1,-43.22682991624633
1.11,-44.37569489396373
1.12,-44.68833135423981
1.13,-43.7414066304196
1.14,-44.463877272064835
1.15,-45.49801373354236
1.16,-46.33585696010591
1.17,-43.57980402222377
1.18,-39.378145429631736
1.19,-38.944964217854455
1.2,-36.522821516721955
1.21,-34.39139835231285
1.22,-36.32959861247398
1.23,-37.80274967996088
1.24,-39.502409203376885
1.25,-40.59457016956276
1.26,-49.72132314549016
1.27,-48.510896470406394
1.28,-51.619029674323
1.29,-48.23292428007521
1.3,-46.06524661111521
1.31,-42.043003417569324
1.32,-38.074532539047524
1.33,-32.85422214974098
1.34,-25.943541627765406
1.35,-23.21147024886968
1.36,-24.258051249444645
1.37,-24.490507511539267
1.38,-27.70232332929423
1.39,-28.560469558468643
1.4,-26.909635219256508
1.41,-24.323212017440756
1.42,-28.056898668502868
1.43,-28.050199177512752
1.44,-26.46322644783195
1.45,-24.35816534283116
1.46,-28.294696967732726
1.47,-22.7592310316717
1.48,-25.89115371480397
1.49,-32.15002826694891
1.5,-24.481621690162704
1.51,-24.120654183631558
1.52,-21.933032887387284
1.53,-22.25345730698741
1.54,-21.840804144532488
1.55,-22.518589382266807
1.56,-22.74831225004773
1.57,-20.241357429719706
1.58,-20.769469384003813
1.59,-19.221638679392605
1.6,-18.35509498068411
1.61,-19.764136371432585
1.62,-19.951890320593783
1.63,-16.585214014313884
1.64,-15.987261623697716
1.65,-16.12529610818945
1.66,-16.775126506697024
1.67,-17.93757813679176
1.68,-18.1556099654295
1.69,-17.661877774412893
1.7,-19.631016683262462
1.71,-22.686697084997345
1.72,-23.71697373206398
1.73,-22.600448403091747
1.74,-23.215307620099786
1.75,-20.127637798851126
1.76,-19.34858480108374
1.77,-21.7820272234442
1.78,-20.509829110697662
1.79,-21.233461505385517
1.8,-18.94261699729212
1.81,-19.656458674616534
1.82,-18.570504536297953
1.83,-21.53815172347214
1.84,-19.514933920237844
1.85,-19.625937215493106
1.86,-21.35343851330193
1.87,-18.665457945426184
1.88,-19.60311629833895
1.89,-20.40088743627049
1.9,-17.573224918506863
1.91,-18.21799804776913
1.92,-18.89813990155641
1.93,-18.61107181644536
1.94,-14.954011352282759
1.95,-16.969284332601145
1.96,-17.96270003322848
1.97,-19.238619896214963
1.98,-22.525677011903706
1.99,-22.668657847696988
2.0,-22.611182768583276
2.01,-21.853919873167392
2.02,-19.72039161185464
2.03,-19.59552263067935
2.04,-20.11419838778671
2.05,-19.79773753379302
2.06,-20.22774104562052
2.07,-19.072665412815205
2.08,-19.207109727627973
2.09,-21.130201461387834
2.1,-20.4817648225089
2.11,-19.236191974567273
2.12,-21.982846957996706
2.13,-19.098910395293224
2.14,-22.357150018432023
2.15,-21.453134180398973
2.16,-21.022189006641007
2.17,-23.480308207631552
2.18,-20.189728338831834
2.19,-20.111512999099972
2.2,-22.550529359725623
2.21,-21.54448254710377
2.22,-23.985396721325305
2.23,-18.851566655184754
2.24,-18.472130474698666
2.25,-18.083031453265782
2.26,-20.205999132796236
2.27,-23.676404346595707
2.28,-19.766716466398254
2.29,-17.050066412541863
2.3,-17.92087048145881
2.31,-18.083031453265782
2.32,-16.87258749552938
2.33,-16.714991081755073
2.34,-16.108344717879287
2.35,-15.509644764004172
2.36,-17.481499795351844
2.37,-17.03686453670395
2.38,-16.05768814172819
2.39,-16.44501579612001
2.4,-15.985591741997279
2.41,-18.602040477302538
2.42,-18.25477980004321
2.43,-18.984964322096097
2.44,-19.435086053009464
2.45,-17.543207990909217
2.46,-20.274124106634464
2.47,-21.30093697608703
2.48,-18.954359448232974
2.49,-18.69962302017432
2.5,-18.205053351426802
2.51,-16.85042489033991
2.52,-17.54121054588764
2.53,-17.684183094484172
2.54,-19.207109727627973
2.55,-19.28243893911744
2.56,-17.070852843873944
2.57,-17.973188972600042
2.58,-21.154387734274387
2.59,-18.935579138996424
2.6,-19.6360991232191
2.61,-20.77816251864578
2.62,-17.511303860868274
2.63,-20.760784941049323
2.64,-21.02815459041814
2.65,-21.979517117189943
2.66,-18.22663857535366
2.67,-18.127787700592616
2.68,-18.604297431878848
2.69,-20.340030635714363
2.7,-18.624636456846257
2.71,-17.246678835883017
2.72,-18.483253398024374
2.73,-20.848022597423604
2.74,-19.717825238771095
2.75,-19.156448930657824
2.76,-17.51528547434073
2.77,-20.685881282633652
2.78,-21.18471559203458
2.79,-21.0430864999543
2.8,-20.065987960753745
2.81,-18.940270410856648
2.82,-20.060647727177553
2.83,-17.211996887966475
2.84,-19.50491270235316
2.85,-21.025171286374366
2.86,-19.823673323854784
2.87,-20.111512999099972
2.88,-23.13888046938965
2.89,-21.487670566409093
2.9,-24.825841713920763
2.91,-24.729356361885493
2.92,-22.53631931215857
2.93,-25.618653028940624
2.94,-25.684705739942334
2.95,-26.0652466111152
2.96,-23.331224237765596
2.97,-25.766697047411853
2.98,-26.183277810945707
2.99,-29.232070162149306
3.0,-37.400553312212516
3.01,-46.61517008284237
3.02,-54.05073156633725
3.03,-55.19150158574453
3.04,-53.787502645177824
3.05,-55.0404388279356
3.06,-53.53201688444925
3.07,-52.92436430457484
3.08,-52.57918419574472
3.09,-52.69272685357852
3.1,-53.918119988356985
3.11,-53.787502645177824
3.12,-53.28383172481285
3.13,-52.57918419574472
3.14,-50.84644162720038
3.15,-53.04254149678523
3.16,-51.32119856629609
3.17,-48.87135855307185
3.18,-47.63822053179
3.19,-46.22659904607586
3.2,-45.251938079596485
3.21,-46.012121738240396
3.22,-43.26534833696711
3.23,-42.704773864962235
3.24,-44.20197131026188
3.25,-44.59785251903888
3.26,-42.178195090515246
3.27,-40.59457016956276
3.28,-40.97164629211217
3.29,-40.88316447801559
3.3,-42.7410406802316
3.31,-42.246588275678
3.32,-41.942972872799444
3.33,-43.15030175918528
3.34,-42.7410406802316
3.35,-48.23292428007521
3.36,-48.72537377824186
3.37,-49.40253912346121
3.38,-47.574587356066225
3.39,-48.581802085699394
3.4,-45.90683693839325
3.41,-47.08163865449485
3.42,-46.96265200423083
3.43,-48.097204493209375
3.44,-47.83196587985263
3.45,-48.653291292865354
3.46,-47.08163865449485
3.47,-46.012121738240396
3.48,-46.44650673210513
3.49,-45.15542720181067
3.5,-45.44823772546847
3.51,-43.22682991624633
3.52,-44.073921478079264
3.53,-44.68833135423981
3.54,-43.700723232210535
3.55,-43.381939210181585
3.56,-43.782281480619325
3.57,-43.50011640239199
3.58,-42.043003417569324
3.59,-42.07660457992975
3.6,-42.81403177899228
3.61,-41.9098837293992
3.62,-44.33193717100022
3.63,-44.20197131026188
3.64,-44.37569489396373
3.65,-43.66022950088225
3.66,-45.01264223900363
3.67,-45.34953337195822
3.68,-45.64907649135128
3.69,-43.0744419788425
3.7,-41.942972872799444
3.71,-43.7414066304196
3.72,-43.782281480619325
3.73,-42.704773864962235
3.74,-40.76657360480111
3.75,-41.273269988708556
3.76,-41.58574575837924
3.77,-42.704773864962235
3.78,-42.81403177899228
3.79,-39.75640068176758
3.8,-35.69335318586658
3.81,-34.14477924070991
3.82,-38.66773144096018
3.83,-37.38092417473297
3.84,-38.59978410902434
3.85,-37.88547306369365
3.86,-41.77877347190285
3.87,-42.38501175727962
3.88,-45.05997690458577
3.89,-43.94773199993912
3.9,-43.90607297697328
3.91,-44.64297412512336
3.92,-46.06524661111521
3.93,-48.03013165305762
3.94,-41.81136596657302
3.95,-38.992042325724
3.96,-37.98999766606634
3.97,-35.645053397062966
3.98,-34.58817449434327
3.99,-37.12970184590566
4.0,-38.71332676685816
4.01,-39.502409203376885
4.02,-42.38501175727962
4.03,-49.885212717795596
4.04,-48.510896470406394
4.05,-50.30899869919435
4.06,-48.87135855307185
4.07,-44.55296410058984
4.08,-40.260456299505705
4.09,-35.97224423320387
4.1,-30.976778965555667
4.11,-23.519969873065545
4.12,-24.91873981483603
4.13,-23.939384195704008
4.14,-25.222872052568643
4.15,-27.220519236901417
4.16,-28.989939092916963
4.17,-27.141748857289365
