seconds_elapsed,dBFS
0.0,-21.1453099877891
0.01,-20.95979650904908
0.02,-21.70427163096415
0.03,-21.588927985796428
0.04,-21.7820272234442
0.05,-19.572781379363526
0.06,-20.512640533165346
0.07,-22.398976213081838
0.08,-24.349413816007107
0.09,-23.737329704910316
0.1,-22.002852854683006
0.11,-21.331781787045543
0.12,-23.025486043781967
0.13,-22.07323860831698
0.14,-20.254995192983102
0.15,-21.02815459041814
0.16,-21.873630675055878
0.17,-23.82746710440463
0.18,-23.432952035961257
0.19,-21.49396468961065
0.2,-21.12718290718263
0.21,-20.54927207660649
0.22,-21.70104687145502
0.23,-21.636801832719993
0.24,-23.71697373206398
0.25,-23.58380765891049
0.26,-23.668313158643993
0.27,-23.219146687405626
0.28,-24.44616903017574
0.29,-24.441747604965446
0.3,-27.85812821781927
0.31,-27.72164678473464
0.32,-23.910229899588185
0.33,-24.74307453736888
0.34,-24.3625444150883
0.35,-25.782156955921742
0.36,-26.603823393262655
0.37,-27.753948382534894
0.38,-30.855686853872136
0.39,-32.41160556428931
0.4,-27.689464867082016
0.41,-31.83375948262035
0.42,-28.32920591117081
0.43,-33.174420891536705
0.44,-32.09651060141033
0.45,-33.65882044506963
0.46,-37.864718239868445
0.47,-39.730664693641266
0.48,-37.579240772127044
0.49,-37.499369959785916
0.5,-33.0069192063718
0.51,-35.83988525849064
0.52,-36.505077098624085
0.53,-35.04043882793561
0.54,-36.59416392714908
0.55,-38.333188563932055
0.56,-39.67942035834925
0.57,-34.877249081569246
0.58,-36.59416392714908
0.59,-36.243171136821125
0.6,-36.0391878373155
0.61,-32.534179485536505
0.62,-30.449096730567526
0.63,-32.48940675940057
0.64,-33.633311206064775
0.65,-32.579184195744716
0.66,-30.537819561622044
0.67,-31.82341297795672
0.68,-30.87420688143879
0.69,-28.75437510614651
0.7,-31.588782784890164
0.71,-32.2363483775096
0.72,-32.83096674190513
0.73,-26.55858428246509
0.74,-30.68168851762347
0.75,-31.33096347979008
0.76,-37.51926891382263
0.77,-35.32974147407113
0.78,-30.582523158179047
0.79,-35.438803404625766
0.8,-38.66773144096018
0.81,-36.277638998075815
0.82,-34.363647882580025
0.83,-29.70510299205933
0.84,-23.680452768779496
0.85,-21.79831428922909
0.86,-21.190793891539496
0.87,-21.384470663631095
0.88,-18.69962302017432
0.89,-14.683946814225228
0.9,-11.420332345190067
0.91,-7.976843819429388
0.92,-4.062489052891738
0.93,-8.801709771728657
0.94,-11.829619401684932
0.95,-15.889283816119574
0.96,-17.74326407740407
0.97,-18.304792571007795
0.98,-19.575305246775756
0.99,-23.04052004085083
1.0,-22.19183071284162
1.01,-24.20627232032157
1.02,-26.485569584623185
1.03,-21.528664131444103
1.04,-16.590582855303648
1.05,-12.389504052013066
1.06,-14.080179825711195
1.07,-13.757736474099884
1.08,-17.51528547434073
1.09,-18.756865151943643
1.1,-18.886473157508124
1.11,-17.885473063693656
1.12,-19.89408926880471
1.13,-21.19687644755702
1.14,-21.390690420171886
1.15,-23.188481555331904
1.16,-20.836340161717537
1.17,-19.272682252174043
1.18,-18.749976144599255
1.19,-17.621468817427
1.2,-17.53322535604639
1.21,-19.552616797728874
1.22,-20.2604562995057
1.23,-18.021601908228583
1.24,-21.20296326605283
1.25,-24.23643917151656
1.26,-25.23254992503289
1.27,-26.816174845985387
1.28,-25.5380409455678
1.29,-32.601774298564116
1.3,-30.827980643336808
1.31,-29.95164431992424
1.32,-26.275595106262728
1.33,-15.767938472117212
1.34,-12.480479842234475
1.35,-15.759800282036181
1.36,-16.3609242351846
1.37,-15.248067466663775
1.38,-13.941841140027263
1.39,-14.683946814225228
1.4,-14.77207052528837
1.41,-19.941352388287477
1.42,-21.688159792476647
1.43,-23.436888537110917
1.44,-20.523895331809147
1.45,-23.631995797143453
1.46,-24.336303036705647
1.47,-25.23254992503289
1.48,-25.9382885948638
1.49,-26.74673365290172
1.5,-26.507970344010236
1.51,-29.934988725869488
1.52,-30.119980783220477
1.53,-32.78464188736151
1.54,-35.70951298520325
1.55,-38.09579543739675
1.56,-37.14877076605211
1.57,-38.75916270244985
1.58,-39.378145429631736
1.59,-40.708859840051346
1.6,-50.939339728115655
1.61,-48.945281464271126
1.62,-45.49801373354236
1.63,-43.22682991624633
1.64,-35.872786394943425
1.65,-27.708759705756272
1.66,-23.10470643328731
1.67,-24.086641845944246
1.68,-26.637908026817122
1.69,-24.835086940592515
1.7,-26.028025110955525
1.71,-25.256791887846894
1.72,-24.503853311303992
1.73,-20.214145973760598
1.74,-15.595424181076265
1.75,-13.684404821853091
1.76,-18.507774083119507
1.77,-26.586831102930255
1.78,-28.336124182853215
1.79,-29.592402194137794
1.8,-26.85694007499716
1.81,-26.270137431161352
1.82,-28.077028201586476
1.83,-30.094521391358896
1.84,-27.638220531790004
1.85,-28.886092890172698
1.86,-27.380235993478866
1.87,-26.897897528770187
1.88,-26.637908026817122
1.89,-23.631995797143453
1.9,-23.688555278357782
1.91,-24.052762174952594
1.92,-28.553370343003508
1.93,-30.718031205112453
1.94,-33.04254149678523
1.95,-36.68417395168262
1.96,-38.37705678666515
1.97,-42.280987883563476
1.98,-45.802813064677096
1.99,-43.90607297697328
2.0,-43.989591790056004
2.01,-45.95931981491623
2.02,-46.012121738240396
2.03,-47.89752007507736
2.04,-49.247429829525956
2.05,-50.754526593417395
2.06,-52.13929832162136
2.07,-51.92743685167287
2.08,-52.69272685357852
2.09,-51.82341297795672
2.1,-51.82341297795672
2.11,-52.13929832162136
2.12,-40.260456299505705
2.13,-20.983512263408514
2.14,-20.159977481154957
2.15,-20.033995697557888
2.16,-17.169795044337373
2.17,-8.757280571849495
2.18,-7.569516784037772
2.19,-7.046964398314849
2.2,-9.363501351510768
2.21,-9.74001384472419
2.22,-8.35691212170614
2.23,-6.685280016629762
2.24,-7.076249085102551
2.25,-6.835951205408967
2.26,-7.126080142113413
2.27,-7.665086107725884
2.28,-8.036147043759561
2.29,-7.462461036109097
2.3,-7.565082460383393
2.31,-8.177702002259075
2.32,-8.58892458682672
2.33,-8.708019347617324
2.34,-7.673418511810617
2.35,-7.090628708398745
2.36,-7.398855271001105
2.37,-8.841231076890802
2.38,-7.129693491526154
2.39,-6.650439314454508
2.4,-8.388187613285808
2.41,-9.08296557507347
2.42,-9.16252459180867
2.43,-10.42353571973095
2.44,-8.43356306921976
2.45,-6.790648568992484
2.46,-6.978620348375461
2.47,-6.991653332135492
2.48,-7.352999715170359
2.49,-8.476362886658197
2.5,-8.158016104300632
2.51,-9.325413806275018
2.52,-8.2514100018068
2.53,-10.131887419270104
2.54,-8.755101381462637
2.55,-9.797147322160884
2.56,-10.061535354744562
2.57,-10.552992984156909
2.58,-10.848289885455698
2.59,-10.288177539472487
2.6,-9.619638244093508
2.61,-9.147314204175858
2.62,-9.746524396617556
2.63,-7.713268008787559
2.64,-6.581739891299739
2.65,-7.032061183310266
2.66,-7.352381700325168
2.67,-10.242373527967823
2.68,-11.742105993897114
2.69,-9.504866147700135
2.7,-9.389246585975009
2.71,-8.994417509947377
2.72,-9.68567870598118
2.73,-10.111486024951155
2.74,-10.514664300232264
2.75,-10.461463503218297
2.76,-11.740057435010716
2.77,-12.88805347308437
2.78,-11.412438772330031
2.79,-11.946294175867171
2.8,-13.150293404805778
2.81,-13.265500610788294
2.82,-11.40159680938828
2.83,-14.479396378794341
2.84,-19.284879824236235
2.85,-20.414778195089106
2.86,-19.681975407533162
2.87,-25.751264606920884
2.88,-27.511416971169623
2.89,-27.87780181544434
2.9,-30.986164044413698
2.91,-29.410367776211153
2.92,-33.174420891536705
2.93,-37.74122009818812
2.94,-39.67942035834925
2.95,-40.20599913279624
2.96,-38.24611124679071
2.97,-42.3501985257536
