seconds_elapsed,dBFS
0.0,-20.51826610955245
0.01,-14.619505823944028
0.02,-17.1468619890665
0.03,-27.708759705756272
0.04,-23.547841190799232
0.05,-22.329377366031732
0.06,-23.92687751299883
0.07,-22.81036761963059
0.08,-25.664328276899685
0.09,-28.267188188957626
0.1,-27.89752007507736
0.11,-25.050489312557723
0.12,-25.28110169839227
0.13,-22.73014472692561
0.14,-24.59335322360646
0.15,-28.85664916828962
0.16,-26.88032068033419
0.17,-25.807984776433383
0.18,-24.99849199481288
0.19,-22.29478596372973
0.2,-19.509921866066424
0.21,-21.837528304539646
0.22,-15.249601398612674
0.23,-12.61762240082769
0.24,-23.523946018540368
0.25,-20.569060930557907
0.26,-22.426972658393463
0.27,-17.93757813679176
0.28,-13.12142861068234
0.29,-14.258997343906488
0.3,-18.916839348257867
0.31,-19.76155704264212
0.32,-22.2123243667956
0.33,-22.94326100115174
0.34,-20.057978841110142
0.35,-22.53631931215857
0.36,-27.70232332929423
0.37,-29.721323145490164
0.38,-24.629413014424756
0.39,-21.519186891400683
0.4,-24.463877272064835
0.41,-27.392644409357803
0.42,-31.64938226073039
0.43,-27.039807663794555
0.44,-29.544545931819982
0.45,-29.379095412500188
0.46,-24.724788447166453
0.47,-26.85694007499716
0.48,-23.745485470427905
0.49,-16.106651396958032
0.5,-18.08515748182567
0.51,-27.15382097825708
0.52,-26.03333271248827
0.53,-23.081998212149028
0.54,-24.517219648342422
0.55,-22.82136473817671
0.56,-19.47991012424258
0.57,-17.106874264729473
0.58,-19.625937215493106
0.59,-17.30673541032293
0.6,-22.12048132576549
0.61,-23.765908451005725
0.62,-21.450001307637123
0.63,-16.462637814008783
0.64,-18.791392385581435
0.65,-20.334519284236265
0.66,-22.817697484739053
0.67,-26.892034626328165
0.68,-31.301701611671895
0.69,-28.103940352126294
0.7,-29.819285345211014
0.71,-29.489044850724543
0.72,-31.01438027812177
0.73,-38.48770655866437
0.74,-30.44027408924212
0.75,-21.573028494558283
0.76,-23.555820878671515
0.77,-31.508635599041092
0.78,-33.67160321358432
0.79,-33.102238567774485
0.8,-32.90092059361382
0.81,-37.927132086659505
0.82,-38.59978410902434
0.83,-34.60240199897902
0.84,-33.44434313723417
0.85,-26.581174385284495
0.86,-26.10262830266972
0.87,-24.811992298861057
0.88,-25.59338129264315
0.89,-24.163357758527436
0.9,-25.548076636618447
0.91,-25.65924137213463
0.92,-23.64005320925935
0.93,-26.992246205391794
0.94,-27.04577119965399
0.95,-24.301437401780305
0.96,-23.615903361529533
0.97,-25.13146611175173
0.98,-22.100202974987425
0.99,-23.257630975608183
1.0,-25.844273237134402
1.01,-22.8250335406127
1.02,-26.35787443612363
1.03,-27.480003231185005
1.04,-30.88348172443225
1.05,-29.97668774805081
1.06,-27.07565045043964
1.07,-24.56640628481214
1.08,-26.352364832616296
1.09,-29.968331913218748
1.1,-32.24719895935549
