seconds_elapsed,dBFS
0.0,-25.503007059140103
0.01,-25.088502019346407
0.02,-24.17192372533418
0.03,-24.816606317369594
0.04,-25.174643779644615
0.05,-27.087630989770865
0.06,-24.327573498646164
0.07,-26.672126940298906
0.08,-25.633851439884143
0.09,-25.290844705177236
0.1,-23.5319037741479
0.11,-24.4284968172879
0.12,-24.584361618623298
0.13,-23.77818532886312
0.14,-24.74307453736888
0.15,-24.692880131321022
0.16,-24.082399653118493
0.17,-25.86507777315996
0.18,-24.679240940392727
0.19,-25.828702471737074
0.2,-23.652153359307327
0.21,-26.248340958900144
0.22,-26.598155602106853
0.23,-25.3250315513721
0.24,-25.766697047411853
0.25,-27.281601694245147
0.26,-24.41526621360549
0.27,-25.700020271628876
0.28,-26.845273330948878
0.29,-26.457649632463443
0.3,-26.435378108368724
0.31,-25.383952453207918
0.32,-26.11869840834174
0.33,-25.74612654723952
0.34,-27.517713375677356
0.35,-26.775600045831368
0.36,-25.807984776433383
0.37,-27.00411217668814
0.38,-28.144465571695786
0.39,-26.752499261900724
0.4,-24.150524626956727
0.41,-24.82122278818678
0.42,-25.393811579848816
0.43,-21.899981517072995
0.44,-23.089561024675636
0.45,-22.350198525753605
0.46,-22.792069973011237
0.47,-21.59529594036176
0.48,-23.539868827102257
0.49,-23.331224237765596
0.5,-23.085778795293837
0.51,-23.025486043781967
0.52,-24.49495383343727
0.53,-22.437494633802608
0.54,-24.201971310261882
0.55,-24.989071289292774
0.56,-25.290844705177236
0.57,-26.491164360750965
0.58,-26.14017157042301
0.59,-25.349533371958227
0.6,-26.67784322193863
0.61,-25.045749399950022
0.62,-24.711099098961597
0.63,-25.533027444916016
0.64,-25.933038736959606
0.65,-24.761399205849266
0.66,-25.943541627765406
0.67,-25.06472458966602
0.68,-25.943541627765406
0.69,-26.36338753668197
0.7,-23.668313158643993
0.71,-24.6113644060853
0.72,-24.793560695895728
0.73,-24.548487991427102
0.74,-22.232866488245904
0.75,-22.130638282258758
0.76,-22.10357941415067
0.77,-23.802791264973134
0.78,-24.010597579345962
0.79,-23.79868543193139
0.8,-25.528016836390528
0.81,-24.176209878709123
0.82,-26.113338402224056
0.83,-24.82122278818678
0.84,-23.815120421958863
0.85,-26.0121217382404
0.86,-26.524808907548234
0.87,-26.524808907548234
0.88,-25.3250315513721
0.89,-24.5798693042547
0.9,-24.477182186034334
0.91,-23.989591790056004
0.92,-24.065451570398785
0.93,-23.515995546920678
0.94,-22.318985472902146
0.95,-23.173189492160038
0.96,-25.766697047411853
0.97,-25.633851439884143
0.98,-26.626531614400935
