seconds_elapsed,dBFS
0.0,-9.923348783959723
0.01,-7.291414873809576
0.02,-7.862059374092787
0.03,-9.788962352050811
0.04,-11.111959603202251
0.05,-12.511764274030588
0.06,-9.33550239934977
0.07,-10.607658036184338
0.08,-11.841009376020029
0.09,-8.839764113597658
0.1,-6.35897677632919
0.11,-6.424819106260728
0.12,-7.485021801099615
0.13,-9.919195439244202
0.14,-9.023583639714236
0.15,-9.006371256390159
0.16,-11.847228390346372
0.17,-9.586006104277295
0.18,-8.513721609360584
0.19,-16.56377177432423
0.2,-10.192523638613809
0.21,-13.65498927998301
0.22,-13.451823450288485
0.23,-12.731671960059852
0.24,-11.248309554187221
0.25,-7.6798334970638535
0.26,-6.929037153614482
0.27,-7.052335821631157
0.28,-8.493964906296297
0.29,-8.314005082214608
0.3,-9.858781690513748
0.31,-11.063506606728062
0.32,-8.557629175958684
0.33,-8.445469705269387
0.34,-9.098063596670972
0.35,-9.44411161902468
0.36,-8.360381620309518
0.37,-8.01944790061831
0.38,-8.906023976148246
0.39,-10.157456733107583
0.4,-12.973803029292196
0.41,-13.40579714615544
0.42,-16.808103980076503
0.43,-20.159977481154957
0.44,-20.157277903934144
0.45,-17.285377450300597
0.46,-13.849953888244723
0.47,-13.25452048337024
0.48,-19.87055380152435
0.49,-19.358427169998716
0.5,-15.550840231701581
0.51,-13.621856444826255
0.52,-13.835602433831632
0.53,-9.350268376432776
0.54,-10.728963729699936
0.55,-9.550115595132386
0.56,-8.000117030469566
0.57,-8.916376646787507
0.58,-8.986954763858895
0.59,-9.255889238403821
0.6,-6.417601914621508
0.61,-6.553509595914657
0.62,-7.8778018154443386
0.63,-8.713800305992494
0.64,-9.727819697504364
0.65,-8.329205911170812
0.66,-10.434984802787353
0.67,-9.220568209943634
0.68,-8.789305004311963
0.69,-9.749781503485407
0.7,-11.726753566101145
0.71,-13.479306512486493
0.72,-13.50436680003218
0.73,-11.760564798185984
0.74,-10.465000103282655
0.75,-11.116724477773479
0.76,-11.273508537559856
0.77,-10.613953136886087
0.78,-9.161002353873112
0.79,-10.037088228448567
0.8,-9.387684094580605
0.81,-7.459957897867547
0.82,-7.480630393872605
0.83,-9.480355405589055
0.84,-14.294657133546655
0.85,-12.771945747167488
0.86,-13.245989970237504
0.87,-14.973308389237179
0.88,-14.715626155051398
0.89,-13.473052721707251
0.9,-14.847904831909107
0.91,-15.725702905338956
0.92,-15.493852233038945
0.93,-15.611402643341805
0.94,-9.210612156718064
0.95,-7.2467320689821735
0.96,-6.49788285249091
0.97,-5.730730579300596
0.98,-6.377185616848227
0.99,-7.216867913521901
1.0,-6.765774704673412
1.01,-10.448214063056167
1.02,-7.023726538741148
1.03,-9.526270714752453
1.04,-7.939735903687048
1.05,-9.698623402323507
1.06,-9.99928873610526
1.07,-8.506660484154159
1.08,-10.97959342460867
1.09,-9.404886978493227
1.1,-8.819252599480553
1.11,-10.49423212904361
1.12,-10.068291516203772
1.13,-9.701862592977518
1.14,-10.909504096760056
1.15,-9.740827396884956
1.16,-8.848569611999578
1.17,-11.096729546236181
1.18,-10.130185471652615
1.19,-12.553278002426927
1.2,-10.203672039738983
1.21,-14.825961520100151
1.22,-13.448082488502973
1.23,-11.867990655850882
1.24,-14.112419477836633
1.25,-13.107032105223997
1.26,-14.939196595769458
1.27,-14.930319855458729
1.28,-11.196205638729317
1.29,-10.462347518245071
1.3,-10.062379587591419
1.31,-9.39159085020715
1.32,-8.526446118308787
1.33,-6.124598237894499
1.34,-6.708202480650833
1.35,-6.8738847374296
1.36,-7.823480059067607
1.37,-6.908460736172025
1.38,-9.496160868303628
1.39,-11.830654236932247
1.4,-10.053097536286106
1.41,-8.028795465125127
1.42,-9.441753138771768
1.43,-11.432186171169135
1.44,-11.875269189522315
1.45,-11.174107793540538
1.46,-11.856565268730376
1.47,-9.549319710251812
1.48,-11.266717001054506
1.49,-8.798059471343741
1.5,-6.3314601543233
1.51,-7.721001976476448
1.52,-6.620280933026948
1.53,-7.843729181137853
1.54,-8.907502173843792
1.55,-10.58252315817905
1.56,-10.301184914196156
1.57,-8.298141698945065
1.58,-7.612074520698946
1.59,-10.632865859626053
1.6,-8.050199177512756
1.61,-9.610817231839393
1.62,-11.700206803860354
1.63,-9.905088904130467
1.64,-7.8365386041688705
1.65,-8.947508901041395
1.66,-7.467469477728661
1.67,-7.643970449747961
1.68,-8.66047268197892
1.69,-8.903068335239055
1.7,-9.96833191321875
1.71,-9.131371912203136
1.72,-9.542955255203866
1.73,-10.266541774691124
1.74,-9.980032334013607
1.75,-11.05877082904242
1.76,-9.488254541853788
1.77,-10.4552779159518
1.78,-9.372854428119552
1.79,-10.427937427440854
1.8,-11.186590971333967
1.81,-9.867858287171057
1.82,-11.179867030996363
1.83,-10.37176332938089
1.84,-11.39076836280889
